#TGICL_NAME	CONTIG_NAME
CL1069Contig1	HCGP-ST-CO_00076
CL106Contig1	HCGP-ST-CO_00077
CL106Contig2	HCGP-ST-CO_00078
CL1070Contig1	HCGP-ST-CO_00079
CL1071Contig1	HCGP-ST-CO_00080
CL1072Contig1	HCGP-ST-CO_00081
CL1074Contig1	HCGP-ST-CO_00082
CL1075Contig1	HCGP-ST-CO_00083
CL1076Contig1	HCGP-ST-CO_00084
CL1077Contig1	HCGP-ST-CO_00085
CL1078Contig1	HCGP-ST-CO_00086
CL1079Contig1	HCGP-ST-CO_00087
CL107Contig1	HCGP-ST-CO_00088
CL107Contig2	HCGP-ST-CO_00089
CL107Contig3	HCGP-ST-CO_00090
CL1080Contig1	HCGP-ST-CO_00091
CL1081Contig1	HCGP-ST-CO_00092
CL1083Contig1	HCGP-ST-CO_00093
CL1084Contig1	HCGP-ST-CO_00094
CL1085Contig1	HCGP-ST-CO_00095
CL1087Contig1	HCGP-ST-CO_00096
CL1088Contig1	HCGP-ST-CO_00097
CL1089Contig1	HCGP-ST-CO_00098
CL108Contig1	HCGP-ST-CO_00099
CL1090Contig1	HCGP-ST-CO_00100
CL1091Contig1	HCGP-ST-CO_00101
CL1092Contig1	HCGP-ST-CO_00102
CL1093Contig1	HCGP-ST-CO_00103
CL1094Contig1	HCGP-ST-CO_00104
CL1095Contig1	HCGP-ST-CO_00105
CL1096Contig1	HCGP-ST-CO_00106
CL1097Contig1	HCGP-ST-CO_00107
CL1098Contig1	HCGP-ST-CO_00108
CL1099Contig1	HCGP-ST-CO_00109
CL109Contig1	HCGP-ST-CO_00110
CL109Contig2	HCGP-ST-CO_00111
CL10Contig1	HCGP-ST-CO_00112
CL10Contig2	HCGP-ST-CO_00113
CL10Contig3	HCGP-ST-CO_00114
CL10Contig4	HCGP-ST-CO_00115
CL10Contig5	HCGP-ST-CO_00116
CL10Contig6	HCGP-ST-CO_00117
CL10Contig7	HCGP-ST-CO_00118
CL10Contig8	HCGP-ST-CO_00119
CL1100Contig1	HCGP-ST-CO_00120
CL1101Contig1	HCGP-ST-CO_00121
CL1102Contig1	HCGP-ST-CO_00122
CL1103Contig1	HCGP-ST-CO_00123
CL1104Contig1	HCGP-ST-CO_00124
CL1105Contig1	HCGP-ST-CO_00125
CL1106Contig1	HCGP-ST-CO_00126
CL1107Contig1	HCGP-ST-CO_00127
CL1108Contig1	HCGP-ST-CO_00128
CL1109Contig1	HCGP-ST-CO_00129
CL110Contig1	HCGP-ST-CO_00130
CL1111Contig1	HCGP-ST-CO_00131
CL1112Contig1	HCGP-ST-CO_00132
CL1113Contig1	HCGP-ST-CO_00133
CL1114Contig1	HCGP-ST-CO_00134
CL1115Contig1	HCGP-ST-CO_00135
CL1116Contig1	HCGP-ST-CO_00136
CL1118Contig1	HCGP-ST-CO_00137
CL1119Contig1	HCGP-ST-CO_00138
CL111Contig1	HCGP-ST-CO_00139
CL111Contig2	HCGP-ST-CO_00140
CL1120Contig1	HCGP-ST-CO_00141
CL1121Contig1	HCGP-ST-CO_00142
CL1122Contig1	HCGP-ST-CO_00143
CL1123Contig1	HCGP-ST-CO_00144
CL1124Contig1	HCGP-ST-CO_00145
CL1125Contig1	HCGP-ST-CO_00146
CL1126Contig1	HCGP-ST-CO_00147
CL1127Contig1	HCGP-ST-CO_00148
CL1128Contig1	HCGP-ST-CO_00149
CL1129Contig1	HCGP-ST-CO_00150
CL112Contig1	HCGP-ST-CO_00151
CL112Contig2	HCGP-ST-CO_00152
CL1130Contig1	HCGP-ST-CO_00153
CL1131Contig1	HCGP-ST-CO_00154
CL1132Contig1	HCGP-ST-CO_00155
CL1133Contig1	HCGP-ST-CO_00156
CL1134Contig1	HCGP-ST-CO_00157
CL1135Contig1	HCGP-ST-CO_00158
CL1136Contig1	HCGP-ST-CO_00159
CL1138Contig1	HCGP-ST-CO_00160
CL1139Contig1	HCGP-ST-CO_00161
CL113Contig1	HCGP-ST-CO_00162
CL1140Contig1	HCGP-ST-CO_00163
CL1141Contig1	HCGP-ST-CO_00164
CL1142Contig1	HCGP-ST-CO_00165
CL1143Contig1	HCGP-ST-CO_00166
CL1144Contig1	HCGP-ST-CO_00167
CL1146Contig1	HCGP-ST-CO_00168
CL1147Contig1	HCGP-ST-CO_00169
CL1149Contig1	HCGP-ST-CO_00170
CL114Contig1	HCGP-ST-CO_00171
CL1151Contig1	HCGP-ST-CO_00172
CL1152Contig1	HCGP-ST-CO_00173
CL1153Contig1	HCGP-ST-CO_00174
CL1154Contig1	HCGP-ST-CO_00175
CL1155Contig1	HCGP-ST-CO_00176
CL1156Contig1	HCGP-ST-CO_00177
CL1157Contig1	HCGP-ST-CO_00178
CL1158Contig1	HCGP-ST-CO_00179
CL1159Contig1	HCGP-ST-CO_00180
CL115Contig1	HCGP-ST-CO_00181
CL1160Contig1	HCGP-ST-CO_00182
CL1161Contig1	HCGP-ST-CO_00183
CL1162Contig1	HCGP-ST-CO_00184
CL1163Contig1	HCGP-ST-CO_00185
CL1164Contig1	HCGP-ST-CO_00186
CL1165Contig1	HCGP-ST-CO_00187
CL1167Contig1	HCGP-ST-CO_00188
CL1168Contig1	HCGP-ST-CO_00189
CL1169Contig1	HCGP-ST-CO_00190
CL116Contig1	HCGP-ST-CO_00191
CL1170Contig1	HCGP-ST-CO_00192
CL1171Contig1	HCGP-ST-CO_00193
CL1172Contig1	HCGP-ST-CO_00194
CL1173Contig1	HCGP-ST-CO_00195
CL1174Contig1	HCGP-ST-CO_00196
CL1175Contig1	HCGP-ST-CO_00197
CL1176Contig1	HCGP-ST-CO_00198
CL1177Contig1	HCGP-ST-CO_00199
CL1179Contig1	HCGP-ST-CO_00200
CL117Contig1	HCGP-ST-CO_00201
CL1180Contig1	HCGP-ST-CO_00202
CL1181Contig1	HCGP-ST-CO_00203
CL1182Contig1	HCGP-ST-CO_00204
CL1183Contig1	HCGP-ST-CO_00205
CL1184Contig1	HCGP-ST-CO_00206
CL1185Contig1	HCGP-ST-CO_00207
CL1186Contig1	HCGP-ST-CO_00208
CL1187Contig1	HCGP-ST-CO_00209
CL1188Contig1	HCGP-ST-CO_00210
CL1189Contig1	HCGP-ST-CO_00211
CL118Contig1	HCGP-ST-CO_00212
CL118Contig2	HCGP-ST-CO_00213
CL1190Contig1	HCGP-ST-CO_00214
CL1193Contig1	HCGP-ST-CO_00215
CL1194Contig1	HCGP-ST-CO_00216
CL1195Contig1	HCGP-ST-CO_00217
CL1196Contig1	HCGP-ST-CO_00218
CL1197Contig1	HCGP-ST-CO_00219
CL1199Contig1	HCGP-ST-CO_00220
CL119Contig1	HCGP-ST-CO_00221
CL11Contig1	HCGP-ST-CO_00222
CL1200Contig1	HCGP-ST-CO_00223
CL1201Contig1	HCGP-ST-CO_00224
CL1202Contig1	HCGP-ST-CO_00225
CL1203Contig1	HCGP-ST-CO_00226
CL1204Contig1	HCGP-ST-CO_00227
CL1205Contig1	HCGP-ST-CO_00228
CL1206Contig1	HCGP-ST-CO_00229
CL1207Contig1	HCGP-ST-CO_00230
CL1208Contig1	HCGP-ST-CO_00231
CL1209Contig1	HCGP-ST-CO_00232
CL120Contig1	HCGP-ST-CO_00233
CL1210Contig1	HCGP-ST-CO_00234
CL1211Contig1	HCGP-ST-CO_00235
CL1212Contig1	HCGP-ST-CO_00236
CL1214Contig1	HCGP-ST-CO_00237
CL1215Contig1	HCGP-ST-CO_00238
CL1216Contig1	HCGP-ST-CO_00239
CL1217Contig1	HCGP-ST-CO_00240
CL1218Contig1	HCGP-ST-CO_00241
CL1219Contig1	HCGP-ST-CO_00242
CL121Contig1	HCGP-ST-CO_00243
CL1220Contig1	HCGP-ST-CO_00244
CL1221Contig1	HCGP-ST-CO_00245
CL1222Contig1	HCGP-ST-CO_00246
CL1223Contig1	HCGP-ST-CO_00247
CL1224Contig1	HCGP-ST-CO_00248
CL1225Contig1	HCGP-ST-CO_00249
CL1226Contig1	HCGP-ST-CO_00250
CL1227Contig1	HCGP-ST-CO_00251
CL1228Contig1	HCGP-ST-CO_00252
CL1229Contig1	HCGP-ST-CO_00253
CL122Contig1	HCGP-ST-CO_00254
CL122Contig2	HCGP-ST-CO_00255
CL122Contig3	HCGP-ST-CO_00256
CL1230Contig1	HCGP-ST-CO_00257
CL1231Contig1	HCGP-ST-CO_00258
CL1232Contig1	HCGP-ST-CO_00259
CL1233Contig1	HCGP-ST-CO_00260
CL1234Contig1	HCGP-ST-CO_00261
CL1235Contig1	HCGP-ST-CO_00262
CL1236Contig1	HCGP-ST-CO_00263
CL1237Contig1	HCGP-ST-CO_00264
CL1238Contig1	HCGP-ST-CO_00265
CL1239Contig1	HCGP-ST-CO_00266
CL123Contig1	HCGP-ST-CO_00267
CL1240Contig1	HCGP-ST-CO_00268
CL1241Contig1	HCGP-ST-CO_00269
CL1242Contig1	HCGP-ST-CO_00270
CL1243Contig1	HCGP-ST-CO_00271
CL1244Contig1	HCGP-ST-CO_00272
CL1245Contig1	HCGP-ST-CO_00273
CL1246Contig1	HCGP-ST-CO_00274
CL1247Contig1	HCGP-ST-CO_00275
CL1248Contig1	HCGP-ST-CO_00276
CL124Contig1	HCGP-ST-CO_00277
CL124Contig2	HCGP-ST-CO_00278
CL124Contig3	HCGP-ST-CO_00279
CL1250Contig1	HCGP-ST-CO_00280
CL1251Contig1	HCGP-ST-CO_00281
CL1252Contig1	HCGP-ST-CO_00282
CL1253Contig1	HCGP-ST-CO_00283
CL1254Contig1	HCGP-ST-CO_00284
CL1255Contig1	HCGP-ST-CO_00285
CL1256Contig1	HCGP-ST-CO_00286
CL1257Contig1	HCGP-ST-CO_00287
CL1258Contig1	HCGP-ST-CO_00288
CL1259Contig1	HCGP-ST-CO_00289
CL125Contig1	HCGP-ST-CO_00290
CL1260Contig1	HCGP-ST-CO_00291
CL1261Contig1	HCGP-ST-CO_00292
CL1262Contig1	HCGP-ST-CO_00293
CL1263Contig1	HCGP-ST-CO_00294
CL1264Contig1	HCGP-ST-CO_00295
CL1265Contig1	HCGP-ST-CO_00296
CL1266Contig1	HCGP-ST-CO_00297
CL1267Contig1	HCGP-ST-CO_00298
CL1268Contig1	HCGP-ST-CO_00299
CL1269Contig1	HCGP-ST-CO_00300
CL126Contig1	HCGP-ST-CO_00301
CL1270Contig1	HCGP-ST-CO_00302
CL1271Contig1	HCGP-ST-CO_00303
CL1272Contig1	HCGP-ST-CO_00304
CL1273Contig1	HCGP-ST-CO_00305
CL1274Contig1	HCGP-ST-CO_00306
CL1275Contig1	HCGP-ST-CO_00307
CL1276Contig1	HCGP-ST-CO_00308
CL1277Contig1	HCGP-ST-CO_00309
CL1278Contig1	HCGP-ST-CO_00310
CL1279Contig1	HCGP-ST-CO_00311
CL127Contig1	HCGP-ST-CO_00312
CL127Contig2	HCGP-ST-CO_00313
CL127Contig3	HCGP-ST-CO_00314
CL1280Contig1	HCGP-ST-CO_00315
CL1281Contig1	HCGP-ST-CO_00316
CL1282Contig1	HCGP-ST-CO_00317
CL1283Contig1	HCGP-ST-CO_00318
CL1284Contig1	HCGP-ST-CO_00319
CL1285Contig1	HCGP-ST-CO_00320
CL1286Contig1	HCGP-ST-CO_00321
CL1287Contig1	HCGP-ST-CO_00322
CL1288Contig1	HCGP-ST-CO_00323
CL1289Contig1	HCGP-ST-CO_00324
CL128Contig1	HCGP-ST-CO_00325
CL1290Contig1	HCGP-ST-CO_00326
CL1291Contig1	HCGP-ST-CO_00327
CL1292Contig1	HCGP-ST-CO_00328
CL1293Contig1	HCGP-ST-CO_00329
CL1294Contig1	HCGP-ST-CO_00330
CL1295Contig1	HCGP-ST-CO_00331
CL1296Contig1	HCGP-ST-CO_00332
CL1297Contig1	HCGP-ST-CO_00333
CL1299Contig1	HCGP-ST-CO_00334
CL129Contig1	HCGP-ST-CO_00335
CL12Contig1	HCGP-ST-CO_00336
CL12Contig2	HCGP-ST-CO_00337
CL1300Contig1	HCGP-ST-CO_00338
CL1301Contig1	HCGP-ST-CO_00339
CL1302Contig1	HCGP-ST-CO_00340
CL1303Contig1	HCGP-ST-CO_00341
CL1304Contig1	HCGP-ST-CO_00342
CL1305Contig1	HCGP-ST-CO_00343
CL1306Contig1	HCGP-ST-CO_00344
CL1307Contig1	HCGP-ST-CO_00345
CL1308Contig1	HCGP-ST-CO_00346
CL1309Contig1	HCGP-ST-CO_00347
CL130Contig1	HCGP-ST-CO_00348
CL1310Contig1	HCGP-ST-CO_00349
CL1311Contig1	HCGP-ST-CO_00350
CL1312Contig1	HCGP-ST-CO_00351
CL1313Contig1	HCGP-ST-CO_00352
CL1314Contig1	HCGP-ST-CO_00353
CL1315Contig1	HCGP-ST-CO_00354
CL1316Contig1	HCGP-ST-CO_00355
CL1317Contig1	HCGP-ST-CO_00356
CL1318Contig1	HCGP-ST-CO_00357
CL1319Contig1	HCGP-ST-CO_00358
CL131Contig1	HCGP-ST-CO_00359
CL1320Contig1	HCGP-ST-CO_00360
CL1321Contig1	HCGP-ST-CO_00361
CL1322Contig1	HCGP-ST-CO_00362
CL1323Contig1	HCGP-ST-CO_00363
CL1324Contig1	HCGP-ST-CO_00364
CL1325Contig1	HCGP-ST-CO_00365
CL1326Contig1	HCGP-ST-CO_00366
CL1327Contig1	HCGP-ST-CO_00367
CL1328Contig1	HCGP-ST-CO_00368
CL1329Contig1	HCGP-ST-CO_00369
CL1330Contig1	HCGP-ST-CO_00370
CL1331Contig1	HCGP-ST-CO_00371
CL1332Contig1	HCGP-ST-CO_00372
CL1333Contig1	HCGP-ST-CO_00373
CL1334Contig1	HCGP-ST-CO_00374
CL1335Contig1	HCGP-ST-CO_00375
CL1336Contig1	HCGP-ST-CO_00376
CL1337Contig1	HCGP-ST-CO_00377
CL1338Contig1	HCGP-ST-CO_00378
CL1339Contig1	HCGP-ST-CO_00379
CL133Contig1	HCGP-ST-CO_00380
CL1340Contig1	HCGP-ST-CO_00381
CL1341Contig1	HCGP-ST-CO_00382
CL1342Contig1	HCGP-ST-CO_00383
CL1343Contig1	HCGP-ST-CO_00384
CL1344Contig1	HCGP-ST-CO_00385
CL1345Contig1	HCGP-ST-CO_00386
CL1346Contig1	HCGP-ST-CO_00387
CL1347Contig1	HCGP-ST-CO_00388
CL1348Contig1	HCGP-ST-CO_00389
CL1349Contig1	HCGP-ST-CO_00390
CL134Contig1	HCGP-ST-CO_00391
CL1350Contig1	HCGP-ST-CO_00392
CL1351Contig1	HCGP-ST-CO_00393
CL1352Contig1	HCGP-ST-CO_00394
CL1353Contig1	HCGP-ST-CO_00395
CL1354Contig1	HCGP-ST-CO_00396
CL1355Contig1	HCGP-ST-CO_00397
CL1356Contig1	HCGP-ST-CO_00398
CL1357Contig1	HCGP-ST-CO_00399
CL1358Contig1	HCGP-ST-CO_00400
CL1359Contig1	HCGP-ST-CO_00401
CL135Contig1	HCGP-ST-CO_00402
CL1360Contig1	HCGP-ST-CO_00403
CL1361Contig1	HCGP-ST-CO_00404
CL1362Contig1	HCGP-ST-CO_00405
CL1363Contig1	HCGP-ST-CO_00406
CL1364Contig1	HCGP-ST-CO_00407
CL1365Contig1	HCGP-ST-CO_00408
CL1366Contig1	HCGP-ST-CO_00409
CL1367Contig1	HCGP-ST-CO_00410
CL1368Contig1	HCGP-ST-CO_00411
CL136Contig1	HCGP-ST-CO_00412
CL1370Contig1	HCGP-ST-CO_00413
CL1371Contig1	HCGP-ST-CO_00414
CL1372Contig1	HCGP-ST-CO_00415
CL1373Contig1	HCGP-ST-CO_00416
CL1374Contig1	HCGP-ST-CO_00417
CL1375Contig1	HCGP-ST-CO_00418
CL1376Contig1	HCGP-ST-CO_00419
CL1377Contig1	HCGP-ST-CO_00420
CL1378Contig1	HCGP-ST-CO_00421
CL1379Contig1	HCGP-ST-CO_00422
CL137Contig1	HCGP-ST-CO_00423
CL1380Contig1	HCGP-ST-CO_00424
CL1381Contig1	HCGP-ST-CO_00425
CL1382Contig1	HCGP-ST-CO_00426
CL1384Contig1	HCGP-ST-CO_00427
CL1385Contig1	HCGP-ST-CO_00428
CL1386Contig1	HCGP-ST-CO_00429
CL1387Contig1	HCGP-ST-CO_00430
CL1388Contig1	HCGP-ST-CO_00431
CL1389Contig1	HCGP-ST-CO_00432
CL138Contig1	HCGP-ST-CO_00433
CL1390Contig1	HCGP-ST-CO_00434
CL1391Contig1	HCGP-ST-CO_00435
CL1392Contig1	HCGP-ST-CO_00436
CL1393Contig1	HCGP-ST-CO_00437
CL1394Contig1	HCGP-ST-CO_00438
CL1395Contig1	HCGP-ST-CO_00439
CL1396Contig1	HCGP-ST-CO_00440
CL1397Contig1	HCGP-ST-CO_00441
CL1398Contig1	HCGP-ST-CO_00442
CL1399Contig1	HCGP-ST-CO_00443
CL139Contig1	HCGP-ST-CO_00444
CL13Contig1	HCGP-ST-CO_00445
CL1400Contig1	HCGP-ST-CO_00446
CL1401Contig1	HCGP-ST-CO_00447
CL1402Contig1	HCGP-ST-CO_00448
CL1403Contig1	HCGP-ST-CO_00449
CL1404Contig1	HCGP-ST-CO_00450
CL1405Contig1	HCGP-ST-CO_00451
CL1406Contig1	HCGP-ST-CO_00452
CL1407Contig1	HCGP-ST-CO_00453
CL1408Contig1	HCGP-ST-CO_00454
CL1409Contig1	HCGP-ST-CO_00455
CL140Contig1	HCGP-ST-CO_00456
CL1410Contig1	HCGP-ST-CO_00457
CL1411Contig1	HCGP-ST-CO_00458
CL1412Contig1	HCGP-ST-CO_00459
CL1413Contig1	HCGP-ST-CO_00460
CL1415Contig1	HCGP-ST-CO_00461
CL1416Contig1	HCGP-ST-CO_00462
CL1417Contig1	HCGP-ST-CO_00463
CL1418Contig1	HCGP-ST-CO_00464
CL1419Contig1	HCGP-ST-CO_00465
CL141Contig1	HCGP-ST-CO_00466
CL141Contig2	HCGP-ST-CO_00467
CL1420Contig1	HCGP-ST-CO_00468
CL1421Contig1	HCGP-ST-CO_00469
CL1422Contig1	HCGP-ST-CO_00470
CL1423Contig1	HCGP-ST-CO_00471
CL1424Contig1	HCGP-ST-CO_00472
CL1425Contig1	HCGP-ST-CO_00473
CL1426Contig1	HCGP-ST-CO_00474
CL1427Contig1	HCGP-ST-CO_00475
CL1428Contig1	HCGP-ST-CO_00476
CL1429Contig1	HCGP-ST-CO_00477
CL142Contig1	HCGP-ST-CO_00478
CL142Contig2	HCGP-ST-CO_00479
CL142Contig3	HCGP-ST-CO_00480
CL142Contig4	HCGP-ST-CO_00481
CL1430Contig1	HCGP-ST-CO_00482
CL1431Contig1	HCGP-ST-CO_00483
CL1432Contig1	HCGP-ST-CO_00484
CL1433Contig1	HCGP-ST-CO_00485
CL1434Contig1	HCGP-ST-CO_00486
CL1435Contig1	HCGP-ST-CO_00487
CL1436Contig1	HCGP-ST-CO_00488
CL1437Contig1	HCGP-ST-CO_00489
CL1438Contig1	HCGP-ST-CO_00490
CL1439Contig1	HCGP-ST-CO_00491
CL143Contig1	HCGP-ST-CO_00492
CL143Contig2	HCGP-ST-CO_00493
CL143Contig3	HCGP-ST-CO_00494
CL143Contig4	HCGP-ST-CO_00495
CL143Contig5	HCGP-ST-CO_00496
CL1440Contig1	HCGP-ST-CO_00497
CL1441Contig1	HCGP-ST-CO_00498
CL1442Contig1	HCGP-ST-CO_00499
CL1443Contig1	HCGP-ST-CO_00500
CL1444Contig1	HCGP-ST-CO_00501
CL1445Contig1	HCGP-ST-CO_00502
CL1446Contig1	HCGP-ST-CO_00503
CL1447Contig1	HCGP-ST-CO_00504
CL1448Contig1	HCGP-ST-CO_00505
CL1449Contig1	HCGP-ST-CO_00506
CL144Contig1	HCGP-ST-CO_00507
CL1450Contig1	HCGP-ST-CO_00508
CL1451Contig1	HCGP-ST-CO_00509
CL1452Contig1	HCGP-ST-CO_00510
CL1453Contig1	HCGP-ST-CO_00511
CL1454Contig1	HCGP-ST-CO_00512
CL1456Contig1	HCGP-ST-CO_00513
CL1457Contig1	HCGP-ST-CO_00514
CL1458Contig1	HCGP-ST-CO_00515
CL1459Contig1	HCGP-ST-CO_00516
CL145Contig1	HCGP-ST-CO_00517
CL1460Contig1	HCGP-ST-CO_00518
CL1461Contig1	HCGP-ST-CO_00519
CL1462Contig1	HCGP-ST-CO_00520
CL1463Contig1	HCGP-ST-CO_00521
CL1464Contig1	HCGP-ST-CO_00522
CL1465Contig1	HCGP-ST-CO_00523
CL1466Contig1	HCGP-ST-CO_00524
CL1467Contig1	HCGP-ST-CO_00525
CL1468Contig1	HCGP-ST-CO_00526
CL1469Contig1	HCGP-ST-CO_00527
CL146Contig1	HCGP-ST-CO_00528
CL1470Contig1	HCGP-ST-CO_00529
CL1471Contig1	HCGP-ST-CO_00530
CL1472Contig1	HCGP-ST-CO_00531
CL1473Contig1	HCGP-ST-CO_00532
CL1474Contig1	HCGP-ST-CO_00533
CL1475Contig1	HCGP-ST-CO_00534
CL1476Contig1	HCGP-ST-CO_00535
CL1477Contig1	HCGP-ST-CO_00536
CL1478Contig1	HCGP-ST-CO_00537
CL1479Contig1	HCGP-ST-CO_00538
CL147Contig1	HCGP-ST-CO_00539
CL1481Contig1	HCGP-ST-CO_00540
CL1482Contig1	HCGP-ST-CO_00541
CL1483Contig1	HCGP-ST-CO_00542
CL1484Contig1	HCGP-ST-CO_00543
CL1485Contig1	HCGP-ST-CO_00544
CL1486Contig1	HCGP-ST-CO_00545
CL1487Contig1	HCGP-ST-CO_00546
CL1488Contig1	HCGP-ST-CO_00547
CL1489Contig1	HCGP-ST-CO_00548
CL148Contig1	HCGP-ST-CO_00549
CL1490Contig1	HCGP-ST-CO_00550
CL1491Contig1	HCGP-ST-CO_00551
CL1492Contig1	HCGP-ST-CO_00552
CL1493Contig1	HCGP-ST-CO_00553
CL1494Contig1	HCGP-ST-CO_00554
CL1495Contig1	HCGP-ST-CO_00555
CL1496Contig1	HCGP-ST-CO_00556
CL1497Contig1	HCGP-ST-CO_00557
CL1498Contig1	HCGP-ST-CO_00558
CL1499Contig1	HCGP-ST-CO_00559
CL149Contig1	HCGP-ST-CO_00560
CL149Contig2	HCGP-ST-CO_00561
CL14Contig1	HCGP-ST-CO_00562
CL14Contig2	HCGP-ST-CO_00563
CL14Contig3	HCGP-ST-CO_00564
CL14Contig4	HCGP-ST-CO_00565
CL1500Contig1	HCGP-ST-CO_00566
CL1501Contig1	HCGP-ST-CO_00567
CL1502Contig1	HCGP-ST-CO_00568
CL1503Contig1	HCGP-ST-CO_00569
CL1504Contig1	HCGP-ST-CO_00570
CL1505Contig1	HCGP-ST-CO_00571
CL1506Contig1	HCGP-ST-CO_00572
CL1507Contig1	HCGP-ST-CO_00573
CL1508Contig1	HCGP-ST-CO_00574
CL1509Contig1	HCGP-ST-CO_00575
CL150Contig1	HCGP-ST-CO_00576
CL1510Contig1	HCGP-ST-CO_00577
CL1511Contig1	HCGP-ST-CO_00578
CL1512Contig1	HCGP-ST-CO_00579
CL1513Contig1	HCGP-ST-CO_00580
CL1514Contig1	HCGP-ST-CO_00581
CL1515Contig1	HCGP-ST-CO_00582
CL1516Contig1	HCGP-ST-CO_00583
CL1517Contig1	HCGP-ST-CO_00584
CL1518Contig1	HCGP-ST-CO_00585
CL1519Contig1	HCGP-ST-CO_00586
CL151Contig1	HCGP-ST-CO_00587
CL1520Contig1	HCGP-ST-CO_00588
CL1521Contig1	HCGP-ST-CO_00589
CL1522Contig1	HCGP-ST-CO_00590
CL1523Contig1	HCGP-ST-CO_00591
CL1524Contig1	HCGP-ST-CO_00592
CL1525Contig1	HCGP-ST-CO_00593
CL1526Contig1	HCGP-ST-CO_00594
CL1527Contig1	HCGP-ST-CO_00595
CL1528Contig1	HCGP-ST-CO_00596
CL1529Contig1	HCGP-ST-CO_00597
CL152Contig1	HCGP-ST-CO_00598
CL1530Contig1	HCGP-ST-CO_00599
CL1531Contig1	HCGP-ST-CO_00600
CL1532Contig1	HCGP-ST-CO_00601
CL1533Contig1	HCGP-ST-CO_00602
CL1534Contig1	HCGP-ST-CO_00603
CL1535Contig1	HCGP-ST-CO_00604
CL1536Contig1	HCGP-ST-CO_00605
CL1537Contig1	HCGP-ST-CO_00606
CL1538Contig1	HCGP-ST-CO_00607
CL1539Contig1	HCGP-ST-CO_00608
CL153Contig1	HCGP-ST-CO_00609
CL1540Contig1	HCGP-ST-CO_00610
CL1541Contig1	HCGP-ST-CO_00611
