#TGICL_NAME	CONTIG_NAME
CL1Contig427	HCGP-CT-CO_01611
CL1Contig428	HCGP-CT-CO_01612
CL1Contig429	HCGP-CT-CO_01613
CL1Contig43	HCGP-CT-CO_01614
CL1Contig430	HCGP-CT-CO_01615
CL1Contig431	HCGP-CT-CO_01616
CL1Contig432	HCGP-CT-CO_01617
CL1Contig433	HCGP-CT-CO_01618
CL1Contig434	HCGP-CT-CO_01619
CL1Contig435	HCGP-CT-CO_01620
CL1Contig436	HCGP-CT-CO_01621
CL1Contig437	HCGP-CT-CO_01622
CL1Contig438	HCGP-CT-CO_01623
CL1Contig439	HCGP-CT-CO_01624
CL1Contig44	HCGP-CT-CO_01625
CL1Contig440	HCGP-CT-CO_01626
CL1Contig441	HCGP-CT-CO_01627
CL1Contig442	HCGP-CT-CO_01628
CL1Contig443	HCGP-CT-CO_01629
CL1Contig444	HCGP-CT-CO_01630
CL1Contig445	HCGP-CT-CO_01631
CL1Contig446	HCGP-CT-CO_01632
CL1Contig447	HCGP-CT-CO_01633
CL1Contig448	HCGP-CT-CO_01634
CL1Contig449	HCGP-CT-CO_01635
CL1Contig45	HCGP-CT-CO_01636
CL1Contig450	HCGP-CT-CO_01637
CL1Contig451	HCGP-CT-CO_01638
CL1Contig452	HCGP-CT-CO_01639
CL1Contig453	HCGP-CT-CO_01640
CL1Contig454	HCGP-CT-CO_01641
CL1Contig455	HCGP-CT-CO_01642
CL1Contig456	HCGP-CT-CO_01643
CL1Contig457	HCGP-CT-CO_01644
CL1Contig458	HCGP-CT-CO_01645
CL1Contig459	HCGP-CT-CO_01646
CL1Contig46	HCGP-CT-CO_01647
CL1Contig460	HCGP-CT-CO_01648
CL1Contig461	HCGP-CT-CO_01649
CL1Contig462	HCGP-CT-CO_01650
CL1Contig463	HCGP-CT-CO_01651
CL1Contig464	HCGP-CT-CO_01652
CL1Contig465	HCGP-CT-CO_01653
CL1Contig466	HCGP-CT-CO_01654
CL1Contig467	HCGP-CT-CO_01655
CL1Contig468	HCGP-CT-CO_01656
CL1Contig469	HCGP-CT-CO_01657
CL1Contig47	HCGP-CT-CO_01658
CL1Contig471	HCGP-CT-CO_01659
CL1Contig472	HCGP-CT-CO_01660
CL1Contig473	HCGP-CT-CO_01661
CL1Contig474	HCGP-CT-CO_01662
CL1Contig475	HCGP-CT-CO_01663
CL1Contig476	HCGP-CT-CO_01664
CL1Contig477	HCGP-CT-CO_01665
CL1Contig478	HCGP-CT-CO_01666
CL1Contig479	HCGP-CT-CO_01667
CL1Contig48	HCGP-CT-CO_01668
CL1Contig480	HCGP-CT-CO_01669
CL1Contig481	HCGP-CT-CO_01670
CL1Contig482	HCGP-CT-CO_01671
CL1Contig483	HCGP-CT-CO_01672
CL1Contig484	HCGP-CT-CO_01673
CL1Contig485	HCGP-CT-CO_01674
CL1Contig486	HCGP-CT-CO_01675
CL1Contig487	HCGP-CT-CO_01676
CL1Contig488	HCGP-CT-CO_01677
CL1Contig489	HCGP-CT-CO_01678
CL1Contig49	HCGP-CT-CO_01679
CL1Contig490	HCGP-CT-CO_01680
CL1Contig491	HCGP-CT-CO_01681
CL1Contig492	HCGP-CT-CO_01682
CL1Contig493	HCGP-CT-CO_01683
CL1Contig494	HCGP-CT-CO_01684
CL1Contig495	HCGP-CT-CO_01685
CL1Contig496	HCGP-CT-CO_01686
CL1Contig497	HCGP-CT-CO_01687
CL1Contig498	HCGP-CT-CO_01688
CL1Contig499	HCGP-CT-CO_01689
CL1Contig5	HCGP-CT-CO_01690
CL1Contig50	HCGP-CT-CO_01691
CL1Contig500	HCGP-CT-CO_01692
CL1Contig501	HCGP-CT-CO_01693
CL1Contig502	HCGP-CT-CO_01694
CL1Contig503	HCGP-CT-CO_01695
CL1Contig504	HCGP-CT-CO_01696
CL1Contig505	HCGP-CT-CO_01697
CL1Contig506	HCGP-CT-CO_01698
CL1Contig507	HCGP-CT-CO_01699
CL1Contig508	HCGP-CT-CO_01700
CL1Contig509	HCGP-CT-CO_01701
CL1Contig51	HCGP-CT-CO_01702
CL1Contig510	HCGP-CT-CO_01703
CL1Contig511	HCGP-CT-CO_01704
CL1Contig512	HCGP-CT-CO_01705
CL1Contig513	HCGP-CT-CO_01706
CL1Contig514	HCGP-CT-CO_01707
CL1Contig515	HCGP-CT-CO_01708
CL1Contig516	HCGP-CT-CO_01709
CL1Contig517	HCGP-CT-CO_01710
CL1Contig518	HCGP-CT-CO_01711
CL1Contig519	HCGP-CT-CO_01712
CL1Contig52	HCGP-CT-CO_01713
CL1Contig520	HCGP-CT-CO_01714
CL1Contig521	HCGP-CT-CO_01715
CL1Contig522	HCGP-CT-CO_01716
CL1Contig523	HCGP-CT-CO_01717
CL1Contig524	HCGP-CT-CO_01718
CL1Contig525	HCGP-CT-CO_01719
CL1Contig526	HCGP-CT-CO_01720
CL1Contig527	HCGP-CT-CO_01721
CL1Contig528	HCGP-CT-CO_01722
CL1Contig529	HCGP-CT-CO_01723
CL1Contig53	HCGP-CT-CO_01724
CL1Contig530	HCGP-CT-CO_01725
CL1Contig531	HCGP-CT-CO_01726
CL1Contig532	HCGP-CT-CO_01727
CL1Contig533	HCGP-CT-CO_01728
CL1Contig534	HCGP-CT-CO_01729
CL1Contig535	HCGP-CT-CO_01730
CL1Contig536	HCGP-CT-CO_01731
CL1Contig537	HCGP-CT-CO_01732
CL1Contig538	HCGP-CT-CO_01733
CL1Contig539	HCGP-CT-CO_01734
CL1Contig54	HCGP-CT-CO_01735
CL1Contig540	HCGP-CT-CO_01736
CL1Contig541	HCGP-CT-CO_01737
CL1Contig542	HCGP-CT-CO_01738
CL1Contig543	HCGP-CT-CO_01739
CL1Contig544	HCGP-CT-CO_01740
CL1Contig545	HCGP-CT-CO_01741
CL1Contig546	HCGP-CT-CO_01742
CL1Contig547	HCGP-CT-CO_01743
CL1Contig548	HCGP-CT-CO_01744
CL1Contig549	HCGP-CT-CO_01745
CL1Contig55	HCGP-CT-CO_01746
CL1Contig550	HCGP-CT-CO_01747
CL1Contig551	HCGP-CT-CO_01748
CL1Contig552	HCGP-CT-CO_01749
CL1Contig553	HCGP-CT-CO_01750
CL1Contig554	HCGP-CT-CO_01751
CL1Contig555	HCGP-CT-CO_01752
CL1Contig556	HCGP-CT-CO_01753
CL1Contig557	HCGP-CT-CO_01754
CL1Contig558	HCGP-CT-CO_01755
CL1Contig56	HCGP-CT-CO_01756
CL1Contig560	HCGP-CT-CO_01757
CL1Contig561	HCGP-CT-CO_01758
CL1Contig562	HCGP-CT-CO_01759
CL1Contig563	HCGP-CT-CO_01760
CL1Contig564	HCGP-CT-CO_01761
CL1Contig565	HCGP-CT-CO_01762
CL1Contig566	HCGP-CT-CO_01763
CL1Contig568	HCGP-CT-CO_01764
CL1Contig569	HCGP-CT-CO_01765
CL1Contig57	HCGP-CT-CO_01766
CL1Contig570	HCGP-CT-CO_01767
CL1Contig571	HCGP-CT-CO_01768
CL1Contig572	HCGP-CT-CO_01769
CL1Contig573	HCGP-CT-CO_01770
CL1Contig574	HCGP-CT-CO_01771
CL1Contig575	HCGP-CT-CO_01772
CL1Contig576	HCGP-CT-CO_01773
CL1Contig577	HCGP-CT-CO_01774
CL1Contig578	HCGP-CT-CO_01775
CL1Contig579	HCGP-CT-CO_01776
CL1Contig58	HCGP-CT-CO_01777
CL1Contig580	HCGP-CT-CO_01778
CL1Contig581	HCGP-CT-CO_01779
CL1Contig582	HCGP-CT-CO_01780
CL1Contig583	HCGP-CT-CO_01781
CL1Contig584	HCGP-CT-CO_01782
CL1Contig585	HCGP-CT-CO_01783
CL1Contig586	HCGP-CT-CO_01784
CL1Contig587	HCGP-CT-CO_01785
CL1Contig588	HCGP-CT-CO_01786
CL1Contig589	HCGP-CT-CO_01787
CL1Contig590	HCGP-CT-CO_01788
CL1Contig591	HCGP-CT-CO_01789
CL1Contig592	HCGP-CT-CO_01790
CL1Contig593	HCGP-CT-CO_01791
CL1Contig594	HCGP-CT-CO_01792
CL1Contig595	HCGP-CT-CO_01793
CL1Contig596	HCGP-CT-CO_01794
CL1Contig597	HCGP-CT-CO_01795
CL1Contig598	HCGP-CT-CO_01796
CL1Contig599	HCGP-CT-CO_01797
CL1Contig60	HCGP-CT-CO_01798
CL1Contig600	HCGP-CT-CO_01799
CL1Contig601	HCGP-CT-CO_01800
CL1Contig602	HCGP-CT-CO_01801
CL1Contig603	HCGP-CT-CO_01802
CL1Contig61	HCGP-CT-CO_01803
CL1Contig62	HCGP-CT-CO_01804
CL1Contig63	HCGP-CT-CO_01805
CL1Contig64	HCGP-CT-CO_01806
CL1Contig65	HCGP-CT-CO_01807
CL1Contig66	HCGP-CT-CO_01808
CL1Contig67	HCGP-CT-CO_01809
CL1Contig68	HCGP-CT-CO_01810
CL1Contig69	HCGP-CT-CO_01811
CL1Contig7	HCGP-CT-CO_01812
CL1Contig70	HCGP-CT-CO_01813
CL1Contig71	HCGP-CT-CO_01814
CL1Contig72	HCGP-CT-CO_01815
CL1Contig73	HCGP-CT-CO_01816
CL1Contig74	HCGP-CT-CO_01817
CL1Contig75	HCGP-CT-CO_01818
CL1Contig76	HCGP-CT-CO_01819
CL1Contig77	HCGP-CT-CO_01820
CL1Contig78	HCGP-CT-CO_01821
CL1Contig79	HCGP-CT-CO_01822
CL1Contig8	HCGP-CT-CO_01823
CL1Contig80	HCGP-CT-CO_01824
CL1Contig81	HCGP-CT-CO_01825
CL1Contig82	HCGP-CT-CO_01826
CL1Contig83	HCGP-CT-CO_01827
CL1Contig84	HCGP-CT-CO_01828
CL1Contig85	HCGP-CT-CO_01829
CL1Contig86	HCGP-CT-CO_01830
CL1Contig87	HCGP-CT-CO_01831
CL1Contig88	HCGP-CT-CO_01832
CL1Contig89	HCGP-CT-CO_01833
CL1Contig9	HCGP-CT-CO_01834
CL1Contig90	HCGP-CT-CO_01835
CL1Contig91	HCGP-CT-CO_01836
CL1Contig92	HCGP-CT-CO_01837
CL1Contig93	HCGP-CT-CO_01838
CL1Contig94	HCGP-CT-CO_01839
CL1Contig95	HCGP-CT-CO_01840
CL1Contig96	HCGP-CT-CO_01841
CL1Contig97	HCGP-CT-CO_01842
CL1Contig98	HCGP-CT-CO_01843
CL1Contig99	HCGP-CT-CO_01844
CL2000Contig1	HCGP-CT-CO_01845
CL2001Contig1	HCGP-CT-CO_01846
CL2002Contig1	HCGP-CT-CO_01847
CL2003Contig1	HCGP-CT-CO_01848
CL2004Contig1	HCGP-CT-CO_01849
CL2005Contig1	HCGP-CT-CO_01850
CL2006Contig1	HCGP-CT-CO_01851
CL2007Contig1	HCGP-CT-CO_01852
CL2008Contig1	HCGP-CT-CO_01853
CL2009Contig1	HCGP-CT-CO_01854
CL200Contig1	HCGP-CT-CO_01855
CL2010Contig1	HCGP-CT-CO_01856
CL2011Contig1	HCGP-CT-CO_01857
CL2012Contig1	HCGP-CT-CO_01858
CL2013Contig1	HCGP-CT-CO_01859
CL2014Contig1	HCGP-CT-CO_01860
CL2015Contig1	HCGP-CT-CO_01861
CL2017Contig1	HCGP-CT-CO_01862
CL2018Contig1	HCGP-CT-CO_01863
CL2019Contig1	HCGP-CT-CO_01864
CL201Contig1	HCGP-CT-CO_01865
CL2020Contig1	HCGP-CT-CO_01866
CL2021Contig1	HCGP-CT-CO_01867
CL2022Contig1	HCGP-CT-CO_01868
CL2023Contig1	HCGP-CT-CO_01869
CL2024Contig1	HCGP-CT-CO_01870
CL2025Contig1	HCGP-CT-CO_01871
CL2026Contig1	HCGP-CT-CO_01872
CL2027Contig1	HCGP-CT-CO_01873
CL2028Contig1	HCGP-CT-CO_01874
CL2029Contig1	HCGP-CT-CO_01875
CL202Contig1	HCGP-CT-CO_01876
CL2030Contig1	HCGP-CT-CO_01877
CL2031Contig1	HCGP-CT-CO_01878
CL2032Contig1	HCGP-CT-CO_01879
CL2033Contig1	HCGP-CT-CO_01880
CL2034Contig1	HCGP-CT-CO_01881
CL2035Contig1	HCGP-CT-CO_01882
CL2036Contig1	HCGP-CT-CO_01883
CL2037Contig1	HCGP-CT-CO_01884
CL2038Contig1	HCGP-CT-CO_01885
CL2039Contig1	HCGP-CT-CO_01886
CL203Contig1	HCGP-CT-CO_01887
CL2040Contig1	HCGP-CT-CO_01888
CL2041Contig1	HCGP-CT-CO_01889
CL2042Contig1	HCGP-CT-CO_01890
CL2043Contig1	HCGP-CT-CO_01891
CL2044Contig1	HCGP-CT-CO_01892
CL2045Contig1	HCGP-CT-CO_01893
CL2046Contig1	HCGP-CT-CO_01894
CL2047Contig1	HCGP-CT-CO_01895
CL2048Contig1	HCGP-CT-CO_01896
CL2049Contig1	HCGP-CT-CO_01897
CL204Contig1	HCGP-CT-CO_01898
CL2050Contig1	HCGP-CT-CO_01899
CL2051Contig1	HCGP-CT-CO_01900
CL2052Contig1	HCGP-CT-CO_01901
CL2053Contig1	HCGP-CT-CO_01902
CL2055Contig1	HCGP-CT-CO_01903
CL2056Contig1	HCGP-CT-CO_01904
CL2057Contig1	HCGP-CT-CO_01905
CL2058Contig1	HCGP-CT-CO_01906
CL2059Contig1	HCGP-CT-CO_01907
CL205Contig1	HCGP-CT-CO_01908
CL2060Contig1	HCGP-CT-CO_01909
CL2061Contig1	HCGP-CT-CO_01910
CL2062Contig1	HCGP-CT-CO_01911
CL2063Contig1	HCGP-CT-CO_01912
CL2064Contig1	HCGP-CT-CO_01913
CL2065Contig1	HCGP-CT-CO_01914
CL2065Contig2	HCGP-CT-CO_01915
CL2066Contig1	HCGP-CT-CO_01916
CL2067Contig1	HCGP-CT-CO_01917
CL2068Contig1	HCGP-CT-CO_01918
CL2069Contig1	HCGP-CT-CO_01919
CL206Contig1	HCGP-CT-CO_01920
CL206Contig2	HCGP-CT-CO_01921
CL2070Contig1	HCGP-CT-CO_01922
CL2071Contig1	HCGP-CT-CO_01923
CL2072Contig1	HCGP-CT-CO_01924
CL2073Contig1	HCGP-CT-CO_01925
CL2074Contig1	HCGP-CT-CO_01926
CL2075Contig1	HCGP-CT-CO_01927
CL2076Contig1	HCGP-CT-CO_01928
CL2077Contig1	HCGP-CT-CO_01929
CL2078Contig1	HCGP-CT-CO_01930
CL2079Contig1	HCGP-CT-CO_01931
CL2080Contig1	HCGP-CT-CO_01932
CL2081Contig1	HCGP-CT-CO_01933
CL2082Contig1	HCGP-CT-CO_01934
CL2084Contig1	HCGP-CT-CO_01935
CL2085Contig1	HCGP-CT-CO_01936
CL2086Contig1	HCGP-CT-CO_01937
CL2087Contig1	HCGP-CT-CO_01938
CL2088Contig1	HCGP-CT-CO_01939
CL2089Contig1	HCGP-CT-CO_01940
CL208Contig1	HCGP-CT-CO_01941
CL208Contig2	HCGP-CT-CO_01942
CL2090Contig1	HCGP-CT-CO_01943
CL2091Contig1	HCGP-CT-CO_01944
CL2092Contig1	HCGP-CT-CO_01945
CL2093Contig1	HCGP-CT-CO_01946
CL2095Contig1	HCGP-CT-CO_01947
CL2096Contig1	HCGP-CT-CO_01948
CL2097Contig1	HCGP-CT-CO_01949
CL2098Contig1	HCGP-CT-CO_01950
CL2099Contig1	HCGP-CT-CO_01951
CL209Contig1	HCGP-CT-CO_01952
CL20Contig1	HCGP-CT-CO_01953
CL20Contig2	HCGP-CT-CO_01954
CL2100Contig1	HCGP-CT-CO_01955
CL2101Contig1	HCGP-CT-CO_01956
CL2102Contig1	HCGP-CT-CO_01957
CL2103Contig1	HCGP-CT-CO_01958
CL2104Contig1	HCGP-CT-CO_01959
CL2105Contig1	HCGP-CT-CO_01960
CL2106Contig1	HCGP-CT-CO_01961
CL2107Contig1	HCGP-CT-CO_01962
CL2108Contig1	HCGP-CT-CO_01963
CL2109Contig1	HCGP-CT-CO_01964
CL210Contig1	HCGP-CT-CO_01965
CL2110Contig1	HCGP-CT-CO_01966
CL2111Contig1	HCGP-CT-CO_01967
CL2112Contig1	HCGP-CT-CO_01968
CL2113Contig1	HCGP-CT-CO_01969
CL2114Contig1	HCGP-CT-CO_01970
CL2114Contig2	HCGP-CT-CO_01971
CL2115Contig1	HCGP-CT-CO_01972
CL2116Contig1	HCGP-CT-CO_01973
CL2117Contig1	HCGP-CT-CO_01974
CL2118Contig1	HCGP-CT-CO_01975
CL2119Contig1	HCGP-CT-CO_01976
CL2120Contig1	HCGP-CT-CO_01977
CL2121Contig1	HCGP-CT-CO_01978
CL2122Contig1	HCGP-CT-CO_01979
CL2123Contig1	HCGP-CT-CO_01980
CL2124Contig1	HCGP-CT-CO_01981
CL2125Contig1	HCGP-CT-CO_01982
CL2127Contig1	HCGP-CT-CO_01983
CL2128Contig1	HCGP-CT-CO_01984
CL2129Contig1	HCGP-CT-CO_01985
CL212Contig1	HCGP-CT-CO_01986
CL2130Contig1	HCGP-CT-CO_01987
CL2131Contig1	HCGP-CT-CO_01988
CL2132Contig1	HCGP-CT-CO_01989
CL2133Contig1	HCGP-CT-CO_01990
CL2134Contig1	HCGP-CT-CO_01991
CL2135Contig1	HCGP-CT-CO_01992
CL2136Contig1	HCGP-CT-CO_01993
CL2137Contig1	HCGP-CT-CO_01994
CL2138Contig1	HCGP-CT-CO_01995
CL2138Contig2	HCGP-CT-CO_01996
CL2139Contig1	HCGP-CT-CO_01997
CL213Contig1	HCGP-CT-CO_01998
CL213Contig2	HCGP-CT-CO_01999
CL213Contig3	HCGP-CT-CO_02000
CL2140Contig1	HCGP-CT-CO_02001
CL2141Contig1	HCGP-CT-CO_02002
CL2142Contig1	HCGP-CT-CO_02003
CL2143Contig1	HCGP-CT-CO_02004
CL2144Contig1	HCGP-CT-CO_02005
CL2145Contig1	HCGP-CT-CO_02006
CL2146Contig1	HCGP-CT-CO_02007
CL2147Contig1	HCGP-CT-CO_02008
CL2148Contig1	HCGP-CT-CO_02009
CL2149Contig1	HCGP-CT-CO_02010
CL214Contig1	HCGP-CT-CO_02011
CL2150Contig1	HCGP-CT-CO_02012
CL2151Contig1	HCGP-CT-CO_02013
CL2152Contig1	HCGP-CT-CO_02014
CL2153Contig1	HCGP-CT-CO_02015
CL2154Contig1	HCGP-CT-CO_02016
CL2155Contig1	HCGP-CT-CO_02017
CL2156Contig1	HCGP-CT-CO_02018
CL2156Contig2	HCGP-CT-CO_02019
CL2157Contig1	HCGP-CT-CO_02020
CL2158Contig1	HCGP-CT-CO_02021
CL2159Contig1	HCGP-CT-CO_02022
CL2159Contig2	HCGP-CT-CO_02023
CL215Contig1	HCGP-CT-CO_02024
CL2160Contig1	HCGP-CT-CO_02025
CL2161Contig1	HCGP-CT-CO_02026
CL2162Contig1	HCGP-CT-CO_02027
CL2163Contig1	HCGP-CT-CO_02028
CL2164Contig1	HCGP-CT-CO_02029
CL2165Contig1	HCGP-CT-CO_02030
CL2166Contig1	HCGP-CT-CO_02031
CL2167Contig1	HCGP-CT-CO_02032
CL2168Contig1	HCGP-CT-CO_02033
CL2169Contig1	HCGP-CT-CO_02034
CL216Contig1	HCGP-CT-CO_02035
CL2170Contig1	HCGP-CT-CO_02036
CL2171Contig1	HCGP-CT-CO_02037
CL2172Contig1	HCGP-CT-CO_02038
CL2173Contig1	HCGP-CT-CO_02039
CL2174Contig1	HCGP-CT-CO_02040
CL2175Contig1	HCGP-CT-CO_02041
CL2176Contig1	HCGP-CT-CO_02042
CL2177Contig1	HCGP-CT-CO_02043
CL2179Contig1	HCGP-CT-CO_02044
CL217Contig1	HCGP-CT-CO_02045
CL2181Contig1	HCGP-CT-CO_02046
CL2182Contig1	HCGP-CT-CO_02047
CL2183Contig1	HCGP-CT-CO_02048
CL2184Contig1	HCGP-CT-CO_02049
CL2185Contig1	HCGP-CT-CO_02050
CL2186Contig1	HCGP-CT-CO_02051
CL2187Contig1	HCGP-CT-CO_02052
CL2188Contig1	HCGP-CT-CO_02053
CL2189Contig1	HCGP-CT-CO_02054
CL218Contig1	HCGP-CT-CO_02055
CL2190Contig1	HCGP-CT-CO_02056
CL2191Contig1	HCGP-CT-CO_02057
CL2193Contig1	HCGP-CT-CO_02058
CL2194Contig1	HCGP-CT-CO_02059
CL2195Contig1	HCGP-CT-CO_02060
CL2196Contig1	HCGP-CT-CO_02061
CL2197Contig1	HCGP-CT-CO_02062
CL2198Contig1	HCGP-CT-CO_02063
CL2199Contig1	HCGP-CT-CO_02064
CL2199Contig2	HCGP-CT-CO_02065
CL219Contig1	HCGP-CT-CO_02066
CL219Contig2	HCGP-CT-CO_02067
CL21Contig1	HCGP-CT-CO_02068
CL21Contig2	HCGP-CT-CO_02069
CL21Contig3	HCGP-CT-CO_02070
CL21Contig4	HCGP-CT-CO_02071
CL21Contig5	HCGP-CT-CO_02072
CL2200Contig1	HCGP-CT-CO_02073
CL2201Contig1	HCGP-CT-CO_02074
CL2202Contig1	HCGP-CT-CO_02075
CL2203Contig1	HCGP-CT-CO_02076
CL2204Contig1	HCGP-CT-CO_02077
CL2205Contig1	HCGP-CT-CO_02078
CL2206Contig1	HCGP-CT-CO_02079
CL2207Contig1	HCGP-CT-CO_02080
CL2208Contig1	HCGP-CT-CO_02081
CL2209Contig1	HCGP-CT-CO_02082
CL220Contig1	HCGP-CT-CO_02083
CL2210Contig1	HCGP-CT-CO_02084
CL2211Contig1	HCGP-CT-CO_02085
CL2212Contig1	HCGP-CT-CO_02086
CL2213Contig1	HCGP-CT-CO_02087
CL2214Contig1	HCGP-CT-CO_02088
CL2216Contig1	HCGP-CT-CO_02089
CL2217Contig1	HCGP-CT-CO_02090
CL2218Contig1	HCGP-CT-CO_02091
CL221Contig1	HCGP-CT-CO_02092
CL2220Contig1	HCGP-CT-CO_02093
CL2221Contig1	HCGP-CT-CO_02094
CL2222Contig1	HCGP-CT-CO_02095
CL2223Contig1	HCGP-CT-CO_02096
CL2224Contig1	HCGP-CT-CO_02097
CL2225Contig1	HCGP-CT-CO_02098
CL2226Contig1	HCGP-CT-CO_02099
CL2227Contig1	HCGP-CT-CO_02100
CL2228Contig1	HCGP-CT-CO_02101
CL2229Contig1	HCGP-CT-CO_02102
CL222Contig1	HCGP-CT-CO_02103
CL2230Contig1	HCGP-CT-CO_02104
CL2231Contig1	HCGP-CT-CO_02105
CL2232Contig1	HCGP-CT-CO_02106
CL2233Contig1	HCGP-CT-CO_02107
CL2234Contig1	HCGP-CT-CO_02108
CL2235Contig1	HCGP-CT-CO_02109
CL2236Contig1	HCGP-CT-CO_02110
CL2237Contig1	HCGP-CT-CO_02111
CL2238Contig1	HCGP-CT-CO_02112
CL2239Contig1	HCGP-CT-CO_02113
CL2240Contig1	HCGP-CT-CO_02114
CL2241Contig1	HCGP-CT-CO_02115
CL2242Contig1	HCGP-CT-CO_02116
CL2243Contig1	HCGP-CT-CO_02117
CL2244Contig1	HCGP-CT-CO_02118
CL2245Contig1	HCGP-CT-CO_02119
CL2246Contig1	HCGP-CT-CO_02120
CL2247Contig1	HCGP-CT-CO_02121
CL2248Contig1	HCGP-CT-CO_02122
CL2249Contig1	HCGP-CT-CO_02123
CL224Contig1	HCGP-CT-CO_02124
CL2250Contig1	HCGP-CT-CO_02125
CL2251Contig1	HCGP-CT-CO_02126
CL2252Contig1	HCGP-CT-CO_02127
CL2253Contig1	HCGP-CT-CO_02128
CL2254Contig1	HCGP-CT-CO_02129
CL2255Contig1	HCGP-CT-CO_02130
CL2256Contig1	HCGP-CT-CO_02131
CL2257Contig1	HCGP-CT-CO_02132
CL2258Contig1	HCGP-CT-CO_02133
CL2259Contig1	HCGP-CT-CO_02134
CL2260Contig1	HCGP-CT-CO_02135
CL2261Contig1	HCGP-CT-CO_02136
CL2262Contig1	HCGP-CT-CO_02137
CL2263Contig1	HCGP-CT-CO_02138
CL2264Contig1	HCGP-CT-CO_02139
CL2265Contig1	HCGP-CT-CO_02140
CL2266Contig1	HCGP-CT-CO_02141
CL2267Contig1	HCGP-CT-CO_02142
CL2268Contig1	HCGP-CT-CO_02143
CL226Contig1	HCGP-CT-CO_02144
CL226Contig2	HCGP-CT-CO_02145
CL226Contig3	HCGP-CT-CO_02146
CL2270Contig1	HCGP-CT-CO_02147
CL2271Contig1	HCGP-CT-CO_02148
CL2272Contig1	HCGP-CT-CO_02149
CL2273Contig1	HCGP-CT-CO_02150
CL2274Contig1	HCGP-CT-CO_02151
CL2275Contig1	HCGP-CT-CO_02152
CL2276Contig1	HCGP-CT-CO_02153
CL2277Contig1	HCGP-CT-CO_02154
CL2278Contig1	HCGP-CT-CO_02155
CL2279Contig1	HCGP-CT-CO_02156
CL227Contig1	HCGP-CT-CO_02157
CL227Contig2	HCGP-CT-CO_02158
CL227Contig4	HCGP-CT-CO_02159
CL2280Contig1	HCGP-CT-CO_02160
CL2281Contig1	HCGP-CT-CO_02161
CL2282Contig1	HCGP-CT-CO_02162
CL2283Contig1	HCGP-CT-CO_02163
CL2284Contig1	HCGP-CT-CO_02164
CL2285Contig1	HCGP-CT-CO_02165
CL2286Contig1	HCGP-CT-CO_02166
CL2287Contig1	HCGP-CT-CO_02167
CL2288Contig1	HCGP-CT-CO_02168
CL2289Contig1	HCGP-CT-CO_02169
CL228Contig1	HCGP-CT-CO_02170
CL2290Contig1	HCGP-CT-CO_02171
CL2291Contig1	HCGP-CT-CO_02172
CL2292Contig1	HCGP-CT-CO_02173
CL2293Contig1	HCGP-CT-CO_02174
CL2294Contig1	HCGP-CT-CO_02175
CL2295Contig1	HCGP-CT-CO_02176
CL2296Contig1	HCGP-CT-CO_02177
CL2297Contig1	HCGP-CT-CO_02178
CL2298Contig1	HCGP-CT-CO_02179
CL2299Contig1	HCGP-CT-CO_02180
CL229Contig1	HCGP-CT-CO_02181
CL229Contig2	HCGP-CT-CO_02182
CL22Contig1	HCGP-CT-CO_02183
CL22Contig2	HCGP-CT-CO_02184
CL2300Contig1	HCGP-CT-CO_02185
CL2301Contig1	HCGP-CT-CO_02186
CL2302Contig1	HCGP-CT-CO_02187
CL2303Contig1	HCGP-CT-CO_02188
CL2304Contig1	HCGP-CT-CO_02189
CL2305Contig1	HCGP-CT-CO_02190
CL2306Contig1	HCGP-CT-CO_02191
CL2307Contig1	HCGP-CT-CO_02192
CL2308Contig1	HCGP-CT-CO_02193
CL2309Contig1	HCGP-CT-CO_02194
CL230Contig1	HCGP-CT-CO_02195
CL2310Contig1	HCGP-CT-CO_02196
CL2311Contig1	HCGP-CT-CO_02197
CL2312Contig1	HCGP-CT-CO_02198
CL2314Contig1	HCGP-CT-CO_02199
CL2315Contig1	HCGP-CT-CO_02200
CL2316Contig1	HCGP-CT-CO_02201
CL2317Contig1	HCGP-CT-CO_02202
CL2318Contig1	HCGP-CT-CO_02203
CL2319Contig1	HCGP-CT-CO_02204
CL231Contig1	HCGP-CT-CO_02205
CL2320Contig1	HCGP-CT-CO_02206
CL2321Contig1	HCGP-CT-CO_02207
CL2322Contig1	HCGP-CT-CO_02208
CL2323Contig1	HCGP-CT-CO_02209
CL2324Contig1	HCGP-CT-CO_02210
CL2325Contig1	HCGP-CT-CO_02211
CL2326Contig1	HCGP-CT-CO_02212
CL2327Contig1	HCGP-CT-CO_02213
CL2328Contig1	HCGP-CT-CO_02214
CL2329Contig1	HCGP-CT-CO_02215
CL232Contig1	HCGP-CT-CO_02216
CL2330Contig1	HCGP-CT-CO_02217
CL2331Contig1	HCGP-CT-CO_02218
CL2332Contig1	HCGP-CT-CO_02219
CL2333Contig1	HCGP-CT-CO_02220
CL2334Contig1	HCGP-CT-CO_02221
CL2335Contig1	HCGP-CT-CO_02222
CL2336Contig1	HCGP-CT-CO_02223
CL2337Contig1	HCGP-CT-CO_02224
CL2338Contig1	HCGP-CT-CO_02225
CL2339Contig1	HCGP-CT-CO_02226
CL233Contig1	HCGP-CT-CO_02227
CL2341Contig1	HCGP-CT-CO_02228
CL2342Contig1	HCGP-CT-CO_02229
CL2343Contig1	HCGP-CT-CO_02230
