#TGICL_NAME	CONTIG_NAME
CL1107Contig1	HCGP-CT-CO_00140
CL1108Contig1	HCGP-CT-CO_00141
CL1108Contig2	HCGP-CT-CO_00142
CL1109Contig1	HCGP-CT-CO_00143
CL110Contig1	HCGP-CT-CO_00144
CL110Contig2	HCGP-CT-CO_00145
CL110Contig3	HCGP-CT-CO_00146
CL1110Contig1	HCGP-CT-CO_00147
CL1111Contig1	HCGP-CT-CO_00148
CL1112Contig1	HCGP-CT-CO_00149
CL1113Contig1	HCGP-CT-CO_00150
CL1114Contig1	HCGP-CT-CO_00151
CL1115Contig1	HCGP-CT-CO_00152
CL1115Contig2	HCGP-CT-CO_00153
CL1116Contig1	HCGP-CT-CO_00154
CL1117Contig1	HCGP-CT-CO_00155
CL1118Contig1	HCGP-CT-CO_00156
CL1119Contig1	HCGP-CT-CO_00157
CL111Contig1	HCGP-CT-CO_00158
CL1120Contig1	HCGP-CT-CO_00159
CL1121Contig1	HCGP-CT-CO_00160
CL1122Contig1	HCGP-CT-CO_00161
CL1123Contig1	HCGP-CT-CO_00162
CL1124Contig1	HCGP-CT-CO_00163
CL1125Contig1	HCGP-CT-CO_00164
CL1126Contig1	HCGP-CT-CO_00165
CL1127Contig1	HCGP-CT-CO_00166
CL1128Contig1	HCGP-CT-CO_00167
CL1129Contig1	HCGP-CT-CO_00168
CL112Contig1	HCGP-CT-CO_00169
CL112Contig2	HCGP-CT-CO_00170
CL112Contig3	HCGP-CT-CO_00171
CL1130Contig1	HCGP-CT-CO_00172
CL1131Contig1	HCGP-CT-CO_00173
CL1132Contig1	HCGP-CT-CO_00174
CL1133Contig1	HCGP-CT-CO_00175
CL1135Contig1	HCGP-CT-CO_00176
CL1135Contig2	HCGP-CT-CO_00177
CL1136Contig1	HCGP-CT-CO_00178
CL1137Contig1	HCGP-CT-CO_00179
CL1138Contig1	HCGP-CT-CO_00180
CL1139Contig1	HCGP-CT-CO_00181
CL113Contig1	HCGP-CT-CO_00182
CL113Contig2	HCGP-CT-CO_00183
CL1140Contig1	HCGP-CT-CO_00184
CL1140Contig2	HCGP-CT-CO_00185
CL1141Contig1	HCGP-CT-CO_00186
CL1142Contig1	HCGP-CT-CO_00187
CL1143Contig1	HCGP-CT-CO_00188
CL1144Contig1	HCGP-CT-CO_00189
CL1145Contig1	HCGP-CT-CO_00190
CL1146Contig1	HCGP-CT-CO_00191
CL1147Contig1	HCGP-CT-CO_00192
CL1148Contig1	HCGP-CT-CO_00193
CL1149Contig1	HCGP-CT-CO_00194
CL114Contig1	HCGP-CT-CO_00195
CL114Contig2	HCGP-CT-CO_00196
CL114Contig3	HCGP-CT-CO_00197
CL114Contig4	HCGP-CT-CO_00198
CL1150Contig1	HCGP-CT-CO_00199
CL1151Contig1	HCGP-CT-CO_00200
CL1152Contig1	HCGP-CT-CO_00201
CL1153Contig1	HCGP-CT-CO_00202
CL1154Contig1	HCGP-CT-CO_00203
CL1155Contig1	HCGP-CT-CO_00204
CL1156Contig1	HCGP-CT-CO_00205
CL1157Contig1	HCGP-CT-CO_00206
CL1158Contig1	HCGP-CT-CO_00207
CL1158Contig2	HCGP-CT-CO_00208
CL1159Contig1	HCGP-CT-CO_00209
CL115Contig1	HCGP-CT-CO_00210
CL1160Contig1	HCGP-CT-CO_00211
CL1161Contig1	HCGP-CT-CO_00212
CL1162Contig1	HCGP-CT-CO_00213
CL1163Contig1	HCGP-CT-CO_00214
CL1164Contig1	HCGP-CT-CO_00215
CL1165Contig1	HCGP-CT-CO_00216
CL1166Contig1	HCGP-CT-CO_00217
CL1166Contig2	HCGP-CT-CO_00218
CL1167Contig1	HCGP-CT-CO_00219
CL1168Contig1	HCGP-CT-CO_00220
CL1169Contig1	HCGP-CT-CO_00221
CL1169Contig2	HCGP-CT-CO_00222
CL116Contig1	HCGP-CT-CO_00223
CL1170Contig1	HCGP-CT-CO_00224
CL1171Contig1	HCGP-CT-CO_00225
CL1172Contig1	HCGP-CT-CO_00226
CL1173Contig1	HCGP-CT-CO_00227
CL1174Contig1	HCGP-CT-CO_00228
CL1176Contig1	HCGP-CT-CO_00229
CL1177Contig1	HCGP-CT-CO_00230
CL1178Contig1	HCGP-CT-CO_00231
CL1179Contig1	HCGP-CT-CO_00232
