#TGICL_NAME	CONTIG_NAME
CL157Contig1	HCGP-EN-CO_00608
CL1580Contig1	HCGP-EN-CO_00609
CL1581Contig1	HCGP-EN-CO_00610
CL1582Contig1	HCGP-EN-CO_00611
CL1583Contig1	HCGP-EN-CO_00612
CL1584Contig1	HCGP-EN-CO_00613
CL1585Contig1	HCGP-EN-CO_00614
CL1586Contig1	HCGP-EN-CO_00615
CL1587Contig1	HCGP-EN-CO_00616
CL1589Contig1	HCGP-EN-CO_00617
CL158Contig1	HCGP-EN-CO_00618
CL1590Contig1	HCGP-EN-CO_00619
CL1591Contig1	HCGP-EN-CO_00620
CL1592Contig1	HCGP-EN-CO_00621
CL1593Contig1	HCGP-EN-CO_00622
CL1594Contig1	HCGP-EN-CO_00623
CL1595Contig1	HCGP-EN-CO_00624
CL1596Contig1	HCGP-EN-CO_00625
CL1597Contig1	HCGP-EN-CO_00626
CL1598Contig1	HCGP-EN-CO_00627
CL1599Contig1	HCGP-EN-CO_00628
CL159Contig1	HCGP-EN-CO_00629
CL15Contig1	HCGP-EN-CO_00630
CL15Contig2	HCGP-EN-CO_00631
CL1600Contig1	HCGP-EN-CO_00632
CL1601Contig1	HCGP-EN-CO_00633
CL1602Contig1	HCGP-EN-CO_00634
CL1603Contig1	HCGP-EN-CO_00635
CL1605Contig1	HCGP-EN-CO_00636
CL1606Contig1	HCGP-EN-CO_00637
CL1607Contig1	HCGP-EN-CO_00638
CL1608Contig1	HCGP-EN-CO_00639
CL1609Contig1	HCGP-EN-CO_00640
CL160Contig1	HCGP-EN-CO_00641
CL1610Contig1	HCGP-EN-CO_00642
CL1611Contig1	HCGP-EN-CO_00643
CL1612Contig1	HCGP-EN-CO_00644
CL1613Contig1	HCGP-EN-CO_00645
CL1615Contig1	HCGP-EN-CO_00646
CL1616Contig1	HCGP-EN-CO_00647
CL1617Contig1	HCGP-EN-CO_00648
CL1618Contig1	HCGP-EN-CO_00649
CL1619Contig1	HCGP-EN-CO_00650
CL161Contig1	HCGP-EN-CO_00651
CL1620Contig1	HCGP-EN-CO_00652
CL1621Contig1	HCGP-EN-CO_00653
CL1622Contig1	HCGP-EN-CO_00654
CL1623Contig1	HCGP-EN-CO_00655
CL1624Contig1	HCGP-EN-CO_00656
CL1625Contig1	HCGP-EN-CO_00657
CL1626Contig1	HCGP-EN-CO_00658
CL1627Contig1	HCGP-EN-CO_00659
CL1628Contig1	HCGP-EN-CO_00660
CL1629Contig1	HCGP-EN-CO_00661
CL162Contig1	HCGP-EN-CO_00662
CL1630Contig1	HCGP-EN-CO_00663
CL1631Contig1	HCGP-EN-CO_00664
CL1632Contig1	HCGP-EN-CO_00665
CL1633Contig1	HCGP-EN-CO_00666
CL1634Contig1	HCGP-EN-CO_00667
CL1635Contig1	HCGP-EN-CO_00668
CL1637Contig1	HCGP-EN-CO_00669
CL1638Contig1	HCGP-EN-CO_00670
CL1639Contig1	HCGP-EN-CO_00671
CL163Contig1	HCGP-EN-CO_00672
CL1640Contig1	HCGP-EN-CO_00673
CL1641Contig1	HCGP-EN-CO_00674
CL1642Contig1	HCGP-EN-CO_00675
CL1643Contig1	HCGP-EN-CO_00676
CL1644Contig1	HCGP-EN-CO_00677
CL1645Contig1	HCGP-EN-CO_00678
CL1646Contig1	HCGP-EN-CO_00679
CL1648Contig1	HCGP-EN-CO_00680
CL1649Contig1	HCGP-EN-CO_00681
CL164Contig1	HCGP-EN-CO_00682
CL164Contig2	HCGP-EN-CO_00683
CL1650Contig1	HCGP-EN-CO_00684
CL1651Contig1	HCGP-EN-CO_00685
CL1653Contig1	HCGP-EN-CO_00686
CL1654Contig1	HCGP-EN-CO_00687
CL1655Contig1	HCGP-EN-CO_00688
CL1656Contig1	HCGP-EN-CO_00689
CL1657Contig1	HCGP-EN-CO_00690
CL1658Contig1	HCGP-EN-CO_00691
CL1659Contig1	HCGP-EN-CO_00692
CL165Contig1	HCGP-EN-CO_00693
CL1660Contig1	HCGP-EN-CO_00694
CL1661Contig1	HCGP-EN-CO_00695
CL1662Contig1	HCGP-EN-CO_00696
CL1663Contig1	HCGP-EN-CO_00697
CL1664Contig1	HCGP-EN-CO_00698
CL1665Contig1	HCGP-EN-CO_00699
CL1666Contig1	HCGP-EN-CO_00700
CL1667Contig1	HCGP-EN-CO_00701
CL1668Contig1	HCGP-EN-CO_00702
CL1669Contig1	HCGP-EN-CO_00703
CL166Contig1	HCGP-EN-CO_00704
CL166Contig2	HCGP-EN-CO_00705
CL1670Contig1	HCGP-EN-CO_00706
CL1671Contig1	HCGP-EN-CO_00707
CL1672Contig1	HCGP-EN-CO_00708
CL1673Contig1	HCGP-EN-CO_00709
CL1674Contig1	HCGP-EN-CO_00710
CL1675Contig1	HCGP-EN-CO_00711
CL1676Contig1	HCGP-EN-CO_00712
CL1677Contig1	HCGP-EN-CO_00713
CL1678Contig1	HCGP-EN-CO_00714
CL1679Contig1	HCGP-EN-CO_00715
CL167Contig1	HCGP-EN-CO_00716
CL1680Contig1	HCGP-EN-CO_00717
CL1682Contig1	HCGP-EN-CO_00718
CL1683Contig1	HCGP-EN-CO_00719
CL1684Contig1	HCGP-EN-CO_00720
CL1685Contig1	HCGP-EN-CO_00721
CL1686Contig1	HCGP-EN-CO_00722
CL1687Contig1	HCGP-EN-CO_00723
CL1688Contig1	HCGP-EN-CO_00724
CL1689Contig1	HCGP-EN-CO_00725
CL168Contig1	HCGP-EN-CO_00726
CL1690Contig1	HCGP-EN-CO_00727
CL1691Contig1	HCGP-EN-CO_00728
CL1692Contig1	HCGP-EN-CO_00729
CL1693Contig1	HCGP-EN-CO_00730
CL1694Contig1	HCGP-EN-CO_00731
CL1695Contig1	HCGP-EN-CO_00732
CL1696Contig1	HCGP-EN-CO_00733
CL1697Contig1	HCGP-EN-CO_00734
CL1698Contig1	HCGP-EN-CO_00735
CL169Contig1	HCGP-EN-CO_00736
CL16Contig1	HCGP-EN-CO_00737
CL16Contig2	HCGP-EN-CO_00738
CL16Contig3	HCGP-EN-CO_00739
CL16Contig4	HCGP-EN-CO_00740
CL16Contig5	HCGP-EN-CO_00741
CL1700Contig1	HCGP-EN-CO_00742
CL1701Contig1	HCGP-EN-CO_00743
CL1702Contig1	HCGP-EN-CO_00744
CL1703Contig1	HCGP-EN-CO_00745
CL1704Contig1	HCGP-EN-CO_00746
CL1705Contig1	HCGP-EN-CO_00747
CL1706Contig1	HCGP-EN-CO_00748
CL1707Contig1	HCGP-EN-CO_00749
CL1708Contig1	HCGP-EN-CO_00750
CL1709Contig1	HCGP-EN-CO_00751
CL170Contig1	HCGP-EN-CO_00752
CL1710Contig1	HCGP-EN-CO_00753
CL1712Contig1	HCGP-EN-CO_00754
CL1713Contig1	HCGP-EN-CO_00755
CL1714Contig1	HCGP-EN-CO_00756
CL1715Contig1	HCGP-EN-CO_00757
CL1716Contig1	HCGP-EN-CO_00758
CL1717Contig1	HCGP-EN-CO_00759
CL1718Contig1	HCGP-EN-CO_00760
CL1719Contig1	HCGP-EN-CO_00761
CL171Contig1	HCGP-EN-CO_00762
CL1720Contig1	HCGP-EN-CO_00763
CL1721Contig1	HCGP-EN-CO_00764
CL1722Contig1	HCGP-EN-CO_00765
CL1723Contig1	HCGP-EN-CO_00766
CL1724Contig1	HCGP-EN-CO_00767
CL1725Contig1	HCGP-EN-CO_00768
CL1727Contig1	HCGP-EN-CO_00769
CL1728Contig1	HCGP-EN-CO_00770
CL1729Contig1	HCGP-EN-CO_00771
CL172Contig1	HCGP-EN-CO_00772
CL1730Contig1	HCGP-EN-CO_00773
CL1731Contig1	HCGP-EN-CO_00774
CL1732Contig1	HCGP-EN-CO_00775
CL1733Contig1	HCGP-EN-CO_00776
CL1734Contig1	HCGP-EN-CO_00777
CL1736Contig1	HCGP-EN-CO_00778
CL1737Contig1	HCGP-EN-CO_00779
CL1738Contig1	HCGP-EN-CO_00780
CL1739Contig1	HCGP-EN-CO_00781
CL173Contig1	HCGP-EN-CO_00782
CL1740Contig1	HCGP-EN-CO_00783
CL1741Contig1	HCGP-EN-CO_00784
CL1742Contig1	HCGP-EN-CO_00785
CL1743Contig1	HCGP-EN-CO_00786
CL1744Contig1	HCGP-EN-CO_00787
CL1745Contig1	HCGP-EN-CO_00788
CL1746Contig1	HCGP-EN-CO_00789
CL1747Contig1	HCGP-EN-CO_00790
CL1748Contig1	HCGP-EN-CO_00791
CL1749Contig1	HCGP-EN-CO_00792
CL174Contig1	HCGP-EN-CO_00793
CL1750Contig1	HCGP-EN-CO_00794
CL1751Contig1	HCGP-EN-CO_00795
CL1752Contig1	HCGP-EN-CO_00796
CL1753Contig1	HCGP-EN-CO_00797
CL1754Contig1	HCGP-EN-CO_00798
CL1755Contig1	HCGP-EN-CO_00799
CL1757Contig1	HCGP-EN-CO_00800
CL1758Contig1	HCGP-EN-CO_00801
CL1759Contig1	HCGP-EN-CO_00802
CL175Contig1	HCGP-EN-CO_00803
CL175Contig2	HCGP-EN-CO_00804
CL1760Contig1	HCGP-EN-CO_00805
CL1761Contig1	HCGP-EN-CO_00806
CL1762Contig1	HCGP-EN-CO_00807
CL1763Contig1	HCGP-EN-CO_00808
CL1764Contig1	HCGP-EN-CO_00809
CL1765Contig1	HCGP-EN-CO_00810
CL1766Contig1	HCGP-EN-CO_00811
CL1767Contig1	HCGP-EN-CO_00812
CL1768Contig1	HCGP-EN-CO_00813
CL1769Contig1	HCGP-EN-CO_00814
CL176Contig1	HCGP-EN-CO_00815
CL1770Contig1	HCGP-EN-CO_00816
CL1771Contig1	HCGP-EN-CO_00817
CL1772Contig1	HCGP-EN-CO_00818
CL1773Contig1	HCGP-EN-CO_00819
CL1774Contig1	HCGP-EN-CO_00820
CL1775Contig1	HCGP-EN-CO_00821
CL1776Contig1	HCGP-EN-CO_00822
CL1777Contig1	HCGP-EN-CO_00823
CL1778Contig1	HCGP-EN-CO_00824
CL1779Contig1	HCGP-EN-CO_00825
CL177Contig1	HCGP-EN-CO_00826
CL1780Contig1	HCGP-EN-CO_00827
CL1781Contig1	HCGP-EN-CO_00828
CL1782Contig1	HCGP-EN-CO_00829
CL1783Contig1	HCGP-EN-CO_00830
CL1784Contig1	HCGP-EN-CO_00831
CL1785Contig1	HCGP-EN-CO_00832
CL1786Contig1	HCGP-EN-CO_00833
CL178Contig1	HCGP-EN-CO_00834
CL179Contig1	HCGP-EN-CO_00835
CL17Contig1	HCGP-EN-CO_00836
CL17Contig2	HCGP-EN-CO_00837
CL17Contig3	HCGP-EN-CO_00838
CL17Contig4	HCGP-EN-CO_00839
CL17Contig5	HCGP-EN-CO_00840
CL180Contig1	HCGP-EN-CO_00841
CL181Contig1	HCGP-EN-CO_00842
CL182Contig1	HCGP-EN-CO_00843
CL183Contig1	HCGP-EN-CO_00844
CL184Contig1	HCGP-EN-CO_00845
CL185Contig1	HCGP-EN-CO_00846
CL186Contig1	HCGP-EN-CO_00847
CL187Contig1	HCGP-EN-CO_00848
CL188Contig1	HCGP-EN-CO_00849
CL18Contig1	HCGP-EN-CO_00850
CL18Contig2	HCGP-EN-CO_00851
CL18Contig3	HCGP-EN-CO_00852
CL190Contig1	HCGP-EN-CO_00853
CL191Contig1	HCGP-EN-CO_00854
CL191Contig2	HCGP-EN-CO_00855
CL192Contig1	HCGP-EN-CO_00856
CL193Contig1	HCGP-EN-CO_00857
CL194Contig1	HCGP-EN-CO_00858
CL195Contig1	HCGP-EN-CO_00859
CL196Contig1	HCGP-EN-CO_00860
CL197Contig1	HCGP-EN-CO_00861
CL198Contig1	HCGP-EN-CO_00862
CL199Contig1	HCGP-EN-CO_00863
CL19Contig1	HCGP-EN-CO_00864
CL19Contig2	HCGP-EN-CO_00865
CL19Contig3	HCGP-EN-CO_00866
CL19Contig4	HCGP-EN-CO_00867
CL19Contig5	HCGP-EN-CO_00868
CL19Contig6	HCGP-EN-CO_00869
CL19Contig7	HCGP-EN-CO_00870
CL1Contig1	HCGP-EN-CO_00871
CL1Contig10	HCGP-EN-CO_00872
CL1Contig100	HCGP-EN-CO_00873
CL1Contig101	HCGP-EN-CO_00874
CL1Contig102	HCGP-EN-CO_00875
CL1Contig103	HCGP-EN-CO_00876
CL1Contig104	HCGP-EN-CO_00877
CL1Contig105	HCGP-EN-CO_00878
CL1Contig106	HCGP-EN-CO_00879
CL1Contig107	HCGP-EN-CO_00880
CL1Contig108	HCGP-EN-CO_00881
CL1Contig109	HCGP-EN-CO_00882
CL1Contig11	HCGP-EN-CO_00883
CL1Contig110	HCGP-EN-CO_00884
CL1Contig111	HCGP-EN-CO_00885
CL1Contig112	HCGP-EN-CO_00886
CL1Contig113	HCGP-EN-CO_00887
CL1Contig114	HCGP-EN-CO_00888
CL1Contig115	HCGP-EN-CO_00889
CL1Contig116	HCGP-EN-CO_00890
CL1Contig117	HCGP-EN-CO_00891
CL1Contig118	HCGP-EN-CO_00892
CL1Contig119	HCGP-EN-CO_00893
CL1Contig12	HCGP-EN-CO_00894
CL1Contig120	HCGP-EN-CO_00895
CL1Contig121	HCGP-EN-CO_00896
CL1Contig122	HCGP-EN-CO_00897
CL1Contig123	HCGP-EN-CO_00898
CL1Contig124	HCGP-EN-CO_00899
CL1Contig13	HCGP-EN-CO_00900
CL1Contig14	HCGP-EN-CO_00901
CL1Contig15	HCGP-EN-CO_00902
CL1Contig16	HCGP-EN-CO_00903
CL1Contig17	HCGP-EN-CO_00904
CL1Contig18	HCGP-EN-CO_00905
CL1Contig19	HCGP-EN-CO_00906
CL1Contig2	HCGP-EN-CO_00907
CL1Contig20	HCGP-EN-CO_00908
CL1Contig21	HCGP-EN-CO_00909
CL1Contig22	HCGP-EN-CO_00910
CL1Contig23	HCGP-EN-CO_00911
CL1Contig24	HCGP-EN-CO_00912
CL1Contig25	HCGP-EN-CO_00913
CL1Contig26	HCGP-EN-CO_00914
CL1Contig27	HCGP-EN-CO_00915
CL1Contig28	HCGP-EN-CO_00916
CL1Contig29	HCGP-EN-CO_00917
CL1Contig3	HCGP-EN-CO_00918
CL1Contig30	HCGP-EN-CO_00919
CL1Contig31	HCGP-EN-CO_00920
CL1Contig32	HCGP-EN-CO_00921
CL1Contig33	HCGP-EN-CO_00922
CL1Contig34	HCGP-EN-CO_00923
CL1Contig35	HCGP-EN-CO_00924
CL1Contig36	HCGP-EN-CO_00925
CL1Contig38	HCGP-EN-CO_00926
CL1Contig39	HCGP-EN-CO_00927
CL1Contig4	HCGP-EN-CO_00928
CL1Contig40	HCGP-EN-CO_00929
CL1Contig41	HCGP-EN-CO_00930
CL1Contig42	HCGP-EN-CO_00931
CL1Contig43	HCGP-EN-CO_00932
CL1Contig44	HCGP-EN-CO_00933
CL1Contig45	HCGP-EN-CO_00934
CL1Contig46	HCGP-EN-CO_00935
CL1Contig47	HCGP-EN-CO_00936
CL1Contig48	HCGP-EN-CO_00937
CL1Contig49	HCGP-EN-CO_00938
CL1Contig5	HCGP-EN-CO_00939
CL1Contig50	HCGP-EN-CO_00940
CL1Contig51	HCGP-EN-CO_00941
CL1Contig52	HCGP-EN-CO_00942
CL1Contig53	HCGP-EN-CO_00943
CL1Contig54	HCGP-EN-CO_00944
CL1Contig55	HCGP-EN-CO_00945
CL1Contig57	HCGP-EN-CO_00946
CL1Contig58	HCGP-EN-CO_00947
CL1Contig59	HCGP-EN-CO_00948
CL1Contig6	HCGP-EN-CO_00949
CL1Contig60	HCGP-EN-CO_00950
CL1Contig61	HCGP-EN-CO_00951
CL1Contig62	HCGP-EN-CO_00952
CL1Contig63	HCGP-EN-CO_00953
CL1Contig64	HCGP-EN-CO_00954
CL1Contig65	HCGP-EN-CO_00955
CL1Contig66	HCGP-EN-CO_00956
CL1Contig67	HCGP-EN-CO_00957
CL1Contig68	HCGP-EN-CO_00958
CL1Contig69	HCGP-EN-CO_00959
CL1Contig7	HCGP-EN-CO_00960
CL1Contig70	HCGP-EN-CO_00961
CL1Contig71	HCGP-EN-CO_00962
CL1Contig72	HCGP-EN-CO_00963
CL1Contig73	HCGP-EN-CO_00964
CL1Contig74	HCGP-EN-CO_00965
CL1Contig75	HCGP-EN-CO_00966
CL1Contig76	HCGP-EN-CO_00967
CL1Contig77	HCGP-EN-CO_00968
CL1Contig79	HCGP-EN-CO_00969
CL1Contig8	HCGP-EN-CO_00970
CL1Contig80	HCGP-EN-CO_00971
CL1Contig81	HCGP-EN-CO_00972
CL1Contig82	HCGP-EN-CO_00973
CL1Contig83	HCGP-EN-CO_00974
CL1Contig84	HCGP-EN-CO_00975
CL1Contig85	HCGP-EN-CO_00976
CL1Contig86	HCGP-EN-CO_00977
CL1Contig87	HCGP-EN-CO_00978
CL1Contig88	HCGP-EN-CO_00979
CL1Contig89	HCGP-EN-CO_00980
CL1Contig9	HCGP-EN-CO_00981
CL1Contig90	HCGP-EN-CO_00982
CL1Contig91	HCGP-EN-CO_00983
CL1Contig92	HCGP-EN-CO_00984
CL1Contig93	HCGP-EN-CO_00985
CL1Contig94	HCGP-EN-CO_00986
CL1Contig95	HCGP-EN-CO_00987
CL1Contig96	HCGP-EN-CO_00988
CL1Contig97	HCGP-EN-CO_00989
CL1Contig98	HCGP-EN-CO_00990
CL1Contig99	HCGP-EN-CO_00991
CL200Contig1	HCGP-EN-CO_00992
CL201Contig1	HCGP-EN-CO_00993
CL202Contig1	HCGP-EN-CO_00994
CL203Contig1	HCGP-EN-CO_00995
CL204Contig1	HCGP-EN-CO_00996
CL205Contig1	HCGP-EN-CO_00997
CL206Contig1	HCGP-EN-CO_00998
CL207Contig1	HCGP-EN-CO_00999
CL208Contig1	HCGP-EN-CO_01000
CL209Contig1	HCGP-EN-CO_01001
CL20Contig1	HCGP-EN-CO_01002
CL20Contig2	HCGP-EN-CO_01003
CL20Contig3	HCGP-EN-CO_01004
CL20Contig4	HCGP-EN-CO_01005
CL210Contig1	HCGP-EN-CO_01006
CL211Contig1	HCGP-EN-CO_01007
CL212Contig1	HCGP-EN-CO_01008
CL213Contig1	HCGP-EN-CO_01009
CL214Contig1	HCGP-EN-CO_01010
CL215Contig1	HCGP-EN-CO_01011
CL216Contig1	HCGP-EN-CO_01012
CL217Contig1	HCGP-EN-CO_01013
CL218Contig1	HCGP-EN-CO_01014
CL219Contig1	HCGP-EN-CO_01015
CL21Contig1	HCGP-EN-CO_01016
CL21Contig2	HCGP-EN-CO_01017
CL220Contig1	HCGP-EN-CO_01018
CL221Contig1	HCGP-EN-CO_01019
CL221Contig2	HCGP-EN-CO_01020
CL222Contig1	HCGP-EN-CO_01021
CL223Contig1	HCGP-EN-CO_01022
CL224Contig1	HCGP-EN-CO_01023
CL225Contig1	HCGP-EN-CO_01024
CL225Contig2	HCGP-EN-CO_01025
CL226Contig1	HCGP-EN-CO_01026
CL227Contig1	HCGP-EN-CO_01027
CL228Contig1	HCGP-EN-CO_01028
CL229Contig1	HCGP-EN-CO_01029
CL22Contig1	HCGP-EN-CO_01030
CL22Contig2	HCGP-EN-CO_01031
CL230Contig1	HCGP-EN-CO_01032
CL230Contig2	HCGP-EN-CO_01033
CL231Contig1	HCGP-EN-CO_01034
CL232Contig1	HCGP-EN-CO_01035
CL232Contig2	HCGP-EN-CO_01036
CL233Contig1	HCGP-EN-CO_01037
CL234Contig1	HCGP-EN-CO_01038
CL234Contig2	HCGP-EN-CO_01039
CL235Contig1	HCGP-EN-CO_01040
CL235Contig2	HCGP-EN-CO_01041
CL236Contig1	HCGP-EN-CO_01042
CL237Contig1	HCGP-EN-CO_01043
CL238Contig1	HCGP-EN-CO_01044
CL239Contig1	HCGP-EN-CO_01045
CL23Contig1	HCGP-EN-CO_01046
CL23Contig2	HCGP-EN-CO_01047
CL240Contig1	HCGP-EN-CO_01048
CL241Contig1	HCGP-EN-CO_01049
CL242Contig1	HCGP-EN-CO_01050
CL242Contig2	HCGP-EN-CO_01051
CL243Contig1	HCGP-EN-CO_01052
CL244Contig1	HCGP-EN-CO_01053
CL244Contig2	HCGP-EN-CO_01054
CL245Contig1	HCGP-EN-CO_01055
CL246Contig1	HCGP-EN-CO_01056
CL247Contig1	HCGP-EN-CO_01057
CL248Contig1	HCGP-EN-CO_01058
CL249Contig1	HCGP-EN-CO_01059
CL24Contig1	HCGP-EN-CO_01060
CL24Contig2	HCGP-EN-CO_01061
CL250Contig1	HCGP-EN-CO_01062
CL251Contig1	HCGP-EN-CO_01063
CL252Contig1	HCGP-EN-CO_01064
CL253Contig1	HCGP-EN-CO_01065
CL254Contig1	HCGP-EN-CO_01066
CL255Contig1	HCGP-EN-CO_01067
CL256Contig1	HCGP-EN-CO_01068
CL257Contig1	HCGP-EN-CO_01069
CL258Contig1	HCGP-EN-CO_01070
CL259Contig1	HCGP-EN-CO_01071
CL25Contig1	HCGP-EN-CO_01072
CL260Contig1	HCGP-EN-CO_01073
CL261Contig1	HCGP-EN-CO_01074
CL262Contig1	HCGP-EN-CO_01075
CL263Contig1	HCGP-EN-CO_01076
CL264Contig1	HCGP-EN-CO_01077
CL265Contig1	HCGP-EN-CO_01078
CL266Contig1	HCGP-EN-CO_01079
CL267Contig1	HCGP-EN-CO_01080
CL268Contig1	HCGP-EN-CO_01081
CL269Contig1	HCGP-EN-CO_01082
CL26Contig1	HCGP-EN-CO_01083
CL26Contig2	HCGP-EN-CO_01084
CL270Contig1	HCGP-EN-CO_01085
CL271Contig1	HCGP-EN-CO_01086
CL272Contig1	HCGP-EN-CO_01087
CL273Contig1	HCGP-EN-CO_01088
CL274Contig1	HCGP-EN-CO_01089
CL275Contig1	HCGP-EN-CO_01090
CL276Contig1	HCGP-EN-CO_01091
CL277Contig1	HCGP-EN-CO_01092
CL278Contig1	HCGP-EN-CO_01093
CL279Contig1	HCGP-EN-CO_01094
CL27Contig1	HCGP-EN-CO_01095
CL27Contig2	HCGP-EN-CO_01096
CL280Contig1	HCGP-EN-CO_01097
CL281Contig1	HCGP-EN-CO_01098
CL282Contig1	HCGP-EN-CO_01099
CL283Contig1	HCGP-EN-CO_01100
CL284Contig1	HCGP-EN-CO_01101
CL284Contig2	HCGP-EN-CO_01102
CL285Contig1	HCGP-EN-CO_01103
CL286Contig1	HCGP-EN-CO_01104
CL287Contig1	HCGP-EN-CO_01105
CL288Contig1	HCGP-EN-CO_01106
CL289Contig1	HCGP-EN-CO_01107
CL28Contig1	HCGP-EN-CO_01108
CL28Contig2	HCGP-EN-CO_01109
CL290Contig1	HCGP-EN-CO_01110
CL291Contig1	HCGP-EN-CO_01111
CL292Contig1	HCGP-EN-CO_01112
CL293Contig1	HCGP-EN-CO_01113
CL294Contig1	HCGP-EN-CO_01114
CL295Contig1	HCGP-EN-CO_01115
CL296Contig1	HCGP-EN-CO_01116
CL297Contig1	HCGP-EN-CO_01117
CL298Contig1	HCGP-EN-CO_01118
CL299Contig1	HCGP-EN-CO_01119
CL29Contig1	HCGP-EN-CO_01120
CL2Contig1	HCGP-EN-CO_01121
CL2Contig2	HCGP-EN-CO_01122
CL2Contig3	HCGP-EN-CO_01123
CL2Contig4	HCGP-EN-CO_01124
CL300Contig1	HCGP-EN-CO_01125
CL300Contig2	HCGP-EN-CO_01126
CL301Contig1	HCGP-EN-CO_01127
CL302Contig1	HCGP-EN-CO_01128
CL303Contig1	HCGP-EN-CO_01129
CL304Contig1	HCGP-EN-CO_01130
CL304Contig2	HCGP-EN-CO_01131
CL305Contig1	HCGP-EN-CO_01132
CL306Contig1	HCGP-EN-CO_01133
CL307Contig1	HCGP-EN-CO_01134
CL308Contig1	HCGP-EN-CO_01135
CL308Contig2	HCGP-EN-CO_01136
CL309Contig1	HCGP-EN-CO_01137
CL30Contig1	HCGP-EN-CO_01138
CL310Contig1	HCGP-EN-CO_01139
CL311Contig1	HCGP-EN-CO_01140
CL312Contig1	HCGP-EN-CO_01141
CL313Contig1	HCGP-EN-CO_01142
CL314Contig1	HCGP-EN-CO_01143
CL315Contig1	HCGP-EN-CO_01144
CL316Contig1	HCGP-EN-CO_01145
CL317Contig1	HCGP-EN-CO_01146
CL318Contig1	HCGP-EN-CO_01147
CL319Contig1	HCGP-EN-CO_01148
CL31Contig1	HCGP-EN-CO_01149
CL320Contig1	HCGP-EN-CO_01150
CL321Contig1	HCGP-EN-CO_01151
CL322Contig1	HCGP-EN-CO_01152
CL324Contig1	HCGP-EN-CO_01153
CL325Contig1	HCGP-EN-CO_01154
CL326Contig1	HCGP-EN-CO_01155
CL327Contig1	HCGP-EN-CO_01156
CL328Contig1	HCGP-EN-CO_01157
CL329Contig1	HCGP-EN-CO_01158
CL32Contig1	HCGP-EN-CO_01159
CL32Contig2	HCGP-EN-CO_01160
CL32Contig3	HCGP-EN-CO_01161
CL32Contig4	HCGP-EN-CO_01162
CL32Contig5	HCGP-EN-CO_01163
CL330Contig1	HCGP-EN-CO_01164
CL331Contig1	HCGP-EN-CO_01165
CL332Contig1	HCGP-EN-CO_01166
CL333Contig1	HCGP-EN-CO_01167
CL334Contig1	HCGP-EN-CO_01168
CL335Contig1	HCGP-EN-CO_01169
CL336Contig1	HCGP-EN-CO_01170
CL337Contig1	HCGP-EN-CO_01171
CL338Contig1	HCGP-EN-CO_01172
CL339Contig1	HCGP-EN-CO_01173
CL33Contig1	HCGP-EN-CO_01174
CL340Contig1	HCGP-EN-CO_01175
CL341Contig1	HCGP-EN-CO_01176
CL343Contig1	HCGP-EN-CO_01177
CL344Contig1	HCGP-EN-CO_01178
CL345Contig1	HCGP-EN-CO_01179
CL346Contig1	HCGP-EN-CO_01180
CL347Contig1	HCGP-EN-CO_01181
CL348Contig1	HCGP-EN-CO_01182
CL349Contig1	HCGP-EN-CO_01183
CL34Contig1	HCGP-EN-CO_01184
CL350Contig1	HCGP-EN-CO_01185
CL351Contig1	HCGP-EN-CO_01186
CL352Contig1	HCGP-EN-CO_01187
CL353Contig1	HCGP-EN-CO_01188
CL354Contig1	HCGP-EN-CO_01189
CL355Contig1	HCGP-EN-CO_01190
CL356Contig1	HCGP-EN-CO_01191
CL357Contig1	HCGP-EN-CO_01192
CL358Contig1	HCGP-EN-CO_01193
CL359Contig1	HCGP-EN-CO_01194
CL35Contig1	HCGP-EN-CO_01195
CL360Contig1	HCGP-EN-CO_01196
CL361Contig1	HCGP-EN-CO_01197
CL362Contig1	HCGP-EN-CO_01198
CL363Contig1	HCGP-EN-CO_01199
CL364Contig1	HCGP-EN-CO_01200
CL365Contig1	HCGP-EN-CO_01201
CL366Contig1	HCGP-EN-CO_01202
CL367Contig1	HCGP-EN-CO_01203
CL368Contig1	HCGP-EN-CO_01204
CL369Contig1	HCGP-EN-CO_01205
CL36Contig1	HCGP-EN-CO_01206
CL36Contig2	HCGP-EN-CO_01207
CL36Contig3	HCGP-EN-CO_01208
CL36Contig4	HCGP-EN-CO_01209
CL370Contig1	HCGP-EN-CO_01210
CL371Contig1	HCGP-EN-CO_01211
CL372Contig1	HCGP-EN-CO_01212
CL373Contig1	HCGP-EN-CO_01213
CL374Contig1	HCGP-EN-CO_01214
CL375Contig1	HCGP-EN-CO_01215
CL376Contig1	HCGP-EN-CO_01216
CL377Contig1	HCGP-EN-CO_01217
CL379Contig1	HCGP-EN-CO_01218
CL37Contig1	HCGP-EN-CO_01219
CL380Contig1	HCGP-EN-CO_01220
CL381Contig1	HCGP-EN-CO_01221
CL382Contig1	HCGP-EN-CO_01222
CL383Contig1	HCGP-EN-CO_01223
CL384Contig1	HCGP-EN-CO_01224
CL385Contig1	HCGP-EN-CO_01225
CL386Contig1	HCGP-EN-CO_01226
CL387Contig1	HCGP-EN-CO_01227
CL388Contig1	HCGP-EN-CO_01228
CL389Contig1	HCGP-EN-CO_01229
CL38Contig1	HCGP-EN-CO_01230
CL38Contig2	HCGP-EN-CO_01231
CL390Contig1	HCGP-EN-CO_01232
CL391Contig1	HCGP-EN-CO_01233
