#TGICL_NAME	CONTIG_NAME
CL1Contig154	HCGP-HT-CO_03648
CL1Contig155	HCGP-HT-CO_03649
CL1Contig156	HCGP-HT-CO_03650
CL1Contig157	HCGP-HT-CO_03651
CL1Contig158	HCGP-HT-CO_03652
CL1Contig159	HCGP-HT-CO_03653
CL1Contig16	HCGP-HT-CO_03654
CL1Contig160	HCGP-HT-CO_03655
CL1Contig161	HCGP-HT-CO_03656
CL1Contig163	HCGP-HT-CO_03657
CL1Contig164	HCGP-HT-CO_03658
CL1Contig165	HCGP-HT-CO_03659
CL1Contig166	HCGP-HT-CO_03660
CL1Contig167	HCGP-HT-CO_03661
CL1Contig168	HCGP-HT-CO_03662
CL1Contig169	HCGP-HT-CO_03663
CL1Contig17	HCGP-HT-CO_03664
CL1Contig170	HCGP-HT-CO_03665
CL1Contig171	HCGP-HT-CO_03666
CL1Contig172	HCGP-HT-CO_03667
CL1Contig173	HCGP-HT-CO_03668
CL1Contig174	HCGP-HT-CO_03669
CL1Contig176	HCGP-HT-CO_03670
CL1Contig177	HCGP-HT-CO_03671
CL1Contig178	HCGP-HT-CO_03672
CL1Contig179	HCGP-HT-CO_03673
CL1Contig18	HCGP-HT-CO_03674
CL1Contig180	HCGP-HT-CO_03675
CL1Contig181	HCGP-HT-CO_03676
CL1Contig182	HCGP-HT-CO_03677
CL1Contig183	HCGP-HT-CO_03678
CL1Contig184	HCGP-HT-CO_03679
CL1Contig185	HCGP-HT-CO_03680
CL1Contig186	HCGP-HT-CO_03681
CL1Contig187	HCGP-HT-CO_03682
CL1Contig188	HCGP-HT-CO_03683
CL1Contig189	HCGP-HT-CO_03684
CL1Contig19	HCGP-HT-CO_03685
CL1Contig190	HCGP-HT-CO_03686
CL1Contig191	HCGP-HT-CO_03687
CL1Contig192	HCGP-HT-CO_03688
CL1Contig193	HCGP-HT-CO_03689
CL1Contig198	HCGP-HT-CO_03690
CL1Contig2	HCGP-HT-CO_03691
CL1Contig20	HCGP-HT-CO_03692
CL1Contig205	HCGP-HT-CO_03693
CL1Contig206	HCGP-HT-CO_03694
CL1Contig207	HCGP-HT-CO_03695
CL1Contig208	HCGP-HT-CO_03696
CL1Contig209	HCGP-HT-CO_03697
CL1Contig21	HCGP-HT-CO_03698
CL1Contig210	HCGP-HT-CO_03699
CL1Contig211	HCGP-HT-CO_03700
CL1Contig212	HCGP-HT-CO_03701
CL1Contig213	HCGP-HT-CO_03702
CL1Contig214	HCGP-HT-CO_03703
CL1Contig215	HCGP-HT-CO_03704
CL1Contig216	HCGP-HT-CO_03705
CL1Contig217	HCGP-HT-CO_03706
CL1Contig218	HCGP-HT-CO_03707
CL1Contig219	HCGP-HT-CO_03708
CL1Contig22	HCGP-HT-CO_03709
CL1Contig220	HCGP-HT-CO_03710
CL1Contig221	HCGP-HT-CO_03711
CL1Contig222	HCGP-HT-CO_03712
CL1Contig223	HCGP-HT-CO_03713
CL1Contig224	HCGP-HT-CO_03714
CL1Contig225	HCGP-HT-CO_03715
CL1Contig226	HCGP-HT-CO_03716
CL1Contig227	HCGP-HT-CO_03717
CL1Contig228	HCGP-HT-CO_03718
CL1Contig229	HCGP-HT-CO_03719
CL1Contig23	HCGP-HT-CO_03720
CL1Contig230	HCGP-HT-CO_03721
CL1Contig231	HCGP-HT-CO_03722
CL1Contig233	HCGP-HT-CO_03723
CL1Contig234	HCGP-HT-CO_03724
CL1Contig235	HCGP-HT-CO_03725
CL1Contig236	HCGP-HT-CO_03726
CL1Contig237	HCGP-HT-CO_03727
CL1Contig238	HCGP-HT-CO_03728
CL1Contig239	HCGP-HT-CO_03729
CL1Contig24	HCGP-HT-CO_03730
CL1Contig240	HCGP-HT-CO_03731
CL1Contig241	HCGP-HT-CO_03732
CL1Contig242	HCGP-HT-CO_03733
CL1Contig244	HCGP-HT-CO_03734
CL1Contig245	HCGP-HT-CO_03735
CL1Contig246	HCGP-HT-CO_03736
CL1Contig247	HCGP-HT-CO_03737
CL1Contig248	HCGP-HT-CO_03738
CL1Contig249	HCGP-HT-CO_03739
CL1Contig25	HCGP-HT-CO_03740
CL1Contig250	HCGP-HT-CO_03741
CL1Contig251	HCGP-HT-CO_03742
CL1Contig252	HCGP-HT-CO_03743
CL1Contig253	HCGP-HT-CO_03744
CL1Contig254	HCGP-HT-CO_03745
CL1Contig255	HCGP-HT-CO_03746
CL1Contig256	HCGP-HT-CO_03747
CL1Contig257	HCGP-HT-CO_03748
CL1Contig258	HCGP-HT-CO_03749
CL1Contig259	HCGP-HT-CO_03750
CL1Contig26	HCGP-HT-CO_03751
CL1Contig260	HCGP-HT-CO_03752
CL1Contig261	HCGP-HT-CO_03753
CL1Contig262	HCGP-HT-CO_03754
CL1Contig263	HCGP-HT-CO_03755
CL1Contig264	HCGP-HT-CO_03756
CL1Contig265	HCGP-HT-CO_03757
CL1Contig266	HCGP-HT-CO_03758
CL1Contig267	HCGP-HT-CO_03759
CL1Contig268	HCGP-HT-CO_03760
CL1Contig269	HCGP-HT-CO_03761
CL1Contig27	HCGP-HT-CO_03762
CL1Contig270	HCGP-HT-CO_03763
CL1Contig271	HCGP-HT-CO_03764
CL1Contig272	HCGP-HT-CO_03765
CL1Contig273	HCGP-HT-CO_03766
CL1Contig274	HCGP-HT-CO_03767
CL1Contig275	HCGP-HT-CO_03768
CL1Contig276	HCGP-HT-CO_03769
CL1Contig277	HCGP-HT-CO_03770
CL1Contig278	HCGP-HT-CO_03771
CL1Contig279	HCGP-HT-CO_03772
CL1Contig28	HCGP-HT-CO_03773
CL1Contig280	HCGP-HT-CO_03774
CL1Contig281	HCGP-HT-CO_03775
CL1Contig282	HCGP-HT-CO_03776
CL1Contig283	HCGP-HT-CO_03777
CL1Contig284	HCGP-HT-CO_03778
CL1Contig285	HCGP-HT-CO_03779
CL1Contig286	HCGP-HT-CO_03780
CL1Contig287	HCGP-HT-CO_03781
CL1Contig288	HCGP-HT-CO_03782
CL1Contig289	HCGP-HT-CO_03783
CL1Contig29	HCGP-HT-CO_03784
CL1Contig290	HCGP-HT-CO_03785
CL1Contig291	HCGP-HT-CO_03786
CL1Contig292	HCGP-HT-CO_03787
CL1Contig293	HCGP-HT-CO_03788
CL1Contig294	HCGP-HT-CO_03789
CL1Contig295	HCGP-HT-CO_03790
CL1Contig296	HCGP-HT-CO_03791
CL1Contig297	HCGP-HT-CO_03792
CL1Contig298	HCGP-HT-CO_03793
CL1Contig299	HCGP-HT-CO_03794
CL1Contig3	HCGP-HT-CO_03795
CL1Contig30	HCGP-HT-CO_03796
CL1Contig300	HCGP-HT-CO_03797
CL1Contig301	HCGP-HT-CO_03798
CL1Contig302	HCGP-HT-CO_03799
CL1Contig303	HCGP-HT-CO_03800
CL1Contig304	HCGP-HT-CO_03801
CL1Contig305	HCGP-HT-CO_03802
CL1Contig306	HCGP-HT-CO_03803
CL1Contig307	HCGP-HT-CO_03804
CL1Contig308	HCGP-HT-CO_03805
CL1Contig309	HCGP-HT-CO_03806
CL1Contig31	HCGP-HT-CO_03807
CL1Contig310	HCGP-HT-CO_03808
CL1Contig311	HCGP-HT-CO_03809
CL1Contig312	HCGP-HT-CO_03810
CL1Contig313	HCGP-HT-CO_03811
CL1Contig314	HCGP-HT-CO_03812
CL1Contig315	HCGP-HT-CO_03813
CL1Contig316	HCGP-HT-CO_03814
CL1Contig317	HCGP-HT-CO_03815
CL1Contig318	HCGP-HT-CO_03816
CL1Contig319	HCGP-HT-CO_03817
CL1Contig32	HCGP-HT-CO_03818
CL1Contig320	HCGP-HT-CO_03819
CL1Contig321	HCGP-HT-CO_03820
CL1Contig322	HCGP-HT-CO_03821
CL1Contig323	HCGP-HT-CO_03822
CL1Contig324	HCGP-HT-CO_03823
CL1Contig325	HCGP-HT-CO_03824
CL1Contig326	HCGP-HT-CO_03825
CL1Contig327	HCGP-HT-CO_03826
CL1Contig328	HCGP-HT-CO_03827
CL1Contig329	HCGP-HT-CO_03828
CL1Contig33	HCGP-HT-CO_03829
CL1Contig330	HCGP-HT-CO_03830
CL1Contig331	HCGP-HT-CO_03831
CL1Contig332	HCGP-HT-CO_03832
CL1Contig333	HCGP-HT-CO_03833
CL1Contig334	HCGP-HT-CO_03834
CL1Contig335	HCGP-HT-CO_03835
CL1Contig336	HCGP-HT-CO_03836
CL1Contig337	HCGP-HT-CO_03837
CL1Contig338	HCGP-HT-CO_03838
CL1Contig339	HCGP-HT-CO_03839
CL1Contig34	HCGP-HT-CO_03840
CL1Contig340	HCGP-HT-CO_03841
CL1Contig341	HCGP-HT-CO_03842
CL1Contig342	HCGP-HT-CO_03843
CL1Contig343	HCGP-HT-CO_03844
CL1Contig344	HCGP-HT-CO_03845
CL1Contig345	HCGP-HT-CO_03846
CL1Contig346	HCGP-HT-CO_03847
CL1Contig347	HCGP-HT-CO_03848
CL1Contig348	HCGP-HT-CO_03849
CL1Contig349	HCGP-HT-CO_03850
CL1Contig35	HCGP-HT-CO_03851
CL1Contig350	HCGP-HT-CO_03852
CL1Contig351	HCGP-HT-CO_03853
CL1Contig352	HCGP-HT-CO_03854
CL1Contig353	HCGP-HT-CO_03855
CL1Contig354	HCGP-HT-CO_03856
CL1Contig355	HCGP-HT-CO_03857
CL1Contig356	HCGP-HT-CO_03858
CL1Contig357	HCGP-HT-CO_03859
CL1Contig358	HCGP-HT-CO_03860
CL1Contig359	HCGP-HT-CO_03861
CL1Contig36	HCGP-HT-CO_03862
CL1Contig360	HCGP-HT-CO_03863
CL1Contig361	HCGP-HT-CO_03864
CL1Contig362	HCGP-HT-CO_03865
CL1Contig363	HCGP-HT-CO_03866
CL1Contig364	HCGP-HT-CO_03867
CL1Contig366	HCGP-HT-CO_03868
CL1Contig367	HCGP-HT-CO_03869
CL1Contig368	HCGP-HT-CO_03870
CL1Contig369	HCGP-HT-CO_03871
CL1Contig37	HCGP-HT-CO_03872
CL1Contig370	HCGP-HT-CO_03873
CL1Contig371	HCGP-HT-CO_03874
CL1Contig372	HCGP-HT-CO_03875
CL1Contig373	HCGP-HT-CO_03876
CL1Contig374	HCGP-HT-CO_03877
CL1Contig375	HCGP-HT-CO_03878
CL1Contig376	HCGP-HT-CO_03879
CL1Contig377	HCGP-HT-CO_03880
CL1Contig378	HCGP-HT-CO_03881
CL1Contig379	HCGP-HT-CO_03882
CL1Contig38	HCGP-HT-CO_03883
CL1Contig380	HCGP-HT-CO_03884
CL1Contig381	HCGP-HT-CO_03885
CL1Contig382	HCGP-HT-CO_03886
CL1Contig383	HCGP-HT-CO_03887
CL1Contig384	HCGP-HT-CO_03888
CL1Contig385	HCGP-HT-CO_03889
CL1Contig386	HCGP-HT-CO_03890
CL1Contig387	HCGP-HT-CO_03891
CL1Contig388	HCGP-HT-CO_03892
CL1Contig389	HCGP-HT-CO_03893
CL1Contig39	HCGP-HT-CO_03894
CL1Contig390	HCGP-HT-CO_03895
CL1Contig391	HCGP-HT-CO_03896
CL1Contig392	HCGP-HT-CO_03897
CL1Contig393	HCGP-HT-CO_03898
CL1Contig394	HCGP-HT-CO_03899
CL1Contig395	HCGP-HT-CO_03900
CL1Contig396	HCGP-HT-CO_03901
CL1Contig397	HCGP-HT-CO_03902
CL1Contig398	HCGP-HT-CO_03903
CL1Contig399	HCGP-HT-CO_03904
CL1Contig4	HCGP-HT-CO_03905
CL1Contig40	HCGP-HT-CO_03906
CL1Contig400	HCGP-HT-CO_03907
CL1Contig401	HCGP-HT-CO_03908
CL1Contig402	HCGP-HT-CO_03909
CL1Contig403	HCGP-HT-CO_03910
CL1Contig404	HCGP-HT-CO_03911
CL1Contig405	HCGP-HT-CO_03912
CL1Contig406	HCGP-HT-CO_03913
CL1Contig407	HCGP-HT-CO_03914
CL1Contig408	HCGP-HT-CO_03915
CL1Contig409	HCGP-HT-CO_03916
CL1Contig41	HCGP-HT-CO_03917
CL1Contig410	HCGP-HT-CO_03918
CL1Contig411	HCGP-HT-CO_03919
CL1Contig412	HCGP-HT-CO_03920
CL1Contig413	HCGP-HT-CO_03921
CL1Contig414	HCGP-HT-CO_03922
CL1Contig415	HCGP-HT-CO_03923
CL1Contig416	HCGP-HT-CO_03924
CL1Contig417	HCGP-HT-CO_03925
CL1Contig418	HCGP-HT-CO_03926
CL1Contig419	HCGP-HT-CO_03927
CL1Contig42	HCGP-HT-CO_03928
CL1Contig420	HCGP-HT-CO_03929
CL1Contig421	HCGP-HT-CO_03930
CL1Contig422	HCGP-HT-CO_03931
CL1Contig423	HCGP-HT-CO_03932
CL1Contig424	HCGP-HT-CO_03933
CL1Contig425	HCGP-HT-CO_03934
CL1Contig426	HCGP-HT-CO_03935
CL1Contig427	HCGP-HT-CO_03936
CL1Contig428	HCGP-HT-CO_03937
CL1Contig429	HCGP-HT-CO_03938
CL1Contig43	HCGP-HT-CO_03939
CL1Contig430	HCGP-HT-CO_03940
CL1Contig431	HCGP-HT-CO_03941
CL1Contig432	HCGP-HT-CO_03942
CL1Contig433	HCGP-HT-CO_03943
CL1Contig434	HCGP-HT-CO_03944
CL1Contig435	HCGP-HT-CO_03945
CL1Contig436	HCGP-HT-CO_03946
CL1Contig437	HCGP-HT-CO_03947
CL1Contig438	HCGP-HT-CO_03948
CL1Contig439	HCGP-HT-CO_03949
CL1Contig44	HCGP-HT-CO_03950
CL1Contig440	HCGP-HT-CO_03951
CL1Contig441	HCGP-HT-CO_03952
CL1Contig442	HCGP-HT-CO_03953
CL1Contig443	HCGP-HT-CO_03954
CL1Contig444	HCGP-HT-CO_03955
CL1Contig445	HCGP-HT-CO_03956
CL1Contig446	HCGP-HT-CO_03957
CL1Contig447	HCGP-HT-CO_03958
CL1Contig448	HCGP-HT-CO_03959
CL1Contig449	HCGP-HT-CO_03960
CL1Contig45	HCGP-HT-CO_03961
CL1Contig450	HCGP-HT-CO_03962
CL1Contig451	HCGP-HT-CO_03963
CL1Contig452	HCGP-HT-CO_03964
CL1Contig453	HCGP-HT-CO_03965
CL1Contig454	HCGP-HT-CO_03966
CL1Contig455	HCGP-HT-CO_03967
CL1Contig456	HCGP-HT-CO_03968
CL1Contig457	HCGP-HT-CO_03969
CL1Contig458	HCGP-HT-CO_03970
CL1Contig459	HCGP-HT-CO_03971
CL1Contig46	HCGP-HT-CO_03972
CL1Contig460	HCGP-HT-CO_03973
CL1Contig461	HCGP-HT-CO_03974
CL1Contig462	HCGP-HT-CO_03975
CL1Contig463	HCGP-HT-CO_03976
CL1Contig464	HCGP-HT-CO_03977
CL1Contig465	HCGP-HT-CO_03978
CL1Contig466	HCGP-HT-CO_03979
CL1Contig467	HCGP-HT-CO_03980
CL1Contig468	HCGP-HT-CO_03981
CL1Contig469	HCGP-HT-CO_03982
CL1Contig47	HCGP-HT-CO_03983
CL1Contig470	HCGP-HT-CO_03984
CL1Contig471	HCGP-HT-CO_03985
CL1Contig472	HCGP-HT-CO_03986
CL1Contig473	HCGP-HT-CO_03987
CL1Contig475	HCGP-HT-CO_03988
CL1Contig476	HCGP-HT-CO_03989
CL1Contig477	HCGP-HT-CO_03990
CL1Contig479	HCGP-HT-CO_03991
CL1Contig48	HCGP-HT-CO_03992
CL1Contig480	HCGP-HT-CO_03993
CL1Contig481	HCGP-HT-CO_03994
CL1Contig482	HCGP-HT-CO_03995
CL1Contig483	HCGP-HT-CO_03996
CL1Contig484	HCGP-HT-CO_03997
CL1Contig485	HCGP-HT-CO_03998
CL1Contig486	HCGP-HT-CO_03999
CL1Contig487	HCGP-HT-CO_04000
CL1Contig488	HCGP-HT-CO_04001
CL1Contig489	HCGP-HT-CO_04002
CL1Contig49	HCGP-HT-CO_04003
CL1Contig490	HCGP-HT-CO_04004
CL1Contig491	HCGP-HT-CO_04005
CL1Contig492	HCGP-HT-CO_04006
CL1Contig493	HCGP-HT-CO_04007
CL1Contig494	HCGP-HT-CO_04008
CL1Contig495	HCGP-HT-CO_04009
CL1Contig496	HCGP-HT-CO_04010
CL1Contig497	HCGP-HT-CO_04011
CL1Contig498	HCGP-HT-CO_04012
CL1Contig499	HCGP-HT-CO_04013
CL1Contig5	HCGP-HT-CO_04014
CL1Contig50	HCGP-HT-CO_04015
CL1Contig500	HCGP-HT-CO_04016
CL1Contig501	HCGP-HT-CO_04017
CL1Contig502	HCGP-HT-CO_04018
CL1Contig503	HCGP-HT-CO_04019
CL1Contig504	HCGP-HT-CO_04020
CL1Contig505	HCGP-HT-CO_04021
CL1Contig506	HCGP-HT-CO_04022
CL1Contig507	HCGP-HT-CO_04023
CL1Contig508	HCGP-HT-CO_04024
CL1Contig509	HCGP-HT-CO_04025
CL1Contig51	HCGP-HT-CO_04026
CL1Contig510	HCGP-HT-CO_04027
CL1Contig511	HCGP-HT-CO_04028
CL1Contig512	HCGP-HT-CO_04029
CL1Contig513	HCGP-HT-CO_04030
CL1Contig514	HCGP-HT-CO_04031
CL1Contig515	HCGP-HT-CO_04032
CL1Contig516	HCGP-HT-CO_04033
CL1Contig517	HCGP-HT-CO_04034
CL1Contig518	HCGP-HT-CO_04035
CL1Contig519	HCGP-HT-CO_04036
CL1Contig52	HCGP-HT-CO_04037
CL1Contig520	HCGP-HT-CO_04038
CL1Contig521	HCGP-HT-CO_04039
CL1Contig522	HCGP-HT-CO_04040
CL1Contig523	HCGP-HT-CO_04041
CL1Contig524	HCGP-HT-CO_04042
CL1Contig525	HCGP-HT-CO_04043
CL1Contig526	HCGP-HT-CO_04044
CL1Contig527	HCGP-HT-CO_04045
CL1Contig528	HCGP-HT-CO_04046
CL1Contig529	HCGP-HT-CO_04047
CL1Contig53	HCGP-HT-CO_04048
CL1Contig530	HCGP-HT-CO_04049
CL1Contig531	HCGP-HT-CO_04050
CL1Contig532	HCGP-HT-CO_04051
CL1Contig533	HCGP-HT-CO_04052
CL1Contig534	HCGP-HT-CO_04053
CL1Contig535	HCGP-HT-CO_04054
CL1Contig536	HCGP-HT-CO_04055
CL1Contig537	HCGP-HT-CO_04056
CL1Contig538	HCGP-HT-CO_04057
CL1Contig539	HCGP-HT-CO_04058
CL1Contig54	HCGP-HT-CO_04059
CL1Contig540	HCGP-HT-CO_04060
CL1Contig541	HCGP-HT-CO_04061
CL1Contig542	HCGP-HT-CO_04062
CL1Contig543	HCGP-HT-CO_04063
CL1Contig544	HCGP-HT-CO_04064
CL1Contig545	HCGP-HT-CO_04065
CL1Contig546	HCGP-HT-CO_04066
CL1Contig547	HCGP-HT-CO_04067
CL1Contig548	HCGP-HT-CO_04068
CL1Contig549	HCGP-HT-CO_04069
CL1Contig55	HCGP-HT-CO_04070
CL1Contig550	HCGP-HT-CO_04071
CL1Contig551	HCGP-HT-CO_04072
CL1Contig552	HCGP-HT-CO_04073
CL1Contig553	HCGP-HT-CO_04074
CL1Contig554	HCGP-HT-CO_04075
CL1Contig555	HCGP-HT-CO_04076
CL1Contig556	HCGP-HT-CO_04077
CL1Contig558	HCGP-HT-CO_04078
CL1Contig559	HCGP-HT-CO_04079
CL1Contig56	HCGP-HT-CO_04080
CL1Contig560	HCGP-HT-CO_04081
CL1Contig561	HCGP-HT-CO_04082
CL1Contig562	HCGP-HT-CO_04083
CL1Contig563	HCGP-HT-CO_04084
CL1Contig564	HCGP-HT-CO_04085
CL1Contig565	HCGP-HT-CO_04086
CL1Contig566	HCGP-HT-CO_04087
CL1Contig567	HCGP-HT-CO_04088
CL1Contig568	HCGP-HT-CO_04089
CL1Contig569	HCGP-HT-CO_04090
CL1Contig57	HCGP-HT-CO_04091
CL1Contig570	HCGP-HT-CO_04092
CL1Contig571	HCGP-HT-CO_04093
CL1Contig572	HCGP-HT-CO_04094
CL1Contig573	HCGP-HT-CO_04095
CL1Contig574	HCGP-HT-CO_04096
CL1Contig575	HCGP-HT-CO_04097
CL1Contig576	HCGP-HT-CO_04098
CL1Contig577	HCGP-HT-CO_04099
CL1Contig578	HCGP-HT-CO_04100
CL1Contig579	HCGP-HT-CO_04101
CL1Contig58	HCGP-HT-CO_04102
CL1Contig580	HCGP-HT-CO_04103
CL1Contig581	HCGP-HT-CO_04104
CL1Contig582	HCGP-HT-CO_04105
CL1Contig583	HCGP-HT-CO_04106
CL1Contig584	HCGP-HT-CO_04107
CL1Contig585	HCGP-HT-CO_04108
CL1Contig586	HCGP-HT-CO_04109
CL1Contig587	HCGP-HT-CO_04110
CL1Contig588	HCGP-HT-CO_04111
CL1Contig589	HCGP-HT-CO_04112
CL1Contig59	HCGP-HT-CO_04113
CL1Contig590	HCGP-HT-CO_04114
CL1Contig591	HCGP-HT-CO_04115
CL1Contig592	HCGP-HT-CO_04116
CL1Contig593	HCGP-HT-CO_04117
CL1Contig594	HCGP-HT-CO_04118
CL1Contig595	HCGP-HT-CO_04119
CL1Contig596	HCGP-HT-CO_04120
CL1Contig597	HCGP-HT-CO_04121
CL1Contig598	HCGP-HT-CO_04122
CL1Contig599	HCGP-HT-CO_04123
CL1Contig6	HCGP-HT-CO_04124
CL1Contig60	HCGP-HT-CO_04125
CL1Contig600	HCGP-HT-CO_04126
CL1Contig601	HCGP-HT-CO_04127
CL1Contig602	HCGP-HT-CO_04128
CL1Contig603	HCGP-HT-CO_04129
CL1Contig604	HCGP-HT-CO_04130
CL1Contig605	HCGP-HT-CO_04131
CL1Contig606	HCGP-HT-CO_04132
CL1Contig607	HCGP-HT-CO_04133
CL1Contig608	HCGP-HT-CO_04134
CL1Contig609	HCGP-HT-CO_04135
CL1Contig61	HCGP-HT-CO_04136
CL1Contig610	HCGP-HT-CO_04137
CL1Contig611	HCGP-HT-CO_04138
CL1Contig612	HCGP-HT-CO_04139
CL1Contig613	HCGP-HT-CO_04140
CL1Contig614	HCGP-HT-CO_04141
CL1Contig615	HCGP-HT-CO_04142
CL1Contig616	HCGP-HT-CO_04143
CL1Contig617	HCGP-HT-CO_04144
CL1Contig618	HCGP-HT-CO_04145
CL1Contig619	HCGP-HT-CO_04146
CL1Contig62	HCGP-HT-CO_04147
CL1Contig620	HCGP-HT-CO_04148
CL1Contig621	HCGP-HT-CO_04149
CL1Contig622	HCGP-HT-CO_04150
CL1Contig623	HCGP-HT-CO_04151
CL1Contig624	HCGP-HT-CO_04152
CL1Contig625	HCGP-HT-CO_04153
CL1Contig626	HCGP-HT-CO_04154
CL1Contig627	HCGP-HT-CO_04155
CL1Contig628	HCGP-HT-CO_04156
CL1Contig629	HCGP-HT-CO_04157
CL1Contig63	HCGP-HT-CO_04158
CL1Contig630	HCGP-HT-CO_04159
CL1Contig631	HCGP-HT-CO_04160
CL1Contig632	HCGP-HT-CO_04161
CL1Contig633	HCGP-HT-CO_04162
CL1Contig634	HCGP-HT-CO_04163
CL1Contig635	HCGP-HT-CO_04164
CL1Contig636	HCGP-HT-CO_04165
CL1Contig637	HCGP-HT-CO_04166
CL1Contig638	HCGP-HT-CO_04167
CL1Contig639	HCGP-HT-CO_04168
CL1Contig64	HCGP-HT-CO_04169
CL1Contig640	HCGP-HT-CO_04170
CL1Contig641	HCGP-HT-CO_04171
CL1Contig642	HCGP-HT-CO_04172
CL1Contig643	HCGP-HT-CO_04173
CL1Contig644	HCGP-HT-CO_04174
CL1Contig645	HCGP-HT-CO_04175
CL1Contig646	HCGP-HT-CO_04176
CL1Contig647	HCGP-HT-CO_04177
CL1Contig648	HCGP-HT-CO_04178
CL1Contig649	HCGP-HT-CO_04179
CL1Contig65	HCGP-HT-CO_04180
CL1Contig650	HCGP-HT-CO_04181
CL1Contig651	HCGP-HT-CO_04182
CL1Contig652	HCGP-HT-CO_04183
CL1Contig653	HCGP-HT-CO_04184
CL1Contig654	HCGP-HT-CO_04185
CL1Contig655	HCGP-HT-CO_04186
CL1Contig656	HCGP-HT-CO_04187
CL1Contig657	HCGP-HT-CO_04188
CL1Contig658	HCGP-HT-CO_04189
CL1Contig659	HCGP-HT-CO_04190
CL1Contig66	HCGP-HT-CO_04191
CL1Contig660	HCGP-HT-CO_04192
CL1Contig661	HCGP-HT-CO_04193
CL1Contig662	HCGP-HT-CO_04194
CL1Contig663	HCGP-HT-CO_04195
CL1Contig664	HCGP-HT-CO_04196
CL1Contig665	HCGP-HT-CO_04197
CL1Contig666	HCGP-HT-CO_04198
CL1Contig667	HCGP-HT-CO_04199
CL1Contig668	HCGP-HT-CO_04200
CL1Contig669	HCGP-HT-CO_04201
CL1Contig67	HCGP-HT-CO_04202
CL1Contig670	HCGP-HT-CO_04203
CL1Contig671	HCGP-HT-CO_04204
CL1Contig672	HCGP-HT-CO_04205
CL1Contig673	HCGP-HT-CO_04206
CL1Contig674	HCGP-HT-CO_04207
CL1Contig675	HCGP-HT-CO_04208
CL1Contig676	HCGP-HT-CO_04209
CL1Contig677	HCGP-HT-CO_04210
CL1Contig678	HCGP-HT-CO_04211
CL1Contig679	HCGP-HT-CO_04212
CL1Contig68	HCGP-HT-CO_04213
CL1Contig680	HCGP-HT-CO_04214
CL1Contig681	HCGP-HT-CO_04215
CL1Contig682	HCGP-HT-CO_04216
CL1Contig683	HCGP-HT-CO_04217
CL1Contig684	HCGP-HT-CO_04218
CL1Contig685	HCGP-HT-CO_04219
CL1Contig686	HCGP-HT-CO_04220
CL1Contig687	HCGP-HT-CO_04221
CL1Contig688	HCGP-HT-CO_04222
CL1Contig689	HCGP-HT-CO_04223
CL1Contig69	HCGP-HT-CO_04224
CL1Contig690	HCGP-HT-CO_04225
CL1Contig691	HCGP-HT-CO_04226
CL1Contig692	HCGP-HT-CO_04227
CL1Contig693	HCGP-HT-CO_04228
CL1Contig694	HCGP-HT-CO_04229
CL1Contig695	HCGP-HT-CO_04230
CL1Contig696	HCGP-HT-CO_04231
CL1Contig697	HCGP-HT-CO_04232
CL1Contig698	HCGP-HT-CO_04233
CL1Contig699	HCGP-HT-CO_04234
CL1Contig7	HCGP-HT-CO_04235
CL1Contig70	HCGP-HT-CO_04236
CL1Contig700	HCGP-HT-CO_04237
CL1Contig701	HCGP-HT-CO_04238
CL1Contig702	HCGP-HT-CO_04239
CL1Contig703	HCGP-HT-CO_04240
CL1Contig704	HCGP-HT-CO_04241
CL1Contig705	HCGP-HT-CO_04242
CL1Contig706	HCGP-HT-CO_04243
CL1Contig707	HCGP-HT-CO_04244
CL1Contig708	HCGP-HT-CO_04245
CL1Contig709	HCGP-HT-CO_04246
CL1Contig71	HCGP-HT-CO_04247
CL1Contig710	HCGP-HT-CO_04248
CL1Contig711	HCGP-HT-CO_04249
CL1Contig712	HCGP-HT-CO_04250
CL1Contig713	HCGP-HT-CO_04251
CL1Contig714	HCGP-HT-CO_04252
CL1Contig715	HCGP-HT-CO_04253
CL1Contig716	HCGP-HT-CO_04254
CL1Contig717	HCGP-HT-CO_04255
CL1Contig718	HCGP-HT-CO_04256
CL1Contig719	HCGP-HT-CO_04257
CL1Contig72	HCGP-HT-CO_04258
CL1Contig720	HCGP-HT-CO_04259
CL1Contig721	HCGP-HT-CO_04260
CL1Contig722	HCGP-HT-CO_04261
CL1Contig723	HCGP-HT-CO_04262
CL1Contig724	HCGP-HT-CO_04263
CL1Contig727	HCGP-HT-CO_04264
CL1Contig728	HCGP-HT-CO_04265
CL1Contig729	HCGP-HT-CO_04266
CL1Contig73	HCGP-HT-CO_04267
CL1Contig730	HCGP-HT-CO_04268
CL1Contig731	HCGP-HT-CO_04269
CL1Contig732	HCGP-HT-CO_04270
CL1Contig733	HCGP-HT-CO_04271
CL1Contig734	HCGP-HT-CO_04272
CL1Contig735	HCGP-HT-CO_04273
CL1Contig736	HCGP-HT-CO_04274
CL1Contig737	HCGP-HT-CO_04275
CL1Contig738	HCGP-HT-CO_04276
CL1Contig739	HCGP-HT-CO_04277
CL1Contig74	HCGP-HT-CO_04278
CL1Contig740	HCGP-HT-CO_04279
CL1Contig741	HCGP-HT-CO_04280
CL1Contig742	HCGP-HT-CO_04281
CL1Contig743	HCGP-HT-CO_04282
