#TGICL_NAME	CONTIG_NAME
CL10127Contig1	HCGP-HT-CO_00139
CL10128Contig1	HCGP-HT-CO_00140
CL10129Contig1	HCGP-HT-CO_00141
CL1012Contig1	HCGP-HT-CO_00142
CL10130Contig1	HCGP-HT-CO_00143
CL10131Contig1	HCGP-HT-CO_00144
CL10132Contig1	HCGP-HT-CO_00145
CL10133Contig1	HCGP-HT-CO_00146
CL10134Contig1	HCGP-HT-CO_00147
CL10135Contig1	HCGP-HT-CO_00148
CL10136Contig1	HCGP-HT-CO_00149
CL10137Contig1	HCGP-HT-CO_00150
CL10138Contig1	HCGP-HT-CO_00151
CL10139Contig1	HCGP-HT-CO_00152
CL1013Contig1	HCGP-HT-CO_00153
CL10140Contig1	HCGP-HT-CO_00154
CL10141Contig1	HCGP-HT-CO_00155
CL10142Contig1	HCGP-HT-CO_00156
CL10143Contig1	HCGP-HT-CO_00157
CL10144Contig1	HCGP-HT-CO_00158
CL10145Contig1	HCGP-HT-CO_00159
CL10146Contig1	HCGP-HT-CO_00160
CL10147Contig1	HCGP-HT-CO_00161
CL10148Contig1	HCGP-HT-CO_00162
CL10149Contig1	HCGP-HT-CO_00163
CL1014Contig1	HCGP-HT-CO_00164
CL10150Contig1	HCGP-HT-CO_00165
CL10151Contig1	HCGP-HT-CO_00166
CL10152Contig1	HCGP-HT-CO_00167
CL10153Contig1	HCGP-HT-CO_00168
CL10154Contig1	HCGP-HT-CO_00169
CL10155Contig1	HCGP-HT-CO_00170
CL10156Contig1	HCGP-HT-CO_00171
CL10157Contig1	HCGP-HT-CO_00172
CL10158Contig1	HCGP-HT-CO_00173
CL10159Contig1	HCGP-HT-CO_00174
CL1015Contig1	HCGP-HT-CO_00175
CL10160Contig1	HCGP-HT-CO_00176
CL10161Contig1	HCGP-HT-CO_00177
CL10162Contig1	HCGP-HT-CO_00178
CL10163Contig1	HCGP-HT-CO_00179
CL10164Contig1	HCGP-HT-CO_00180
CL10165Contig1	HCGP-HT-CO_00181
CL10166Contig1	HCGP-HT-CO_00182
CL10167Contig1	HCGP-HT-CO_00183
CL10168Contig1	HCGP-HT-CO_00184
CL10169Contig1	HCGP-HT-CO_00185
CL1016Contig1	HCGP-HT-CO_00186
CL10170Contig1	HCGP-HT-CO_00187
CL10171Contig1	HCGP-HT-CO_00188
CL10172Contig1	HCGP-HT-CO_00189
CL10173Contig1	HCGP-HT-CO_00190
CL10174Contig1	HCGP-HT-CO_00191
CL10175Contig1	HCGP-HT-CO_00192
CL10176Contig1	HCGP-HT-CO_00193
CL10177Contig1	HCGP-HT-CO_00194
CL10178Contig1	HCGP-HT-CO_00195
CL10179Contig1	HCGP-HT-CO_00196
CL1017Contig1	HCGP-HT-CO_00197
CL10180Contig1	HCGP-HT-CO_00198
CL10181Contig1	HCGP-HT-CO_00199
CL10182Contig1	HCGP-HT-CO_00200
CL10183Contig1	HCGP-HT-CO_00201
CL10184Contig1	HCGP-HT-CO_00202
CL10185Contig1	HCGP-HT-CO_00203
CL10186Contig1	HCGP-HT-CO_00204
CL10187Contig1	HCGP-HT-CO_00205
CL10188Contig1	HCGP-HT-CO_00206
CL10189Contig1	HCGP-HT-CO_00207
CL1018Contig1	HCGP-HT-CO_00208
CL10190Contig1	HCGP-HT-CO_00209
CL10191Contig1	HCGP-HT-CO_00210
CL10192Contig1	HCGP-HT-CO_00211
CL10193Contig1	HCGP-HT-CO_00212
CL10194Contig1	HCGP-HT-CO_00213
CL10195Contig1	HCGP-HT-CO_00214
CL10197Contig1	HCGP-HT-CO_00215
CL10199Contig1	HCGP-HT-CO_00216
CL1019Contig1	HCGP-HT-CO_00217
CL101Contig1	HCGP-HT-CO_00218
CL101Contig2	HCGP-HT-CO_00219
CL10200Contig1	HCGP-HT-CO_00220
CL10201Contig1	HCGP-HT-CO_00221
CL10202Contig1	HCGP-HT-CO_00222
CL10203Contig1	HCGP-HT-CO_00223
CL10204Contig1	HCGP-HT-CO_00224
CL10205Contig1	HCGP-HT-CO_00225
CL10206Contig1	HCGP-HT-CO_00226
CL10207Contig1	HCGP-HT-CO_00227
CL10208Contig1	HCGP-HT-CO_00228
CL10209Contig1	HCGP-HT-CO_00229
CL1020Contig1	HCGP-HT-CO_00230
CL1020Contig2	HCGP-HT-CO_00231
CL10210Contig1	HCGP-HT-CO_00232
CL10211Contig1	HCGP-HT-CO_00233
CL10212Contig1	HCGP-HT-CO_00234
CL10213Contig1	HCGP-HT-CO_00235
CL10214Contig1	HCGP-HT-CO_00236
CL10215Contig1	HCGP-HT-CO_00237
CL10216Contig1	HCGP-HT-CO_00238
CL10217Contig1	HCGP-HT-CO_00239
CL10218Contig1	HCGP-HT-CO_00240
CL10219Contig1	HCGP-HT-CO_00241
CL1021Contig1	HCGP-HT-CO_00242
CL10220Contig1	HCGP-HT-CO_00243
CL10221Contig1	HCGP-HT-CO_00244
CL10222Contig1	HCGP-HT-CO_00245
CL10223Contig1	HCGP-HT-CO_00246
CL10224Contig1	HCGP-HT-CO_00247
CL10225Contig1	HCGP-HT-CO_00248
CL10226Contig1	HCGP-HT-CO_00249
CL10228Contig1	HCGP-HT-CO_00250
CL10229Contig1	HCGP-HT-CO_00251
CL1022Contig1	HCGP-HT-CO_00252
CL10230Contig1	HCGP-HT-CO_00253
CL10231Contig1	HCGP-HT-CO_00254
CL10232Contig1	HCGP-HT-CO_00255
CL10233Contig1	HCGP-HT-CO_00256
CL10234Contig1	HCGP-HT-CO_00257
CL10235Contig1	HCGP-HT-CO_00258
CL10236Contig1	HCGP-HT-CO_00259
