#TGICL_NAME	CONTIG_NAME
CL165Contig1	HCGP-HN-CO_00143
CL166Contig1	HCGP-HN-CO_00144
CL166Contig2	HCGP-HN-CO_00145
CL167Contig1	HCGP-HN-CO_00146
CL168Contig1	HCGP-HN-CO_00147
CL169Contig1	HCGP-HN-CO_00148
CL16Contig1	HCGP-HN-CO_00149
CL16Contig2	HCGP-HN-CO_00150
CL171Contig1	HCGP-HN-CO_00151
CL172Contig1	HCGP-HN-CO_00152
CL173Contig1	HCGP-HN-CO_00153
CL174Contig1	HCGP-HN-CO_00154
CL175Contig1	HCGP-HN-CO_00155
CL176Contig1	HCGP-HN-CO_00156
CL177Contig1	HCGP-HN-CO_00157
CL178Contig1	HCGP-HN-CO_00158
CL179Contig1	HCGP-HN-CO_00159
CL17Contig1	HCGP-HN-CO_00160
CL17Contig2	HCGP-HN-CO_00161
CL17Contig3	HCGP-HN-CO_00162
CL17Contig4	HCGP-HN-CO_00163
CL180Contig1	HCGP-HN-CO_00164
CL181Contig1	HCGP-HN-CO_00165
CL182Contig1	HCGP-HN-CO_00166
CL183Contig1	HCGP-HN-CO_00167
CL184Contig1	HCGP-HN-CO_00168
CL185Contig1	HCGP-HN-CO_00169
CL186Contig1	HCGP-HN-CO_00170
CL187Contig1	HCGP-HN-CO_00171
CL188Contig1	HCGP-HN-CO_00172
CL189Contig1	HCGP-HN-CO_00173
CL18Contig1	HCGP-HN-CO_00174
CL18Contig2	HCGP-HN-CO_00175
CL18Contig3	HCGP-HN-CO_00176
CL18Contig4	HCGP-HN-CO_00177
CL190Contig1	HCGP-HN-CO_00178
CL192Contig1	HCGP-HN-CO_00179
CL192Contig2	HCGP-HN-CO_00180
CL193Contig1	HCGP-HN-CO_00181
CL193Contig2	HCGP-HN-CO_00182
CL194Contig1	HCGP-HN-CO_00183
CL195Contig1	HCGP-HN-CO_00184
CL196Contig1	HCGP-HN-CO_00185
CL197Contig1	HCGP-HN-CO_00186
CL198Contig1	HCGP-HN-CO_00187
CL199Contig1	HCGP-HN-CO_00188
CL19Contig1	HCGP-HN-CO_00189
CL19Contig2	HCGP-HN-CO_00190
CL19Contig3	HCGP-HN-CO_00191
CL1Contig1	HCGP-HN-CO_00192
CL1Contig10	HCGP-HN-CO_00193
CL1Contig11	HCGP-HN-CO_00194
CL1Contig12	HCGP-HN-CO_00195
CL1Contig13	HCGP-HN-CO_00196
CL1Contig2	HCGP-HN-CO_00197
CL1Contig3	HCGP-HN-CO_00198
CL1Contig4	HCGP-HN-CO_00199
CL1Contig5	HCGP-HN-CO_00200
CL1Contig6	HCGP-HN-CO_00201
CL1Contig7	HCGP-HN-CO_00202
CL1Contig8	HCGP-HN-CO_00203
CL1Contig9	HCGP-HN-CO_00204
CL200Contig1	HCGP-HN-CO_00205
CL201Contig1	HCGP-HN-CO_00206
CL202Contig1	HCGP-HN-CO_00207
CL203Contig1	HCGP-HN-CO_00208
CL204Contig1	HCGP-HN-CO_00209
CL205Contig1	HCGP-HN-CO_00210
CL206Contig1	HCGP-HN-CO_00211
CL207Contig1	HCGP-HN-CO_00212
CL208Contig1	HCGP-HN-CO_00213
CL209Contig1	HCGP-HN-CO_00214
CL20Contig1	HCGP-HN-CO_00215
CL20Contig2	HCGP-HN-CO_00216
CL20Contig3	HCGP-HN-CO_00217
CL210Contig1	HCGP-HN-CO_00218
CL211Contig1	HCGP-HN-CO_00219
CL212Contig1	HCGP-HN-CO_00220
CL213Contig1	HCGP-HN-CO_00221
CL214Contig1	HCGP-HN-CO_00222
CL214Contig2	HCGP-HN-CO_00223
CL215Contig1	HCGP-HN-CO_00224
CL216Contig1	HCGP-HN-CO_00225
CL217Contig1	HCGP-HN-CO_00226
CL218Contig1	HCGP-HN-CO_00227
CL219Contig1	HCGP-HN-CO_00228
CL21Contig1	HCGP-HN-CO_00229
CL220Contig1	HCGP-HN-CO_00230
CL221Contig1	HCGP-HN-CO_00231
CL222Contig1	HCGP-HN-CO_00232
CL223Contig1	HCGP-HN-CO_00233
CL224Contig1	HCGP-HN-CO_00234
CL225Contig1	HCGP-HN-CO_00235
CL226Contig1	HCGP-HN-CO_00236
CL227Contig1	HCGP-HN-CO_00237
CL228Contig1	HCGP-HN-CO_00238
CL229Contig1	HCGP-HN-CO_00239
