#TGICL_NAME	CONTIG_NAME
CL540Contig1	HCGP-HN-CO_00628
CL541Contig1	HCGP-HN-CO_00629
CL542Contig1	HCGP-HN-CO_00630
CL543Contig1	HCGP-HN-CO_00631
CL544Contig1	HCGP-HN-CO_00632
CL545Contig1	HCGP-HN-CO_00633
CL546Contig1	HCGP-HN-CO_00634
CL54Contig1	HCGP-HN-CO_00635
CL550Contig1	HCGP-HN-CO_00636
CL552Contig1	HCGP-HN-CO_00637
CL553Contig1	HCGP-HN-CO_00638
CL554Contig1	HCGP-HN-CO_00639
CL555Contig1	HCGP-HN-CO_00640
CL556Contig1	HCGP-HN-CO_00641
CL557Contig1	HCGP-HN-CO_00642
CL558Contig1	HCGP-HN-CO_00643
CL559Contig1	HCGP-HN-CO_00644
CL55Contig1	HCGP-HN-CO_00645
CL560Contig1	HCGP-HN-CO_00646
CL561Contig1	HCGP-HN-CO_00647
CL562Contig1	HCGP-HN-CO_00648
CL563Contig1	HCGP-HN-CO_00649
CL565Contig1	HCGP-HN-CO_00650
CL566Contig1	HCGP-HN-CO_00651
CL567Contig1	HCGP-HN-CO_00652
CL568Contig1	HCGP-HN-CO_00653
CL569Contig1	HCGP-HN-CO_00654
CL56Contig1	HCGP-HN-CO_00655
CL571Contig1	HCGP-HN-CO_00656
CL572Contig1	HCGP-HN-CO_00657
CL573Contig1	HCGP-HN-CO_00658
CL574Contig1	HCGP-HN-CO_00659
CL575Contig1	HCGP-HN-CO_00660
CL576Contig1	HCGP-HN-CO_00661
CL577Contig1	HCGP-HN-CO_00662
CL578Contig1	HCGP-HN-CO_00663
CL579Contig1	HCGP-HN-CO_00664
CL57Contig1	HCGP-HN-CO_00665
CL580Contig1	HCGP-HN-CO_00666
CL581Contig1	HCGP-HN-CO_00667
CL583Contig1	HCGP-HN-CO_00668
CL584Contig1	HCGP-HN-CO_00669
CL585Contig1	HCGP-HN-CO_00670
CL586Contig1	HCGP-HN-CO_00671
CL587Contig1	HCGP-HN-CO_00672
CL589Contig1	HCGP-HN-CO_00673
CL58Contig1	HCGP-HN-CO_00674
CL58Contig2	HCGP-HN-CO_00675
CL592Contig1	HCGP-HN-CO_00676
CL593Contig1	HCGP-HN-CO_00677
CL594Contig1	HCGP-HN-CO_00678
CL595Contig1	HCGP-HN-CO_00679
CL59Contig1	HCGP-HN-CO_00680
CL5Contig1	HCGP-HN-CO_00681
CL5Contig2	HCGP-HN-CO_00682
CL5Contig3	HCGP-HN-CO_00683
CL5Contig4	HCGP-HN-CO_00684
CL5Contig6	HCGP-HN-CO_00685
CL606Contig1	HCGP-HN-CO_00686
CL607Contig1	HCGP-HN-CO_00687
CL60Contig1	HCGP-HN-CO_00688
CL610Contig1	HCGP-HN-CO_00689
CL612Contig1	HCGP-HN-CO_00690
CL614Contig1	HCGP-HN-CO_00691
CL615Contig1	HCGP-HN-CO_00692
CL616Contig1	HCGP-HN-CO_00693
CL619Contig1	HCGP-HN-CO_00694
CL61Contig1	HCGP-HN-CO_00695
CL620Contig1	HCGP-HN-CO_00696
CL623Contig1	HCGP-HN-CO_00697
CL624Contig1	HCGP-HN-CO_00698
CL625Contig1	HCGP-HN-CO_00699
CL627Contig1	HCGP-HN-CO_00700
CL628Contig1	HCGP-HN-CO_00701
CL629Contig1	HCGP-HN-CO_00702
CL62Contig1	HCGP-HN-CO_00703
CL62Contig2	HCGP-HN-CO_00704
CL631Contig1	HCGP-HN-CO_00705
CL632Contig1	HCGP-HN-CO_00706
CL633Contig1	HCGP-HN-CO_00707
CL634Contig1	HCGP-HN-CO_00708
CL635Contig1	HCGP-HN-CO_00709
CL636Contig1	HCGP-HN-CO_00710
CL637Contig1	HCGP-HN-CO_00711
CL638Contig1	HCGP-HN-CO_00712
CL639Contig1	HCGP-HN-CO_00713
CL63Contig1	HCGP-HN-CO_00714
CL640Contig1	HCGP-HN-CO_00715
CL642Contig1	HCGP-HN-CO_00716
CL644Contig1	HCGP-HN-CO_00717
CL646Contig1	HCGP-HN-CO_00718
CL647Contig1	HCGP-HN-CO_00719
CL648Contig1	HCGP-HN-CO_00720
CL649Contig1	HCGP-HN-CO_00721
CL64Contig1	HCGP-HN-CO_00722
CL64Contig2	HCGP-HN-CO_00723
CL64Contig3	HCGP-HN-CO_00724
CL650Contig1	HCGP-HN-CO_00725
CL651Contig1	HCGP-HN-CO_00726
CL652Contig1	HCGP-HN-CO_00727
CL653Contig1	HCGP-HN-CO_00728
CL654Contig1	HCGP-HN-CO_00729
CL655Contig1	HCGP-HN-CO_00730
CL656Contig1	HCGP-HN-CO_00731
CL657Contig1	HCGP-HN-CO_00732
CL658Contig1	HCGP-HN-CO_00733
CL659Contig1	HCGP-HN-CO_00734
CL65Contig1	HCGP-HN-CO_00735
CL660Contig1	HCGP-HN-CO_00736
CL661Contig1	HCGP-HN-CO_00737
CL662Contig1	HCGP-HN-CO_00738
CL663Contig1	HCGP-HN-CO_00739
CL664Contig1	HCGP-HN-CO_00740
CL665Contig1	HCGP-HN-CO_00741
CL666Contig1	HCGP-HN-CO_00742
CL667Contig1	HCGP-HN-CO_00743
CL668Contig1	HCGP-HN-CO_00744
CL669Contig1	HCGP-HN-CO_00745
CL66Contig1	HCGP-HN-CO_00746
CL670Contig1	HCGP-HN-CO_00747
CL671Contig1	HCGP-HN-CO_00748
CL673Contig1	HCGP-HN-CO_00749
CL674Contig1	HCGP-HN-CO_00750
CL677Contig1	HCGP-HN-CO_00751
CL678Contig1	HCGP-HN-CO_00752
CL67Contig1	HCGP-HN-CO_00753
CL680Contig1	HCGP-HN-CO_00754
CL681Contig1	HCGP-HN-CO_00755
CL682Contig1	HCGP-HN-CO_00756
CL684Contig1	HCGP-HN-CO_00757
CL685Contig1	HCGP-HN-CO_00758
CL686Contig1	HCGP-HN-CO_00759
CL687Contig1	HCGP-HN-CO_00760
CL688Contig1	HCGP-HN-CO_00761
CL689Contig1	HCGP-HN-CO_00762
CL68Contig1	HCGP-HN-CO_00763
CL690Contig1	HCGP-HN-CO_00764
CL691Contig1	HCGP-HN-CO_00765
CL692Contig1	HCGP-HN-CO_00766
CL693Contig1	HCGP-HN-CO_00767
CL694Contig1	HCGP-HN-CO_00768
CL695Contig1	HCGP-HN-CO_00769
CL696Contig1	HCGP-HN-CO_00770
CL697Contig1	HCGP-HN-CO_00771
CL699Contig1	HCGP-HN-CO_00772
CL69Contig1	HCGP-HN-CO_00773
CL69Contig2	HCGP-HN-CO_00774
CL6Contig1	HCGP-HN-CO_00775
CL6Contig2	HCGP-HN-CO_00776
CL700Contig1	HCGP-HN-CO_00777
CL701Contig1	HCGP-HN-CO_00778
CL702Contig1	HCGP-HN-CO_00779
CL703Contig1	HCGP-HN-CO_00780
CL704Contig1	HCGP-HN-CO_00781
CL706Contig1	HCGP-HN-CO_00782
CL707Contig1	HCGP-HN-CO_00783
CL708Contig1	HCGP-HN-CO_00784
CL70Contig1	HCGP-HN-CO_00785
CL710Contig1	HCGP-HN-CO_00786
CL711Contig1	HCGP-HN-CO_00787
CL712Contig1	HCGP-HN-CO_00788
CL713Contig1	HCGP-HN-CO_00789
CL714Contig1	HCGP-HN-CO_00790
CL715Contig1	HCGP-HN-CO_00791
CL716Contig1	HCGP-HN-CO_00792
CL717Contig1	HCGP-HN-CO_00793
CL719Contig1	HCGP-HN-CO_00794
CL71Contig1	HCGP-HN-CO_00795
CL71Contig2	HCGP-HN-CO_00796
CL720Contig1	HCGP-HN-CO_00797
CL721Contig1	HCGP-HN-CO_00798
CL723Contig1	HCGP-HN-CO_00799
CL725Contig1	HCGP-HN-CO_00800
CL726Contig1	HCGP-HN-CO_00801
CL727Contig1	HCGP-HN-CO_00802
CL728Contig1	HCGP-HN-CO_00803
CL729Contig1	HCGP-HN-CO_00804
CL72Contig1	HCGP-HN-CO_00805
CL730Contig1	HCGP-HN-CO_00806
CL731Contig1	HCGP-HN-CO_00807
CL732Contig1	HCGP-HN-CO_00808
CL733Contig1	HCGP-HN-CO_00809
CL734Contig1	HCGP-HN-CO_00810
CL735Contig1	HCGP-HN-CO_00811
CL736Contig1	HCGP-HN-CO_00812
CL737Contig1	HCGP-HN-CO_00813
CL738Contig1	HCGP-HN-CO_00814
CL739Contig1	HCGP-HN-CO_00815
CL73Contig1	HCGP-HN-CO_00816
CL740Contig1	HCGP-HN-CO_00817
CL741Contig1	HCGP-HN-CO_00818
CL742Contig1	HCGP-HN-CO_00819
CL743Contig1	HCGP-HN-CO_00820
CL744Contig1	HCGP-HN-CO_00821
CL745Contig1	HCGP-HN-CO_00822
CL746Contig1	HCGP-HN-CO_00823
CL747Contig1	HCGP-HN-CO_00824
CL748Contig1	HCGP-HN-CO_00825
CL749Contig1	HCGP-HN-CO_00826
CL74Contig1	HCGP-HN-CO_00827
CL750Contig1	HCGP-HN-CO_00828
CL751Contig1	HCGP-HN-CO_00829
CL752Contig1	HCGP-HN-CO_00830
CL753Contig1	HCGP-HN-CO_00831
CL754Contig1	HCGP-HN-CO_00832
CL755Contig1	HCGP-HN-CO_00833
CL756Contig1	HCGP-HN-CO_00834
CL757Contig1	HCGP-HN-CO_00835
CL758Contig1	HCGP-HN-CO_00836
CL759Contig1	HCGP-HN-CO_00837
CL75Contig1	HCGP-HN-CO_00838
CL760Contig1	HCGP-HN-CO_00839
CL761Contig1	HCGP-HN-CO_00840
CL762Contig1	HCGP-HN-CO_00841
CL763Contig1	HCGP-HN-CO_00842
CL764Contig1	HCGP-HN-CO_00843
CL766Contig1	HCGP-HN-CO_00844
CL767Contig1	HCGP-HN-CO_00845
CL769Contig1	HCGP-HN-CO_00846
CL76Contig1	HCGP-HN-CO_00847
CL770Contig1	HCGP-HN-CO_00848
CL771Contig1	HCGP-HN-CO_00849
CL772Contig1	HCGP-HN-CO_00850
CL773Contig1	HCGP-HN-CO_00851
CL774Contig1	HCGP-HN-CO_00852
CL775Contig1	HCGP-HN-CO_00853
CL776Contig1	HCGP-HN-CO_00854
CL777Contig1	HCGP-HN-CO_00855
CL778Contig1	HCGP-HN-CO_00856
CL779Contig1	HCGP-HN-CO_00857
CL77Contig1	HCGP-HN-CO_00858
CL780Contig1	HCGP-HN-CO_00859
CL781Contig1	HCGP-HN-CO_00860
CL782Contig1	HCGP-HN-CO_00861
CL783Contig1	HCGP-HN-CO_00862
CL784Contig1	HCGP-HN-CO_00863
CL785Contig1	HCGP-HN-CO_00864
CL786Contig1	HCGP-HN-CO_00865
CL787Contig1	HCGP-HN-CO_00866
CL788Contig1	HCGP-HN-CO_00867
CL78Contig1	HCGP-HN-CO_00868
CL790Contig1	HCGP-HN-CO_00869
CL791Contig1	HCGP-HN-CO_00870
CL792Contig1	HCGP-HN-CO_00871
CL793Contig1	HCGP-HN-CO_00872
CL794Contig1	HCGP-HN-CO_00873
CL795Contig1	HCGP-HN-CO_00874
CL798Contig1	HCGP-HN-CO_00875
CL799Contig1	HCGP-HN-CO_00876
CL79Contig1	HCGP-HN-CO_00877
CL7Contig1	HCGP-HN-CO_00878
CL7Contig2	HCGP-HN-CO_00879
CL800Contig1	HCGP-HN-CO_00880
CL801Contig1	HCGP-HN-CO_00881
CL802Contig1	HCGP-HN-CO_00882
CL803Contig1	HCGP-HN-CO_00883
CL804Contig1	HCGP-HN-CO_00884
CL805Contig1	HCGP-HN-CO_00885
CL806Contig1	HCGP-HN-CO_00886
CL807Contig1	HCGP-HN-CO_00887
CL808Contig1	HCGP-HN-CO_00888
CL809Contig1	HCGP-HN-CO_00889
CL80Contig1	HCGP-HN-CO_00890
CL80Contig2	HCGP-HN-CO_00891
CL80Contig3	HCGP-HN-CO_00892
CL810Contig1	HCGP-HN-CO_00893
CL811Contig1	HCGP-HN-CO_00894
CL812Contig1	HCGP-HN-CO_00895
CL813Contig1	HCGP-HN-CO_00896
CL814Contig1	HCGP-HN-CO_00897
CL815Contig1	HCGP-HN-CO_00898
CL816Contig1	HCGP-HN-CO_00899
CL817Contig1	HCGP-HN-CO_00900
CL818Contig1	HCGP-HN-CO_00901
CL819Contig1	HCGP-HN-CO_00902
CL81Contig1	HCGP-HN-CO_00903
CL820Contig1	HCGP-HN-CO_00904
CL821Contig1	HCGP-HN-CO_00905
CL822Contig1	HCGP-HN-CO_00906
CL824Contig1	HCGP-HN-CO_00907
CL826Contig1	HCGP-HN-CO_00908
CL828Contig1	HCGP-HN-CO_00909
CL829Contig1	HCGP-HN-CO_00910
CL82Contig1	HCGP-HN-CO_00911
CL830Contig1	HCGP-HN-CO_00912
CL831Contig1	HCGP-HN-CO_00913
CL832Contig1	HCGP-HN-CO_00914
CL833Contig1	HCGP-HN-CO_00915
CL834Contig1	HCGP-HN-CO_00916
CL835Contig1	HCGP-HN-CO_00917
CL836Contig1	HCGP-HN-CO_00918
CL837Contig1	HCGP-HN-CO_00919
CL838Contig1	HCGP-HN-CO_00920
CL839Contig1	HCGP-HN-CO_00921
CL83Contig1	HCGP-HN-CO_00922
CL840Contig1	HCGP-HN-CO_00923
CL841Contig1	HCGP-HN-CO_00924
CL842Contig1	HCGP-HN-CO_00925
CL843Contig1	HCGP-HN-CO_00926
CL844Contig1	HCGP-HN-CO_00927
CL845Contig1	HCGP-HN-CO_00928
CL846Contig1	HCGP-HN-CO_00929
CL847Contig1	HCGP-HN-CO_00930
CL848Contig1	HCGP-HN-CO_00931
CL849Contig1	HCGP-HN-CO_00932
CL84Contig1	HCGP-HN-CO_00933
CL850Contig1	HCGP-HN-CO_00934
CL851Contig1	HCGP-HN-CO_00935
CL852Contig1	HCGP-HN-CO_00936
CL853Contig1	HCGP-HN-CO_00937
CL854Contig1	HCGP-HN-CO_00938
CL855Contig1	HCGP-HN-CO_00939
CL856Contig1	HCGP-HN-CO_00940
CL857Contig1	HCGP-HN-CO_00941
CL858Contig1	HCGP-HN-CO_00942
CL85Contig1	HCGP-HN-CO_00943
CL861Contig1	HCGP-HN-CO_00944
CL862Contig1	HCGP-HN-CO_00945
CL863Contig1	HCGP-HN-CO_00946
CL864Contig1	HCGP-HN-CO_00947
CL865Contig1	HCGP-HN-CO_00948
CL866Contig1	HCGP-HN-CO_00949
CL868Contig1	HCGP-HN-CO_00950
CL869Contig1	HCGP-HN-CO_00951
CL86Contig1	HCGP-HN-CO_00952
CL870Contig1	HCGP-HN-CO_00953
CL871Contig1	HCGP-HN-CO_00954
CL872Contig1	HCGP-HN-CO_00955
CL873Contig1	HCGP-HN-CO_00956
CL874Contig1	HCGP-HN-CO_00957
CL875Contig1	HCGP-HN-CO_00958
CL876Contig1	HCGP-HN-CO_00959
CL877Contig1	HCGP-HN-CO_00960
CL878Contig1	HCGP-HN-CO_00961
CL879Contig1	HCGP-HN-CO_00962
CL87Contig1	HCGP-HN-CO_00963
CL87Contig2	HCGP-HN-CO_00964
CL880Contig1	HCGP-HN-CO_00965
CL881Contig1	HCGP-HN-CO_00966
CL882Contig1	HCGP-HN-CO_00967
CL883Contig1	HCGP-HN-CO_00968
CL884Contig1	HCGP-HN-CO_00969
CL885Contig1	HCGP-HN-CO_00970
CL886Contig1	HCGP-HN-CO_00971
CL888Contig1	HCGP-HN-CO_00972
CL889Contig1	HCGP-HN-CO_00973
CL88Contig1	HCGP-HN-CO_00974
CL891Contig1	HCGP-HN-CO_00975
CL892Contig1	HCGP-HN-CO_00976
CL893Contig1	HCGP-HN-CO_00977
CL894Contig1	HCGP-HN-CO_00978
CL895Contig1	HCGP-HN-CO_00979
CL896Contig1	HCGP-HN-CO_00980
CL897Contig1	HCGP-HN-CO_00981
CL898Contig1	HCGP-HN-CO_00982
CL89Contig1	HCGP-HN-CO_00983
CL8Contig10	HCGP-HN-CO_00984
CL8Contig2	HCGP-HN-CO_00985
CL8Contig3	HCGP-HN-CO_00986
CL8Contig6	HCGP-HN-CO_00987
CL901Contig1	HCGP-HN-CO_00988
CL904Contig1	HCGP-HN-CO_00989
CL905Contig1	HCGP-HN-CO_00990
CL906Contig1	HCGP-HN-CO_00991
CL907Contig1	HCGP-HN-CO_00992
CL908Contig1	HCGP-HN-CO_00993
CL909Contig1	HCGP-HN-CO_00994
CL90Contig1	HCGP-HN-CO_00995
CL911Contig1	HCGP-HN-CO_00996
CL912Contig1	HCGP-HN-CO_00997
CL913Contig1	HCGP-HN-CO_00998
CL914Contig1	HCGP-HN-CO_00999
CL915Contig1	HCGP-HN-CO_01000
CL916Contig1	HCGP-HN-CO_01001
CL917Contig1	HCGP-HN-CO_01002
CL918Contig1	HCGP-HN-CO_01003
CL919Contig1	HCGP-HN-CO_01004
CL91Contig1	HCGP-HN-CO_01005
CL920Contig1	HCGP-HN-CO_01006
CL921Contig1	HCGP-HN-CO_01007
CL922Contig1	HCGP-HN-CO_01008
CL924Contig1	HCGP-HN-CO_01009
CL925Contig1	HCGP-HN-CO_01010
CL926Contig1	HCGP-HN-CO_01011
CL927Contig1	HCGP-HN-CO_01012
CL928Contig1	HCGP-HN-CO_01013
CL929Contig1	HCGP-HN-CO_01014
CL92Contig1	HCGP-HN-CO_01015
CL930Contig1	HCGP-HN-CO_01016
CL931Contig1	HCGP-HN-CO_01017
CL932Contig1	HCGP-HN-CO_01018
CL933Contig1	HCGP-HN-CO_01019
CL934Contig1	HCGP-HN-CO_01020
CL935Contig1	HCGP-HN-CO_01021
CL936Contig1	HCGP-HN-CO_01022
CL938Contig1	HCGP-HN-CO_01023
CL939Contig1	HCGP-HN-CO_01024
CL93Contig1	HCGP-HN-CO_01025
CL940Contig1	HCGP-HN-CO_01026
CL942Contig1	HCGP-HN-CO_01027
CL943Contig1	HCGP-HN-CO_01028
CL945Contig1	HCGP-HN-CO_01029
CL948Contig1	HCGP-HN-CO_01030
CL949Contig1	HCGP-HN-CO_01031
CL94Contig1	HCGP-HN-CO_01032
CL950Contig1	HCGP-HN-CO_01033
CL951Contig1	HCGP-HN-CO_01034
CL952Contig1	HCGP-HN-CO_01035
CL953Contig1	HCGP-HN-CO_01036
CL954Contig1	HCGP-HN-CO_01037
CL955Contig1	HCGP-HN-CO_01038
CL956Contig1	HCGP-HN-CO_01039
CL957Contig1	HCGP-HN-CO_01040
CL958Contig1	HCGP-HN-CO_01041
CL959Contig1	HCGP-HN-CO_01042
CL95Contig1	HCGP-HN-CO_01043
CL960Contig1	HCGP-HN-CO_01044
CL961Contig1	HCGP-HN-CO_01045
CL962Contig1	HCGP-HN-CO_01046
CL964Contig1	HCGP-HN-CO_01047
CL965Contig1	HCGP-HN-CO_01048
CL966Contig1	HCGP-HN-CO_01049
CL967Contig1	HCGP-HN-CO_01050
CL968Contig1	HCGP-HN-CO_01051
CL969Contig1	HCGP-HN-CO_01052
CL96Contig1	HCGP-HN-CO_01053
CL970Contig1	HCGP-HN-CO_01054
CL973Contig1	HCGP-HN-CO_01055
CL974Contig1	HCGP-HN-CO_01056
CL975Contig1	HCGP-HN-CO_01057
CL976Contig1	HCGP-HN-CO_01058
CL978Contig1	HCGP-HN-CO_01059
CL979Contig1	HCGP-HN-CO_01060
CL97Contig1	HCGP-HN-CO_01061
CL980Contig1	HCGP-HN-CO_01062
CL981Contig1	HCGP-HN-CO_01063
CL982Contig1	HCGP-HN-CO_01064
CL985Contig1	HCGP-HN-CO_01065
CL987Contig1	HCGP-HN-CO_01066
CL988Contig1	HCGP-HN-CO_01067
CL98Contig1	HCGP-HN-CO_01068
CL98Contig2	HCGP-HN-CO_01069
CL990Contig1	HCGP-HN-CO_01070
CL991Contig1	HCGP-HN-CO_01071
CL992Contig1	HCGP-HN-CO_01072
CL993Contig1	HCGP-HN-CO_01073
CL994Contig1	HCGP-HN-CO_01074
CL995Contig1	HCGP-HN-CO_01075
CL996Contig1	HCGP-HN-CO_01076
CL998Contig1	HCGP-HN-CO_01077
CL999Contig1	HCGP-HN-CO_01078
CL99Contig1	HCGP-HN-CO_01079
CL9Contig1	HCGP-HN-CO_01080
CL9Contig2	HCGP-HN-CO_01081
CL9Contig3	HCGP-HN-CO_01082
CL9Contig4	HCGP-HN-CO_01083
CL9Contig5	HCGP-HN-CO_01084
CL9Contig6	HCGP-HN-CO_01085
CL9Contig7	HCGP-HN-CO_01086
