#TGICL_NAME	CONTIG_NAME
CL2196Contig1	HCGP-NN-CO_01648
CL2197Contig1	HCGP-NN-CO_01649
CL2198Contig1	HCGP-NN-CO_01650
CL219Contig1	HCGP-NN-CO_01651
CL219Contig2	HCGP-NN-CO_01652
CL21Contig1	HCGP-NN-CO_01653
CL21Contig3	HCGP-NN-CO_01654
CL2201Contig1	HCGP-NN-CO_01655
CL2202Contig1	HCGP-NN-CO_01656
CL2203Contig1	HCGP-NN-CO_01657
CL2204Contig1	HCGP-NN-CO_01658
CL2206Contig1	HCGP-NN-CO_01659
CL2207Contig1	HCGP-NN-CO_01660
CL2208Contig1	HCGP-NN-CO_01661
CL2209Contig1	HCGP-NN-CO_01662
CL220Contig1	HCGP-NN-CO_01663
CL2211Contig1	HCGP-NN-CO_01664
CL2212Contig1	HCGP-NN-CO_01665
CL2213Contig1	HCGP-NN-CO_01666
CL2214Contig1	HCGP-NN-CO_01667
CL2215Contig1	HCGP-NN-CO_01668
CL2216Contig1	HCGP-NN-CO_01669
CL2217Contig1	HCGP-NN-CO_01670
CL2218Contig1	HCGP-NN-CO_01671
CL2219Contig1	HCGP-NN-CO_01672
CL221Contig1	HCGP-NN-CO_01673
CL2220Contig1	HCGP-NN-CO_01674
CL2222Contig1	HCGP-NN-CO_01675
CL2223Contig1	HCGP-NN-CO_01676
CL2224Contig1	HCGP-NN-CO_01677
CL2225Contig1	HCGP-NN-CO_01678
CL2226Contig1	HCGP-NN-CO_01679
CL2227Contig1	HCGP-NN-CO_01680
CL2228Contig1	HCGP-NN-CO_01681
CL2229Contig1	HCGP-NN-CO_01682
CL222Contig1	HCGP-NN-CO_01683
CL2230Contig1	HCGP-NN-CO_01684
CL2231Contig1	HCGP-NN-CO_01685
CL2232Contig1	HCGP-NN-CO_01686
CL2234Contig1	HCGP-NN-CO_01687
CL2235Contig1	HCGP-NN-CO_01688
CL2236Contig1	HCGP-NN-CO_01689
CL2237Contig1	HCGP-NN-CO_01690
CL2238Contig1	HCGP-NN-CO_01691
CL2239Contig1	HCGP-NN-CO_01692
CL223Contig1	HCGP-NN-CO_01693
CL2240Contig1	HCGP-NN-CO_01694
CL2241Contig1	HCGP-NN-CO_01695
CL2242Contig1	HCGP-NN-CO_01696
CL2243Contig1	HCGP-NN-CO_01697
CL2244Contig1	HCGP-NN-CO_01698
CL2245Contig1	HCGP-NN-CO_01699
CL2247Contig1	HCGP-NN-CO_01700
CL2248Contig1	HCGP-NN-CO_01701
CL2249Contig1	HCGP-NN-CO_01702
CL224Contig1	HCGP-NN-CO_01703
CL2250Contig1	HCGP-NN-CO_01704
CL2251Contig1	HCGP-NN-CO_01705
CL2252Contig1	HCGP-NN-CO_01706
CL2253Contig1	HCGP-NN-CO_01707
CL2254Contig1	HCGP-NN-CO_01708
CL2255Contig1	HCGP-NN-CO_01709
CL2256Contig1	HCGP-NN-CO_01710
CL2257Contig1	HCGP-NN-CO_01711
CL2258Contig1	HCGP-NN-CO_01712
CL2259Contig1	HCGP-NN-CO_01713
CL225Contig1	HCGP-NN-CO_01714
CL2260Contig1	HCGP-NN-CO_01715
CL2261Contig1	HCGP-NN-CO_01716
CL2262Contig1	HCGP-NN-CO_01717
CL2263Contig1	HCGP-NN-CO_01718
CL2264Contig1	HCGP-NN-CO_01719
CL2265Contig1	HCGP-NN-CO_01720
CL2266Contig1	HCGP-NN-CO_01721
CL2267Contig1	HCGP-NN-CO_01722
CL2268Contig1	HCGP-NN-CO_01723
CL226Contig1	HCGP-NN-CO_01724
CL226Contig2	HCGP-NN-CO_01725
CL2270Contig1	HCGP-NN-CO_01726
CL2271Contig1	HCGP-NN-CO_01727
CL2272Contig1	HCGP-NN-CO_01728
CL2273Contig1	HCGP-NN-CO_01729
CL2274Contig1	HCGP-NN-CO_01730
CL2275Contig1	HCGP-NN-CO_01731
CL2276Contig1	HCGP-NN-CO_01732
CL2277Contig1	HCGP-NN-CO_01733
CL2278Contig1	HCGP-NN-CO_01734
CL2279Contig1	HCGP-NN-CO_01735
CL227Contig1	HCGP-NN-CO_01736
CL227Contig2	HCGP-NN-CO_01737
CL2280Contig1	HCGP-NN-CO_01738
CL2281Contig1	HCGP-NN-CO_01739
CL2282Contig1	HCGP-NN-CO_01740
CL2283Contig1	HCGP-NN-CO_01741
CL2284Contig1	HCGP-NN-CO_01742
CL2285Contig1	HCGP-NN-CO_01743
CL2286Contig1	HCGP-NN-CO_01744
CL2287Contig1	HCGP-NN-CO_01745
CL2288Contig1	HCGP-NN-CO_01746
CL2289Contig1	HCGP-NN-CO_01747
CL228Contig1	HCGP-NN-CO_01748
CL2290Contig1	HCGP-NN-CO_01749
CL2291Contig1	HCGP-NN-CO_01750
CL2292Contig1	HCGP-NN-CO_01751
CL2293Contig1	HCGP-NN-CO_01752
CL2294Contig1	HCGP-NN-CO_01753
CL2295Contig1	HCGP-NN-CO_01754
CL2297Contig1	HCGP-NN-CO_01755
CL2298Contig1	HCGP-NN-CO_01756
CL2299Contig1	HCGP-NN-CO_01757
CL229Contig1	HCGP-NN-CO_01758
CL22Contig1	HCGP-NN-CO_01759
CL22Contig2	HCGP-NN-CO_01760
CL22Contig3	HCGP-NN-CO_01761
CL22Contig4	HCGP-NN-CO_01762
CL22Contig5	HCGP-NN-CO_01763
CL22Contig6	HCGP-NN-CO_01764
CL22Contig7	HCGP-NN-CO_01765
CL22Contig8	HCGP-NN-CO_01766
CL2300Contig1	HCGP-NN-CO_01767
CL2301Contig1	HCGP-NN-CO_01768
CL2302Contig1	HCGP-NN-CO_01769
CL2303Contig1	HCGP-NN-CO_01770
CL2305Contig1	HCGP-NN-CO_01771
CL2306Contig1	HCGP-NN-CO_01772
CL2307Contig1	HCGP-NN-CO_01773
CL2308Contig1	HCGP-NN-CO_01774
CL2309Contig1	HCGP-NN-CO_01775
CL230Contig1	HCGP-NN-CO_01776
CL2310Contig1	HCGP-NN-CO_01777
CL2311Contig1	HCGP-NN-CO_01778
CL2312Contig1	HCGP-NN-CO_01779
CL2313Contig1	HCGP-NN-CO_01780
CL2314Contig1	HCGP-NN-CO_01781
CL2315Contig1	HCGP-NN-CO_01782
CL2316Contig1	HCGP-NN-CO_01783
CL2317Contig1	HCGP-NN-CO_01784
CL2318Contig1	HCGP-NN-CO_01785
CL231Contig1	HCGP-NN-CO_01786
CL2320Contig1	HCGP-NN-CO_01787
CL2321Contig1	HCGP-NN-CO_01788
CL2323Contig1	HCGP-NN-CO_01789
CL2324Contig1	HCGP-NN-CO_01790
CL2325Contig1	HCGP-NN-CO_01791
CL2326Contig1	HCGP-NN-CO_01792
CL2327Contig1	HCGP-NN-CO_01793
CL2328Contig1	HCGP-NN-CO_01794
CL232Contig1	HCGP-NN-CO_01795
CL2330Contig1	HCGP-NN-CO_01796
CL2331Contig1	HCGP-NN-CO_01797
CL2332Contig1	HCGP-NN-CO_01798
CL2333Contig1	HCGP-NN-CO_01799
CL2334Contig1	HCGP-NN-CO_01800
CL2335Contig1	HCGP-NN-CO_01801
CL2336Contig1	HCGP-NN-CO_01802
CL2338Contig1	HCGP-NN-CO_01803
CL2339Contig1	HCGP-NN-CO_01804
CL233Contig1	HCGP-NN-CO_01805
CL233Contig2	HCGP-NN-CO_01806
CL2340Contig1	HCGP-NN-CO_01807
CL2341Contig1	HCGP-NN-CO_01808
CL2342Contig1	HCGP-NN-CO_01809
CL2343Contig1	HCGP-NN-CO_01810
CL2344Contig1	HCGP-NN-CO_01811
CL2345Contig1	HCGP-NN-CO_01812
CL2346Contig1	HCGP-NN-CO_01813
CL2347Contig1	HCGP-NN-CO_01814
CL2348Contig1	HCGP-NN-CO_01815
CL2349Contig1	HCGP-NN-CO_01816
CL234Contig1	HCGP-NN-CO_01817
CL2350Contig1	HCGP-NN-CO_01818
CL2351Contig1	HCGP-NN-CO_01819
CL2352Contig1	HCGP-NN-CO_01820
CL2353Contig1	HCGP-NN-CO_01821
CL2354Contig1	HCGP-NN-CO_01822
CL2355Contig1	HCGP-NN-CO_01823
CL2356Contig1	HCGP-NN-CO_01824
CL2357Contig1	HCGP-NN-CO_01825
CL2358Contig1	HCGP-NN-CO_01826
CL2359Contig1	HCGP-NN-CO_01827
CL235Contig1	HCGP-NN-CO_01828
CL235Contig2	HCGP-NN-CO_01829
CL2360Contig1	HCGP-NN-CO_01830
CL2361Contig1	HCGP-NN-CO_01831
CL2362Contig1	HCGP-NN-CO_01832
CL2363Contig1	HCGP-NN-CO_01833
CL2364Contig1	HCGP-NN-CO_01834
CL2365Contig1	HCGP-NN-CO_01835
CL2366Contig1	HCGP-NN-CO_01836
CL2367Contig1	HCGP-NN-CO_01837
CL2368Contig1	HCGP-NN-CO_01838
CL2369Contig1	HCGP-NN-CO_01839
CL236Contig1	HCGP-NN-CO_01840
CL2370Contig1	HCGP-NN-CO_01841
CL2371Contig1	HCGP-NN-CO_01842
CL2372Contig1	HCGP-NN-CO_01843
CL2373Contig1	HCGP-NN-CO_01844
CL2374Contig1	HCGP-NN-CO_01845
CL2375Contig1	HCGP-NN-CO_01846
CL2376Contig1	HCGP-NN-CO_01847
CL2377Contig1	HCGP-NN-CO_01848
CL2378Contig1	HCGP-NN-CO_01849
CL2379Contig1	HCGP-NN-CO_01850
CL237Contig1	HCGP-NN-CO_01851
CL2381Contig1	HCGP-NN-CO_01852
CL2382Contig1	HCGP-NN-CO_01853
CL2383Contig1	HCGP-NN-CO_01854
CL2384Contig1	HCGP-NN-CO_01855
CL2385Contig1	HCGP-NN-CO_01856
CL2386Contig1	HCGP-NN-CO_01857
CL2387Contig1	HCGP-NN-CO_01858
CL2388Contig1	HCGP-NN-CO_01859
CL2389Contig1	HCGP-NN-CO_01860
CL238Contig1	HCGP-NN-CO_01861
CL2390Contig1	HCGP-NN-CO_01862
CL2391Contig1	HCGP-NN-CO_01863
CL2392Contig1	HCGP-NN-CO_01864
CL2393Contig1	HCGP-NN-CO_01865
CL2394Contig1	HCGP-NN-CO_01866
CL2395Contig1	HCGP-NN-CO_01867
CL2396Contig1	HCGP-NN-CO_01868
CL2397Contig1	HCGP-NN-CO_01869
CL2398Contig1	HCGP-NN-CO_01870
CL2399Contig1	HCGP-NN-CO_01871
CL239Contig1	HCGP-NN-CO_01872
CL23Contig1	HCGP-NN-CO_01873
CL23Contig2	HCGP-NN-CO_01874
CL2400Contig1	HCGP-NN-CO_01875
CL2401Contig1	HCGP-NN-CO_01876
CL2402Contig1	HCGP-NN-CO_01877
CL2403Contig1	HCGP-NN-CO_01878
CL2404Contig1	HCGP-NN-CO_01879
CL2405Contig1	HCGP-NN-CO_01880
CL2406Contig1	HCGP-NN-CO_01881
CL2407Contig1	HCGP-NN-CO_01882
CL2408Contig1	HCGP-NN-CO_01883
CL2409Contig1	HCGP-NN-CO_01884
CL240Contig1	HCGP-NN-CO_01885
CL240Contig2	HCGP-NN-CO_01886
CL240Contig3	HCGP-NN-CO_01887
CL2410Contig1	HCGP-NN-CO_01888
CL2411Contig1	HCGP-NN-CO_01889
CL2412Contig1	HCGP-NN-CO_01890
CL2413Contig1	HCGP-NN-CO_01891
CL2414Contig1	HCGP-NN-CO_01892
CL2415Contig1	HCGP-NN-CO_01893
CL2416Contig1	HCGP-NN-CO_01894
CL2417Contig1	HCGP-NN-CO_01895
CL2418Contig1	HCGP-NN-CO_01896
CL2419Contig1	HCGP-NN-CO_01897
CL241Contig1	HCGP-NN-CO_01898
CL241Contig2	HCGP-NN-CO_01899
CL2421Contig1	HCGP-NN-CO_01900
CL2422Contig1	HCGP-NN-CO_01901
CL2423Contig1	HCGP-NN-CO_01902
CL2424Contig1	HCGP-NN-CO_01903
CL2425Contig1	HCGP-NN-CO_01904
CL2427Contig1	HCGP-NN-CO_01905
CL2428Contig1	HCGP-NN-CO_01906
CL2429Contig1	HCGP-NN-CO_01907
CL242Contig1	HCGP-NN-CO_01908
CL2430Contig1	HCGP-NN-CO_01909
CL2431Contig1	HCGP-NN-CO_01910
CL2432Contig1	HCGP-NN-CO_01911
CL2433Contig1	HCGP-NN-CO_01912
CL2434Contig1	HCGP-NN-CO_01913
CL2436Contig1	HCGP-NN-CO_01914
CL2437Contig1	HCGP-NN-CO_01915
CL2438Contig1	HCGP-NN-CO_01916
CL2439Contig1	HCGP-NN-CO_01917
CL243Contig1	HCGP-NN-CO_01918
CL2440Contig1	HCGP-NN-CO_01919
CL2441Contig1	HCGP-NN-CO_01920
CL2442Contig1	HCGP-NN-CO_01921
CL2443Contig1	HCGP-NN-CO_01922
CL2444Contig1	HCGP-NN-CO_01923
CL2445Contig1	HCGP-NN-CO_01924
CL2446Contig1	HCGP-NN-CO_01925
CL2447Contig1	HCGP-NN-CO_01926
CL2448Contig1	HCGP-NN-CO_01927
CL2449Contig1	HCGP-NN-CO_01928
CL244Contig1	HCGP-NN-CO_01929
CL2450Contig1	HCGP-NN-CO_01930
CL2451Contig1	HCGP-NN-CO_01931
CL2452Contig1	HCGP-NN-CO_01932
CL2453Contig1	HCGP-NN-CO_01933
CL2454Contig1	HCGP-NN-CO_01934
CL2455Contig1	HCGP-NN-CO_01935
CL2456Contig1	HCGP-NN-CO_01936
CL2457Contig1	HCGP-NN-CO_01937
CL2458Contig1	HCGP-NN-CO_01938
CL2459Contig1	HCGP-NN-CO_01939
CL245Contig1	HCGP-NN-CO_01940
CL245Contig2	HCGP-NN-CO_01941
CL245Contig3	HCGP-NN-CO_01942
CL2460Contig1	HCGP-NN-CO_01943
CL2461Contig1	HCGP-NN-CO_01944
CL2463Contig1	HCGP-NN-CO_01945
CL2464Contig1	HCGP-NN-CO_01946
CL2465Contig1	HCGP-NN-CO_01947
CL2466Contig1	HCGP-NN-CO_01948
CL2467Contig1	HCGP-NN-CO_01949
CL2468Contig1	HCGP-NN-CO_01950
CL2469Contig1	HCGP-NN-CO_01951
CL246Contig1	HCGP-NN-CO_01952
CL246Contig2	HCGP-NN-CO_01953
CL2470Contig1	HCGP-NN-CO_01954
CL2471Contig1	HCGP-NN-CO_01955
CL2472Contig1	HCGP-NN-CO_01956
CL2473Contig1	HCGP-NN-CO_01957
CL2474Contig1	HCGP-NN-CO_01958
CL2475Contig1	HCGP-NN-CO_01959
CL2476Contig1	HCGP-NN-CO_01960
CL2477Contig1	HCGP-NN-CO_01961
CL2478Contig1	HCGP-NN-CO_01962
CL2479Contig1	HCGP-NN-CO_01963
CL247Contig1	HCGP-NN-CO_01964
CL247Contig2	HCGP-NN-CO_01965
CL247Contig3	HCGP-NN-CO_01966
CL2480Contig1	HCGP-NN-CO_01967
CL2481Contig1	HCGP-NN-CO_01968
CL2482Contig1	HCGP-NN-CO_01969
CL2483Contig1	HCGP-NN-CO_01970
CL2484Contig1	HCGP-NN-CO_01971
CL2485Contig1	HCGP-NN-CO_01972
CL2486Contig1	HCGP-NN-CO_01973
CL2487Contig1	HCGP-NN-CO_01974
CL2488Contig1	HCGP-NN-CO_01975
CL2489Contig1	HCGP-NN-CO_01976
CL248Contig1	HCGP-NN-CO_01977
CL2490Contig1	HCGP-NN-CO_01978
CL2491Contig1	HCGP-NN-CO_01979
CL2492Contig1	HCGP-NN-CO_01980
CL2493Contig1	HCGP-NN-CO_01981
CL2494Contig1	HCGP-NN-CO_01982
CL2495Contig1	HCGP-NN-CO_01983
CL2496Contig1	HCGP-NN-CO_01984
CL2497Contig1	HCGP-NN-CO_01985
CL2498Contig1	HCGP-NN-CO_01986
CL2499Contig1	HCGP-NN-CO_01987
CL249Contig1	HCGP-NN-CO_01988
CL249Contig2	HCGP-NN-CO_01989
CL24Contig1	HCGP-NN-CO_01990
CL2500Contig1	HCGP-NN-CO_01991
CL2501Contig1	HCGP-NN-CO_01992
CL2502Contig1	HCGP-NN-CO_01993
CL2506Contig1	HCGP-NN-CO_01994
CL2507Contig1	HCGP-NN-CO_01995
CL2508Contig1	HCGP-NN-CO_01996
CL2509Contig1	HCGP-NN-CO_01997
CL250Contig1	HCGP-NN-CO_01998
CL2510Contig1	HCGP-NN-CO_01999
CL2511Contig1	HCGP-NN-CO_02000
CL2512Contig1	HCGP-NN-CO_02001
CL2513Contig1	HCGP-NN-CO_02002
CL2514Contig1	HCGP-NN-CO_02003
CL2515Contig1	HCGP-NN-CO_02004
CL2516Contig1	HCGP-NN-CO_02005
CL2517Contig1	HCGP-NN-CO_02006
CL2518Contig1	HCGP-NN-CO_02007
CL2519Contig1	HCGP-NN-CO_02008
CL251Contig1	HCGP-NN-CO_02009
CL2520Contig1	HCGP-NN-CO_02010
CL2521Contig1	HCGP-NN-CO_02011
CL2522Contig1	HCGP-NN-CO_02012
CL2523Contig1	HCGP-NN-CO_02013
CL2524Contig1	HCGP-NN-CO_02014
CL2526Contig1	HCGP-NN-CO_02015
CL2527Contig1	HCGP-NN-CO_02016
CL2528Contig1	HCGP-NN-CO_02017
CL2529Contig1	HCGP-NN-CO_02018
CL252Contig1	HCGP-NN-CO_02019
CL2530Contig1	HCGP-NN-CO_02020
CL2531Contig1	HCGP-NN-CO_02021
CL2533Contig1	HCGP-NN-CO_02022
CL2534Contig1	HCGP-NN-CO_02023
CL2535Contig1	HCGP-NN-CO_02024
CL2536Contig1	HCGP-NN-CO_02025
CL2537Contig1	HCGP-NN-CO_02026
CL2538Contig1	HCGP-NN-CO_02027
CL2539Contig1	HCGP-NN-CO_02028
CL253Contig1	HCGP-NN-CO_02029
CL2540Contig1	HCGP-NN-CO_02030
CL2541Contig1	HCGP-NN-CO_02031
CL2542Contig1	HCGP-NN-CO_02032
CL2543Contig1	HCGP-NN-CO_02033
CL2544Contig1	HCGP-NN-CO_02034
CL2545Contig1	HCGP-NN-CO_02035
CL2546Contig1	HCGP-NN-CO_02036
CL2547Contig1	HCGP-NN-CO_02037
CL2548Contig1	HCGP-NN-CO_02038
CL2549Contig1	HCGP-NN-CO_02039
CL254Contig1	HCGP-NN-CO_02040
CL2550Contig1	HCGP-NN-CO_02041
CL2551Contig1	HCGP-NN-CO_02042
CL2552Contig1	HCGP-NN-CO_02043
CL2553Contig1	HCGP-NN-CO_02044
CL2554Contig1	HCGP-NN-CO_02045
CL2555Contig1	HCGP-NN-CO_02046
CL2556Contig1	HCGP-NN-CO_02047
CL2558Contig1	HCGP-NN-CO_02048
CL255Contig1	HCGP-NN-CO_02049
CL2560Contig1	HCGP-NN-CO_02050
CL2561Contig1	HCGP-NN-CO_02051
CL2562Contig1	HCGP-NN-CO_02052
CL2563Contig1	HCGP-NN-CO_02053
CL2564Contig1	HCGP-NN-CO_02054
CL2565Contig1	HCGP-NN-CO_02055
CL2566Contig1	HCGP-NN-CO_02056
CL2567Contig1	HCGP-NN-CO_02057
CL2568Contig1	HCGP-NN-CO_02058
CL256Contig1	HCGP-NN-CO_02059
CL2570Contig1	HCGP-NN-CO_02060
CL2571Contig1	HCGP-NN-CO_02061
CL2572Contig1	HCGP-NN-CO_02062
CL2573Contig1	HCGP-NN-CO_02063
CL2574Contig1	HCGP-NN-CO_02064
CL2575Contig1	HCGP-NN-CO_02065
CL2576Contig1	HCGP-NN-CO_02066
CL2578Contig1	HCGP-NN-CO_02067
CL2579Contig1	HCGP-NN-CO_02068
CL257Contig1	HCGP-NN-CO_02069
CL2580Contig1	HCGP-NN-CO_02070
CL2581Contig1	HCGP-NN-CO_02071
CL2582Contig1	HCGP-NN-CO_02072
CL2583Contig1	HCGP-NN-CO_02073
CL2585Contig1	HCGP-NN-CO_02074
CL2586Contig1	HCGP-NN-CO_02075
CL2587Contig1	HCGP-NN-CO_02076
CL2588Contig1	HCGP-NN-CO_02077
CL2589Contig1	HCGP-NN-CO_02078
CL258Contig1	HCGP-NN-CO_02079
CL258Contig2	HCGP-NN-CO_02080
CL2590Contig1	HCGP-NN-CO_02081
CL2591Contig1	HCGP-NN-CO_02082
CL2592Contig1	HCGP-NN-CO_02083
CL2593Contig1	HCGP-NN-CO_02084
CL2594Contig1	HCGP-NN-CO_02085
CL2595Contig1	HCGP-NN-CO_02086
CL2596Contig1	HCGP-NN-CO_02087
CL2597Contig1	HCGP-NN-CO_02088
CL2598Contig1	HCGP-NN-CO_02089
CL2599Contig1	HCGP-NN-CO_02090
CL259Contig1	HCGP-NN-CO_02091
CL25Contig1	HCGP-NN-CO_02092
CL2600Contig1	HCGP-NN-CO_02093
CL2601Contig1	HCGP-NN-CO_02094
CL2602Contig1	HCGP-NN-CO_02095
CL2603Contig1	HCGP-NN-CO_02096
CL2604Contig1	HCGP-NN-CO_02097
CL2605Contig1	HCGP-NN-CO_02098
CL2606Contig1	HCGP-NN-CO_02099
CL2607Contig1	HCGP-NN-CO_02100
CL2608Contig1	HCGP-NN-CO_02101
CL2609Contig1	HCGP-NN-CO_02102
CL260Contig1	HCGP-NN-CO_02103
CL2610Contig1	HCGP-NN-CO_02104
CL2611Contig1	HCGP-NN-CO_02105
CL2612Contig1	HCGP-NN-CO_02106
CL2613Contig1	HCGP-NN-CO_02107
CL2614Contig1	HCGP-NN-CO_02108
CL2615Contig1	HCGP-NN-CO_02109
CL2617Contig1	HCGP-NN-CO_02110
CL2618Contig1	HCGP-NN-CO_02111
CL2619Contig1	HCGP-NN-CO_02112
CL261Contig1	HCGP-NN-CO_02113
CL2620Contig1	HCGP-NN-CO_02114
CL2621Contig1	HCGP-NN-CO_02115
CL2622Contig1	HCGP-NN-CO_02116
CL2623Contig1	HCGP-NN-CO_02117
CL2624Contig1	HCGP-NN-CO_02118
CL2625Contig1	HCGP-NN-CO_02119
CL2626Contig1	HCGP-NN-CO_02120
CL2627Contig1	HCGP-NN-CO_02121
CL2628Contig1	HCGP-NN-CO_02122
CL2629Contig1	HCGP-NN-CO_02123
CL262Contig1	HCGP-NN-CO_02124
CL262Contig2	HCGP-NN-CO_02125
CL2630Contig1	HCGP-NN-CO_02126
CL2631Contig1	HCGP-NN-CO_02127
CL2632Contig1	HCGP-NN-CO_02128
CL2634Contig1	HCGP-NN-CO_02129
CL2635Contig1	HCGP-NN-CO_02130
CL2636Contig1	HCGP-NN-CO_02131
CL2637Contig1	HCGP-NN-CO_02132
CL2638Contig1	HCGP-NN-CO_02133
CL2639Contig1	HCGP-NN-CO_02134
CL263Contig1	HCGP-NN-CO_02135
CL2640Contig1	HCGP-NN-CO_02136
CL2641Contig1	HCGP-NN-CO_02137
CL2642Contig1	HCGP-NN-CO_02138
CL2643Contig1	HCGP-NN-CO_02139
CL2644Contig1	HCGP-NN-CO_02140
CL2645Contig1	HCGP-NN-CO_02141
CL2646Contig1	HCGP-NN-CO_02142
CL2647Contig1	HCGP-NN-CO_02143
CL2648Contig1	HCGP-NN-CO_02144
CL264Contig1	HCGP-NN-CO_02145
CL2650Contig1	HCGP-NN-CO_02146
CL2651Contig1	HCGP-NN-CO_02147
CL2652Contig1	HCGP-NN-CO_02148
CL2653Contig1	HCGP-NN-CO_02149
CL2654Contig1	HCGP-NN-CO_02150
CL2655Contig1	HCGP-NN-CO_02151
CL2656Contig1	HCGP-NN-CO_02152
CL2657Contig1	HCGP-NN-CO_02153
CL2658Contig1	HCGP-NN-CO_02154
CL2659Contig1	HCGP-NN-CO_02155
CL265Contig1	HCGP-NN-CO_02156
CL2660Contig1	HCGP-NN-CO_02157
CL2661Contig1	HCGP-NN-CO_02158
CL2662Contig1	HCGP-NN-CO_02159
CL2663Contig1	HCGP-NN-CO_02160
CL2664Contig1	HCGP-NN-CO_02161
CL2665Contig1	HCGP-NN-CO_02162
CL2666Contig1	HCGP-NN-CO_02163
CL2667Contig1	HCGP-NN-CO_02164
CL2668Contig1	HCGP-NN-CO_02165
CL2669Contig1	HCGP-NN-CO_02166
CL266Contig1	HCGP-NN-CO_02167
CL2672Contig1	HCGP-NN-CO_02168
CL2673Contig1	HCGP-NN-CO_02169
CL2675Contig1	HCGP-NN-CO_02170
CL2676Contig1	HCGP-NN-CO_02171
CL2677Contig1	HCGP-NN-CO_02172
CL2678Contig1	HCGP-NN-CO_02173
CL2679Contig1	HCGP-NN-CO_02174
CL267Contig1	HCGP-NN-CO_02175
CL2680Contig1	HCGP-NN-CO_02176
CL2681Contig1	HCGP-NN-CO_02177
CL2682Contig1	HCGP-NN-CO_02178
CL2684Contig1	HCGP-NN-CO_02179
CL2685Contig1	HCGP-NN-CO_02180
CL2687Contig1	HCGP-NN-CO_02181
CL2688Contig1	HCGP-NN-CO_02182
CL2689Contig1	HCGP-NN-CO_02183
CL268Contig1	HCGP-NN-CO_02184
CL2690Contig1	HCGP-NN-CO_02185
CL2691Contig1	HCGP-NN-CO_02186
CL2693Contig1	HCGP-NN-CO_02187
CL2694Contig1	HCGP-NN-CO_02188
CL2695Contig1	HCGP-NN-CO_02189
CL2696Contig1	HCGP-NN-CO_02190
CL2697Contig1	HCGP-NN-CO_02191
CL2698Contig1	HCGP-NN-CO_02192
CL2699Contig1	HCGP-NN-CO_02193
CL269Contig1	HCGP-NN-CO_02194
CL26Contig1	HCGP-NN-CO_02195
CL2701Contig1	HCGP-NN-CO_02196
CL2703Contig1	HCGP-NN-CO_02197
CL2704Contig1	HCGP-NN-CO_02198
CL2705Contig1	HCGP-NN-CO_02199
CL2706Contig1	HCGP-NN-CO_02200
CL2707Contig1	HCGP-NN-CO_02201
CL2708Contig1	HCGP-NN-CO_02202
CL2709Contig1	HCGP-NN-CO_02203
CL270Contig1	HCGP-NN-CO_02204
CL2710Contig1	HCGP-NN-CO_02205
CL2711Contig1	HCGP-NN-CO_02206
CL2712Contig1	HCGP-NN-CO_02207
CL2713Contig1	HCGP-NN-CO_02208
CL2714Contig1	HCGP-NN-CO_02209
CL2715Contig1	HCGP-NN-CO_02210
CL2716Contig1	HCGP-NN-CO_02211
CL2717Contig1	HCGP-NN-CO_02212
CL2718Contig1	HCGP-NN-CO_02213
CL2719Contig1	HCGP-NN-CO_02214
CL271Contig1	HCGP-NN-CO_02215
CL2720Contig1	HCGP-NN-CO_02216
CL2722Contig1	HCGP-NN-CO_02217
CL2723Contig1	HCGP-NN-CO_02218
CL2724Contig1	HCGP-NN-CO_02219
CL2725Contig1	HCGP-NN-CO_02220
CL2726Contig1	HCGP-NN-CO_02221
CL2727Contig1	HCGP-NN-CO_02222
CL2728Contig1	HCGP-NN-CO_02223
CL2729Contig1	HCGP-NN-CO_02224
CL272Contig1	HCGP-NN-CO_02225
CL2730Contig1	HCGP-NN-CO_02226
CL2731Contig1	HCGP-NN-CO_02227
CL2732Contig1	HCGP-NN-CO_02228
CL2733Contig1	HCGP-NN-CO_02229
CL2734Contig1	HCGP-NN-CO_02230
CL2735Contig1	HCGP-NN-CO_02231
CL2736Contig1	HCGP-NN-CO_02232
CL2737Contig1	HCGP-NN-CO_02233
CL2738Contig1	HCGP-NN-CO_02234
CL2739Contig1	HCGP-NN-CO_02235
CL273Contig1	HCGP-NN-CO_02236
CL2740Contig1	HCGP-NN-CO_02237
CL2741Contig1	HCGP-NN-CO_02238
CL2742Contig1	HCGP-NN-CO_02239
CL2743Contig1	HCGP-NN-CO_02240
CL2744Contig1	HCGP-NN-CO_02241
CL2745Contig1	HCGP-NN-CO_02242
CL2747Contig1	HCGP-NN-CO_02243
CL2748Contig1	HCGP-NN-CO_02244
CL2749Contig1	HCGP-NN-CO_02245
CL274Contig1	HCGP-NN-CO_02246
CL2750Contig1	HCGP-NN-CO_02247
CL2751Contig1	HCGP-NN-CO_02248
CL2752Contig1	HCGP-NN-CO_02249
CL2753Contig1	HCGP-NN-CO_02250
CL2754Contig1	HCGP-NN-CO_02251
CL2756Contig1	HCGP-NN-CO_02252
CL2757Contig1	HCGP-NN-CO_02253
CL2758Contig1	HCGP-NN-CO_02254
CL2759Contig1	HCGP-NN-CO_02255
CL275Contig1	HCGP-NN-CO_02256
CL2760Contig1	HCGP-NN-CO_02257
CL2761Contig1	HCGP-NN-CO_02258
