#TGICL_NAME	CONTIG_NAME
CL1121Contig1	HCGP-CN-CO_00122
CL1122Contig1	HCGP-CN-CO_00123
CL1123Contig1	HCGP-CN-CO_00124
CL1124Contig1	HCGP-CN-CO_00125
CL1125Contig1	HCGP-CN-CO_00126
CL1126Contig1	HCGP-CN-CO_00127
CL1127Contig1	HCGP-CN-CO_00128
CL1128Contig1	HCGP-CN-CO_00129
CL112Contig1	HCGP-CN-CO_00130
CL1130Contig1	HCGP-CN-CO_00131
CL1131Contig1	HCGP-CN-CO_00132
CL1132Contig1	HCGP-CN-CO_00133
CL1133Contig1	HCGP-CN-CO_00134
CL1134Contig1	HCGP-CN-CO_00135
CL1135Contig1	HCGP-CN-CO_00136
CL1136Contig1	HCGP-CN-CO_00137
CL1138Contig1	HCGP-CN-CO_00138
CL1139Contig1	HCGP-CN-CO_00139
CL113Contig1	HCGP-CN-CO_00140
CL1140Contig1	HCGP-CN-CO_00141
CL1141Contig1	HCGP-CN-CO_00142
CL1142Contig1	HCGP-CN-CO_00143
CL1143Contig1	HCGP-CN-CO_00144
CL1144Contig1	HCGP-CN-CO_00145
CL1145Contig1	HCGP-CN-CO_00146
CL1147Contig1	HCGP-CN-CO_00147
CL1149Contig1	HCGP-CN-CO_00148
CL114Contig1	HCGP-CN-CO_00149
CL1150Contig1	HCGP-CN-CO_00150
CL1151Contig1	HCGP-CN-CO_00151
CL1152Contig1	HCGP-CN-CO_00152
CL1153Contig1	HCGP-CN-CO_00153
CL1154Contig1	HCGP-CN-CO_00154
CL1155Contig1	HCGP-CN-CO_00155
CL1156Contig1	HCGP-CN-CO_00156
CL1158Contig1	HCGP-CN-CO_00157
CL1159Contig1	HCGP-CN-CO_00158
CL115Contig1	HCGP-CN-CO_00159
CL1160Contig1	HCGP-CN-CO_00160
CL1162Contig1	HCGP-CN-CO_00161
CL1163Contig1	HCGP-CN-CO_00162
CL1164Contig1	HCGP-CN-CO_00163
CL1165Contig1	HCGP-CN-CO_00164
CL1166Contig1	HCGP-CN-CO_00165
CL1167Contig1	HCGP-CN-CO_00166
CL1168Contig1	HCGP-CN-CO_00167
CL1169Contig1	HCGP-CN-CO_00168
CL116Contig1	HCGP-CN-CO_00169
CL1170Contig1	HCGP-CN-CO_00170
CL1171Contig1	HCGP-CN-CO_00171
CL1172Contig1	HCGP-CN-CO_00172
CL1173Contig1	HCGP-CN-CO_00173
CL1174Contig1	HCGP-CN-CO_00174
CL1175Contig1	HCGP-CN-CO_00175
CL1176Contig1	HCGP-CN-CO_00176
CL1177Contig1	HCGP-CN-CO_00177
CL1178Contig1	HCGP-CN-CO_00178
CL1179Contig1	HCGP-CN-CO_00179
CL1180Contig1	HCGP-CN-CO_00180
CL1182Contig1	HCGP-CN-CO_00181
CL1183Contig1	HCGP-CN-CO_00182
CL1185Contig1	HCGP-CN-CO_00183
CL1186Contig1	HCGP-CN-CO_00184
CL1187Contig1	HCGP-CN-CO_00185
CL1188Contig1	HCGP-CN-CO_00186
CL118Contig1	HCGP-CN-CO_00187
CL118Contig2	HCGP-CN-CO_00188
CL1191Contig1	HCGP-CN-CO_00189
CL1192Contig1	HCGP-CN-CO_00190
CL1193Contig1	HCGP-CN-CO_00191
CL1194Contig1	HCGP-CN-CO_00192
CL1195Contig1	HCGP-CN-CO_00193
CL1196Contig1	HCGP-CN-CO_00194
CL1197Contig1	HCGP-CN-CO_00195
CL1198Contig1	HCGP-CN-CO_00196
CL1199Contig1	HCGP-CN-CO_00197
CL119Contig1	HCGP-CN-CO_00198
CL11Contig1	HCGP-CN-CO_00199
CL11Contig2	HCGP-CN-CO_00200
CL11Contig3	HCGP-CN-CO_00201
CL1202Contig1	HCGP-CN-CO_00202
CL1203Contig1	HCGP-CN-CO_00203
CL1204Contig1	HCGP-CN-CO_00204
CL1205Contig1	HCGP-CN-CO_00205
CL1206Contig1	HCGP-CN-CO_00206
CL1207Contig1	HCGP-CN-CO_00207
CL1208Contig1	HCGP-CN-CO_00208
CL1209Contig1	HCGP-CN-CO_00209
CL120Contig1	HCGP-CN-CO_00210
CL1210Contig1	HCGP-CN-CO_00211
CL1211Contig1	HCGP-CN-CO_00212
CL1212Contig1	HCGP-CN-CO_00213
CL1213Contig1	HCGP-CN-CO_00214
CL1214Contig1	HCGP-CN-CO_00215
CL1215Contig1	HCGP-CN-CO_00216
CL1216Contig1	HCGP-CN-CO_00217
CL1217Contig1	HCGP-CN-CO_00218
