#TGICL_NAME	CONTIG_NAME
CL32Contig3	HCGP-CN-CO_00617
CL330Contig1	HCGP-CN-CO_00618
CL331Contig1	HCGP-CN-CO_00619
CL332Contig1	HCGP-CN-CO_00620
CL333Contig1	HCGP-CN-CO_00621
CL334Contig1	HCGP-CN-CO_00622
CL335Contig1	HCGP-CN-CO_00623
CL336Contig1	HCGP-CN-CO_00624
CL337Contig1	HCGP-CN-CO_00625
CL338Contig1	HCGP-CN-CO_00626
CL339Contig1	HCGP-CN-CO_00627
CL33Contig1	HCGP-CN-CO_00628
CL340Contig1	HCGP-CN-CO_00629
CL341Contig1	HCGP-CN-CO_00630
CL342Contig1	HCGP-CN-CO_00631
CL343Contig1	HCGP-CN-CO_00632
CL344Contig1	HCGP-CN-CO_00633
CL345Contig1	HCGP-CN-CO_00634
CL346Contig1	HCGP-CN-CO_00635
CL347Contig1	HCGP-CN-CO_00636
CL348Contig1	HCGP-CN-CO_00637
CL349Contig1	HCGP-CN-CO_00638
CL34Contig1	HCGP-CN-CO_00639
CL34Contig2	HCGP-CN-CO_00640
CL350Contig1	HCGP-CN-CO_00641
CL351Contig1	HCGP-CN-CO_00642
CL352Contig1	HCGP-CN-CO_00643
CL353Contig1	HCGP-CN-CO_00644
CL354Contig1	HCGP-CN-CO_00645
CL356Contig1	HCGP-CN-CO_00646
CL357Contig1	HCGP-CN-CO_00647
CL358Contig1	HCGP-CN-CO_00648
CL35Contig1	HCGP-CN-CO_00649
CL35Contig2	HCGP-CN-CO_00650
CL360Contig1	HCGP-CN-CO_00651
CL361Contig1	HCGP-CN-CO_00652
CL362Contig1	HCGP-CN-CO_00653
CL363Contig1	HCGP-CN-CO_00654
CL364Contig1	HCGP-CN-CO_00655
CL365Contig1	HCGP-CN-CO_00656
CL366Contig1	HCGP-CN-CO_00657
CL367Contig1	HCGP-CN-CO_00658
CL368Contig1	HCGP-CN-CO_00659
CL369Contig1	HCGP-CN-CO_00660
CL36Contig1	HCGP-CN-CO_00661
CL370Contig1	HCGP-CN-CO_00662
CL371Contig1	HCGP-CN-CO_00663
CL372Contig1	HCGP-CN-CO_00664
CL373Contig1	HCGP-CN-CO_00665
CL374Contig1	HCGP-CN-CO_00666
CL375Contig1	HCGP-CN-CO_00667
CL376Contig1	HCGP-CN-CO_00668
CL377Contig1	HCGP-CN-CO_00669
CL378Contig1	HCGP-CN-CO_00670
CL379Contig1	HCGP-CN-CO_00671
CL37Contig1	HCGP-CN-CO_00672
CL37Contig2	HCGP-CN-CO_00673
CL380Contig1	HCGP-CN-CO_00674
CL381Contig1	HCGP-CN-CO_00675
CL382Contig1	HCGP-CN-CO_00676
CL383Contig1	HCGP-CN-CO_00677
CL384Contig1	HCGP-CN-CO_00678
CL385Contig1	HCGP-CN-CO_00679
CL386Contig1	HCGP-CN-CO_00680
CL387Contig1	HCGP-CN-CO_00681
CL388Contig1	HCGP-CN-CO_00682
CL389Contig1	HCGP-CN-CO_00683
CL38Contig1	HCGP-CN-CO_00684
CL390Contig1	HCGP-CN-CO_00685
CL391Contig1	HCGP-CN-CO_00686
CL392Contig1	HCGP-CN-CO_00687
CL393Contig1	HCGP-CN-CO_00688
CL394Contig1	HCGP-CN-CO_00689
CL395Contig1	HCGP-CN-CO_00690
CL396Contig1	HCGP-CN-CO_00691
CL397Contig1	HCGP-CN-CO_00692
CL398Contig1	HCGP-CN-CO_00693
CL399Contig1	HCGP-CN-CO_00694
CL39Contig1	HCGP-CN-CO_00695
CL3Contig1	HCGP-CN-CO_00696
CL3Contig2	HCGP-CN-CO_00697
CL3Contig3	HCGP-CN-CO_00698
CL3Contig4	HCGP-CN-CO_00699
CL3Contig5	HCGP-CN-CO_00700
CL3Contig6	HCGP-CN-CO_00701
CL3Contig7	HCGP-CN-CO_00702
CL3Contig8	HCGP-CN-CO_00703
CL400Contig1	HCGP-CN-CO_00704
CL401Contig1	HCGP-CN-CO_00705
CL402Contig1	HCGP-CN-CO_00706
CL403Contig1	HCGP-CN-CO_00707
CL404Contig1	HCGP-CN-CO_00708
CL405Contig1	HCGP-CN-CO_00709
CL406Contig1	HCGP-CN-CO_00710
CL407Contig1	HCGP-CN-CO_00711
CL408Contig1	HCGP-CN-CO_00712
CL409Contig1	HCGP-CN-CO_00713
CL40Contig1	HCGP-CN-CO_00714
CL40Contig2	HCGP-CN-CO_00715
CL410Contig1	HCGP-CN-CO_00716
CL412Contig1	HCGP-CN-CO_00717
CL413Contig1	HCGP-CN-CO_00718
CL414Contig1	HCGP-CN-CO_00719
CL415Contig1	HCGP-CN-CO_00720
CL416Contig1	HCGP-CN-CO_00721
CL417Contig1	HCGP-CN-CO_00722
CL419Contig1	HCGP-CN-CO_00723
CL41Contig1	HCGP-CN-CO_00724
CL420Contig1	HCGP-CN-CO_00725
CL421Contig1	HCGP-CN-CO_00726
CL422Contig1	HCGP-CN-CO_00727
CL423Contig1	HCGP-CN-CO_00728
CL424Contig1	HCGP-CN-CO_00729
CL425Contig1	HCGP-CN-CO_00730
CL426Contig1	HCGP-CN-CO_00731
CL427Contig1	HCGP-CN-CO_00732
CL428Contig1	HCGP-CN-CO_00733
CL429Contig1	HCGP-CN-CO_00734
CL42Contig1	HCGP-CN-CO_00735
CL430Contig1	HCGP-CN-CO_00736
CL431Contig1	HCGP-CN-CO_00737
CL432Contig1	HCGP-CN-CO_00738
CL434Contig1	HCGP-CN-CO_00739
CL435Contig1	HCGP-CN-CO_00740
CL436Contig1	HCGP-CN-CO_00741
CL437Contig1	HCGP-CN-CO_00742
CL438Contig1	HCGP-CN-CO_00743
CL439Contig1	HCGP-CN-CO_00744
CL43Contig1	HCGP-CN-CO_00745
CL440Contig1	HCGP-CN-CO_00746
CL441Contig1	HCGP-CN-CO_00747
CL442Contig1	HCGP-CN-CO_00748
CL444Contig1	HCGP-CN-CO_00749
CL445Contig1	HCGP-CN-CO_00750
CL446Contig1	HCGP-CN-CO_00751
CL447Contig1	HCGP-CN-CO_00752
CL448Contig1	HCGP-CN-CO_00753
CL449Contig1	HCGP-CN-CO_00754
CL44Contig1	HCGP-CN-CO_00755
CL44Contig2	HCGP-CN-CO_00756
CL450Contig1	HCGP-CN-CO_00757
CL451Contig1	HCGP-CN-CO_00758
CL452Contig1	HCGP-CN-CO_00759
CL453Contig1	HCGP-CN-CO_00760
CL454Contig1	HCGP-CN-CO_00761
CL455Contig1	HCGP-CN-CO_00762
CL456Contig1	HCGP-CN-CO_00763
CL457Contig1	HCGP-CN-CO_00764
CL459Contig1	HCGP-CN-CO_00765
CL45Contig2	HCGP-CN-CO_00766
CL460Contig1	HCGP-CN-CO_00767
CL461Contig1	HCGP-CN-CO_00768
CL463Contig1	HCGP-CN-CO_00769
CL464Contig1	HCGP-CN-CO_00770
CL465Contig1	HCGP-CN-CO_00771
CL467Contig1	HCGP-CN-CO_00772
CL469Contig1	HCGP-CN-CO_00773
CL46Contig1	HCGP-CN-CO_00774
CL46Contig2	HCGP-CN-CO_00775
CL470Contig1	HCGP-CN-CO_00776
CL474Contig1	HCGP-CN-CO_00777
CL475Contig1	HCGP-CN-CO_00778
CL476Contig1	HCGP-CN-CO_00779
CL477Contig1	HCGP-CN-CO_00780
CL478Contig1	HCGP-CN-CO_00781
CL479Contig1	HCGP-CN-CO_00782
CL47Contig1	HCGP-CN-CO_00783
CL47Contig2	HCGP-CN-CO_00784
CL480Contig1	HCGP-CN-CO_00785
CL481Contig1	HCGP-CN-CO_00786
CL482Contig1	HCGP-CN-CO_00787
CL483Contig1	HCGP-CN-CO_00788
CL484Contig1	HCGP-CN-CO_00789
CL485Contig1	HCGP-CN-CO_00790
CL487Contig1	HCGP-CN-CO_00791
CL488Contig1	HCGP-CN-CO_00792
CL489Contig1	HCGP-CN-CO_00793
CL48Contig1	HCGP-CN-CO_00794
CL490Contig1	HCGP-CN-CO_00795
CL491Contig1	HCGP-CN-CO_00796
CL492Contig1	HCGP-CN-CO_00797
CL493Contig1	HCGP-CN-CO_00798
CL494Contig1	HCGP-CN-CO_00799
CL495Contig1	HCGP-CN-CO_00800
CL497Contig1	HCGP-CN-CO_00801
CL499Contig1	HCGP-CN-CO_00802
CL49Contig1	HCGP-CN-CO_00803
CL49Contig2	HCGP-CN-CO_00804
CL4Contig1	HCGP-CN-CO_00805
CL4Contig2	HCGP-CN-CO_00806
CL4Contig3	HCGP-CN-CO_00807
CL4Contig4	HCGP-CN-CO_00808
CL4Contig5	HCGP-CN-CO_00809
CL4Contig6	HCGP-CN-CO_00810
CL4Contig7	HCGP-CN-CO_00811
CL4Contig8	HCGP-CN-CO_00812
CL500Contig1	HCGP-CN-CO_00813
CL502Contig1	HCGP-CN-CO_00814
CL503Contig1	HCGP-CN-CO_00815
CL504Contig1	HCGP-CN-CO_00816
CL505Contig1	HCGP-CN-CO_00817
CL506Contig1	HCGP-CN-CO_00818
CL508Contig1	HCGP-CN-CO_00819
CL509Contig1	HCGP-CN-CO_00820
CL50Contig1	HCGP-CN-CO_00821
CL50Contig2	HCGP-CN-CO_00822
CL510Contig1	HCGP-CN-CO_00823
CL511Contig1	HCGP-CN-CO_00824
CL512Contig1	HCGP-CN-CO_00825
CL513Contig1	HCGP-CN-CO_00826
CL514Contig1	HCGP-CN-CO_00827
CL515Contig1	HCGP-CN-CO_00828
CL516Contig1	HCGP-CN-CO_00829
CL517Contig1	HCGP-CN-CO_00830
CL518Contig1	HCGP-CN-CO_00831
CL519Contig1	HCGP-CN-CO_00832
CL51Contig1	HCGP-CN-CO_00833
CL51Contig2	HCGP-CN-CO_00834
CL520Contig1	HCGP-CN-CO_00835
CL521Contig1	HCGP-CN-CO_00836
CL522Contig1	HCGP-CN-CO_00837
CL523Contig1	HCGP-CN-CO_00838
CL524Contig1	HCGP-CN-CO_00839
CL525Contig1	HCGP-CN-CO_00840
CL526Contig1	HCGP-CN-CO_00841
CL527Contig1	HCGP-CN-CO_00842
CL529Contig1	HCGP-CN-CO_00843
CL52Contig1	HCGP-CN-CO_00844
CL531Contig1	HCGP-CN-CO_00845
CL532Contig1	HCGP-CN-CO_00846
CL533Contig1	HCGP-CN-CO_00847
CL534Contig1	HCGP-CN-CO_00848
CL536Contig1	HCGP-CN-CO_00849
CL537Contig1	HCGP-CN-CO_00850
CL538Contig1	HCGP-CN-CO_00851
CL539Contig1	HCGP-CN-CO_00852
CL53Contig1	HCGP-CN-CO_00853
CL53Contig2	HCGP-CN-CO_00854
CL540Contig1	HCGP-CN-CO_00855
CL541Contig1	HCGP-CN-CO_00856
CL542Contig1	HCGP-CN-CO_00857
CL543Contig1	HCGP-CN-CO_00858
CL545Contig1	HCGP-CN-CO_00859
CL546Contig1	HCGP-CN-CO_00860
CL547Contig1	HCGP-CN-CO_00861
CL548Contig1	HCGP-CN-CO_00862
CL549Contig1	HCGP-CN-CO_00863
CL54Contig1	HCGP-CN-CO_00864
CL54Contig2	HCGP-CN-CO_00865
CL550Contig1	HCGP-CN-CO_00866
CL551Contig1	HCGP-CN-CO_00867
CL552Contig1	HCGP-CN-CO_00868
CL553Contig1	HCGP-CN-CO_00869
CL554Contig1	HCGP-CN-CO_00870
CL555Contig1	HCGP-CN-CO_00871
CL556Contig1	HCGP-CN-CO_00872
CL557Contig1	HCGP-CN-CO_00873
CL558Contig1	HCGP-CN-CO_00874
CL559Contig1	HCGP-CN-CO_00875
CL55Contig1	HCGP-CN-CO_00876
CL560Contig1	HCGP-CN-CO_00877
CL561Contig1	HCGP-CN-CO_00878
CL563Contig1	HCGP-CN-CO_00879
CL564Contig1	HCGP-CN-CO_00880
CL565Contig1	HCGP-CN-CO_00881
CL568Contig1	HCGP-CN-CO_00882
CL569Contig1	HCGP-CN-CO_00883
CL56Contig1	HCGP-CN-CO_00884
CL56Contig2	HCGP-CN-CO_00885
CL570Contig1	HCGP-CN-CO_00886
CL571Contig1	HCGP-CN-CO_00887
CL575Contig1	HCGP-CN-CO_00888
CL576Contig1	HCGP-CN-CO_00889
CL577Contig1	HCGP-CN-CO_00890
CL578Contig1	HCGP-CN-CO_00891
CL579Contig1	HCGP-CN-CO_00892
CL57Contig1	HCGP-CN-CO_00893
CL580Contig1	HCGP-CN-CO_00894
CL581Contig1	HCGP-CN-CO_00895
CL582Contig1	HCGP-CN-CO_00896
CL583Contig1	HCGP-CN-CO_00897
CL584Contig1	HCGP-CN-CO_00898
CL585Contig1	HCGP-CN-CO_00899
CL586Contig1	HCGP-CN-CO_00900
CL58Contig1	HCGP-CN-CO_00901
CL590Contig1	HCGP-CN-CO_00902
CL592Contig1	HCGP-CN-CO_00903
CL594Contig1	HCGP-CN-CO_00904
CL595Contig1	HCGP-CN-CO_00905
CL596Contig1	HCGP-CN-CO_00906
CL599Contig1	HCGP-CN-CO_00907
CL59Contig3	HCGP-CN-CO_00908
CL5Contig1	HCGP-CN-CO_00909
CL5Contig2	HCGP-CN-CO_00910
CL5Contig3	HCGP-CN-CO_00911
CL5Contig4	HCGP-CN-CO_00912
CL5Contig5	HCGP-CN-CO_00913
CL5Contig6	HCGP-CN-CO_00914
CL600Contig1	HCGP-CN-CO_00915
CL601Contig1	HCGP-CN-CO_00916
CL602Contig1	HCGP-CN-CO_00917
CL603Contig1	HCGP-CN-CO_00918
CL604Contig1	HCGP-CN-CO_00919
CL605Contig1	HCGP-CN-CO_00920
CL606Contig1	HCGP-CN-CO_00921
CL607Contig1	HCGP-CN-CO_00922
CL608Contig1	HCGP-CN-CO_00923
CL609Contig1	HCGP-CN-CO_00924
CL60Contig1	HCGP-CN-CO_00925
CL60Contig2	HCGP-CN-CO_00926
CL610Contig1	HCGP-CN-CO_00927
CL611Contig1	HCGP-CN-CO_00928
CL612Contig1	HCGP-CN-CO_00929
CL614Contig1	HCGP-CN-CO_00930
CL615Contig1	HCGP-CN-CO_00931
CL616Contig1	HCGP-CN-CO_00932
CL617Contig1	HCGP-CN-CO_00933
CL618Contig1	HCGP-CN-CO_00934
CL619Contig1	HCGP-CN-CO_00935
CL620Contig1	HCGP-CN-CO_00936
CL621Contig1	HCGP-CN-CO_00937
CL622Contig1	HCGP-CN-CO_00938
CL623Contig1	HCGP-CN-CO_00939
CL624Contig1	HCGP-CN-CO_00940
CL625Contig1	HCGP-CN-CO_00941
CL626Contig1	HCGP-CN-CO_00942
CL627Contig1	HCGP-CN-CO_00943
CL628Contig1	HCGP-CN-CO_00944
CL629Contig1	HCGP-CN-CO_00945
CL62Contig1	HCGP-CN-CO_00946
CL631Contig1	HCGP-CN-CO_00947
CL632Contig1	HCGP-CN-CO_00948
CL634Contig1	HCGP-CN-CO_00949
CL636Contig1	HCGP-CN-CO_00950
CL637Contig1	HCGP-CN-CO_00951
CL638Contig1	HCGP-CN-CO_00952
CL639Contig1	HCGP-CN-CO_00953
CL63Contig1	HCGP-CN-CO_00954
CL640Contig1	HCGP-CN-CO_00955
CL641Contig1	HCGP-CN-CO_00956
CL642Contig1	HCGP-CN-CO_00957
CL643Contig1	HCGP-CN-CO_00958
CL644Contig1	HCGP-CN-CO_00959
CL645Contig1	HCGP-CN-CO_00960
CL647Contig1	HCGP-CN-CO_00961
CL648Contig1	HCGP-CN-CO_00962
CL64Contig1	HCGP-CN-CO_00963
CL650Contig1	HCGP-CN-CO_00964
CL651Contig1	HCGP-CN-CO_00965
CL652Contig1	HCGP-CN-CO_00966
CL653Contig1	HCGP-CN-CO_00967
CL654Contig1	HCGP-CN-CO_00968
CL655Contig1	HCGP-CN-CO_00969
CL656Contig1	HCGP-CN-CO_00970
CL658Contig1	HCGP-CN-CO_00971
CL659Contig1	HCGP-CN-CO_00972
CL65Contig1	HCGP-CN-CO_00973
CL660Contig1	HCGP-CN-CO_00974
CL661Contig1	HCGP-CN-CO_00975
CL662Contig1	HCGP-CN-CO_00976
CL663Contig1	HCGP-CN-CO_00977
CL665Contig1	HCGP-CN-CO_00978
CL666Contig1	HCGP-CN-CO_00979
CL668Contig1	HCGP-CN-CO_00980
CL669Contig1	HCGP-CN-CO_00981
CL66Contig1	HCGP-CN-CO_00982
CL670Contig1	HCGP-CN-CO_00983
CL671Contig1	HCGP-CN-CO_00984
CL672Contig1	HCGP-CN-CO_00985
CL673Contig1	HCGP-CN-CO_00986
CL674Contig1	HCGP-CN-CO_00987
CL675Contig1	HCGP-CN-CO_00988
CL677Contig1	HCGP-CN-CO_00989
CL678Contig1	HCGP-CN-CO_00990
CL679Contig1	HCGP-CN-CO_00991
CL67Contig1	HCGP-CN-CO_00992
CL680Contig1	HCGP-CN-CO_00993
CL681Contig1	HCGP-CN-CO_00994
CL683Contig1	HCGP-CN-CO_00995
CL684Contig1	HCGP-CN-CO_00996
CL685Contig1	HCGP-CN-CO_00997
CL686Contig1	HCGP-CN-CO_00998
CL687Contig1	HCGP-CN-CO_00999
CL688Contig1	HCGP-CN-CO_01000
CL689Contig1	HCGP-CN-CO_01001
CL68Contig1	HCGP-CN-CO_01002
CL690Contig1	HCGP-CN-CO_01003
CL692Contig1	HCGP-CN-CO_01004
CL693Contig1	HCGP-CN-CO_01005
CL694Contig1	HCGP-CN-CO_01006
CL695Contig1	HCGP-CN-CO_01007
CL696Contig1	HCGP-CN-CO_01008
CL699Contig1	HCGP-CN-CO_01009
CL69Contig1	HCGP-CN-CO_01010
CL6Contig1	HCGP-CN-CO_01011
CL6Contig2	HCGP-CN-CO_01012
CL6Contig3	HCGP-CN-CO_01013
CL6Contig4	HCGP-CN-CO_01014
CL6Contig5	HCGP-CN-CO_01015
CL700Contig1	HCGP-CN-CO_01016
CL701Contig1	HCGP-CN-CO_01017
CL702Contig1	HCGP-CN-CO_01018
CL703Contig1	HCGP-CN-CO_01019
CL704Contig1	HCGP-CN-CO_01020
CL705Contig1	HCGP-CN-CO_01021
CL706Contig1	HCGP-CN-CO_01022
CL707Contig1	HCGP-CN-CO_01023
CL708Contig1	HCGP-CN-CO_01024
CL709Contig1	HCGP-CN-CO_01025
CL70Contig1	HCGP-CN-CO_01026
CL710Contig1	HCGP-CN-CO_01027
CL711Contig1	HCGP-CN-CO_01028
CL712Contig1	HCGP-CN-CO_01029
CL713Contig1	HCGP-CN-CO_01030
CL714Contig1	HCGP-CN-CO_01031
CL715Contig1	HCGP-CN-CO_01032
CL716Contig1	HCGP-CN-CO_01033
CL717Contig1	HCGP-CN-CO_01034
CL718Contig1	HCGP-CN-CO_01035
CL719Contig1	HCGP-CN-CO_01036
CL71Contig1	HCGP-CN-CO_01037
CL71Contig2	HCGP-CN-CO_01038
CL721Contig1	HCGP-CN-CO_01039
CL722Contig1	HCGP-CN-CO_01040
CL723Contig1	HCGP-CN-CO_01041
CL725Contig1	HCGP-CN-CO_01042
CL726Contig1	HCGP-CN-CO_01043
CL727Contig1	HCGP-CN-CO_01044
CL728Contig1	HCGP-CN-CO_01045
CL72Contig1	HCGP-CN-CO_01046
CL731Contig1	HCGP-CN-CO_01047
CL733Contig1	HCGP-CN-CO_01048
CL734Contig1	HCGP-CN-CO_01049
CL735Contig1	HCGP-CN-CO_01050
CL736Contig1	HCGP-CN-CO_01051
CL737Contig1	HCGP-CN-CO_01052
CL738Contig1	HCGP-CN-CO_01053
CL739Contig1	HCGP-CN-CO_01054
CL73Contig1	HCGP-CN-CO_01055
CL740Contig1	HCGP-CN-CO_01056
CL741Contig1	HCGP-CN-CO_01057
CL742Contig1	HCGP-CN-CO_01058
CL743Contig1	HCGP-CN-CO_01059
CL744Contig1	HCGP-CN-CO_01060
CL745Contig1	HCGP-CN-CO_01061
CL746Contig1	HCGP-CN-CO_01062
CL747Contig1	HCGP-CN-CO_01063
CL748Contig1	HCGP-CN-CO_01064
CL74Contig1	HCGP-CN-CO_01065
CL750Contig1	HCGP-CN-CO_01066
CL751Contig1	HCGP-CN-CO_01067
CL754Contig1	HCGP-CN-CO_01068
CL755Contig1	HCGP-CN-CO_01069
CL756Contig1	HCGP-CN-CO_01070
CL757Contig1	HCGP-CN-CO_01071
CL758Contig1	HCGP-CN-CO_01072
CL759Contig1	HCGP-CN-CO_01073
CL75Contig1	HCGP-CN-CO_01074
CL760Contig1	HCGP-CN-CO_01075
CL762Contig1	HCGP-CN-CO_01076
CL763Contig1	HCGP-CN-CO_01077
CL764Contig1	HCGP-CN-CO_01078
CL765Contig1	HCGP-CN-CO_01079
CL766Contig1	HCGP-CN-CO_01080
CL767Contig1	HCGP-CN-CO_01081
CL768Contig1	HCGP-CN-CO_01082
CL769Contig1	HCGP-CN-CO_01083
CL76Contig1	HCGP-CN-CO_01084
CL772Contig1	HCGP-CN-CO_01085
CL773Contig1	HCGP-CN-CO_01086
CL774Contig1	HCGP-CN-CO_01087
CL775Contig1	HCGP-CN-CO_01088
CL776Contig1	HCGP-CN-CO_01089
CL777Contig1	HCGP-CN-CO_01090
CL778Contig1	HCGP-CN-CO_01091
CL779Contig1	HCGP-CN-CO_01092
CL77Contig1	HCGP-CN-CO_01093
CL780Contig1	HCGP-CN-CO_01094
CL781Contig1	HCGP-CN-CO_01095
CL782Contig1	HCGP-CN-CO_01096
CL783Contig1	HCGP-CN-CO_01097
CL784Contig1	HCGP-CN-CO_01098
CL785Contig1	HCGP-CN-CO_01099
CL786Contig1	HCGP-CN-CO_01100
CL787Contig1	HCGP-CN-CO_01101
CL788Contig1	HCGP-CN-CO_01102
CL789Contig1	HCGP-CN-CO_01103
CL78Contig1	HCGP-CN-CO_01104
CL792Contig1	HCGP-CN-CO_01105
CL793Contig1	HCGP-CN-CO_01106
CL794Contig1	HCGP-CN-CO_01107
CL795Contig1	HCGP-CN-CO_01108
CL796Contig1	HCGP-CN-CO_01109
CL797Contig1	HCGP-CN-CO_01110
CL798Contig1	HCGP-CN-CO_01111
CL799Contig1	HCGP-CN-CO_01112
CL79Contig1	HCGP-CN-CO_01113
CL7Contig1	HCGP-CN-CO_01114
CL7Contig2	HCGP-CN-CO_01115
CL7Contig3	HCGP-CN-CO_01116
CL7Contig4	HCGP-CN-CO_01117
CL7Contig5	HCGP-CN-CO_01118
CL7Contig6	HCGP-CN-CO_01119
CL800Contig1	HCGP-CN-CO_01120
CL801Contig1	HCGP-CN-CO_01121
CL802Contig1	HCGP-CN-CO_01122
CL803Contig1	HCGP-CN-CO_01123
CL804Contig1	HCGP-CN-CO_01124
CL805Contig1	HCGP-CN-CO_01125
CL806Contig1	HCGP-CN-CO_01126
CL807Contig1	HCGP-CN-CO_01127
CL808Contig1	HCGP-CN-CO_01128
CL809Contig1	HCGP-CN-CO_01129
CL810Contig1	HCGP-CN-CO_01130
CL811Contig1	HCGP-CN-CO_01131
CL813Contig1	HCGP-CN-CO_01132
CL814Contig1	HCGP-CN-CO_01133
CL815Contig1	HCGP-CN-CO_01134
CL816Contig1	HCGP-CN-CO_01135
CL817Contig1	HCGP-CN-CO_01136
CL818Contig1	HCGP-CN-CO_01137
CL819Contig1	HCGP-CN-CO_01138
CL81Contig1	HCGP-CN-CO_01139
CL820Contig1	HCGP-CN-CO_01140
CL822Contig1	HCGP-CN-CO_01141
CL823Contig1	HCGP-CN-CO_01142
CL824Contig1	HCGP-CN-CO_01143
CL825Contig1	HCGP-CN-CO_01144
CL828Contig1	HCGP-CN-CO_01145
CL829Contig1	HCGP-CN-CO_01146
CL82Contig1	HCGP-CN-CO_01147
CL830Contig1	HCGP-CN-CO_01148
CL831Contig1	HCGP-CN-CO_01149
CL832Contig1	HCGP-CN-CO_01150
CL833Contig1	HCGP-CN-CO_01151
CL834Contig1	HCGP-CN-CO_01152
CL836Contig1	HCGP-CN-CO_01153
CL837Contig1	HCGP-CN-CO_01154
CL838Contig1	HCGP-CN-CO_01155
CL839Contig1	HCGP-CN-CO_01156
CL83Contig1	HCGP-CN-CO_01157
CL83Contig2	HCGP-CN-CO_01158
CL840Contig1	HCGP-CN-CO_01159
CL841Contig1	HCGP-CN-CO_01160
CL842Contig1	HCGP-CN-CO_01161
CL843Contig1	HCGP-CN-CO_01162
CL844Contig1	HCGP-CN-CO_01163
CL845Contig1	HCGP-CN-CO_01164
CL846Contig1	HCGP-CN-CO_01165
CL847Contig1	HCGP-CN-CO_01166
CL848Contig1	HCGP-CN-CO_01167
CL84Contig1	HCGP-CN-CO_01168
CL850Contig1	HCGP-CN-CO_01169
CL851Contig1	HCGP-CN-CO_01170
CL852Contig1	HCGP-CN-CO_01171
CL853Contig1	HCGP-CN-CO_01172
CL854Contig1	HCGP-CN-CO_01173
CL855Contig1	HCGP-CN-CO_01174
CL856Contig1	HCGP-CN-CO_01175
CL857Contig1	HCGP-CN-CO_01176
CL858Contig1	HCGP-CN-CO_01177
CL859Contig1	HCGP-CN-CO_01178
CL85Contig1	HCGP-CN-CO_01179
CL860Contig1	HCGP-CN-CO_01180
CL861Contig1	HCGP-CN-CO_01181
CL862Contig1	HCGP-CN-CO_01182
CL863Contig1	HCGP-CN-CO_01183
CL864Contig1	HCGP-CN-CO_01184
CL866Contig1	HCGP-CN-CO_01185
CL867Contig1	HCGP-CN-CO_01186
CL868Contig1	HCGP-CN-CO_01187
CL869Contig1	HCGP-CN-CO_01188
CL86Contig1	HCGP-CN-CO_01189
CL870Contig1	HCGP-CN-CO_01190
CL871Contig1	HCGP-CN-CO_01191
CL872Contig1	HCGP-CN-CO_01192
CL873Contig1	HCGP-CN-CO_01193
CL874Contig1	HCGP-CN-CO_01194
CL875Contig1	HCGP-CN-CO_01195
CL876Contig1	HCGP-CN-CO_01196
CL877Contig1	HCGP-CN-CO_01197
CL878Contig1	HCGP-CN-CO_01198
CL879Contig1	HCGP-CN-CO_01199
CL87Contig1	HCGP-CN-CO_01200
CL880Contig1	HCGP-CN-CO_01201
CL881Contig1	HCGP-CN-CO_01202
CL882Contig1	HCGP-CN-CO_01203
CL883Contig1	HCGP-CN-CO_01204
CL884Contig1	HCGP-CN-CO_01205
CL885Contig1	HCGP-CN-CO_01206
CL886Contig1	HCGP-CN-CO_01207
CL887Contig1	HCGP-CN-CO_01208
CL888Contig1	HCGP-CN-CO_01209
CL889Contig1	HCGP-CN-CO_01210
CL88Contig1	HCGP-CN-CO_01211
CL891Contig1	HCGP-CN-CO_01212
CL892Contig1	HCGP-CN-CO_01213
CL893Contig1	HCGP-CN-CO_01214
CL894Contig1	HCGP-CN-CO_01215
CL895Contig1	HCGP-CN-CO_01216
CL896Contig1	HCGP-CN-CO_01217
CL898Contig1	HCGP-CN-CO_01218
CL899Contig1	HCGP-CN-CO_01219
CL89Contig1	HCGP-CN-CO_01220
CL8Contig1	HCGP-CN-CO_01221
CL8Contig2	HCGP-CN-CO_01222
CL8Contig3	HCGP-CN-CO_01223
CL8Contig4	HCGP-CN-CO_01224
CL8Contig5	HCGP-CN-CO_01225
CL8Contig6	HCGP-CN-CO_01226
CL8Contig7	HCGP-CN-CO_01227
CL900Contig1	HCGP-CN-CO_01228
CL901Contig1	HCGP-CN-CO_01229
CL902Contig1	HCGP-CN-CO_01230
CL903Contig1	HCGP-CN-CO_01231
CL904Contig1	HCGP-CN-CO_01232
CL905Contig1	HCGP-CN-CO_01233
CL906Contig1	HCGP-CN-CO_01234
CL907Contig1	HCGP-CN-CO_01235
CL908Contig1	HCGP-CN-CO_01236
CL909Contig1	HCGP-CN-CO_01237
CL90Contig1	HCGP-CN-CO_01238
CL910Contig1	HCGP-CN-CO_01239
CL911Contig1	HCGP-CN-CO_01240
CL912Contig1	HCGP-CN-CO_01241
CL913Contig1	HCGP-CN-CO_01242
CL914Contig1	HCGP-CN-CO_01243
CL915Contig1	HCGP-CN-CO_01244
CL916Contig1	HCGP-CN-CO_01245
CL917Contig1	HCGP-CN-CO_01246
CL918Contig1	HCGP-CN-CO_01247
CL919Contig1	HCGP-CN-CO_01248
CL91Contig1	HCGP-CN-CO_01249
CL920Contig1	HCGP-CN-CO_01250
CL921Contig1	HCGP-CN-CO_01251
