#TGICL_NAME	CONTIG_NAME
CL227Contig1	HCGP-TT-CO_00145
CL229Contig1	HCGP-TT-CO_00146
CL22Contig1	HCGP-TT-CO_00147
CL231Contig1	HCGP-TT-CO_00148
CL232Contig1	HCGP-TT-CO_00149
CL234Contig1	HCGP-TT-CO_00150
CL235Contig1	HCGP-TT-CO_00151
CL236Contig1	HCGP-TT-CO_00152
CL237Contig1	HCGP-TT-CO_00153
CL238Contig1	HCGP-TT-CO_00154
CL23Contig1	HCGP-TT-CO_00155
CL240Contig1	HCGP-TT-CO_00156
CL241Contig1	HCGP-TT-CO_00157
CL242Contig1	HCGP-TT-CO_00158
CL243Contig1	HCGP-TT-CO_00159
CL246Contig1	HCGP-TT-CO_00160
CL248Contig1	HCGP-TT-CO_00161
CL24Contig1	HCGP-TT-CO_00162
CL250Contig1	HCGP-TT-CO_00163
CL254Contig1	HCGP-TT-CO_00164
CL255Contig1	HCGP-TT-CO_00165
CL256Contig1	HCGP-TT-CO_00166
CL258Contig1	HCGP-TT-CO_00167
CL259Contig1	HCGP-TT-CO_00168
CL25Contig1	HCGP-TT-CO_00169
CL25Contig2	HCGP-TT-CO_00170
CL25Contig3	HCGP-TT-CO_00171
CL260Contig1	HCGP-TT-CO_00172
CL261Contig1	HCGP-TT-CO_00173
CL262Contig1	HCGP-TT-CO_00174
CL263Contig1	HCGP-TT-CO_00175
CL264Contig1	HCGP-TT-CO_00176
CL265Contig1	HCGP-TT-CO_00177
CL266Contig1	HCGP-TT-CO_00178
CL267Contig1	HCGP-TT-CO_00179
CL269Contig1	HCGP-TT-CO_00180
CL272Contig1	HCGP-TT-CO_00181
CL273Contig1	HCGP-TT-CO_00182
CL274Contig1	HCGP-TT-CO_00183
CL279Contig1	HCGP-TT-CO_00184
CL27Contig1	HCGP-TT-CO_00185
CL280Contig1	HCGP-TT-CO_00186
CL281Contig1	HCGP-TT-CO_00187
CL282Contig1	HCGP-TT-CO_00188
CL283Contig1	HCGP-TT-CO_00189
CL284Contig1	HCGP-TT-CO_00190
CL285Contig1	HCGP-TT-CO_00191
CL286Contig1	HCGP-TT-CO_00192
CL287Contig1	HCGP-TT-CO_00193
CL288Contig1	HCGP-TT-CO_00194
CL289Contig1	HCGP-TT-CO_00195
CL28Contig1	HCGP-TT-CO_00196
CL290Contig1	HCGP-TT-CO_00197
CL291Contig1	HCGP-TT-CO_00198
CL292Contig1	HCGP-TT-CO_00199
CL293Contig1	HCGP-TT-CO_00200
CL294Contig1	HCGP-TT-CO_00201
CL297Contig1	HCGP-TT-CO_00202
CL298Contig1	HCGP-TT-CO_00203
CL299Contig1	HCGP-TT-CO_00204
CL29Contig1	HCGP-TT-CO_00205
CL2Contig1	HCGP-TT-CO_00206
CL2Contig2	HCGP-TT-CO_00207
CL2Contig3	HCGP-TT-CO_00208
CL300Contig1	HCGP-TT-CO_00209
CL301Contig1	HCGP-TT-CO_00210
CL302Contig1	HCGP-TT-CO_00211
CL303Contig1	HCGP-TT-CO_00212
CL304Contig1	HCGP-TT-CO_00213
CL305Contig1	HCGP-TT-CO_00214
CL306Contig1	HCGP-TT-CO_00215
CL307Contig1	HCGP-TT-CO_00216
CL308Contig1	HCGP-TT-CO_00217
CL309Contig1	HCGP-TT-CO_00218
CL30Contig1	HCGP-TT-CO_00219
CL310Contig1	HCGP-TT-CO_00220
CL311Contig1	HCGP-TT-CO_00221
CL312Contig1	HCGP-TT-CO_00222
CL313Contig1	HCGP-TT-CO_00223
CL314Contig1	HCGP-TT-CO_00224
CL315Contig1	HCGP-TT-CO_00225
CL316Contig1	HCGP-TT-CO_00226
CL318Contig1	HCGP-TT-CO_00227
CL319Contig1	HCGP-TT-CO_00228
CL31Contig1	HCGP-TT-CO_00229
CL320Contig1	HCGP-TT-CO_00230
CL321Contig1	HCGP-TT-CO_00231
CL322Contig1	HCGP-TT-CO_00232
CL323Contig1	HCGP-TT-CO_00233
CL325Contig1	HCGP-TT-CO_00234
CL326Contig1	HCGP-TT-CO_00235
CL328Contig1	HCGP-TT-CO_00236
CL329Contig1	HCGP-TT-CO_00237
CL32Contig1	HCGP-TT-CO_00238
CL330Contig1	HCGP-TT-CO_00239
CL332Contig1	HCGP-TT-CO_00240
CL333Contig1	HCGP-TT-CO_00241
CL334Contig1	HCGP-TT-CO_00242
CL335Contig1	HCGP-TT-CO_00243
CL337Contig1	HCGP-TT-CO_00244
CL339Contig1	HCGP-TT-CO_00245
CL33Contig1	HCGP-TT-CO_00246
CL345Contig1	HCGP-TT-CO_00247
CL346Contig1	HCGP-TT-CO_00248
CL347Contig1	HCGP-TT-CO_00249
CL348Contig1	HCGP-TT-CO_00250
CL349Contig1	HCGP-TT-CO_00251
CL34Contig1	HCGP-TT-CO_00252
CL350Contig1	HCGP-TT-CO_00253
CL351Contig1	HCGP-TT-CO_00254
CL352Contig1	HCGP-TT-CO_00255
CL353Contig1	HCGP-TT-CO_00256
CL354Contig1	HCGP-TT-CO_00257
CL355Contig1	HCGP-TT-CO_00258
CL356Contig1	HCGP-TT-CO_00259
CL357Contig1	HCGP-TT-CO_00260
CL358Contig1	HCGP-TT-CO_00261
CL359Contig1	HCGP-TT-CO_00262
CL35Contig1	HCGP-TT-CO_00263
CL361Contig1	HCGP-TT-CO_00264
CL363Contig1	HCGP-TT-CO_00265
CL365Contig1	HCGP-TT-CO_00266
CL366Contig1	HCGP-TT-CO_00267
CL369Contig1	HCGP-TT-CO_00268
CL37Contig1	HCGP-TT-CO_00269
CL38Contig1	HCGP-TT-CO_00270
CL39Contig1	HCGP-TT-CO_00271
CL3Contig1	HCGP-TT-CO_00272
CL3Contig2	HCGP-TT-CO_00273
CL3Contig3	HCGP-TT-CO_00274
CL3Contig4	HCGP-TT-CO_00275
CL3Contig5	HCGP-TT-CO_00276
CL3Contig7	HCGP-TT-CO_00277
CL3Contig8	HCGP-TT-CO_00278
CL40Contig1	HCGP-TT-CO_00279
CL42Contig1	HCGP-TT-CO_00280
CL43Contig1	HCGP-TT-CO_00281
CL44Contig1	HCGP-TT-CO_00282
CL45Contig1	HCGP-TT-CO_00283
CL46Contig1	HCGP-TT-CO_00284
CL47Contig1	HCGP-TT-CO_00285
CL48Contig1	HCGP-TT-CO_00286
CL49Contig1	HCGP-TT-CO_00287
CL49Contig2	HCGP-TT-CO_00288
CL4Contig1	HCGP-TT-CO_00289
CL4Contig2	HCGP-TT-CO_00290
CL50Contig1	HCGP-TT-CO_00291
CL50Contig2	HCGP-TT-CO_00292
CL51Contig1	HCGP-TT-CO_00293
CL52Contig1	HCGP-TT-CO_00294
CL53Contig1	HCGP-TT-CO_00295
CL54Contig1	HCGP-TT-CO_00296
