#TGICL_NAME	CONTIG_NAME
CL221Contig1	HCGP-SN-CO_00145
CL222Contig1	HCGP-SN-CO_00146
CL223Contig1	HCGP-SN-CO_00147
CL224Contig1	HCGP-SN-CO_00148
CL225Contig1	HCGP-SN-CO_00149
CL226Contig1	HCGP-SN-CO_00150
CL227Contig1	HCGP-SN-CO_00151
CL228Contig1	HCGP-SN-CO_00152
CL229Contig1	HCGP-SN-CO_00153
CL22Contig1	HCGP-SN-CO_00154
CL22Contig2	HCGP-SN-CO_00155
CL22Contig3	HCGP-SN-CO_00156
CL230Contig1	HCGP-SN-CO_00157
CL231Contig1	HCGP-SN-CO_00158
CL232Contig1	HCGP-SN-CO_00159
CL233Contig1	HCGP-SN-CO_00160
CL234Contig1	HCGP-SN-CO_00161
CL235Contig1	HCGP-SN-CO_00162
CL236Contig1	HCGP-SN-CO_00163
CL237Contig1	HCGP-SN-CO_00164
CL238Contig1	HCGP-SN-CO_00165
CL239Contig1	HCGP-SN-CO_00166
CL23Contig1	HCGP-SN-CO_00167
CL240Contig1	HCGP-SN-CO_00168
CL241Contig1	HCGP-SN-CO_00169
CL242Contig1	HCGP-SN-CO_00170
CL244Contig1	HCGP-SN-CO_00171
CL245Contig1	HCGP-SN-CO_00172
CL246Contig1	HCGP-SN-CO_00173
CL247Contig1	HCGP-SN-CO_00174
CL248Contig1	HCGP-SN-CO_00175
CL249Contig1	HCGP-SN-CO_00176
CL250Contig1	HCGP-SN-CO_00177
CL251Contig1	HCGP-SN-CO_00178
CL252Contig1	HCGP-SN-CO_00179
CL253Contig1	HCGP-SN-CO_00180
CL254Contig1	HCGP-SN-CO_00181
CL255Contig1	HCGP-SN-CO_00182
CL256Contig1	HCGP-SN-CO_00183
CL258Contig1	HCGP-SN-CO_00184
CL259Contig1	HCGP-SN-CO_00185
CL25Contig1	HCGP-SN-CO_00186
CL25Contig2	HCGP-SN-CO_00187
CL25Contig3	HCGP-SN-CO_00188
CL260Contig1	HCGP-SN-CO_00189
CL261Contig1	HCGP-SN-CO_00190
CL262Contig1	HCGP-SN-CO_00191
CL263Contig1	HCGP-SN-CO_00192
CL264Contig1	HCGP-SN-CO_00193
CL265Contig1	HCGP-SN-CO_00194
CL266Contig1	HCGP-SN-CO_00195
CL268Contig1	HCGP-SN-CO_00196
CL26Contig1	HCGP-SN-CO_00197
CL270Contig1	HCGP-SN-CO_00198
CL271Contig1	HCGP-SN-CO_00199
CL272Contig1	HCGP-SN-CO_00200
CL273Contig1	HCGP-SN-CO_00201
CL274Contig1	HCGP-SN-CO_00202
CL275Contig1	HCGP-SN-CO_00203
CL276Contig1	HCGP-SN-CO_00204
CL277Contig1	HCGP-SN-CO_00205
CL278Contig1	HCGP-SN-CO_00206
CL279Contig1	HCGP-SN-CO_00207
CL27Contig1	HCGP-SN-CO_00208
CL280Contig1	HCGP-SN-CO_00209
CL281Contig1	HCGP-SN-CO_00210
CL282Contig1	HCGP-SN-CO_00211
CL283Contig1	HCGP-SN-CO_00212
CL284Contig1	HCGP-SN-CO_00213
CL285Contig1	HCGP-SN-CO_00214
CL286Contig1	HCGP-SN-CO_00215
CL287Contig1	HCGP-SN-CO_00216
CL288Contig1	HCGP-SN-CO_00217
CL289Contig1	HCGP-SN-CO_00218
CL28Contig1	HCGP-SN-CO_00219
CL290Contig1	HCGP-SN-CO_00220
CL291Contig1	HCGP-SN-CO_00221
CL292Contig1	HCGP-SN-CO_00222
CL293Contig1	HCGP-SN-CO_00223
CL294Contig1	HCGP-SN-CO_00224
CL295Contig1	HCGP-SN-CO_00225
CL296Contig1	HCGP-SN-CO_00226
CL297Contig1	HCGP-SN-CO_00227
CL298Contig1	HCGP-SN-CO_00228
CL299Contig1	HCGP-SN-CO_00229
CL29Contig1	HCGP-SN-CO_00230
CL2Contig1	HCGP-SN-CO_00231
CL2Contig10	HCGP-SN-CO_00232
CL2Contig11	HCGP-SN-CO_00233
CL2Contig12	HCGP-SN-CO_00234
CL2Contig13	HCGP-SN-CO_00235
CL2Contig2	HCGP-SN-CO_00236
CL2Contig3	HCGP-SN-CO_00237
CL2Contig4	HCGP-SN-CO_00238
CL2Contig5	HCGP-SN-CO_00239
CL2Contig6	HCGP-SN-CO_00240
CL2Contig7	HCGP-SN-CO_00241
CL2Contig8	HCGP-SN-CO_00242
CL2Contig9	HCGP-SN-CO_00243
CL300Contig1	HCGP-SN-CO_00244
CL301Contig1	HCGP-SN-CO_00245
CL302Contig1	HCGP-SN-CO_00246
CL304Contig1	HCGP-SN-CO_00247
CL305Contig1	HCGP-SN-CO_00248
CL306Contig1	HCGP-SN-CO_00249
CL307Contig1	HCGP-SN-CO_00250
CL308Contig1	HCGP-SN-CO_00251
CL309Contig1	HCGP-SN-CO_00252
CL30Contig1	HCGP-SN-CO_00253
CL310Contig1	HCGP-SN-CO_00254
CL311Contig1	HCGP-SN-CO_00255
CL312Contig1	HCGP-SN-CO_00256
CL313Contig1	HCGP-SN-CO_00257
CL314Contig1	HCGP-SN-CO_00258
CL315Contig1	HCGP-SN-CO_00259
CL316Contig1	HCGP-SN-CO_00260
CL317Contig1	HCGP-SN-CO_00261
CL318Contig1	HCGP-SN-CO_00262
CL319Contig1	HCGP-SN-CO_00263
CL31Contig1	HCGP-SN-CO_00264
CL320Contig1	HCGP-SN-CO_00265
CL321Contig1	HCGP-SN-CO_00266
CL322Contig1	HCGP-SN-CO_00267
CL323Contig1	HCGP-SN-CO_00268
CL324Contig1	HCGP-SN-CO_00269
CL325Contig1	HCGP-SN-CO_00270
CL326Contig1	HCGP-SN-CO_00271
CL327Contig1	HCGP-SN-CO_00272
CL328Contig1	HCGP-SN-CO_00273
CL329Contig1	HCGP-SN-CO_00274
CL32Contig1	HCGP-SN-CO_00275
CL32Contig2	HCGP-SN-CO_00276
CL330Contig1	HCGP-SN-CO_00277
CL331Contig1	HCGP-SN-CO_00278
CL332Contig1	HCGP-SN-CO_00279
CL333Contig1	HCGP-SN-CO_00280
CL334Contig1	HCGP-SN-CO_00281
CL335Contig1	HCGP-SN-CO_00282
CL336Contig1	HCGP-SN-CO_00283
CL337Contig1	HCGP-SN-CO_00284
CL338Contig1	HCGP-SN-CO_00285
CL339Contig1	HCGP-SN-CO_00286
CL33Contig1	HCGP-SN-CO_00287
CL340Contig1	HCGP-SN-CO_00288
CL341Contig1	HCGP-SN-CO_00289
CL342Contig1	HCGP-SN-CO_00290
CL343Contig1	HCGP-SN-CO_00291
CL344Contig1	HCGP-SN-CO_00292
CL345Contig1	HCGP-SN-CO_00293
CL346Contig1	HCGP-SN-CO_00294
CL347Contig1	HCGP-SN-CO_00295
CL348Contig1	HCGP-SN-CO_00296
CL349Contig1	HCGP-SN-CO_00297
CL34Contig1	HCGP-SN-CO_00298
CL350Contig1	HCGP-SN-CO_00299
CL351Contig1	HCGP-SN-CO_00300
CL352Contig1	HCGP-SN-CO_00301
CL353Contig1	HCGP-SN-CO_00302
CL354Contig1	HCGP-SN-CO_00303
CL356Contig1	HCGP-SN-CO_00304
CL357Contig1	HCGP-SN-CO_00305
CL358Contig1	HCGP-SN-CO_00306
CL359Contig1	HCGP-SN-CO_00307
CL35Contig1	HCGP-SN-CO_00308
CL360Contig1	HCGP-SN-CO_00309
CL361Contig1	HCGP-SN-CO_00310
CL363Contig1	HCGP-SN-CO_00311
CL364Contig1	HCGP-SN-CO_00312
CL365Contig1	HCGP-SN-CO_00313
CL366Contig1	HCGP-SN-CO_00314
CL367Contig1	HCGP-SN-CO_00315
CL368Contig1	HCGP-SN-CO_00316
CL369Contig1	HCGP-SN-CO_00317
CL36Contig1	HCGP-SN-CO_00318
CL370Contig1	HCGP-SN-CO_00319
CL371Contig1	HCGP-SN-CO_00320
CL372Contig1	HCGP-SN-CO_00321
CL373Contig1	HCGP-SN-CO_00322
CL374Contig1	HCGP-SN-CO_00323
CL375Contig1	HCGP-SN-CO_00324
CL376Contig1	HCGP-SN-CO_00325
CL377Contig1	HCGP-SN-CO_00326
CL378Contig1	HCGP-SN-CO_00327
CL379Contig1	HCGP-SN-CO_00328
CL37Contig1	HCGP-SN-CO_00329
CL37Contig2	HCGP-SN-CO_00330
CL37Contig3	HCGP-SN-CO_00331
CL380Contig1	HCGP-SN-CO_00332
CL381Contig1	HCGP-SN-CO_00333
CL382Contig1	HCGP-SN-CO_00334
CL383Contig1	HCGP-SN-CO_00335
CL384Contig1	HCGP-SN-CO_00336
CL385Contig1	HCGP-SN-CO_00337
CL386Contig1	HCGP-SN-CO_00338
CL387Contig1	HCGP-SN-CO_00339
CL388Contig1	HCGP-SN-CO_00340
CL389Contig1	HCGP-SN-CO_00341
CL38Contig1	HCGP-SN-CO_00342
CL392Contig1	HCGP-SN-CO_00343
CL393Contig1	HCGP-SN-CO_00344
CL394Contig1	HCGP-SN-CO_00345
CL395Contig1	HCGP-SN-CO_00346
CL396Contig1	HCGP-SN-CO_00347
CL398Contig1	HCGP-SN-CO_00348
CL399Contig1	HCGP-SN-CO_00349
CL3Contig1	HCGP-SN-CO_00350
CL3Contig2	HCGP-SN-CO_00351
CL400Contig1	HCGP-SN-CO_00352
CL401Contig1	HCGP-SN-CO_00353
CL402Contig1	HCGP-SN-CO_00354
CL403Contig1	HCGP-SN-CO_00355
CL404Contig1	HCGP-SN-CO_00356
CL405Contig1	HCGP-SN-CO_00357
CL406Contig1	HCGP-SN-CO_00358
CL407Contig1	HCGP-SN-CO_00359
CL408Contig1	HCGP-SN-CO_00360
CL409Contig1	HCGP-SN-CO_00361
CL40Contig1	HCGP-SN-CO_00362
CL410Contig1	HCGP-SN-CO_00363
