#TGICL_NAME	CONTIG_NAME
CL690Contig1	HCGP-SN-CO_00633
CL691Contig1	HCGP-SN-CO_00634
CL692Contig1	HCGP-SN-CO_00635
CL693Contig1	HCGP-SN-CO_00636
CL695Contig1	HCGP-SN-CO_00637
CL696Contig1	HCGP-SN-CO_00638
CL697Contig1	HCGP-SN-CO_00639
CL698Contig1	HCGP-SN-CO_00640
CL699Contig1	HCGP-SN-CO_00641
CL69Contig1	HCGP-SN-CO_00642
CL6Contig1	HCGP-SN-CO_00643
CL6Contig2	HCGP-SN-CO_00644
CL6Contig3	HCGP-SN-CO_00645
CL700Contig1	HCGP-SN-CO_00646
CL701Contig1	HCGP-SN-CO_00647
CL702Contig1	HCGP-SN-CO_00648
CL703Contig1	HCGP-SN-CO_00649
CL704Contig1	HCGP-SN-CO_00650
CL705Contig1	HCGP-SN-CO_00651
CL706Contig1	HCGP-SN-CO_00652
CL707Contig1	HCGP-SN-CO_00653
CL708Contig1	HCGP-SN-CO_00654
CL709Contig1	HCGP-SN-CO_00655
CL70Contig1	HCGP-SN-CO_00656
CL710Contig1	HCGP-SN-CO_00657
CL711Contig1	HCGP-SN-CO_00658
CL712Contig1	HCGP-SN-CO_00659
CL713Contig1	HCGP-SN-CO_00660
CL715Contig1	HCGP-SN-CO_00661
CL716Contig1	HCGP-SN-CO_00662
CL717Contig1	HCGP-SN-CO_00663
CL718Contig1	HCGP-SN-CO_00664
CL719Contig1	HCGP-SN-CO_00665
CL71Contig1	HCGP-SN-CO_00666
CL720Contig1	HCGP-SN-CO_00667
CL723Contig1	HCGP-SN-CO_00668
CL724Contig1	HCGP-SN-CO_00669
CL725Contig1	HCGP-SN-CO_00670
CL726Contig1	HCGP-SN-CO_00671
CL727Contig1	HCGP-SN-CO_00672
CL728Contig1	HCGP-SN-CO_00673
CL729Contig1	HCGP-SN-CO_00674
CL72Contig1	HCGP-SN-CO_00675
CL730Contig1	HCGP-SN-CO_00676
CL731Contig1	HCGP-SN-CO_00677
CL732Contig1	HCGP-SN-CO_00678
CL733Contig1	HCGP-SN-CO_00679
CL734Contig1	HCGP-SN-CO_00680
CL735Contig1	HCGP-SN-CO_00681
CL736Contig1	HCGP-SN-CO_00682
CL737Contig1	HCGP-SN-CO_00683
CL738Contig1	HCGP-SN-CO_00684
CL739Contig1	HCGP-SN-CO_00685
CL73Contig1	HCGP-SN-CO_00686
CL740Contig1	HCGP-SN-CO_00687
CL741Contig1	HCGP-SN-CO_00688
CL742Contig1	HCGP-SN-CO_00689
CL743Contig1	HCGP-SN-CO_00690
CL744Contig1	HCGP-SN-CO_00691
CL746Contig1	HCGP-SN-CO_00692
CL747Contig1	HCGP-SN-CO_00693
CL748Contig1	HCGP-SN-CO_00694
CL749Contig1	HCGP-SN-CO_00695
CL74Contig1	HCGP-SN-CO_00696
CL750Contig1	HCGP-SN-CO_00697
CL751Contig1	HCGP-SN-CO_00698
CL752Contig1	HCGP-SN-CO_00699
CL754Contig1	HCGP-SN-CO_00700
CL755Contig1	HCGP-SN-CO_00701
CL756Contig1	HCGP-SN-CO_00702
CL757Contig1	HCGP-SN-CO_00703
CL758Contig1	HCGP-SN-CO_00704
CL759Contig1	HCGP-SN-CO_00705
CL760Contig1	HCGP-SN-CO_00706
CL761Contig1	HCGP-SN-CO_00707
CL762Contig1	HCGP-SN-CO_00708
CL763Contig1	HCGP-SN-CO_00709
CL764Contig1	HCGP-SN-CO_00710
CL765Contig1	HCGP-SN-CO_00711
CL766Contig1	HCGP-SN-CO_00712
CL767Contig1	HCGP-SN-CO_00713
CL768Contig1	HCGP-SN-CO_00714
CL76Contig1	HCGP-SN-CO_00715
CL770Contig1	HCGP-SN-CO_00716
CL771Contig1	HCGP-SN-CO_00717
CL772Contig1	HCGP-SN-CO_00718
CL773Contig1	HCGP-SN-CO_00719
CL774Contig1	HCGP-SN-CO_00720
CL775Contig1	HCGP-SN-CO_00721
CL776Contig1	HCGP-SN-CO_00722
CL777Contig1	HCGP-SN-CO_00723
CL778Contig1	HCGP-SN-CO_00724
CL779Contig1	HCGP-SN-CO_00725
CL77Contig1	HCGP-SN-CO_00726
CL780Contig1	HCGP-SN-CO_00727
CL781Contig1	HCGP-SN-CO_00728
CL782Contig1	HCGP-SN-CO_00729
CL783Contig1	HCGP-SN-CO_00730
CL784Contig1	HCGP-SN-CO_00731
CL785Contig1	HCGP-SN-CO_00732
CL786Contig1	HCGP-SN-CO_00733
CL787Contig1	HCGP-SN-CO_00734
CL788Contig1	HCGP-SN-CO_00735
CL789Contig1	HCGP-SN-CO_00736
CL78Contig1	HCGP-SN-CO_00737
CL790Contig1	HCGP-SN-CO_00738
CL791Contig1	HCGP-SN-CO_00739
CL792Contig1	HCGP-SN-CO_00740
CL793Contig1	HCGP-SN-CO_00741
CL794Contig1	HCGP-SN-CO_00742
CL795Contig1	HCGP-SN-CO_00743
CL798Contig1	HCGP-SN-CO_00744
CL799Contig1	HCGP-SN-CO_00745
CL79Contig1	HCGP-SN-CO_00746
CL7Contig1	HCGP-SN-CO_00747
CL7Contig2	HCGP-SN-CO_00748
CL7Contig3	HCGP-SN-CO_00749
CL800Contig1	HCGP-SN-CO_00750
CL801Contig1	HCGP-SN-CO_00751
CL802Contig1	HCGP-SN-CO_00752
CL803Contig1	HCGP-SN-CO_00753
CL804Contig1	HCGP-SN-CO_00754
CL805Contig1	HCGP-SN-CO_00755
CL806Contig1	HCGP-SN-CO_00756
CL807Contig1	HCGP-SN-CO_00757
CL808Contig1	HCGP-SN-CO_00758
CL809Contig1	HCGP-SN-CO_00759
CL80Contig1	HCGP-SN-CO_00760
CL810Contig1	HCGP-SN-CO_00761
CL811Contig1	HCGP-SN-CO_00762
CL813Contig1	HCGP-SN-CO_00763
CL814Contig1	HCGP-SN-CO_00764
CL815Contig1	HCGP-SN-CO_00765
CL816Contig1	HCGP-SN-CO_00766
CL817Contig1	HCGP-SN-CO_00767
CL818Contig1	HCGP-SN-CO_00768
CL819Contig1	HCGP-SN-CO_00769
CL81Contig1	HCGP-SN-CO_00770
CL820Contig1	HCGP-SN-CO_00771
CL821Contig1	HCGP-SN-CO_00772
CL822Contig1	HCGP-SN-CO_00773
CL823Contig1	HCGP-SN-CO_00774
CL824Contig1	HCGP-SN-CO_00775
CL825Contig1	HCGP-SN-CO_00776
CL826Contig1	HCGP-SN-CO_00777
CL827Contig1	HCGP-SN-CO_00778
CL828Contig1	HCGP-SN-CO_00779
CL829Contig1	HCGP-SN-CO_00780
CL82Contig1	HCGP-SN-CO_00781
CL830Contig1	HCGP-SN-CO_00782
CL831Contig1	HCGP-SN-CO_00783
CL832Contig1	HCGP-SN-CO_00784
CL833Contig1	HCGP-SN-CO_00785
CL834Contig1	HCGP-SN-CO_00786
CL835Contig1	HCGP-SN-CO_00787
CL836Contig1	HCGP-SN-CO_00788
CL837Contig1	HCGP-SN-CO_00789
CL839Contig1	HCGP-SN-CO_00790
CL83Contig1	HCGP-SN-CO_00791
CL840Contig1	HCGP-SN-CO_00792
CL841Contig1	HCGP-SN-CO_00793
CL842Contig1	HCGP-SN-CO_00794
CL844Contig1	HCGP-SN-CO_00795
CL845Contig1	HCGP-SN-CO_00796
CL846Contig1	HCGP-SN-CO_00797
CL847Contig1	HCGP-SN-CO_00798
CL848Contig1	HCGP-SN-CO_00799
CL849Contig1	HCGP-SN-CO_00800
CL84Contig1	HCGP-SN-CO_00801
CL850Contig1	HCGP-SN-CO_00802
CL851Contig1	HCGP-SN-CO_00803
CL852Contig1	HCGP-SN-CO_00804
CL853Contig1	HCGP-SN-CO_00805
CL854Contig1	HCGP-SN-CO_00806
CL855Contig1	HCGP-SN-CO_00807
CL856Contig1	HCGP-SN-CO_00808
CL857Contig1	HCGP-SN-CO_00809
CL858Contig1	HCGP-SN-CO_00810
CL859Contig1	HCGP-SN-CO_00811
CL85Contig1	HCGP-SN-CO_00812
CL860Contig1	HCGP-SN-CO_00813
CL861Contig1	HCGP-SN-CO_00814
CL863Contig1	HCGP-SN-CO_00815
CL864Contig1	HCGP-SN-CO_00816
CL865Contig1	HCGP-SN-CO_00817
CL867Contig1	HCGP-SN-CO_00818
CL869Contig1	HCGP-SN-CO_00819
CL86Contig1	HCGP-SN-CO_00820
CL870Contig1	HCGP-SN-CO_00821
CL871Contig1	HCGP-SN-CO_00822
CL872Contig1	HCGP-SN-CO_00823
CL873Contig1	HCGP-SN-CO_00824
CL874Contig1	HCGP-SN-CO_00825
CL875Contig1	HCGP-SN-CO_00826
CL876Contig1	HCGP-SN-CO_00827
CL877Contig1	HCGP-SN-CO_00828
CL878Contig1	HCGP-SN-CO_00829
CL879Contig1	HCGP-SN-CO_00830
CL87Contig1	HCGP-SN-CO_00831
CL880Contig1	HCGP-SN-CO_00832
CL881Contig1	HCGP-SN-CO_00833
CL882Contig1	HCGP-SN-CO_00834
CL883Contig1	HCGP-SN-CO_00835
CL89Contig1	HCGP-SN-CO_00836
CL89Contig2	HCGP-SN-CO_00837
CL8Contig1	HCGP-SN-CO_00838
CL90Contig1	HCGP-SN-CO_00839
CL91Contig1	HCGP-SN-CO_00840
CL92Contig1	HCGP-SN-CO_00841
CL93Contig1	HCGP-SN-CO_00842
CL94Contig1	HCGP-SN-CO_00843
CL95Contig1	HCGP-SN-CO_00844
CL96Contig1	HCGP-SN-CO_00845
CL97Contig1	HCGP-SN-CO_00846
CL98Contig1	HCGP-SN-CO_00847
CL98Contig2	HCGP-SN-CO_00848
CL99Contig1	HCGP-SN-CO_00849
CL9Contig1	HCGP-SN-CO_00850
