#TGICL_NAME	CONTIG_NAME
CL1444Contig1	HCGP-FN-CO_00396
CL1445Contig1	HCGP-FN-CO_00397
CL1446Contig1	HCGP-FN-CO_00398
CL1447Contig1	HCGP-FN-CO_00399
CL1448Contig1	HCGP-FN-CO_00400
CL1449Contig1	HCGP-FN-CO_00401
CL144Contig1	HCGP-FN-CO_00402
CL1450Contig1	HCGP-FN-CO_00403
CL1451Contig1	HCGP-FN-CO_00404
CL1452Contig1	HCGP-FN-CO_00405
CL1453Contig1	HCGP-FN-CO_00406
CL1454Contig1	HCGP-FN-CO_00407
CL1455Contig1	HCGP-FN-CO_00408
CL1456Contig1	HCGP-FN-CO_00409
CL1457Contig1	HCGP-FN-CO_00410
CL1458Contig1	HCGP-FN-CO_00411
CL1459Contig1	HCGP-FN-CO_00412
CL145Contig1	HCGP-FN-CO_00413
CL1460Contig1	HCGP-FN-CO_00414
CL1461Contig1	HCGP-FN-CO_00415
CL1462Contig1	HCGP-FN-CO_00416
CL1463Contig1	HCGP-FN-CO_00417
CL1464Contig1	HCGP-FN-CO_00418
CL1465Contig1	HCGP-FN-CO_00419
CL1466Contig1	HCGP-FN-CO_00420
CL1467Contig1	HCGP-FN-CO_00421
CL1468Contig1	HCGP-FN-CO_00422
CL1469Contig1	HCGP-FN-CO_00423
CL146Contig1	HCGP-FN-CO_00424
CL1470Contig1	HCGP-FN-CO_00425
CL1471Contig1	HCGP-FN-CO_00426
CL1472Contig1	HCGP-FN-CO_00427
CL1473Contig1	HCGP-FN-CO_00428
CL1474Contig1	HCGP-FN-CO_00429
CL1475Contig1	HCGP-FN-CO_00430
CL1476Contig1	HCGP-FN-CO_00431
CL1477Contig1	HCGP-FN-CO_00432
CL1478Contig1	HCGP-FN-CO_00433
CL1479Contig1	HCGP-FN-CO_00434
CL147Contig1	HCGP-FN-CO_00435
CL1481Contig1	HCGP-FN-CO_00436
CL1482Contig1	HCGP-FN-CO_00437
CL1484Contig1	HCGP-FN-CO_00438
CL1486Contig1	HCGP-FN-CO_00439
CL1487Contig1	HCGP-FN-CO_00440
CL1488Contig1	HCGP-FN-CO_00441
CL1489Contig1	HCGP-FN-CO_00442
CL148Contig1	HCGP-FN-CO_00443
CL1490Contig1	HCGP-FN-CO_00444
CL1491Contig1	HCGP-FN-CO_00445
CL1492Contig1	HCGP-FN-CO_00446
CL1493Contig1	HCGP-FN-CO_00447
CL1494Contig1	HCGP-FN-CO_00448
CL1495Contig1	HCGP-FN-CO_00449
CL1496Contig1	HCGP-FN-CO_00450
CL1497Contig1	HCGP-FN-CO_00451
CL1499Contig1	HCGP-FN-CO_00452
CL149Contig1	HCGP-FN-CO_00453
CL14Contig1	HCGP-FN-CO_00454
CL14Contig2	HCGP-FN-CO_00455
CL1500Contig1	HCGP-FN-CO_00456
CL1501Contig1	HCGP-FN-CO_00457
CL1503Contig1	HCGP-FN-CO_00458
CL1504Contig1	HCGP-FN-CO_00459
CL1505Contig1	HCGP-FN-CO_00460
CL1506Contig1	HCGP-FN-CO_00461
CL1507Contig1	HCGP-FN-CO_00462
CL1509Contig1	HCGP-FN-CO_00463
CL1510Contig1	HCGP-FN-CO_00464
CL1511Contig1	HCGP-FN-CO_00465
CL1512Contig1	HCGP-FN-CO_00466
CL1513Contig1	HCGP-FN-CO_00467
CL1514Contig1	HCGP-FN-CO_00468
CL1515Contig1	HCGP-FN-CO_00469
CL1516Contig1	HCGP-FN-CO_00470
CL1517Contig1	HCGP-FN-CO_00471
CL1518Contig1	HCGP-FN-CO_00472
CL1519Contig1	HCGP-FN-CO_00473
CL151Contig1	HCGP-FN-CO_00474
CL1520Contig1	HCGP-FN-CO_00475
CL1521Contig1	HCGP-FN-CO_00476
CL1522Contig1	HCGP-FN-CO_00477
CL1523Contig1	HCGP-FN-CO_00478
CL1524Contig1	HCGP-FN-CO_00479
CL1525Contig1	HCGP-FN-CO_00480
CL1526Contig1	HCGP-FN-CO_00481
CL1527Contig1	HCGP-FN-CO_00482
CL1528Contig1	HCGP-FN-CO_00483
CL1529Contig1	HCGP-FN-CO_00484
CL152Contig1	HCGP-FN-CO_00485
CL1531Contig1	HCGP-FN-CO_00486
CL1533Contig1	HCGP-FN-CO_00487
CL1534Contig1	HCGP-FN-CO_00488
CL1536Contig1	HCGP-FN-CO_00489
CL1537Contig1	HCGP-FN-CO_00490
CL1538Contig1	HCGP-FN-CO_00491
CL1539Contig1	HCGP-FN-CO_00492
CL153Contig1	HCGP-FN-CO_00493
CL1540Contig1	HCGP-FN-CO_00494
CL1541Contig1	HCGP-FN-CO_00495
CL1542Contig1	HCGP-FN-CO_00496
CL1543Contig1	HCGP-FN-CO_00497
CL1544Contig1	HCGP-FN-CO_00498
CL1545Contig1	HCGP-FN-CO_00499
CL1546Contig1	HCGP-FN-CO_00500
CL1547Contig1	HCGP-FN-CO_00501
CL1548Contig1	HCGP-FN-CO_00502
CL1549Contig1	HCGP-FN-CO_00503
CL154Contig1	HCGP-FN-CO_00504
CL1550Contig1	HCGP-FN-CO_00505
CL1551Contig1	HCGP-FN-CO_00506
CL1552Contig1	HCGP-FN-CO_00507
CL1553Contig1	HCGP-FN-CO_00508
CL1554Contig1	HCGP-FN-CO_00509
CL1555Contig1	HCGP-FN-CO_00510
CL1556Contig1	HCGP-FN-CO_00511
CL1557Contig1	HCGP-FN-CO_00512
CL1558Contig1	HCGP-FN-CO_00513
CL155Contig1	HCGP-FN-CO_00514
CL1560Contig1	HCGP-FN-CO_00515
CL1561Contig1	HCGP-FN-CO_00516
CL1562Contig1	HCGP-FN-CO_00517
CL1563Contig1	HCGP-FN-CO_00518
CL1564Contig1	HCGP-FN-CO_00519
CL1565Contig1	HCGP-FN-CO_00520
CL1566Contig1	HCGP-FN-CO_00521
CL1568Contig1	HCGP-FN-CO_00522
CL1569Contig1	HCGP-FN-CO_00523
CL156Contig1	HCGP-FN-CO_00524
CL156Contig2	HCGP-FN-CO_00525
CL1570Contig1	HCGP-FN-CO_00526
CL1571Contig1	HCGP-FN-CO_00527
CL1572Contig1	HCGP-FN-CO_00528
CL1573Contig1	HCGP-FN-CO_00529
CL1574Contig1	HCGP-FN-CO_00530
CL1575Contig1	HCGP-FN-CO_00531
CL1576Contig1	HCGP-FN-CO_00532
CL1577Contig1	HCGP-FN-CO_00533
