#TGICL_NAME	CONTIG_NAME
CL1647Contig1	HCGP-FN-CO_00610
CL1648Contig1	HCGP-FN-CO_00611
CL1649Contig1	HCGP-FN-CO_00612
CL164Contig1	HCGP-FN-CO_00613
CL1650Contig1	HCGP-FN-CO_00614
CL1651Contig1	HCGP-FN-CO_00615
CL1652Contig1	HCGP-FN-CO_00616
CL1653Contig1	HCGP-FN-CO_00617
CL1654Contig1	HCGP-FN-CO_00618
CL1655Contig1	HCGP-FN-CO_00619
CL1656Contig1	HCGP-FN-CO_00620
CL1658Contig1	HCGP-FN-CO_00621
CL1659Contig1	HCGP-FN-CO_00622
CL165Contig1	HCGP-FN-CO_00623
CL1660Contig1	HCGP-FN-CO_00624
CL1661Contig1	HCGP-FN-CO_00625
CL1662Contig1	HCGP-FN-CO_00626
CL1663Contig1	HCGP-FN-CO_00627
CL1664Contig1	HCGP-FN-CO_00628
CL1665Contig1	HCGP-FN-CO_00629
CL1666Contig1	HCGP-FN-CO_00630
CL1667Contig1	HCGP-FN-CO_00631
CL1668Contig1	HCGP-FN-CO_00632
CL1669Contig1	HCGP-FN-CO_00633
CL166Contig1	HCGP-FN-CO_00634
CL1670Contig1	HCGP-FN-CO_00635
CL1671Contig1	HCGP-FN-CO_00636
CL1673Contig1	HCGP-FN-CO_00637
CL1674Contig1	HCGP-FN-CO_00638
CL1675Contig1	HCGP-FN-CO_00639
CL1676Contig1	HCGP-FN-CO_00640
CL1677Contig1	HCGP-FN-CO_00641
CL1678Contig1	HCGP-FN-CO_00642
CL1679Contig1	HCGP-FN-CO_00643
CL167Contig1	HCGP-FN-CO_00644
CL1681Contig1	HCGP-FN-CO_00645
CL1683Contig1	HCGP-FN-CO_00646
CL1684Contig1	HCGP-FN-CO_00647
CL1685Contig1	HCGP-FN-CO_00648
CL1686Contig1	HCGP-FN-CO_00649
CL1687Contig1	HCGP-FN-CO_00650
CL1688Contig1	HCGP-FN-CO_00651
CL168Contig1	HCGP-FN-CO_00652
CL1690Contig1	HCGP-FN-CO_00653
CL1691Contig1	HCGP-FN-CO_00654
CL1692Contig1	HCGP-FN-CO_00655
CL1693Contig1	HCGP-FN-CO_00656
CL1694Contig1	HCGP-FN-CO_00657
CL1695Contig1	HCGP-FN-CO_00658
CL1696Contig1	HCGP-FN-CO_00659
CL1697Contig1	HCGP-FN-CO_00660
CL1698Contig1	HCGP-FN-CO_00661
CL1699Contig1	HCGP-FN-CO_00662
CL169Contig1	HCGP-FN-CO_00663
CL16Contig1	HCGP-FN-CO_00664
CL1700Contig1	HCGP-FN-CO_00665
CL1702Contig1	HCGP-FN-CO_00666
CL1703Contig1	HCGP-FN-CO_00667
CL1704Contig1	HCGP-FN-CO_00668
CL1705Contig1	HCGP-FN-CO_00669
CL1706Contig1	HCGP-FN-CO_00670
CL1707Contig1	HCGP-FN-CO_00671
CL1708Contig1	HCGP-FN-CO_00672
CL1709Contig1	HCGP-FN-CO_00673
CL170Contig1	HCGP-FN-CO_00674
CL1710Contig1	HCGP-FN-CO_00675
CL1711Contig1	HCGP-FN-CO_00676
CL1712Contig1	HCGP-FN-CO_00677
CL1713Contig1	HCGP-FN-CO_00678
CL1714Contig1	HCGP-FN-CO_00679
CL1715Contig1	HCGP-FN-CO_00680
CL1717Contig1	HCGP-FN-CO_00681
CL1718Contig1	HCGP-FN-CO_00682
CL1719Contig1	HCGP-FN-CO_00683
CL171Contig1	HCGP-FN-CO_00684
CL1720Contig1	HCGP-FN-CO_00685
CL1721Contig1	HCGP-FN-CO_00686
CL1722Contig1	HCGP-FN-CO_00687
CL1723Contig1	HCGP-FN-CO_00688
CL1724Contig1	HCGP-FN-CO_00689
CL1725Contig1	HCGP-FN-CO_00690
CL1728Contig1	HCGP-FN-CO_00691
CL172Contig1	HCGP-FN-CO_00692
CL1730Contig1	HCGP-FN-CO_00693
CL1731Contig1	HCGP-FN-CO_00694
CL1732Contig1	HCGP-FN-CO_00695
CL1733Contig1	HCGP-FN-CO_00696
CL1734Contig1	HCGP-FN-CO_00697
CL1735Contig1	HCGP-FN-CO_00698
CL1736Contig1	HCGP-FN-CO_00699
CL1737Contig1	HCGP-FN-CO_00700
CL1738Contig1	HCGP-FN-CO_00701
CL1739Contig1	HCGP-FN-CO_00702
CL173Contig1	HCGP-FN-CO_00703
CL1740Contig1	HCGP-FN-CO_00704
CL1743Contig1	HCGP-FN-CO_00705
CL1744Contig1	HCGP-FN-CO_00706
CL1745Contig1	HCGP-FN-CO_00707
CL1746Contig1	HCGP-FN-CO_00708
CL1747Contig1	HCGP-FN-CO_00709
CL1748Contig1	HCGP-FN-CO_00710
CL1749Contig1	HCGP-FN-CO_00711
CL1750Contig1	HCGP-FN-CO_00712
CL1751Contig1	HCGP-FN-CO_00713
CL1752Contig1	HCGP-FN-CO_00714
CL1753Contig1	HCGP-FN-CO_00715
CL1755Contig1	HCGP-FN-CO_00716
CL1758Contig1	HCGP-FN-CO_00717
CL1759Contig1	HCGP-FN-CO_00718
CL175Contig1	HCGP-FN-CO_00719
CL1760Contig1	HCGP-FN-CO_00720
CL1761Contig1	HCGP-FN-CO_00721
CL1762Contig1	HCGP-FN-CO_00722
CL1763Contig1	HCGP-FN-CO_00723
CL1764Contig1	HCGP-FN-CO_00724
CL1765Contig1	HCGP-FN-CO_00725
CL1766Contig1	HCGP-FN-CO_00726
CL1767Contig1	HCGP-FN-CO_00727
CL1768Contig1	HCGP-FN-CO_00728
CL1769Contig1	HCGP-FN-CO_00729
CL176Contig1	HCGP-FN-CO_00730
CL1770Contig1	HCGP-FN-CO_00731
CL1771Contig1	HCGP-FN-CO_00732
CL1772Contig1	HCGP-FN-CO_00733
CL1773Contig1	HCGP-FN-CO_00734
CL1774Contig1	HCGP-FN-CO_00735
CL1775Contig1	HCGP-FN-CO_00736
CL1776Contig1	HCGP-FN-CO_00737
CL1777Contig1	HCGP-FN-CO_00738
CL1778Contig1	HCGP-FN-CO_00739
CL1779Contig1	HCGP-FN-CO_00740
CL1781Contig1	HCGP-FN-CO_00741
CL1783Contig1	HCGP-FN-CO_00742
CL1784Contig1	HCGP-FN-CO_00743
CL1785Contig1	HCGP-FN-CO_00744
CL1786Contig1	HCGP-FN-CO_00745
CL1787Contig1	HCGP-FN-CO_00746
CL1788Contig1	HCGP-FN-CO_00747
CL1789Contig1	HCGP-FN-CO_00748
CL178Contig1	HCGP-FN-CO_00749
CL1790Contig1	HCGP-FN-CO_00750
CL1791Contig1	HCGP-FN-CO_00751
CL1792Contig1	HCGP-FN-CO_00752
CL1793Contig1	HCGP-FN-CO_00753
CL1794Contig1	HCGP-FN-CO_00754
CL1795Contig1	HCGP-FN-CO_00755
CL1796Contig1	HCGP-FN-CO_00756
CL1797Contig1	HCGP-FN-CO_00757
CL1798Contig1	HCGP-FN-CO_00758
CL1799Contig1	HCGP-FN-CO_00759
CL179Contig1	HCGP-FN-CO_00760
CL17Contig1	HCGP-FN-CO_00761
CL17Contig2	HCGP-FN-CO_00762
CL1800Contig1	HCGP-FN-CO_00763
CL1803Contig1	HCGP-FN-CO_00764
CL1805Contig1	HCGP-FN-CO_00765
CL1806Contig1	HCGP-FN-CO_00766
CL1807Contig1	HCGP-FN-CO_00767
CL1808Contig1	HCGP-FN-CO_00768
CL1810Contig1	HCGP-FN-CO_00769
CL1811Contig1	HCGP-FN-CO_00770
CL1812Contig1	HCGP-FN-CO_00771
CL1813Contig1	HCGP-FN-CO_00772
CL1814Contig1	HCGP-FN-CO_00773
CL1815Contig1	HCGP-FN-CO_00774
CL1816Contig1	HCGP-FN-CO_00775
CL181Contig1	HCGP-FN-CO_00776
CL1820Contig1	HCGP-FN-CO_00777
CL1822Contig1	HCGP-FN-CO_00778
CL1823Contig1	HCGP-FN-CO_00779
CL1824Contig1	HCGP-FN-CO_00780
CL1825Contig1	HCGP-FN-CO_00781
CL1826Contig1	HCGP-FN-CO_00782
CL1827Contig1	HCGP-FN-CO_00783
CL1828Contig1	HCGP-FN-CO_00784
CL182Contig1	HCGP-FN-CO_00785
CL1830Contig1	HCGP-FN-CO_00786
CL1832Contig1	HCGP-FN-CO_00787
CL1833Contig1	HCGP-FN-CO_00788
CL1834Contig1	HCGP-FN-CO_00789
CL1835Contig1	HCGP-FN-CO_00790
CL1836Contig1	HCGP-FN-CO_00791
CL1837Contig1	HCGP-FN-CO_00792
CL1838Contig1	HCGP-FN-CO_00793
CL1839Contig1	HCGP-FN-CO_00794
CL183Contig1	HCGP-FN-CO_00795
CL183Contig2	HCGP-FN-CO_00796
CL1841Contig1	HCGP-FN-CO_00797
CL1842Contig1	HCGP-FN-CO_00798
CL1843Contig1	HCGP-FN-CO_00799
CL1844Contig1	HCGP-FN-CO_00800
CL1845Contig1	HCGP-FN-CO_00801
CL1846Contig1	HCGP-FN-CO_00802
CL1847Contig1	HCGP-FN-CO_00803
CL1848Contig1	HCGP-FN-CO_00804
CL184Contig1	HCGP-FN-CO_00805
CL1850Contig1	HCGP-FN-CO_00806
CL1851Contig1	HCGP-FN-CO_00807
CL1852Contig1	HCGP-FN-CO_00808
CL1853Contig1	HCGP-FN-CO_00809
CL1854Contig1	HCGP-FN-CO_00810
CL1855Contig1	HCGP-FN-CO_00811
CL1856Contig1	HCGP-FN-CO_00812
CL1857Contig1	HCGP-FN-CO_00813
CL1858Contig1	HCGP-FN-CO_00814
CL1859Contig1	HCGP-FN-CO_00815
CL185Contig1	HCGP-FN-CO_00816
CL1860Contig1	HCGP-FN-CO_00817
CL1861Contig1	HCGP-FN-CO_00818
CL1862Contig1	HCGP-FN-CO_00819
CL1863Contig1	HCGP-FN-CO_00820
CL1864Contig1	HCGP-FN-CO_00821
CL1865Contig1	HCGP-FN-CO_00822
CL1866Contig1	HCGP-FN-CO_00823
CL1867Contig1	HCGP-FN-CO_00824
CL1868Contig1	HCGP-FN-CO_00825
CL1869Contig1	HCGP-FN-CO_00826
CL186Contig1	HCGP-FN-CO_00827
CL1870Contig1	HCGP-FN-CO_00828
CL1872Contig1	HCGP-FN-CO_00829
CL1873Contig1	HCGP-FN-CO_00830
CL1874Contig1	HCGP-FN-CO_00831
CL1875Contig1	HCGP-FN-CO_00832
CL1876Contig1	HCGP-FN-CO_00833
CL1878Contig1	HCGP-FN-CO_00834
CL1879Contig1	HCGP-FN-CO_00835
CL187Contig1	HCGP-FN-CO_00836
CL187Contig2	HCGP-FN-CO_00837
CL187Contig3	HCGP-FN-CO_00838
CL1880Contig1	HCGP-FN-CO_00839
CL1881Contig1	HCGP-FN-CO_00840
CL1882Contig1	HCGP-FN-CO_00841
CL1883Contig1	HCGP-FN-CO_00842
CL1884Contig1	HCGP-FN-CO_00843
CL1885Contig1	HCGP-FN-CO_00844
CL1886Contig1	HCGP-FN-CO_00845
CL1887Contig1	HCGP-FN-CO_00846
CL1888Contig1	HCGP-FN-CO_00847
CL1889Contig1	HCGP-FN-CO_00848
CL188Contig1	HCGP-FN-CO_00849
CL1890Contig1	HCGP-FN-CO_00850
CL1891Contig1	HCGP-FN-CO_00851
CL1893Contig1	HCGP-FN-CO_00852
CL1894Contig1	HCGP-FN-CO_00853
CL1895Contig1	HCGP-FN-CO_00854
CL1896Contig1	HCGP-FN-CO_00855
CL1897Contig1	HCGP-FN-CO_00856
CL1898Contig1	HCGP-FN-CO_00857
CL1899Contig1	HCGP-FN-CO_00858
CL189Contig1	HCGP-FN-CO_00859
CL1900Contig1	HCGP-FN-CO_00860
CL1901Contig1	HCGP-FN-CO_00861
CL1902Contig1	HCGP-FN-CO_00862
CL1903Contig1	HCGP-FN-CO_00863
CL1904Contig1	HCGP-FN-CO_00864
CL1905Contig1	HCGP-FN-CO_00865
CL1906Contig1	HCGP-FN-CO_00866
CL1907Contig1	HCGP-FN-CO_00867
CL1908Contig1	HCGP-FN-CO_00868
CL190Contig1	HCGP-FN-CO_00869
CL1910Contig1	HCGP-FN-CO_00870
CL1911Contig1	HCGP-FN-CO_00871
CL1912Contig1	HCGP-FN-CO_00872
CL1913Contig1	HCGP-FN-CO_00873
CL1914Contig1	HCGP-FN-CO_00874
CL1915Contig1	HCGP-FN-CO_00875
CL1917Contig1	HCGP-FN-CO_00876
CL1919Contig1	HCGP-FN-CO_00877
CL191Contig1	HCGP-FN-CO_00878
CL191Contig2	HCGP-FN-CO_00879
CL1920Contig1	HCGP-FN-CO_00880
CL1921Contig1	HCGP-FN-CO_00881
CL1922Contig1	HCGP-FN-CO_00882
CL1923Contig1	HCGP-FN-CO_00883
CL1924Contig1	HCGP-FN-CO_00884
CL1925Contig1	HCGP-FN-CO_00885
CL1926Contig1	HCGP-FN-CO_00886
CL1927Contig1	HCGP-FN-CO_00887
CL1928Contig1	HCGP-FN-CO_00888
CL1929Contig1	HCGP-FN-CO_00889
CL192Contig1	HCGP-FN-CO_00890
CL1930Contig1	HCGP-FN-CO_00891
CL1931Contig1	HCGP-FN-CO_00892
CL1934Contig1	HCGP-FN-CO_00893
CL1935Contig1	HCGP-FN-CO_00894
CL1936Contig1	HCGP-FN-CO_00895
CL1937Contig1	HCGP-FN-CO_00896
CL1938Contig1	HCGP-FN-CO_00897
CL1940Contig1	HCGP-FN-CO_00898
CL1942Contig1	HCGP-FN-CO_00899
CL1943Contig1	HCGP-FN-CO_00900
CL1944Contig1	HCGP-FN-CO_00901
CL1945Contig1	HCGP-FN-CO_00902
CL1946Contig1	HCGP-FN-CO_00903
CL1947Contig1	HCGP-FN-CO_00904
CL1948Contig1	HCGP-FN-CO_00905
CL1949Contig1	HCGP-FN-CO_00906
CL194Contig1	HCGP-FN-CO_00907
CL1950Contig1	HCGP-FN-CO_00908
CL1951Contig1	HCGP-FN-CO_00909
CL1952Contig1	HCGP-FN-CO_00910
CL1953Contig1	HCGP-FN-CO_00911
CL1955Contig1	HCGP-FN-CO_00912
CL1956Contig1	HCGP-FN-CO_00913
CL1957Contig1	HCGP-FN-CO_00914
CL1958Contig1	HCGP-FN-CO_00915
CL1959Contig1	HCGP-FN-CO_00916
CL195Contig1	HCGP-FN-CO_00917
CL1961Contig1	HCGP-FN-CO_00918
CL1962Contig1	HCGP-FN-CO_00919
CL1963Contig1	HCGP-FN-CO_00920
CL1964Contig1	HCGP-FN-CO_00921
CL1965Contig1	HCGP-FN-CO_00922
CL1966Contig1	HCGP-FN-CO_00923
CL1967Contig1	HCGP-FN-CO_00924
CL1968Contig1	HCGP-FN-CO_00925
CL1969Contig1	HCGP-FN-CO_00926
CL196Contig1	HCGP-FN-CO_00927
CL1970Contig1	HCGP-FN-CO_00928
CL1972Contig1	HCGP-FN-CO_00929
CL1973Contig1	HCGP-FN-CO_00930
CL1974Contig1	HCGP-FN-CO_00931
CL1975Contig1	HCGP-FN-CO_00932
CL1976Contig1	HCGP-FN-CO_00933
CL1977Contig1	HCGP-FN-CO_00934
CL1978Contig1	HCGP-FN-CO_00935
CL1979Contig1	HCGP-FN-CO_00936
CL197Contig1	HCGP-FN-CO_00937
CL1980Contig1	HCGP-FN-CO_00938
CL1981Contig1	HCGP-FN-CO_00939
CL1982Contig1	HCGP-FN-CO_00940
CL1984Contig1	HCGP-FN-CO_00941
CL1986Contig1	HCGP-FN-CO_00942
CL1987Contig1	HCGP-FN-CO_00943
CL198Contig1	HCGP-FN-CO_00944
CL1990Contig1	HCGP-FN-CO_00945
CL1991Contig1	HCGP-FN-CO_00946
CL1992Contig1	HCGP-FN-CO_00947
CL1993Contig1	HCGP-FN-CO_00948
CL1994Contig1	HCGP-FN-CO_00949
CL1995Contig1	HCGP-FN-CO_00950
CL1996Contig1	HCGP-FN-CO_00951
CL1997Contig1	HCGP-FN-CO_00952
CL1998Contig1	HCGP-FN-CO_00953
CL1999Contig1	HCGP-FN-CO_00954
CL199Contig1	HCGP-FN-CO_00955
CL19Contig1	HCGP-FN-CO_00956
CL1Contig1	HCGP-FN-CO_00957
CL1Contig10	HCGP-FN-CO_00958
CL1Contig11	HCGP-FN-CO_00959
CL1Contig12	HCGP-FN-CO_00960
CL1Contig14	HCGP-FN-CO_00961
CL1Contig16	HCGP-FN-CO_00962
CL1Contig17	HCGP-FN-CO_00963
CL1Contig18	HCGP-FN-CO_00964
CL1Contig22	HCGP-FN-CO_00965
CL1Contig23	HCGP-FN-CO_00966
CL1Contig25	HCGP-FN-CO_00967
CL1Contig26	HCGP-FN-CO_00968
CL1Contig27	HCGP-FN-CO_00969
CL1Contig28	HCGP-FN-CO_00970
CL1Contig3	HCGP-FN-CO_00971
CL1Contig30	HCGP-FN-CO_00972
CL1Contig33	HCGP-FN-CO_00973
CL1Contig4	HCGP-FN-CO_00974
CL1Contig7	HCGP-FN-CO_00975
CL1Contig9	HCGP-FN-CO_00976
CL2000Contig1	HCGP-FN-CO_00977
CL200Contig1	HCGP-FN-CO_00978
CL201Contig1	HCGP-FN-CO_00979
CL202Contig1	HCGP-FN-CO_00980
CL203Contig1	HCGP-FN-CO_00981
CL204Contig1	HCGP-FN-CO_00982
CL205Contig1	HCGP-FN-CO_00983
CL206Contig1	HCGP-FN-CO_00984
CL207Contig1	HCGP-FN-CO_00985
CL208Contig1	HCGP-FN-CO_00986
CL209Contig1	HCGP-FN-CO_00987
CL20Contig1	HCGP-FN-CO_00988
CL20Contig2	HCGP-FN-CO_00989
CL210Contig1	HCGP-FN-CO_00990
CL211Contig1	HCGP-FN-CO_00991
CL212Contig1	HCGP-FN-CO_00992
CL213Contig1	HCGP-FN-CO_00993
CL214Contig1	HCGP-FN-CO_00994
CL215Contig1	HCGP-FN-CO_00995
CL216Contig1	HCGP-FN-CO_00996
CL217Contig1	HCGP-FN-CO_00997
CL218Contig1	HCGP-FN-CO_00998
CL219Contig1	HCGP-FN-CO_00999
CL21Contig1	HCGP-FN-CO_01000
CL21Contig2	HCGP-FN-CO_01001
CL21Contig3	HCGP-FN-CO_01002
CL220Contig1	HCGP-FN-CO_01003
CL221Contig1	HCGP-FN-CO_01004
CL222Contig1	HCGP-FN-CO_01005
CL222Contig2	HCGP-FN-CO_01006
CL223Contig1	HCGP-FN-CO_01007
CL225Contig1	HCGP-FN-CO_01008
CL225Contig2	HCGP-FN-CO_01009
CL226Contig1	HCGP-FN-CO_01010
CL226Contig2	HCGP-FN-CO_01011
CL227Contig1	HCGP-FN-CO_01012
CL228Contig1	HCGP-FN-CO_01013
CL229Contig1	HCGP-FN-CO_01014
CL22Contig1	HCGP-FN-CO_01015
CL230Contig1	HCGP-FN-CO_01016
CL231Contig1	HCGP-FN-CO_01017
CL232Contig1	HCGP-FN-CO_01018
CL233Contig1	HCGP-FN-CO_01019
CL234Contig1	HCGP-FN-CO_01020
CL235Contig1	HCGP-FN-CO_01021
CL236Contig1	HCGP-FN-CO_01022
CL237Contig1	HCGP-FN-CO_01023
CL238Contig1	HCGP-FN-CO_01024
CL238Contig2	HCGP-FN-CO_01025
CL239Contig1	HCGP-FN-CO_01026
CL23Contig1	HCGP-FN-CO_01027
CL240Contig1	HCGP-FN-CO_01028
CL241Contig1	HCGP-FN-CO_01029
CL242Contig1	HCGP-FN-CO_01030
CL243Contig1	HCGP-FN-CO_01031
CL244Contig1	HCGP-FN-CO_01032
CL245Contig1	HCGP-FN-CO_01033
CL246Contig1	HCGP-FN-CO_01034
CL247Contig1	HCGP-FN-CO_01035
CL248Contig1	HCGP-FN-CO_01036
CL249Contig1	HCGP-FN-CO_01037
CL24Contig1	HCGP-FN-CO_01038
CL24Contig2	HCGP-FN-CO_01039
CL24Contig3	HCGP-FN-CO_01040
CL251Contig1	HCGP-FN-CO_01041
CL252Contig1	HCGP-FN-CO_01042
CL253Contig1	HCGP-FN-CO_01043
CL254Contig1	HCGP-FN-CO_01044
CL255Contig1	HCGP-FN-CO_01045
CL255Contig2	HCGP-FN-CO_01046
CL256Contig1	HCGP-FN-CO_01047
CL257Contig1	HCGP-FN-CO_01048
CL258Contig1	HCGP-FN-CO_01049
CL259Contig1	HCGP-FN-CO_01050
CL25Contig1	HCGP-FN-CO_01051
CL25Contig2	HCGP-FN-CO_01052
CL25Contig3	HCGP-FN-CO_01053
CL25Contig4	HCGP-FN-CO_01054
CL260Contig1	HCGP-FN-CO_01055
CL261Contig1	HCGP-FN-CO_01056
CL262Contig1	HCGP-FN-CO_01057
CL263Contig1	HCGP-FN-CO_01058
CL263Contig2	HCGP-FN-CO_01059
CL264Contig1	HCGP-FN-CO_01060
CL265Contig1	HCGP-FN-CO_01061
CL267Contig1	HCGP-FN-CO_01062
CL268Contig1	HCGP-FN-CO_01063
CL269Contig1	HCGP-FN-CO_01064
CL26Contig1	HCGP-FN-CO_01065
CL26Contig2	HCGP-FN-CO_01066
CL270Contig1	HCGP-FN-CO_01067
CL271Contig1	HCGP-FN-CO_01068
CL272Contig1	HCGP-FN-CO_01069
CL273Contig1	HCGP-FN-CO_01070
CL274Contig1	HCGP-FN-CO_01071
CL275Contig1	HCGP-FN-CO_01072
CL275Contig2	HCGP-FN-CO_01073
CL276Contig1	HCGP-FN-CO_01074
CL277Contig1	HCGP-FN-CO_01075
CL278Contig1	HCGP-FN-CO_01076
CL279Contig1	HCGP-FN-CO_01077
CL27Contig1	HCGP-FN-CO_01078
CL27Contig2	HCGP-FN-CO_01079
CL280Contig1	HCGP-FN-CO_01080
CL281Contig1	HCGP-FN-CO_01081
CL282Contig1	HCGP-FN-CO_01082
CL283Contig1	HCGP-FN-CO_01083
CL284Contig1	HCGP-FN-CO_01084
CL285Contig1	HCGP-FN-CO_01085
CL286Contig1	HCGP-FN-CO_01086
CL287Contig1	HCGP-FN-CO_01087
CL288Contig1	HCGP-FN-CO_01088
CL289Contig1	HCGP-FN-CO_01089
CL28Contig1	HCGP-FN-CO_01090
CL290Contig1	HCGP-FN-CO_01091
CL291Contig1	HCGP-FN-CO_01092
CL292Contig1	HCGP-FN-CO_01093
CL293Contig1	HCGP-FN-CO_01094
CL294Contig1	HCGP-FN-CO_01095
CL295Contig1	HCGP-FN-CO_01096
CL296Contig1	HCGP-FN-CO_01097
CL297Contig1	HCGP-FN-CO_01098
CL298Contig1	HCGP-FN-CO_01099
CL299Contig1	HCGP-FN-CO_01100
CL29Contig1	HCGP-FN-CO_01101
CL2Contig1	HCGP-FN-CO_01102
CL2Contig10	HCGP-FN-CO_01103
CL2Contig11	HCGP-FN-CO_01104
CL2Contig12	HCGP-FN-CO_01105
CL2Contig13	HCGP-FN-CO_01106
CL2Contig14	HCGP-FN-CO_01107
CL2Contig15	HCGP-FN-CO_01108
CL2Contig16	HCGP-FN-CO_01109
CL2Contig17	HCGP-FN-CO_01110
CL2Contig2	HCGP-FN-CO_01111
CL2Contig3	HCGP-FN-CO_01112
CL2Contig4	HCGP-FN-CO_01113
CL2Contig5	HCGP-FN-CO_01114
CL2Contig6	HCGP-FN-CO_01115
CL2Contig7	HCGP-FN-CO_01116
CL2Contig9	HCGP-FN-CO_01117
CL300Contig1	HCGP-FN-CO_01118
CL301Contig1	HCGP-FN-CO_01119
CL302Contig1	HCGP-FN-CO_01120
CL303Contig1	HCGP-FN-CO_01121
CL304Contig1	HCGP-FN-CO_01122
CL305Contig1	HCGP-FN-CO_01123
CL306Contig1	HCGP-FN-CO_01124
CL307Contig1	HCGP-FN-CO_01125
CL308Contig1	HCGP-FN-CO_01126
CL309Contig1	HCGP-FN-CO_01127
CL30Contig1	HCGP-FN-CO_01128
CL30Contig2	HCGP-FN-CO_01129
CL30Contig3	HCGP-FN-CO_01130
CL30Contig4	HCGP-FN-CO_01131
CL310Contig1	HCGP-FN-CO_01132
CL311Contig1	HCGP-FN-CO_01133
CL312Contig1	HCGP-FN-CO_01134
CL313Contig1	HCGP-FN-CO_01135
CL314Contig1	HCGP-FN-CO_01136
CL315Contig1	HCGP-FN-CO_01137
CL316Contig1	HCGP-FN-CO_01138
CL317Contig1	HCGP-FN-CO_01139
CL318Contig1	HCGP-FN-CO_01140
CL319Contig1	HCGP-FN-CO_01141
CL31Contig1	HCGP-FN-CO_01142
CL320Contig1	HCGP-FN-CO_01143
CL321Contig1	HCGP-FN-CO_01144
CL322Contig1	HCGP-FN-CO_01145
CL323Contig1	HCGP-FN-CO_01146
CL324Contig1	HCGP-FN-CO_01147
CL325Contig1	HCGP-FN-CO_01148
CL327Contig1	HCGP-FN-CO_01149
CL328Contig1	HCGP-FN-CO_01150
CL329Contig1	HCGP-FN-CO_01151
CL32Contig1	HCGP-FN-CO_01152
CL32Contig2	HCGP-FN-CO_01153
CL32Contig3	HCGP-FN-CO_01154
CL32Contig4	HCGP-FN-CO_01155
CL330Contig1	HCGP-FN-CO_01156
CL331Contig1	HCGP-FN-CO_01157
CL332Contig1	HCGP-FN-CO_01158
CL333Contig1	HCGP-FN-CO_01159
CL336Contig1	HCGP-FN-CO_01160
CL337Contig1	HCGP-FN-CO_01161
CL338Contig1	HCGP-FN-CO_01162
CL339Contig1	HCGP-FN-CO_01163
CL33Contig1	HCGP-FN-CO_01164
CL33Contig2	HCGP-FN-CO_01165
CL340Contig1	HCGP-FN-CO_01166
CL341Contig1	HCGP-FN-CO_01167
CL342Contig1	HCGP-FN-CO_01168
CL343Contig1	HCGP-FN-CO_01169
CL344Contig1	HCGP-FN-CO_01170
CL345Contig1	HCGP-FN-CO_01171
CL346Contig1	HCGP-FN-CO_01172
CL347Contig1	HCGP-FN-CO_01173
CL348Contig1	HCGP-FN-CO_01174
CL349Contig1	HCGP-FN-CO_01175
CL34Contig1	HCGP-FN-CO_01176
CL351Contig1	HCGP-FN-CO_01177
CL352Contig1	HCGP-FN-CO_01178
CL353Contig1	HCGP-FN-CO_01179
CL354Contig1	HCGP-FN-CO_01180
CL355Contig1	HCGP-FN-CO_01181
CL356Contig1	HCGP-FN-CO_01182
CL357Contig1	HCGP-FN-CO_01183
CL359Contig1	HCGP-FN-CO_01184
CL35Contig1	HCGP-FN-CO_01185
CL360Contig1	HCGP-FN-CO_01186
CL361Contig1	HCGP-FN-CO_01187
CL362Contig1	HCGP-FN-CO_01188
CL364Contig1	HCGP-FN-CO_01189
CL366Contig1	HCGP-FN-CO_01190
CL367Contig1	HCGP-FN-CO_01191
CL368Contig1	HCGP-FN-CO_01192
CL369Contig1	HCGP-FN-CO_01193
CL36Contig1	HCGP-FN-CO_01194
CL370Contig1	HCGP-FN-CO_01195
CL371Contig1	HCGP-FN-CO_01196
CL372Contig1	HCGP-FN-CO_01197
CL373Contig1	HCGP-FN-CO_01198
CL374Contig1	HCGP-FN-CO_01199
CL375Contig1	HCGP-FN-CO_01200
CL376Contig1	HCGP-FN-CO_01201
CL377Contig1	HCGP-FN-CO_01202
CL378Contig1	HCGP-FN-CO_01203
CL379Contig1	HCGP-FN-CO_01204
CL37Contig1	HCGP-FN-CO_01205
CL380Contig1	HCGP-FN-CO_01206
CL381Contig1	HCGP-FN-CO_01207
CL382Contig1	HCGP-FN-CO_01208
CL383Contig1	HCGP-FN-CO_01209
CL384Contig1	HCGP-FN-CO_01210
CL385Contig1	HCGP-FN-CO_01211
CL386Contig1	HCGP-FN-CO_01212
CL387Contig1	HCGP-FN-CO_01213
CL388Contig1	HCGP-FN-CO_01214
CL389Contig1	HCGP-FN-CO_01215
CL38Contig1	HCGP-FN-CO_01216
CL390Contig1	HCGP-FN-CO_01217
CL392Contig1	HCGP-FN-CO_01218
CL393Contig1	HCGP-FN-CO_01219
CL394Contig1	HCGP-FN-CO_01220
CL395Contig1	HCGP-FN-CO_01221
CL396Contig1	HCGP-FN-CO_01222
CL397Contig1	HCGP-FN-CO_01223
CL399Contig1	HCGP-FN-CO_01224
CL39Contig1	HCGP-FN-CO_01225
CL39Contig2	HCGP-FN-CO_01226
CL39Contig3	HCGP-FN-CO_01227
CL3Contig1	HCGP-FN-CO_01228
CL3Contig10	HCGP-FN-CO_01229
CL3Contig11	HCGP-FN-CO_01230
