#TGICL_NAME	CONTIG_NAME
CL152Contig1	HCGP-NT-CO_00607
CL152Contig2	HCGP-NT-CO_00608
CL152Contig3	HCGP-NT-CO_00609
CL152Contig4	HCGP-NT-CO_00610
CL1530Contig1	HCGP-NT-CO_00611
CL1531Contig1	HCGP-NT-CO_00612
CL1532Contig1	HCGP-NT-CO_00613
CL1533Contig1	HCGP-NT-CO_00614
CL1534Contig1	HCGP-NT-CO_00615
CL1535Contig1	HCGP-NT-CO_00616
CL1537Contig1	HCGP-NT-CO_00617
CL1538Contig1	HCGP-NT-CO_00618
CL1539Contig1	HCGP-NT-CO_00619
CL153Contig1	HCGP-NT-CO_00620
CL153Contig2	HCGP-NT-CO_00621
CL1540Contig1	HCGP-NT-CO_00622
CL1541Contig1	HCGP-NT-CO_00623
CL1542Contig1	HCGP-NT-CO_00624
CL1543Contig1	HCGP-NT-CO_00625
CL1544Contig1	HCGP-NT-CO_00626
CL1545Contig1	HCGP-NT-CO_00627
CL1546Contig1	HCGP-NT-CO_00628
CL1547Contig1	HCGP-NT-CO_00629
CL1548Contig1	HCGP-NT-CO_00630
CL154Contig1	HCGP-NT-CO_00631
CL1550Contig1	HCGP-NT-CO_00632
CL1551Contig1	HCGP-NT-CO_00633
CL1552Contig1	HCGP-NT-CO_00634
CL1553Contig1	HCGP-NT-CO_00635
CL1554Contig1	HCGP-NT-CO_00636
CL1555Contig1	HCGP-NT-CO_00637
CL1556Contig1	HCGP-NT-CO_00638
CL1557Contig1	HCGP-NT-CO_00639
CL1558Contig1	HCGP-NT-CO_00640
CL1559Contig1	HCGP-NT-CO_00641
CL155Contig1	HCGP-NT-CO_00642
CL1560Contig1	HCGP-NT-CO_00643
CL1561Contig1	HCGP-NT-CO_00644
CL1562Contig1	HCGP-NT-CO_00645
CL1563Contig1	HCGP-NT-CO_00646
CL1564Contig1	HCGP-NT-CO_00647
CL1565Contig1	HCGP-NT-CO_00648
CL1567Contig1	HCGP-NT-CO_00649
CL1568Contig1	HCGP-NT-CO_00650
CL1569Contig1	HCGP-NT-CO_00651
CL156Contig1	HCGP-NT-CO_00652
CL1571Contig1	HCGP-NT-CO_00653
CL1572Contig1	HCGP-NT-CO_00654
CL1573Contig1	HCGP-NT-CO_00655
CL1574Contig1	HCGP-NT-CO_00656
CL1575Contig1	HCGP-NT-CO_00657
CL1576Contig1	HCGP-NT-CO_00658
CL1577Contig1	HCGP-NT-CO_00659
CL1578Contig1	HCGP-NT-CO_00660
CL1579Contig1	HCGP-NT-CO_00661
CL157Contig1	HCGP-NT-CO_00662
CL157Contig2	HCGP-NT-CO_00663
CL157Contig3	HCGP-NT-CO_00664
CL1580Contig1	HCGP-NT-CO_00665
CL1581Contig1	HCGP-NT-CO_00666
CL1582Contig1	HCGP-NT-CO_00667
CL1583Contig1	HCGP-NT-CO_00668
CL1584Contig1	HCGP-NT-CO_00669
CL1585Contig1	HCGP-NT-CO_00670
CL1586Contig1	HCGP-NT-CO_00671
CL1587Contig1	HCGP-NT-CO_00672
CL1588Contig1	HCGP-NT-CO_00673
CL1589Contig1	HCGP-NT-CO_00674
CL158Contig1	HCGP-NT-CO_00675
CL1590Contig1	HCGP-NT-CO_00676
CL1591Contig1	HCGP-NT-CO_00677
CL1592Contig1	HCGP-NT-CO_00678
CL1593Contig1	HCGP-NT-CO_00679
CL1594Contig1	HCGP-NT-CO_00680
CL1595Contig1	HCGP-NT-CO_00681
CL1596Contig1	HCGP-NT-CO_00682
CL1597Contig1	HCGP-NT-CO_00683
CL1598Contig1	HCGP-NT-CO_00684
CL1599Contig1	HCGP-NT-CO_00685
CL159Contig1	HCGP-NT-CO_00686
CL15Contig1	HCGP-NT-CO_00687
CL15Contig2	HCGP-NT-CO_00688
CL15Contig3	HCGP-NT-CO_00689
CL1600Contig1	HCGP-NT-CO_00690
CL1601Contig1	HCGP-NT-CO_00691
CL1602Contig1	HCGP-NT-CO_00692
CL1603Contig1	HCGP-NT-CO_00693
CL1604Contig1	HCGP-NT-CO_00694
CL1605Contig1	HCGP-NT-CO_00695
CL1606Contig1	HCGP-NT-CO_00696
CL1607Contig1	HCGP-NT-CO_00697
CL1608Contig1	HCGP-NT-CO_00698
CL1609Contig1	HCGP-NT-CO_00699
CL160Contig1	HCGP-NT-CO_00700
CL1610Contig1	HCGP-NT-CO_00701
CL1611Contig1	HCGP-NT-CO_00702
CL1612Contig1	HCGP-NT-CO_00703
CL1613Contig1	HCGP-NT-CO_00704
CL1614Contig1	HCGP-NT-CO_00705
CL1615Contig1	HCGP-NT-CO_00706
CL1616Contig1	HCGP-NT-CO_00707
CL1617Contig1	HCGP-NT-CO_00708
CL1618Contig1	HCGP-NT-CO_00709
CL1619Contig1	HCGP-NT-CO_00710
CL161Contig1	HCGP-NT-CO_00711
CL1620Contig1	HCGP-NT-CO_00712
CL1621Contig1	HCGP-NT-CO_00713
CL1622Contig1	HCGP-NT-CO_00714
CL1623Contig1	HCGP-NT-CO_00715
CL1624Contig1	HCGP-NT-CO_00716
CL1625Contig1	HCGP-NT-CO_00717
CL1626Contig1	HCGP-NT-CO_00718
CL1627Contig1	HCGP-NT-CO_00719
CL1628Contig1	HCGP-NT-CO_00720
CL1629Contig1	HCGP-NT-CO_00721
CL162Contig1	HCGP-NT-CO_00722
CL1630Contig1	HCGP-NT-CO_00723
CL1631Contig1	HCGP-NT-CO_00724
CL1632Contig1	HCGP-NT-CO_00725
CL1633Contig1	HCGP-NT-CO_00726
CL1634Contig1	HCGP-NT-CO_00727
CL1635Contig1	HCGP-NT-CO_00728
CL1636Contig1	HCGP-NT-CO_00729
CL1637Contig1	HCGP-NT-CO_00730
CL1638Contig1	HCGP-NT-CO_00731
CL1639Contig1	HCGP-NT-CO_00732
CL163Contig1	HCGP-NT-CO_00733
CL1640Contig1	HCGP-NT-CO_00734
CL1641Contig1	HCGP-NT-CO_00735
CL1642Contig1	HCGP-NT-CO_00736
CL1643Contig1	HCGP-NT-CO_00737
CL1644Contig1	HCGP-NT-CO_00738
CL1645Contig1	HCGP-NT-CO_00739
CL1647Contig1	HCGP-NT-CO_00740
CL1648Contig1	HCGP-NT-CO_00741
CL1649Contig1	HCGP-NT-CO_00742
CL164Contig1	HCGP-NT-CO_00743
CL1650Contig1	HCGP-NT-CO_00744
CL1651Contig1	HCGP-NT-CO_00745
CL1652Contig1	HCGP-NT-CO_00746
CL1653Contig1	HCGP-NT-CO_00747
CL1654Contig1	HCGP-NT-CO_00748
CL1655Contig1	HCGP-NT-CO_00749
CL1656Contig1	HCGP-NT-CO_00750
CL1657Contig1	HCGP-NT-CO_00751
CL1658Contig1	HCGP-NT-CO_00752
CL1659Contig1	HCGP-NT-CO_00753
CL165Contig1	HCGP-NT-CO_00754
CL1661Contig1	HCGP-NT-CO_00755
CL1662Contig1	HCGP-NT-CO_00756
CL1663Contig1	HCGP-NT-CO_00757
CL1664Contig1	HCGP-NT-CO_00758
CL1665Contig1	HCGP-NT-CO_00759
CL1666Contig1	HCGP-NT-CO_00760
CL1667Contig1	HCGP-NT-CO_00761
CL1668Contig1	HCGP-NT-CO_00762
CL1669Contig1	HCGP-NT-CO_00763
CL166Contig1	HCGP-NT-CO_00764
CL166Contig2	HCGP-NT-CO_00765
CL1670Contig1	HCGP-NT-CO_00766
CL1671Contig1	HCGP-NT-CO_00767
CL1672Contig1	HCGP-NT-CO_00768
CL1673Contig1	HCGP-NT-CO_00769
CL1674Contig1	HCGP-NT-CO_00770
CL1675Contig1	HCGP-NT-CO_00771
CL1676Contig1	HCGP-NT-CO_00772
CL1677Contig1	HCGP-NT-CO_00773
CL1678Contig1	HCGP-NT-CO_00774
CL1679Contig1	HCGP-NT-CO_00775
CL167Contig1	HCGP-NT-CO_00776
CL167Contig2	HCGP-NT-CO_00777
CL1680Contig1	HCGP-NT-CO_00778
CL1681Contig1	HCGP-NT-CO_00779
CL1682Contig1	HCGP-NT-CO_00780
CL1683Contig1	HCGP-NT-CO_00781
CL1684Contig1	HCGP-NT-CO_00782
CL1685Contig1	HCGP-NT-CO_00783
CL1686Contig1	HCGP-NT-CO_00784
CL1687Contig1	HCGP-NT-CO_00785
CL1688Contig1	HCGP-NT-CO_00786
CL1689Contig1	HCGP-NT-CO_00787
CL168Contig1	HCGP-NT-CO_00788
CL168Contig2	HCGP-NT-CO_00789
CL1690Contig1	HCGP-NT-CO_00790
CL1691Contig1	HCGP-NT-CO_00791
CL1692Contig1	HCGP-NT-CO_00792
CL1693Contig1	HCGP-NT-CO_00793
CL1695Contig1	HCGP-NT-CO_00794
CL1696Contig1	HCGP-NT-CO_00795
CL1697Contig1	HCGP-NT-CO_00796
CL1698Contig1	HCGP-NT-CO_00797
CL1699Contig1	HCGP-NT-CO_00798
CL169Contig1	HCGP-NT-CO_00799
CL16Contig1	HCGP-NT-CO_00800
CL16Contig2	HCGP-NT-CO_00801
CL16Contig3	HCGP-NT-CO_00802
CL1700Contig1	HCGP-NT-CO_00803
CL1701Contig1	HCGP-NT-CO_00804
CL1702Contig1	HCGP-NT-CO_00805
CL1703Contig1	HCGP-NT-CO_00806
CL1704Contig1	HCGP-NT-CO_00807
CL1705Contig1	HCGP-NT-CO_00808
CL1706Contig1	HCGP-NT-CO_00809
CL1707Contig1	HCGP-NT-CO_00810
CL1708Contig1	HCGP-NT-CO_00811
CL1709Contig1	HCGP-NT-CO_00812
CL170Contig1	HCGP-NT-CO_00813
CL1710Contig1	HCGP-NT-CO_00814
CL1711Contig1	HCGP-NT-CO_00815
CL1713Contig1	HCGP-NT-CO_00816
CL1714Contig1	HCGP-NT-CO_00817
CL1715Contig1	HCGP-NT-CO_00818
CL1716Contig1	HCGP-NT-CO_00819
CL1717Contig1	HCGP-NT-CO_00820
CL1718Contig1	HCGP-NT-CO_00821
CL171Contig1	HCGP-NT-CO_00822
CL1720Contig1	HCGP-NT-CO_00823
CL1721Contig1	HCGP-NT-CO_00824
CL1722Contig1	HCGP-NT-CO_00825
CL1723Contig1	HCGP-NT-CO_00826
CL1724Contig1	HCGP-NT-CO_00827
CL1725Contig1	HCGP-NT-CO_00828
CL1727Contig1	HCGP-NT-CO_00829
CL1728Contig1	HCGP-NT-CO_00830
CL1729Contig1	HCGP-NT-CO_00831
CL172Contig1	HCGP-NT-CO_00832
CL1730Contig1	HCGP-NT-CO_00833
CL1732Contig1	HCGP-NT-CO_00834
CL1733Contig1	HCGP-NT-CO_00835
CL1734Contig1	HCGP-NT-CO_00836
CL1735Contig1	HCGP-NT-CO_00837
CL1736Contig1	HCGP-NT-CO_00838
CL1737Contig1	HCGP-NT-CO_00839
CL1738Contig1	HCGP-NT-CO_00840
CL1739Contig1	HCGP-NT-CO_00841
CL173Contig1	HCGP-NT-CO_00842
CL1740Contig1	HCGP-NT-CO_00843
CL1742Contig1	HCGP-NT-CO_00844
CL1743Contig1	HCGP-NT-CO_00845
CL1745Contig1	HCGP-NT-CO_00846
CL1746Contig1	HCGP-NT-CO_00847
CL1747Contig1	HCGP-NT-CO_00848
CL1748Contig1	HCGP-NT-CO_00849
CL1749Contig1	HCGP-NT-CO_00850
CL174Contig1	HCGP-NT-CO_00851
CL1750Contig1	HCGP-NT-CO_00852
CL1751Contig1	HCGP-NT-CO_00853
CL1752Contig1	HCGP-NT-CO_00854
CL1753Contig1	HCGP-NT-CO_00855
CL1755Contig1	HCGP-NT-CO_00856
CL1756Contig1	HCGP-NT-CO_00857
CL1758Contig1	HCGP-NT-CO_00858
CL1759Contig1	HCGP-NT-CO_00859
CL175Contig1	HCGP-NT-CO_00860
CL1760Contig1	HCGP-NT-CO_00861
CL1761Contig1	HCGP-NT-CO_00862
CL1762Contig1	HCGP-NT-CO_00863
CL1764Contig1	HCGP-NT-CO_00864
CL1765Contig1	HCGP-NT-CO_00865
CL1766Contig1	HCGP-NT-CO_00866
CL1767Contig1	HCGP-NT-CO_00867
CL1768Contig1	HCGP-NT-CO_00868
CL1769Contig1	HCGP-NT-CO_00869
CL176Contig1	HCGP-NT-CO_00870
CL176Contig2	HCGP-NT-CO_00871
CL1770Contig1	HCGP-NT-CO_00872
CL1771Contig1	HCGP-NT-CO_00873
CL1773Contig1	HCGP-NT-CO_00874
CL1774Contig1	HCGP-NT-CO_00875
CL1775Contig1	HCGP-NT-CO_00876
CL1776Contig1	HCGP-NT-CO_00877
CL1777Contig1	HCGP-NT-CO_00878
CL1779Contig1	HCGP-NT-CO_00879
CL177Contig1	HCGP-NT-CO_00880
CL1780Contig1	HCGP-NT-CO_00881
CL1782Contig1	HCGP-NT-CO_00882
CL1783Contig1	HCGP-NT-CO_00883
CL1784Contig1	HCGP-NT-CO_00884
CL1785Contig1	HCGP-NT-CO_00885
CL1787Contig1	HCGP-NT-CO_00886
CL1788Contig1	HCGP-NT-CO_00887
CL1789Contig1	HCGP-NT-CO_00888
CL178Contig1	HCGP-NT-CO_00889
CL1790Contig1	HCGP-NT-CO_00890
CL1791Contig1	HCGP-NT-CO_00891
CL1792Contig1	HCGP-NT-CO_00892
CL1793Contig1	HCGP-NT-CO_00893
CL1794Contig1	HCGP-NT-CO_00894
CL1795Contig1	HCGP-NT-CO_00895
CL1797Contig1	HCGP-NT-CO_00896
CL1798Contig1	HCGP-NT-CO_00897
CL179Contig1	HCGP-NT-CO_00898
CL17Contig1	HCGP-NT-CO_00899
CL17Contig2	HCGP-NT-CO_00900
CL17Contig3	HCGP-NT-CO_00901
CL17Contig4	HCGP-NT-CO_00902
CL17Contig5	HCGP-NT-CO_00903
CL1801Contig1	HCGP-NT-CO_00904
CL1803Contig1	HCGP-NT-CO_00905
CL1804Contig1	HCGP-NT-CO_00906
CL1806Contig1	HCGP-NT-CO_00907
CL1807Contig1	HCGP-NT-CO_00908
CL1809Contig1	HCGP-NT-CO_00909
CL180Contig1	HCGP-NT-CO_00910
CL1810Contig1	HCGP-NT-CO_00911
CL1811Contig1	HCGP-NT-CO_00912
CL1813Contig1	HCGP-NT-CO_00913
CL1816Contig1	HCGP-NT-CO_00914
CL1817Contig1	HCGP-NT-CO_00915
CL1818Contig1	HCGP-NT-CO_00916
CL1819Contig1	HCGP-NT-CO_00917
CL181Contig1	HCGP-NT-CO_00918
CL1820Contig1	HCGP-NT-CO_00919
CL1821Contig1	HCGP-NT-CO_00920
CL1822Contig1	HCGP-NT-CO_00921
CL1823Contig1	HCGP-NT-CO_00922
CL1825Contig1	HCGP-NT-CO_00923
CL1826Contig1	HCGP-NT-CO_00924
CL1827Contig1	HCGP-NT-CO_00925
CL1828Contig1	HCGP-NT-CO_00926
CL1829Contig1	HCGP-NT-CO_00927
CL182Contig1	HCGP-NT-CO_00928
CL182Contig2	HCGP-NT-CO_00929
CL1830Contig1	HCGP-NT-CO_00930
CL1831Contig1	HCGP-NT-CO_00931
CL1832Contig1	HCGP-NT-CO_00932
CL1833Contig1	HCGP-NT-CO_00933
CL1834Contig1	HCGP-NT-CO_00934
CL1835Contig1	HCGP-NT-CO_00935
CL1836Contig1	HCGP-NT-CO_00936
CL1839Contig1	HCGP-NT-CO_00937
CL1840Contig1	HCGP-NT-CO_00938
CL1841Contig1	HCGP-NT-CO_00939
CL1842Contig1	HCGP-NT-CO_00940
CL1843Contig1	HCGP-NT-CO_00941
CL1844Contig1	HCGP-NT-CO_00942
CL1845Contig1	HCGP-NT-CO_00943
CL1847Contig1	HCGP-NT-CO_00944
CL1849Contig1	HCGP-NT-CO_00945
CL184Contig1	HCGP-NT-CO_00946
CL1850Contig1	HCGP-NT-CO_00947
CL1854Contig1	HCGP-NT-CO_00948
CL1856Contig1	HCGP-NT-CO_00949
CL1857Contig1	HCGP-NT-CO_00950
CL1858Contig1	HCGP-NT-CO_00951
CL185Contig1	HCGP-NT-CO_00952
CL1860Contig1	HCGP-NT-CO_00953
CL1861Contig1	HCGP-NT-CO_00954
CL1862Contig1	HCGP-NT-CO_00955
CL1863Contig1	HCGP-NT-CO_00956
CL1864Contig1	HCGP-NT-CO_00957
CL1865Contig1	HCGP-NT-CO_00958
CL1866Contig1	HCGP-NT-CO_00959
CL1867Contig1	HCGP-NT-CO_00960
CL1868Contig1	HCGP-NT-CO_00961
CL186Contig1	HCGP-NT-CO_00962
CL1870Contig1	HCGP-NT-CO_00963
CL1871Contig1	HCGP-NT-CO_00964
CL1873Contig1	HCGP-NT-CO_00965
CL1874Contig1	HCGP-NT-CO_00966
CL1875Contig1	HCGP-NT-CO_00967
CL1876Contig1	HCGP-NT-CO_00968
CL1877Contig1	HCGP-NT-CO_00969
CL1878Contig1	HCGP-NT-CO_00970
CL1879Contig1	HCGP-NT-CO_00971
CL187Contig1	HCGP-NT-CO_00972
CL1882Contig1	HCGP-NT-CO_00973
CL1883Contig1	HCGP-NT-CO_00974
CL1884Contig1	HCGP-NT-CO_00975
CL1885Contig1	HCGP-NT-CO_00976
CL1886Contig1	HCGP-NT-CO_00977
CL1887Contig1	HCGP-NT-CO_00978
CL1888Contig1	HCGP-NT-CO_00979
CL1889Contig1	HCGP-NT-CO_00980
CL188Contig1	HCGP-NT-CO_00981
CL188Contig2	HCGP-NT-CO_00982
CL1890Contig1	HCGP-NT-CO_00983
CL1891Contig1	HCGP-NT-CO_00984
CL1892Contig1	HCGP-NT-CO_00985
CL1894Contig1	HCGP-NT-CO_00986
CL1895Contig1	HCGP-NT-CO_00987
CL1896Contig1	HCGP-NT-CO_00988
CL1897Contig1	HCGP-NT-CO_00989
CL1898Contig1	HCGP-NT-CO_00990
CL1899Contig1	HCGP-NT-CO_00991
CL189Contig1	HCGP-NT-CO_00992
CL18Contig1	HCGP-NT-CO_00993
CL1901Contig1	HCGP-NT-CO_00994
CL1903Contig1	HCGP-NT-CO_00995
CL1904Contig1	HCGP-NT-CO_00996
CL1905Contig1	HCGP-NT-CO_00997
CL1906Contig1	HCGP-NT-CO_00998
CL1907Contig1	HCGP-NT-CO_00999
CL1908Contig1	HCGP-NT-CO_01000
CL1909Contig1	HCGP-NT-CO_01001
CL190Contig1	HCGP-NT-CO_01002
CL1910Contig1	HCGP-NT-CO_01003
CL1911Contig1	HCGP-NT-CO_01004
CL1912Contig1	HCGP-NT-CO_01005
CL1913Contig1	HCGP-NT-CO_01006
CL1915Contig1	HCGP-NT-CO_01007
CL1916Contig1	HCGP-NT-CO_01008
CL1917Contig1	HCGP-NT-CO_01009
CL1918Contig1	HCGP-NT-CO_01010
CL1919Contig1	HCGP-NT-CO_01011
CL191Contig1	HCGP-NT-CO_01012
CL1920Contig1	HCGP-NT-CO_01013
CL1921Contig1	HCGP-NT-CO_01014
CL1922Contig1	HCGP-NT-CO_01015
CL1925Contig1	HCGP-NT-CO_01016
CL1926Contig1	HCGP-NT-CO_01017
CL1927Contig1	HCGP-NT-CO_01018
CL1928Contig1	HCGP-NT-CO_01019
CL1929Contig1	HCGP-NT-CO_01020
CL192Contig1	HCGP-NT-CO_01021
CL1930Contig1	HCGP-NT-CO_01022
CL1931Contig1	HCGP-NT-CO_01023
CL1932Contig1	HCGP-NT-CO_01024
CL1933Contig1	HCGP-NT-CO_01025
CL1934Contig1	HCGP-NT-CO_01026
CL1936Contig1	HCGP-NT-CO_01027
CL1937Contig1	HCGP-NT-CO_01028
CL1939Contig1	HCGP-NT-CO_01029
CL193Contig1	HCGP-NT-CO_01030
CL1940Contig1	HCGP-NT-CO_01031
CL1942Contig1	HCGP-NT-CO_01032
CL1943Contig1	HCGP-NT-CO_01033
CL1944Contig1	HCGP-NT-CO_01034
CL1945Contig1	HCGP-NT-CO_01035
CL1947Contig1	HCGP-NT-CO_01036
CL1948Contig1	HCGP-NT-CO_01037
CL1949Contig1	HCGP-NT-CO_01038
CL194Contig1	HCGP-NT-CO_01039
CL1950Contig1	HCGP-NT-CO_01040
CL1951Contig1	HCGP-NT-CO_01041
CL1952Contig1	HCGP-NT-CO_01042
CL1956Contig1	HCGP-NT-CO_01043
CL1959Contig1	HCGP-NT-CO_01044
CL195Contig1	HCGP-NT-CO_01045
CL1960Contig1	HCGP-NT-CO_01046
CL1963Contig1	HCGP-NT-CO_01047
CL1964Contig1	HCGP-NT-CO_01048
CL1965Contig1	HCGP-NT-CO_01049
CL1966Contig1	HCGP-NT-CO_01050
CL1968Contig1	HCGP-NT-CO_01051
CL1969Contig1	HCGP-NT-CO_01052
CL196Contig1	HCGP-NT-CO_01053
CL1970Contig1	HCGP-NT-CO_01054
CL1971Contig1	HCGP-NT-CO_01055
CL1972Contig1	HCGP-NT-CO_01056
CL1973Contig1	HCGP-NT-CO_01057
CL1974Contig1	HCGP-NT-CO_01058
CL1975Contig1	HCGP-NT-CO_01059
CL1976Contig1	HCGP-NT-CO_01060
CL1977Contig1	HCGP-NT-CO_01061
CL1978Contig1	HCGP-NT-CO_01062
CL1979Contig1	HCGP-NT-CO_01063
CL1980Contig1	HCGP-NT-CO_01064
CL1982Contig1	HCGP-NT-CO_01065
CL1983Contig1	HCGP-NT-CO_01066
CL1984Contig1	HCGP-NT-CO_01067
CL1985Contig1	HCGP-NT-CO_01068
CL1986Contig1	HCGP-NT-CO_01069
CL1987Contig1	HCGP-NT-CO_01070
CL198Contig1	HCGP-NT-CO_01071
CL1990Contig1	HCGP-NT-CO_01072
CL1991Contig1	HCGP-NT-CO_01073
CL1992Contig1	HCGP-NT-CO_01074
CL1995Contig1	HCGP-NT-CO_01075
CL1996Contig1	HCGP-NT-CO_01076
CL1997Contig1	HCGP-NT-CO_01077
CL1998Contig1	HCGP-NT-CO_01078
CL1999Contig1	HCGP-NT-CO_01079
CL199Contig1	HCGP-NT-CO_01080
CL19Contig1	HCGP-NT-CO_01081
CL1Contig1	HCGP-NT-CO_01082
CL1Contig10	HCGP-NT-CO_01083
CL1Contig100	HCGP-NT-CO_01084
CL1Contig101	HCGP-NT-CO_01085
CL1Contig103	HCGP-NT-CO_01086
CL1Contig104	HCGP-NT-CO_01087
CL1Contig105	HCGP-NT-CO_01088
CL1Contig106	HCGP-NT-CO_01089
CL1Contig107	HCGP-NT-CO_01090
CL1Contig108	HCGP-NT-CO_01091
CL1Contig109	HCGP-NT-CO_01092
CL1Contig11	HCGP-NT-CO_01093
CL1Contig110	HCGP-NT-CO_01094
CL1Contig111	HCGP-NT-CO_01095
CL1Contig112	HCGP-NT-CO_01096
CL1Contig113	HCGP-NT-CO_01097
CL1Contig114	HCGP-NT-CO_01098
CL1Contig115	HCGP-NT-CO_01099
CL1Contig116	HCGP-NT-CO_01100
CL1Contig117	HCGP-NT-CO_01101
CL1Contig118	HCGP-NT-CO_01102
CL1Contig119	HCGP-NT-CO_01103
CL1Contig12	HCGP-NT-CO_01104
CL1Contig120	HCGP-NT-CO_01105
CL1Contig121	HCGP-NT-CO_01106
CL1Contig122	HCGP-NT-CO_01107
CL1Contig123	HCGP-NT-CO_01108
CL1Contig124	HCGP-NT-CO_01109
CL1Contig125	HCGP-NT-CO_01110
CL1Contig126	HCGP-NT-CO_01111
CL1Contig127	HCGP-NT-CO_01112
CL1Contig128	HCGP-NT-CO_01113
CL1Contig129	HCGP-NT-CO_01114
CL1Contig13	HCGP-NT-CO_01115
CL1Contig130	HCGP-NT-CO_01116
CL1Contig131	HCGP-NT-CO_01117
CL1Contig132	HCGP-NT-CO_01118
CL1Contig133	HCGP-NT-CO_01119
CL1Contig135	HCGP-NT-CO_01120
CL1Contig136	HCGP-NT-CO_01121
CL1Contig137	HCGP-NT-CO_01122
CL1Contig138	HCGP-NT-CO_01123
CL1Contig139	HCGP-NT-CO_01124
CL1Contig14	HCGP-NT-CO_01125
CL1Contig140	HCGP-NT-CO_01126
CL1Contig141	HCGP-NT-CO_01127
CL1Contig142	HCGP-NT-CO_01128
CL1Contig143	HCGP-NT-CO_01129
CL1Contig144	HCGP-NT-CO_01130
CL1Contig145	HCGP-NT-CO_01131
CL1Contig146	HCGP-NT-CO_01132
CL1Contig147	HCGP-NT-CO_01133
CL1Contig148	HCGP-NT-CO_01134
CL1Contig149	HCGP-NT-CO_01135
CL1Contig15	HCGP-NT-CO_01136
CL1Contig150	HCGP-NT-CO_01137
CL1Contig151	HCGP-NT-CO_01138
CL1Contig152	HCGP-NT-CO_01139
CL1Contig153	HCGP-NT-CO_01140
CL1Contig154	HCGP-NT-CO_01141
CL1Contig155	HCGP-NT-CO_01142
CL1Contig156	HCGP-NT-CO_01143
CL1Contig157	HCGP-NT-CO_01144
CL1Contig158	HCGP-NT-CO_01145
CL1Contig159	HCGP-NT-CO_01146
CL1Contig16	HCGP-NT-CO_01147
CL1Contig160	HCGP-NT-CO_01148
CL1Contig161	HCGP-NT-CO_01149
CL1Contig162	HCGP-NT-CO_01150
CL1Contig163	HCGP-NT-CO_01151
CL1Contig164	HCGP-NT-CO_01152
CL1Contig165	HCGP-NT-CO_01153
CL1Contig166	HCGP-NT-CO_01154
CL1Contig167	HCGP-NT-CO_01155
CL1Contig168	HCGP-NT-CO_01156
CL1Contig169	HCGP-NT-CO_01157
CL1Contig17	HCGP-NT-CO_01158
CL1Contig170	HCGP-NT-CO_01159
CL1Contig171	HCGP-NT-CO_01160
CL1Contig173	HCGP-NT-CO_01161
CL1Contig174	HCGP-NT-CO_01162
CL1Contig175	HCGP-NT-CO_01163
CL1Contig176	HCGP-NT-CO_01164
CL1Contig177	HCGP-NT-CO_01165
CL1Contig178	HCGP-NT-CO_01166
CL1Contig179	HCGP-NT-CO_01167
CL1Contig18	HCGP-NT-CO_01168
CL1Contig180	HCGP-NT-CO_01169
CL1Contig181	HCGP-NT-CO_01170
CL1Contig182	HCGP-NT-CO_01171
CL1Contig183	HCGP-NT-CO_01172
CL1Contig184	HCGP-NT-CO_01173
CL1Contig185	HCGP-NT-CO_01174
CL1Contig186	HCGP-NT-CO_01175
CL1Contig187	HCGP-NT-CO_01176
CL1Contig188	HCGP-NT-CO_01177
CL1Contig189	HCGP-NT-CO_01178
CL1Contig19	HCGP-NT-CO_01179
CL1Contig190	HCGP-NT-CO_01180
CL1Contig191	HCGP-NT-CO_01181
CL1Contig192	HCGP-NT-CO_01182
CL1Contig193	HCGP-NT-CO_01183
CL1Contig194	HCGP-NT-CO_01184
CL1Contig195	HCGP-NT-CO_01185
CL1Contig196	HCGP-NT-CO_01186
CL1Contig197	HCGP-NT-CO_01187
CL1Contig198	HCGP-NT-CO_01188
CL1Contig199	HCGP-NT-CO_01189
CL1Contig2	HCGP-NT-CO_01190
CL1Contig20	HCGP-NT-CO_01191
CL1Contig200	HCGP-NT-CO_01192
CL1Contig201	HCGP-NT-CO_01193
CL1Contig202	HCGP-NT-CO_01194
CL1Contig203	HCGP-NT-CO_01195
CL1Contig204	HCGP-NT-CO_01196
CL1Contig205	HCGP-NT-CO_01197
CL1Contig206	HCGP-NT-CO_01198
CL1Contig207	HCGP-NT-CO_01199
CL1Contig208	HCGP-NT-CO_01200
CL1Contig209	HCGP-NT-CO_01201
CL1Contig21	HCGP-NT-CO_01202
CL1Contig210	HCGP-NT-CO_01203
CL1Contig211	HCGP-NT-CO_01204
CL1Contig212	HCGP-NT-CO_01205
CL1Contig213	HCGP-NT-CO_01206
CL1Contig214	HCGP-NT-CO_01207
CL1Contig215	HCGP-NT-CO_01208
CL1Contig216	HCGP-NT-CO_01209
CL1Contig217	HCGP-NT-CO_01210
CL1Contig218	HCGP-NT-CO_01211
CL1Contig219	HCGP-NT-CO_01212
CL1Contig22	HCGP-NT-CO_01213
CL1Contig220	HCGP-NT-CO_01214
CL1Contig221	HCGP-NT-CO_01215
CL1Contig222	HCGP-NT-CO_01216
CL1Contig223	HCGP-NT-CO_01217
CL1Contig224	HCGP-NT-CO_01218
CL1Contig225	HCGP-NT-CO_01219
CL1Contig226	HCGP-NT-CO_01220
CL1Contig227	HCGP-NT-CO_01221
CL1Contig228	HCGP-NT-CO_01222
CL1Contig229	HCGP-NT-CO_01223
