#TGICL_NAME	CONTIG_NAME
CL1116Contig1	HCGP-NT-CO_00140
CL1117Contig1	HCGP-NT-CO_00141
CL1118Contig1	HCGP-NT-CO_00142
CL1119Contig1	HCGP-NT-CO_00143
CL111Contig1	HCGP-NT-CO_00144
CL1120Contig1	HCGP-NT-CO_00145
CL1121Contig1	HCGP-NT-CO_00146
CL1122Contig1	HCGP-NT-CO_00147
CL1123Contig1	HCGP-NT-CO_00148
CL1124Contig1	HCGP-NT-CO_00149
CL1125Contig1	HCGP-NT-CO_00150
CL1126Contig1	HCGP-NT-CO_00151
CL1127Contig1	HCGP-NT-CO_00152
CL1128Contig1	HCGP-NT-CO_00153
CL112Contig1	HCGP-NT-CO_00154
CL112Contig2	HCGP-NT-CO_00155
CL1130Contig1	HCGP-NT-CO_00156
CL1131Contig1	HCGP-NT-CO_00157
CL1132Contig1	HCGP-NT-CO_00158
CL1133Contig1	HCGP-NT-CO_00159
CL1134Contig1	HCGP-NT-CO_00160
CL1135Contig1	HCGP-NT-CO_00161
CL1136Contig1	HCGP-NT-CO_00162
CL1137Contig1	HCGP-NT-CO_00163
CL1138Contig1	HCGP-NT-CO_00164
CL1139Contig1	HCGP-NT-CO_00165
CL113Contig1	HCGP-NT-CO_00166
CL1141Contig1	HCGP-NT-CO_00167
CL1142Contig1	HCGP-NT-CO_00168
CL1143Contig1	HCGP-NT-CO_00169
CL1144Contig1	HCGP-NT-CO_00170
CL1145Contig1	HCGP-NT-CO_00171
CL1146Contig1	HCGP-NT-CO_00172
CL1147Contig1	HCGP-NT-CO_00173
CL1148Contig1	HCGP-NT-CO_00174
CL1149Contig1	HCGP-NT-CO_00175
CL114Contig1	HCGP-NT-CO_00176
CL1150Contig1	HCGP-NT-CO_00177
CL1151Contig1	HCGP-NT-CO_00178
CL1152Contig1	HCGP-NT-CO_00179
CL1153Contig1	HCGP-NT-CO_00180
CL1154Contig1	HCGP-NT-CO_00181
CL1155Contig1	HCGP-NT-CO_00182
CL1156Contig1	HCGP-NT-CO_00183
CL1157Contig1	HCGP-NT-CO_00184
CL1158Contig1	HCGP-NT-CO_00185
CL1159Contig1	HCGP-NT-CO_00186
CL115Contig1	HCGP-NT-CO_00187
CL1160Contig1	HCGP-NT-CO_00188
CL1161Contig1	HCGP-NT-CO_00189
CL1162Contig1	HCGP-NT-CO_00190
CL1163Contig1	HCGP-NT-CO_00191
CL1164Contig1	HCGP-NT-CO_00192
CL1167Contig1	HCGP-NT-CO_00193
CL1168Contig1	HCGP-NT-CO_00194
CL1169Contig1	HCGP-NT-CO_00195
CL116Contig1	HCGP-NT-CO_00196
CL1170Contig1	HCGP-NT-CO_00197
CL1171Contig1	HCGP-NT-CO_00198
CL1172Contig1	HCGP-NT-CO_00199
CL1173Contig1	HCGP-NT-CO_00200
CL1174Contig1	HCGP-NT-CO_00201
CL1175Contig1	HCGP-NT-CO_00202
CL1176Contig1	HCGP-NT-CO_00203
CL1177Contig1	HCGP-NT-CO_00204
CL1178Contig1	HCGP-NT-CO_00205
CL1179Contig1	HCGP-NT-CO_00206
CL117Contig1	HCGP-NT-CO_00207
CL1180Contig1	HCGP-NT-CO_00208
CL1181Contig1	HCGP-NT-CO_00209
CL1182Contig1	HCGP-NT-CO_00210
CL1183Contig1	HCGP-NT-CO_00211
CL1184Contig1	HCGP-NT-CO_00212
CL1185Contig1	HCGP-NT-CO_00213
CL1186Contig1	HCGP-NT-CO_00214
CL1187Contig1	HCGP-NT-CO_00215
CL1188Contig1	HCGP-NT-CO_00216
CL1189Contig1	HCGP-NT-CO_00217
CL118Contig1	HCGP-NT-CO_00218
CL1190Contig1	HCGP-NT-CO_00219
CL1191Contig1	HCGP-NT-CO_00220
CL1192Contig1	HCGP-NT-CO_00221
CL1193Contig1	HCGP-NT-CO_00222
CL1194Contig1	HCGP-NT-CO_00223
CL1195Contig1	HCGP-NT-CO_00224
CL1196Contig1	HCGP-NT-CO_00225
CL1197Contig1	HCGP-NT-CO_00226
CL1198Contig1	HCGP-NT-CO_00227
CL1199Contig1	HCGP-NT-CO_00228
CL119Contig1	HCGP-NT-CO_00229
CL11Contig1	HCGP-NT-CO_00230
CL1200Contig1	HCGP-NT-CO_00231
CL1201Contig1	HCGP-NT-CO_00232
CL1202Contig1	HCGP-NT-CO_00233
CL1203Contig1	HCGP-NT-CO_00234
CL1204Contig1	HCGP-NT-CO_00235
CL1205Contig1	HCGP-NT-CO_00236
CL1206Contig1	HCGP-NT-CO_00237
CL1207Contig1	HCGP-NT-CO_00238
CL1208Contig1	HCGP-NT-CO_00239
CL1209Contig1	HCGP-NT-CO_00240
CL120Contig1	HCGP-NT-CO_00241
CL1210Contig1	HCGP-NT-CO_00242
CL1211Contig1	HCGP-NT-CO_00243
CL1212Contig1	HCGP-NT-CO_00244
CL1213Contig1	HCGP-NT-CO_00245
CL1214Contig1	HCGP-NT-CO_00246
CL1215Contig1	HCGP-NT-CO_00247
CL1216Contig1	HCGP-NT-CO_00248
CL1217Contig1	HCGP-NT-CO_00249
CL1218Contig1	HCGP-NT-CO_00250
CL1219Contig1	HCGP-NT-CO_00251
CL121Contig1	HCGP-NT-CO_00252
CL1220Contig1	HCGP-NT-CO_00253
CL1221Contig1	HCGP-NT-CO_00254
CL1222Contig1	HCGP-NT-CO_00255
CL1223Contig1	HCGP-NT-CO_00256
CL1224Contig1	HCGP-NT-CO_00257
CL1225Contig1	HCGP-NT-CO_00258
CL1226Contig1	HCGP-NT-CO_00259
CL1227Contig1	HCGP-NT-CO_00260
CL1228Contig1	HCGP-NT-CO_00261
