#TGICL_NAME	CONTIG_NAME
CL1624Contig1	HCGP-ET-CO_00608
CL1625Contig1	HCGP-ET-CO_00609
CL1626Contig1	HCGP-ET-CO_00610
CL1627Contig1	HCGP-ET-CO_00611
CL1628Contig1	HCGP-ET-CO_00612
CL1629Contig1	HCGP-ET-CO_00613
CL162Contig1	HCGP-ET-CO_00614
CL1630Contig1	HCGP-ET-CO_00615
CL1631Contig1	HCGP-ET-CO_00616
CL1632Contig1	HCGP-ET-CO_00617
CL1633Contig1	HCGP-ET-CO_00618
CL1634Contig1	HCGP-ET-CO_00619
CL1635Contig1	HCGP-ET-CO_00620
CL1636Contig1	HCGP-ET-CO_00621
CL1638Contig1	HCGP-ET-CO_00622
CL1639Contig1	HCGP-ET-CO_00623
CL163Contig1	HCGP-ET-CO_00624
CL1640Contig1	HCGP-ET-CO_00625
CL1641Contig1	HCGP-ET-CO_00626
CL1642Contig1	HCGP-ET-CO_00627
CL1643Contig1	HCGP-ET-CO_00628
CL1644Contig1	HCGP-ET-CO_00629
CL1645Contig1	HCGP-ET-CO_00630
CL1646Contig1	HCGP-ET-CO_00631
CL1647Contig1	HCGP-ET-CO_00632
CL1649Contig1	HCGP-ET-CO_00633
CL164Contig1	HCGP-ET-CO_00634
CL1650Contig1	HCGP-ET-CO_00635
CL1651Contig1	HCGP-ET-CO_00636
CL1652Contig1	HCGP-ET-CO_00637
CL1653Contig1	HCGP-ET-CO_00638
CL1654Contig1	HCGP-ET-CO_00639
CL1655Contig1	HCGP-ET-CO_00640
CL1658Contig1	HCGP-ET-CO_00641
CL1659Contig1	HCGP-ET-CO_00642
CL165Contig1	HCGP-ET-CO_00643
CL1660Contig1	HCGP-ET-CO_00644
CL1661Contig1	HCGP-ET-CO_00645
CL1662Contig1	HCGP-ET-CO_00646
CL1663Contig1	HCGP-ET-CO_00647
CL1664Contig1	HCGP-ET-CO_00648
CL1665Contig1	HCGP-ET-CO_00649
CL1669Contig1	HCGP-ET-CO_00650
CL166Contig1	HCGP-ET-CO_00651
CL1670Contig1	HCGP-ET-CO_00652
CL1671Contig1	HCGP-ET-CO_00653
CL1672Contig1	HCGP-ET-CO_00654
CL1673Contig1	HCGP-ET-CO_00655
CL1674Contig1	HCGP-ET-CO_00656
CL1675Contig1	HCGP-ET-CO_00657
CL1676Contig1	HCGP-ET-CO_00658
CL1677Contig1	HCGP-ET-CO_00659
CL1678Contig1	HCGP-ET-CO_00660
CL1679Contig1	HCGP-ET-CO_00661
CL167Contig1	HCGP-ET-CO_00662
CL1680Contig1	HCGP-ET-CO_00663
CL1681Contig1	HCGP-ET-CO_00664
CL1682Contig1	HCGP-ET-CO_00665
CL1684Contig1	HCGP-ET-CO_00666
CL1687Contig1	HCGP-ET-CO_00667
CL1688Contig1	HCGP-ET-CO_00668
CL1689Contig1	HCGP-ET-CO_00669
CL168Contig1	HCGP-ET-CO_00670
CL168Contig2	HCGP-ET-CO_00671
CL168Contig3	HCGP-ET-CO_00672
CL1690Contig1	HCGP-ET-CO_00673
CL1691Contig1	HCGP-ET-CO_00674
CL1692Contig1	HCGP-ET-CO_00675
CL1693Contig1	HCGP-ET-CO_00676
CL1694Contig1	HCGP-ET-CO_00677
CL1695Contig1	HCGP-ET-CO_00678
CL1696Contig1	HCGP-ET-CO_00679
CL1697Contig1	HCGP-ET-CO_00680
CL1698Contig1	HCGP-ET-CO_00681
CL1699Contig1	HCGP-ET-CO_00682
CL169Contig1	HCGP-ET-CO_00683
CL16Contig1	HCGP-ET-CO_00684
CL16Contig2	HCGP-ET-CO_00685
CL16Contig3	HCGP-ET-CO_00686
CL1700Contig1	HCGP-ET-CO_00687
CL1701Contig1	HCGP-ET-CO_00688
CL1703Contig1	HCGP-ET-CO_00689
CL1705Contig1	HCGP-ET-CO_00690
CL1706Contig1	HCGP-ET-CO_00691
CL1707Contig1	HCGP-ET-CO_00692
CL1708Contig1	HCGP-ET-CO_00693
CL1709Contig1	HCGP-ET-CO_00694
CL170Contig1	HCGP-ET-CO_00695
CL170Contig2	HCGP-ET-CO_00696
CL170Contig3	HCGP-ET-CO_00697
CL1710Contig1	HCGP-ET-CO_00698
CL1711Contig1	HCGP-ET-CO_00699
CL1712Contig1	HCGP-ET-CO_00700
CL1713Contig1	HCGP-ET-CO_00701
CL1714Contig1	HCGP-ET-CO_00702
CL1715Contig1	HCGP-ET-CO_00703
CL1716Contig1	HCGP-ET-CO_00704
CL1717Contig1	HCGP-ET-CO_00705
CL1718Contig1	HCGP-ET-CO_00706
CL1719Contig1	HCGP-ET-CO_00707
CL171Contig1	HCGP-ET-CO_00708
CL1721Contig1	HCGP-ET-CO_00709
CL1722Contig1	HCGP-ET-CO_00710
CL1723Contig1	HCGP-ET-CO_00711
CL1724Contig1	HCGP-ET-CO_00712
CL1725Contig1	HCGP-ET-CO_00713
CL1726Contig1	HCGP-ET-CO_00714
CL1727Contig1	HCGP-ET-CO_00715
CL1729Contig1	HCGP-ET-CO_00716
CL172Contig1	HCGP-ET-CO_00717
CL172Contig2	HCGP-ET-CO_00718
CL1731Contig1	HCGP-ET-CO_00719
CL1732Contig1	HCGP-ET-CO_00720
CL1733Contig1	HCGP-ET-CO_00721
CL1734Contig1	HCGP-ET-CO_00722
CL1735Contig1	HCGP-ET-CO_00723
CL1736Contig1	HCGP-ET-CO_00724
CL1737Contig1	HCGP-ET-CO_00725
CL1738Contig1	HCGP-ET-CO_00726
CL173Contig1	HCGP-ET-CO_00727
CL1740Contig1	HCGP-ET-CO_00728
CL1741Contig1	HCGP-ET-CO_00729
CL1742Contig1	HCGP-ET-CO_00730
CL1743Contig1	HCGP-ET-CO_00731
CL1744Contig1	HCGP-ET-CO_00732
CL1745Contig1	HCGP-ET-CO_00733
CL1746Contig1	HCGP-ET-CO_00734
CL1748Contig1	HCGP-ET-CO_00735
CL1749Contig1	HCGP-ET-CO_00736
CL174Contig1	HCGP-ET-CO_00737
CL1750Contig1	HCGP-ET-CO_00738
CL1751Contig1	HCGP-ET-CO_00739
CL1753Contig1	HCGP-ET-CO_00740
CL1754Contig1	HCGP-ET-CO_00741
CL1755Contig1	HCGP-ET-CO_00742
CL1756Contig1	HCGP-ET-CO_00743
CL1757Contig1	HCGP-ET-CO_00744
CL1759Contig1	HCGP-ET-CO_00745
CL175Contig1	HCGP-ET-CO_00746
CL175Contig2	HCGP-ET-CO_00747
CL1760Contig1	HCGP-ET-CO_00748
CL1762Contig1	HCGP-ET-CO_00749
CL1764Contig1	HCGP-ET-CO_00750
CL1766Contig1	HCGP-ET-CO_00751
CL1767Contig1	HCGP-ET-CO_00752
CL176Contig1	HCGP-ET-CO_00753
CL1771Contig1	HCGP-ET-CO_00754
CL1772Contig1	HCGP-ET-CO_00755
CL1773Contig1	HCGP-ET-CO_00756
CL1774Contig1	HCGP-ET-CO_00757
CL1775Contig1	HCGP-ET-CO_00758
CL1776Contig1	HCGP-ET-CO_00759
CL1777Contig1	HCGP-ET-CO_00760
CL1778Contig1	HCGP-ET-CO_00761
CL1779Contig1	HCGP-ET-CO_00762
CL177Contig1	HCGP-ET-CO_00763
CL1780Contig1	HCGP-ET-CO_00764
CL1781Contig1	HCGP-ET-CO_00765
CL1782Contig1	HCGP-ET-CO_00766
CL1783Contig1	HCGP-ET-CO_00767
CL1784Contig1	HCGP-ET-CO_00768
CL1786Contig1	HCGP-ET-CO_00769
CL1787Contig1	HCGP-ET-CO_00770
CL1788Contig1	HCGP-ET-CO_00771
CL1789Contig1	HCGP-ET-CO_00772
CL178Contig1	HCGP-ET-CO_00773
CL1790Contig1	HCGP-ET-CO_00774
CL1792Contig1	HCGP-ET-CO_00775
CL1793Contig1	HCGP-ET-CO_00776
CL1794Contig1	HCGP-ET-CO_00777
CL1795Contig1	HCGP-ET-CO_00778
CL1796Contig1	HCGP-ET-CO_00779
CL1797Contig1	HCGP-ET-CO_00780
CL1798Contig1	HCGP-ET-CO_00781
CL1799Contig1	HCGP-ET-CO_00782
CL179Contig1	HCGP-ET-CO_00783
CL17Contig1	HCGP-ET-CO_00784
CL17Contig2	HCGP-ET-CO_00785
CL17Contig3	HCGP-ET-CO_00786
CL17Contig4	HCGP-ET-CO_00787
CL17Contig5	HCGP-ET-CO_00788
CL1800Contig1	HCGP-ET-CO_00789
CL1801Contig1	HCGP-ET-CO_00790
CL1802Contig1	HCGP-ET-CO_00791
CL1803Contig1	HCGP-ET-CO_00792
CL1804Contig1	HCGP-ET-CO_00793
CL1805Contig1	HCGP-ET-CO_00794
CL1806Contig1	HCGP-ET-CO_00795
CL1807Contig1	HCGP-ET-CO_00796
CL1808Contig1	HCGP-ET-CO_00797
CL1809Contig1	HCGP-ET-CO_00798
CL180Contig1	HCGP-ET-CO_00799
CL1812Contig1	HCGP-ET-CO_00800
CL1813Contig1	HCGP-ET-CO_00801
CL1814Contig1	HCGP-ET-CO_00802
CL1815Contig1	HCGP-ET-CO_00803
CL1816Contig1	HCGP-ET-CO_00804
CL1817Contig1	HCGP-ET-CO_00805
CL181Contig1	HCGP-ET-CO_00806
CL1820Contig1	HCGP-ET-CO_00807
CL1821Contig1	HCGP-ET-CO_00808
CL1822Contig1	HCGP-ET-CO_00809
CL1823Contig1	HCGP-ET-CO_00810
CL1825Contig1	HCGP-ET-CO_00811
CL1826Contig1	HCGP-ET-CO_00812
CL1827Contig1	HCGP-ET-CO_00813
CL1828Contig1	HCGP-ET-CO_00814
CL1829Contig1	HCGP-ET-CO_00815
CL182Contig1	HCGP-ET-CO_00816
CL1830Contig1	HCGP-ET-CO_00817
CL1831Contig1	HCGP-ET-CO_00818
CL1833Contig1	HCGP-ET-CO_00819
CL1835Contig1	HCGP-ET-CO_00820
CL1837Contig1	HCGP-ET-CO_00821
CL1838Contig1	HCGP-ET-CO_00822
CL1839Contig1	HCGP-ET-CO_00823
CL183Contig1	HCGP-ET-CO_00824
CL1840Contig1	HCGP-ET-CO_00825
CL1841Contig1	HCGP-ET-CO_00826
CL1842Contig1	HCGP-ET-CO_00827
CL1843Contig1	HCGP-ET-CO_00828
CL1844Contig1	HCGP-ET-CO_00829
CL1845Contig1	HCGP-ET-CO_00830
CL1846Contig1	HCGP-ET-CO_00831
CL1847Contig1	HCGP-ET-CO_00832
CL1848Contig1	HCGP-ET-CO_00833
CL1849Contig1	HCGP-ET-CO_00834
CL184Contig1	HCGP-ET-CO_00835
CL1850Contig1	HCGP-ET-CO_00836
CL1851Contig1	HCGP-ET-CO_00837
CL1852Contig1	HCGP-ET-CO_00838
CL1853Contig1	HCGP-ET-CO_00839
CL1854Contig1	HCGP-ET-CO_00840
CL1855Contig1	HCGP-ET-CO_00841
CL1857Contig1	HCGP-ET-CO_00842
CL1859Contig1	HCGP-ET-CO_00843
CL185Contig1	HCGP-ET-CO_00844
CL185Contig2	HCGP-ET-CO_00845
CL185Contig3	HCGP-ET-CO_00846
CL1860Contig1	HCGP-ET-CO_00847
CL1861Contig1	HCGP-ET-CO_00848
CL1862Contig1	HCGP-ET-CO_00849
CL1863Contig1	HCGP-ET-CO_00850
CL1864Contig1	HCGP-ET-CO_00851
CL1866Contig1	HCGP-ET-CO_00852
CL1867Contig1	HCGP-ET-CO_00853
CL1868Contig1	HCGP-ET-CO_00854
CL1869Contig1	HCGP-ET-CO_00855
CL186Contig1	HCGP-ET-CO_00856
CL1870Contig1	HCGP-ET-CO_00857
CL1871Contig1	HCGP-ET-CO_00858
CL1872Contig1	HCGP-ET-CO_00859
CL1873Contig1	HCGP-ET-CO_00860
CL1874Contig1	HCGP-ET-CO_00861
CL1875Contig1	HCGP-ET-CO_00862
CL1876Contig1	HCGP-ET-CO_00863
CL1877Contig1	HCGP-ET-CO_00864
CL1878Contig1	HCGP-ET-CO_00865
CL1879Contig1	HCGP-ET-CO_00866
CL187Contig1	HCGP-ET-CO_00867
CL1880Contig1	HCGP-ET-CO_00868
CL1881Contig1	HCGP-ET-CO_00869
CL1882Contig1	HCGP-ET-CO_00870
CL1883Contig1	HCGP-ET-CO_00871
CL1884Contig1	HCGP-ET-CO_00872
CL1885Contig1	HCGP-ET-CO_00873
CL1886Contig1	HCGP-ET-CO_00874
CL1887Contig1	HCGP-ET-CO_00875
CL1888Contig1	HCGP-ET-CO_00876
CL1889Contig1	HCGP-ET-CO_00877
CL1890Contig1	HCGP-ET-CO_00878
CL1891Contig1	HCGP-ET-CO_00879
CL1892Contig1	HCGP-ET-CO_00880
CL1893Contig1	HCGP-ET-CO_00881
CL1894Contig1	HCGP-ET-CO_00882
CL1895Contig1	HCGP-ET-CO_00883
CL1897Contig1	HCGP-ET-CO_00884
CL1898Contig1	HCGP-ET-CO_00885
CL1899Contig1	HCGP-ET-CO_00886
CL189Contig1	HCGP-ET-CO_00887
CL18Contig1	HCGP-ET-CO_00888
CL1901Contig1	HCGP-ET-CO_00889
CL1902Contig1	HCGP-ET-CO_00890
CL1903Contig1	HCGP-ET-CO_00891
CL1904Contig1	HCGP-ET-CO_00892
CL1905Contig1	HCGP-ET-CO_00893
CL1906Contig1	HCGP-ET-CO_00894
CL1907Contig1	HCGP-ET-CO_00895
CL1908Contig1	HCGP-ET-CO_00896
CL1909Contig1	HCGP-ET-CO_00897
CL190Contig1	HCGP-ET-CO_00898
CL190Contig2	HCGP-ET-CO_00899
CL190Contig3	HCGP-ET-CO_00900
CL1910Contig1	HCGP-ET-CO_00901
CL1911Contig1	HCGP-ET-CO_00902
CL1912Contig1	HCGP-ET-CO_00903
CL1913Contig1	HCGP-ET-CO_00904
CL1914Contig1	HCGP-ET-CO_00905
CL1916Contig1	HCGP-ET-CO_00906
CL1917Contig1	HCGP-ET-CO_00907
CL1918Contig1	HCGP-ET-CO_00908
CL1919Contig1	HCGP-ET-CO_00909
CL191Contig1	HCGP-ET-CO_00910
CL1920Contig1	HCGP-ET-CO_00911
CL1921Contig1	HCGP-ET-CO_00912
CL1922Contig1	HCGP-ET-CO_00913
CL1923Contig1	HCGP-ET-CO_00914
CL1924Contig1	HCGP-ET-CO_00915
CL1925Contig1	HCGP-ET-CO_00916
CL1926Contig1	HCGP-ET-CO_00917
CL1927Contig1	HCGP-ET-CO_00918
CL1928Contig1	HCGP-ET-CO_00919
CL1929Contig1	HCGP-ET-CO_00920
CL192Contig1	HCGP-ET-CO_00921
CL1931Contig1	HCGP-ET-CO_00922
CL1932Contig1	HCGP-ET-CO_00923
CL1933Contig1	HCGP-ET-CO_00924
CL1934Contig1	HCGP-ET-CO_00925
CL1935Contig1	HCGP-ET-CO_00926
CL1936Contig1	HCGP-ET-CO_00927
CL1937Contig1	HCGP-ET-CO_00928
CL1939Contig1	HCGP-ET-CO_00929
CL193Contig1	HCGP-ET-CO_00930
CL1940Contig1	HCGP-ET-CO_00931
CL1941Contig1	HCGP-ET-CO_00932
CL1942Contig1	HCGP-ET-CO_00933
CL1943Contig1	HCGP-ET-CO_00934
CL1944Contig1	HCGP-ET-CO_00935
CL1945Contig1	HCGP-ET-CO_00936
CL1946Contig1	HCGP-ET-CO_00937
CL1947Contig1	HCGP-ET-CO_00938
CL1948Contig1	HCGP-ET-CO_00939
CL1949Contig1	HCGP-ET-CO_00940
CL194Contig1	HCGP-ET-CO_00941
CL1950Contig1	HCGP-ET-CO_00942
CL1951Contig1	HCGP-ET-CO_00943
CL1952Contig1	HCGP-ET-CO_00944
CL1953Contig1	HCGP-ET-CO_00945
CL1954Contig1	HCGP-ET-CO_00946
CL1955Contig1	HCGP-ET-CO_00947
CL1956Contig1	HCGP-ET-CO_00948
CL1957Contig1	HCGP-ET-CO_00949
CL1958Contig1	HCGP-ET-CO_00950
CL1959Contig1	HCGP-ET-CO_00951
CL195Contig1	HCGP-ET-CO_00952
CL195Contig2	HCGP-ET-CO_00953
CL1960Contig1	HCGP-ET-CO_00954
CL1961Contig1	HCGP-ET-CO_00955
CL1963Contig1	HCGP-ET-CO_00956
CL1964Contig1	HCGP-ET-CO_00957
CL1965Contig1	HCGP-ET-CO_00958
CL1966Contig1	HCGP-ET-CO_00959
CL1967Contig1	HCGP-ET-CO_00960
CL1968Contig1	HCGP-ET-CO_00961
CL1969Contig1	HCGP-ET-CO_00962
CL196Contig1	HCGP-ET-CO_00963
CL1970Contig1	HCGP-ET-CO_00964
CL1971Contig1	HCGP-ET-CO_00965
CL1972Contig1	HCGP-ET-CO_00966
CL1973Contig1	HCGP-ET-CO_00967
CL1974Contig1	HCGP-ET-CO_00968
CL1975Contig1	HCGP-ET-CO_00969
CL1976Contig1	HCGP-ET-CO_00970
CL1977Contig1	HCGP-ET-CO_00971
CL1978Contig1	HCGP-ET-CO_00972
CL1979Contig1	HCGP-ET-CO_00973
CL197Contig1	HCGP-ET-CO_00974
CL1980Contig1	HCGP-ET-CO_00975
CL1981Contig1	HCGP-ET-CO_00976
CL1982Contig1	HCGP-ET-CO_00977
CL1983Contig1	HCGP-ET-CO_00978
CL1984Contig1	HCGP-ET-CO_00979
CL1985Contig1	HCGP-ET-CO_00980
CL1987Contig1	HCGP-ET-CO_00981
CL1988Contig1	HCGP-ET-CO_00982
CL1989Contig1	HCGP-ET-CO_00983
CL198Contig1	HCGP-ET-CO_00984
CL1990Contig1	HCGP-ET-CO_00985
CL1991Contig1	HCGP-ET-CO_00986
CL1993Contig1	HCGP-ET-CO_00987
CL1994Contig1	HCGP-ET-CO_00988
CL1995Contig1	HCGP-ET-CO_00989
CL1996Contig1	HCGP-ET-CO_00990
CL1997Contig1	HCGP-ET-CO_00991
CL1998Contig1	HCGP-ET-CO_00992
CL1999Contig1	HCGP-ET-CO_00993
CL199Contig1	HCGP-ET-CO_00994
CL19Contig1	HCGP-ET-CO_00995
CL19Contig2	HCGP-ET-CO_00996
CL1Contig1	HCGP-ET-CO_00997
CL1Contig10	HCGP-ET-CO_00998
CL1Contig100	HCGP-ET-CO_00999
CL1Contig101	HCGP-ET-CO_01000
CL1Contig102	HCGP-ET-CO_01001
CL1Contig103	HCGP-ET-CO_01002
CL1Contig104	HCGP-ET-CO_01003
CL1Contig105	HCGP-ET-CO_01004
CL1Contig106	HCGP-ET-CO_01005
CL1Contig107	HCGP-ET-CO_01006
CL1Contig108	HCGP-ET-CO_01007
CL1Contig109	HCGP-ET-CO_01008
CL1Contig11	HCGP-ET-CO_01009
CL1Contig110	HCGP-ET-CO_01010
CL1Contig111	HCGP-ET-CO_01011
CL1Contig112	HCGP-ET-CO_01012
CL1Contig113	HCGP-ET-CO_01013
CL1Contig114	HCGP-ET-CO_01014
CL1Contig115	HCGP-ET-CO_01015
CL1Contig116	HCGP-ET-CO_01016
CL1Contig117	HCGP-ET-CO_01017
CL1Contig118	HCGP-ET-CO_01018
CL1Contig119	HCGP-ET-CO_01019
CL1Contig12	HCGP-ET-CO_01020
CL1Contig120	HCGP-ET-CO_01021
CL1Contig121	HCGP-ET-CO_01022
CL1Contig122	HCGP-ET-CO_01023
CL1Contig123	HCGP-ET-CO_01024
CL1Contig124	HCGP-ET-CO_01025
CL1Contig125	HCGP-ET-CO_01026
CL1Contig126	HCGP-ET-CO_01027
CL1Contig127	HCGP-ET-CO_01028
CL1Contig128	HCGP-ET-CO_01029
CL1Contig129	HCGP-ET-CO_01030
CL1Contig13	HCGP-ET-CO_01031
CL1Contig130	HCGP-ET-CO_01032
CL1Contig131	HCGP-ET-CO_01033
CL1Contig132	HCGP-ET-CO_01034
CL1Contig133	HCGP-ET-CO_01035
CL1Contig134	HCGP-ET-CO_01036
CL1Contig135	HCGP-ET-CO_01037
CL1Contig136	HCGP-ET-CO_01038
CL1Contig137	HCGP-ET-CO_01039
CL1Contig138	HCGP-ET-CO_01040
CL1Contig139	HCGP-ET-CO_01041
CL1Contig14	HCGP-ET-CO_01042
CL1Contig140	HCGP-ET-CO_01043
CL1Contig141	HCGP-ET-CO_01044
CL1Contig142	HCGP-ET-CO_01045
CL1Contig143	HCGP-ET-CO_01046
CL1Contig144	HCGP-ET-CO_01047
CL1Contig145	HCGP-ET-CO_01048
CL1Contig146	HCGP-ET-CO_01049
CL1Contig147	HCGP-ET-CO_01050
CL1Contig148	HCGP-ET-CO_01051
CL1Contig149	HCGP-ET-CO_01052
CL1Contig15	HCGP-ET-CO_01053
CL1Contig150	HCGP-ET-CO_01054
CL1Contig151	HCGP-ET-CO_01055
CL1Contig152	HCGP-ET-CO_01056
CL1Contig153	HCGP-ET-CO_01057
CL1Contig155	HCGP-ET-CO_01058
CL1Contig156	HCGP-ET-CO_01059
CL1Contig158	HCGP-ET-CO_01060
CL1Contig159	HCGP-ET-CO_01061
CL1Contig16	HCGP-ET-CO_01062
CL1Contig160	HCGP-ET-CO_01063
CL1Contig161	HCGP-ET-CO_01064
CL1Contig162	HCGP-ET-CO_01065
CL1Contig163	HCGP-ET-CO_01066
CL1Contig164	HCGP-ET-CO_01067
CL1Contig165	HCGP-ET-CO_01068
CL1Contig166	HCGP-ET-CO_01069
CL1Contig167	HCGP-ET-CO_01070
CL1Contig168	HCGP-ET-CO_01071
CL1Contig169	HCGP-ET-CO_01072
CL1Contig17	HCGP-ET-CO_01073
CL1Contig170	HCGP-ET-CO_01074
CL1Contig171	HCGP-ET-CO_01075
CL1Contig172	HCGP-ET-CO_01076
CL1Contig173	HCGP-ET-CO_01077
CL1Contig174	HCGP-ET-CO_01078
CL1Contig175	HCGP-ET-CO_01079
CL1Contig176	HCGP-ET-CO_01080
CL1Contig177	HCGP-ET-CO_01081
CL1Contig178	HCGP-ET-CO_01082
CL1Contig179	HCGP-ET-CO_01083
CL1Contig18	HCGP-ET-CO_01084
CL1Contig180	HCGP-ET-CO_01085
CL1Contig181	HCGP-ET-CO_01086
CL1Contig182	HCGP-ET-CO_01087
CL1Contig183	HCGP-ET-CO_01088
CL1Contig184	HCGP-ET-CO_01089
CL1Contig185	HCGP-ET-CO_01090
CL1Contig186	HCGP-ET-CO_01091
CL1Contig187	HCGP-ET-CO_01092
CL1Contig188	HCGP-ET-CO_01093
CL1Contig189	HCGP-ET-CO_01094
CL1Contig19	HCGP-ET-CO_01095
CL1Contig190	HCGP-ET-CO_01096
CL1Contig191	HCGP-ET-CO_01097
CL1Contig192	HCGP-ET-CO_01098
CL1Contig193	HCGP-ET-CO_01099
CL1Contig194	HCGP-ET-CO_01100
CL1Contig195	HCGP-ET-CO_01101
CL1Contig196	HCGP-ET-CO_01102
CL1Contig197	HCGP-ET-CO_01103
CL1Contig198	HCGP-ET-CO_01104
CL1Contig199	HCGP-ET-CO_01105
CL1Contig2	HCGP-ET-CO_01106
CL1Contig20	HCGP-ET-CO_01107
CL1Contig200	HCGP-ET-CO_01108
CL1Contig201	HCGP-ET-CO_01109
CL1Contig202	HCGP-ET-CO_01110
CL1Contig203	HCGP-ET-CO_01111
CL1Contig204	HCGP-ET-CO_01112
CL1Contig205	HCGP-ET-CO_01113
CL1Contig206	HCGP-ET-CO_01114
CL1Contig207	HCGP-ET-CO_01115
CL1Contig208	HCGP-ET-CO_01116
CL1Contig209	HCGP-ET-CO_01117
CL1Contig21	HCGP-ET-CO_01118
CL1Contig210	HCGP-ET-CO_01119
CL1Contig211	HCGP-ET-CO_01120
CL1Contig212	HCGP-ET-CO_01121
CL1Contig213	HCGP-ET-CO_01122
CL1Contig214	HCGP-ET-CO_01123
CL1Contig215	HCGP-ET-CO_01124
CL1Contig216	HCGP-ET-CO_01125
CL1Contig217	HCGP-ET-CO_01126
CL1Contig218	HCGP-ET-CO_01127
CL1Contig219	HCGP-ET-CO_01128
CL1Contig22	HCGP-ET-CO_01129
CL1Contig220	HCGP-ET-CO_01130
CL1Contig221	HCGP-ET-CO_01131
CL1Contig222	HCGP-ET-CO_01132
CL1Contig223	HCGP-ET-CO_01133
CL1Contig224	HCGP-ET-CO_01134
CL1Contig225	HCGP-ET-CO_01135
CL1Contig226	HCGP-ET-CO_01136
CL1Contig227	HCGP-ET-CO_01137
CL1Contig228	HCGP-ET-CO_01138
CL1Contig229	HCGP-ET-CO_01139
CL1Contig23	HCGP-ET-CO_01140
CL1Contig230	HCGP-ET-CO_01141
CL1Contig231	HCGP-ET-CO_01142
CL1Contig232	HCGP-ET-CO_01143
CL1Contig233	HCGP-ET-CO_01144
CL1Contig234	HCGP-ET-CO_01145
CL1Contig235	HCGP-ET-CO_01146
CL1Contig236	HCGP-ET-CO_01147
CL1Contig237	HCGP-ET-CO_01148
CL1Contig238	HCGP-ET-CO_01149
CL1Contig239	HCGP-ET-CO_01150
CL1Contig24	HCGP-ET-CO_01151
CL1Contig240	HCGP-ET-CO_01152
CL1Contig241	HCGP-ET-CO_01153
CL1Contig242	HCGP-ET-CO_01154
CL1Contig243	HCGP-ET-CO_01155
CL1Contig244	HCGP-ET-CO_01156
CL1Contig245	HCGP-ET-CO_01157
CL1Contig246	HCGP-ET-CO_01158
CL1Contig247	HCGP-ET-CO_01159
CL1Contig248	HCGP-ET-CO_01160
CL1Contig249	HCGP-ET-CO_01161
CL1Contig25	HCGP-ET-CO_01162
CL1Contig250	HCGP-ET-CO_01163
CL1Contig251	HCGP-ET-CO_01164
CL1Contig252	HCGP-ET-CO_01165
CL1Contig253	HCGP-ET-CO_01166
CL1Contig254	HCGP-ET-CO_01167
CL1Contig255	HCGP-ET-CO_01168
CL1Contig256	HCGP-ET-CO_01169
CL1Contig257	HCGP-ET-CO_01170
CL1Contig258	HCGP-ET-CO_01171
CL1Contig259	HCGP-ET-CO_01172
CL1Contig26	HCGP-ET-CO_01173
CL1Contig260	HCGP-ET-CO_01174
CL1Contig261	HCGP-ET-CO_01175
CL1Contig262	HCGP-ET-CO_01176
CL1Contig263	HCGP-ET-CO_01177
CL1Contig264	HCGP-ET-CO_01178
CL1Contig265	HCGP-ET-CO_01179
CL1Contig266	HCGP-ET-CO_01180
CL1Contig267	HCGP-ET-CO_01181
CL1Contig268	HCGP-ET-CO_01182
CL1Contig269	HCGP-ET-CO_01183
CL1Contig27	HCGP-ET-CO_01184
CL1Contig270	HCGP-ET-CO_01185
CL1Contig271	HCGP-ET-CO_01186
CL1Contig272	HCGP-ET-CO_01187
CL1Contig273	HCGP-ET-CO_01188
CL1Contig274	HCGP-ET-CO_01189
CL1Contig275	HCGP-ET-CO_01190
CL1Contig276	HCGP-ET-CO_01191
CL1Contig277	HCGP-ET-CO_01192
CL1Contig278	HCGP-ET-CO_01193
CL1Contig279	HCGP-ET-CO_01194
CL1Contig28	HCGP-ET-CO_01195
CL1Contig280	HCGP-ET-CO_01196
CL1Contig281	HCGP-ET-CO_01197
CL1Contig282	HCGP-ET-CO_01198
CL1Contig283	HCGP-ET-CO_01199
CL1Contig284	HCGP-ET-CO_01200
CL1Contig285	HCGP-ET-CO_01201
CL1Contig286	HCGP-ET-CO_01202
CL1Contig287	HCGP-ET-CO_01203
CL1Contig288	HCGP-ET-CO_01204
CL1Contig289	HCGP-ET-CO_01205
CL1Contig29	HCGP-ET-CO_01206
CL1Contig290	HCGP-ET-CO_01207
CL1Contig291	HCGP-ET-CO_01208
CL1Contig292	HCGP-ET-CO_01209
CL1Contig293	HCGP-ET-CO_01210
CL1Contig294	HCGP-ET-CO_01211
CL1Contig295	HCGP-ET-CO_01212
CL1Contig296	HCGP-ET-CO_01213
CL1Contig297	HCGP-ET-CO_01214
CL1Contig298	HCGP-ET-CO_01215
CL1Contig299	HCGP-ET-CO_01216
CL1Contig3	HCGP-ET-CO_01217
CL1Contig30	HCGP-ET-CO_01218
CL1Contig300	HCGP-ET-CO_01219
CL1Contig301	HCGP-ET-CO_01220
CL1Contig302	HCGP-ET-CO_01221
CL1Contig303	HCGP-ET-CO_01222
CL1Contig304	HCGP-ET-CO_01223
CL1Contig305	HCGP-ET-CO_01224
CL1Contig306	HCGP-ET-CO_01225
CL1Contig307	HCGP-ET-CO_01226
CL1Contig308	HCGP-ET-CO_01227
