#TGICL_NAME	CONTIG_NAME
CL1072Contig1	HCGP-ET-CO_00080
CL1073Contig1	HCGP-ET-CO_00081
CL1074Contig1	HCGP-ET-CO_00082
CL1075Contig1	HCGP-ET-CO_00083
CL1076Contig1	HCGP-ET-CO_00084
CL1077Contig1	HCGP-ET-CO_00085
CL1078Contig1	HCGP-ET-CO_00086
CL1079Contig1	HCGP-ET-CO_00087
CL107Contig1	HCGP-ET-CO_00088
CL107Contig2	HCGP-ET-CO_00089
CL107Contig3	HCGP-ET-CO_00090
CL1080Contig1	HCGP-ET-CO_00091
CL1081Contig1	HCGP-ET-CO_00092
CL1082Contig1	HCGP-ET-CO_00093
CL1083Contig1	HCGP-ET-CO_00094
CL1084Contig1	HCGP-ET-CO_00095
CL1085Contig1	HCGP-ET-CO_00096
CL1087Contig1	HCGP-ET-CO_00097
CL1088Contig1	HCGP-ET-CO_00098
CL1089Contig1	HCGP-ET-CO_00099
CL108Contig1	HCGP-ET-CO_00100
CL1090Contig1	HCGP-ET-CO_00101
CL1091Contig1	HCGP-ET-CO_00102
CL1092Contig1	HCGP-ET-CO_00103
CL1093Contig1	HCGP-ET-CO_00104
CL1094Contig1	HCGP-ET-CO_00105
CL1095Contig1	HCGP-ET-CO_00106
CL1096Contig1	HCGP-ET-CO_00107
CL1097Contig1	HCGP-ET-CO_00108
CL1098Contig1	HCGP-ET-CO_00109
CL1099Contig1	HCGP-ET-CO_00110
CL109Contig1	HCGP-ET-CO_00111
CL109Contig2	HCGP-ET-CO_00112
CL109Contig3	HCGP-ET-CO_00113
CL10Contig1	HCGP-ET-CO_00114
CL10Contig2	HCGP-ET-CO_00115
CL10Contig3	HCGP-ET-CO_00116
CL10Contig4	HCGP-ET-CO_00117
CL1100Contig1	HCGP-ET-CO_00118
CL1101Contig1	HCGP-ET-CO_00119
CL1102Contig1	HCGP-ET-CO_00120
CL1103Contig1	HCGP-ET-CO_00121
CL1104Contig1	HCGP-ET-CO_00122
CL1105Contig1	HCGP-ET-CO_00123
CL1108Contig1	HCGP-ET-CO_00124
CL1109Contig1	HCGP-ET-CO_00125
CL110Contig1	HCGP-ET-CO_00126
CL1110Contig1	HCGP-ET-CO_00127
CL1111Contig1	HCGP-ET-CO_00128
CL1112Contig1	HCGP-ET-CO_00129
CL1113Contig1	HCGP-ET-CO_00130
CL1115Contig1	HCGP-ET-CO_00131
CL1116Contig1	HCGP-ET-CO_00132
CL1117Contig1	HCGP-ET-CO_00133
CL1118Contig1	HCGP-ET-CO_00134
CL1119Contig1	HCGP-ET-CO_00135
CL111Contig1	HCGP-ET-CO_00136
CL1120Contig1	HCGP-ET-CO_00137
CL1121Contig1	HCGP-ET-CO_00138
CL1122Contig1	HCGP-ET-CO_00139
CL1123Contig1	HCGP-ET-CO_00140
CL1124Contig1	HCGP-ET-CO_00141
CL1125Contig1	HCGP-ET-CO_00142
CL1126Contig1	HCGP-ET-CO_00143
CL1127Contig1	HCGP-ET-CO_00144
CL1128Contig1	HCGP-ET-CO_00145
CL1129Contig1	HCGP-ET-CO_00146
CL112Contig1	HCGP-ET-CO_00147
CL1130Contig1	HCGP-ET-CO_00148
CL1131Contig1	HCGP-ET-CO_00149
CL1134Contig1	HCGP-ET-CO_00150
CL1135Contig1	HCGP-ET-CO_00151
CL1136Contig1	HCGP-ET-CO_00152
CL1137Contig1	HCGP-ET-CO_00153
CL1138Contig1	HCGP-ET-CO_00154
CL1139Contig1	HCGP-ET-CO_00155
CL113Contig1	HCGP-ET-CO_00156
CL1140Contig1	HCGP-ET-CO_00157
CL1141Contig1	HCGP-ET-CO_00158
CL1142Contig1	HCGP-ET-CO_00159
CL1143Contig1	HCGP-ET-CO_00160
CL1144Contig1	HCGP-ET-CO_00161
CL1145Contig1	HCGP-ET-CO_00162
CL1146Contig1	HCGP-ET-CO_00163
CL1147Contig1	HCGP-ET-CO_00164
CL1148Contig1	HCGP-ET-CO_00165
CL114Contig1	HCGP-ET-CO_00166
CL1150Contig1	HCGP-ET-CO_00167
CL1151Contig1	HCGP-ET-CO_00168
CL1152Contig1	HCGP-ET-CO_00169
CL1153Contig1	HCGP-ET-CO_00170
CL1155Contig1	HCGP-ET-CO_00171
CL1157Contig1	HCGP-ET-CO_00172
CL1158Contig1	HCGP-ET-CO_00173
CL1159Contig1	HCGP-ET-CO_00174
CL115Contig1	HCGP-ET-CO_00175
CL1160Contig1	HCGP-ET-CO_00176
CL1161Contig1	HCGP-ET-CO_00177
CL1162Contig1	HCGP-ET-CO_00178
CL1163Contig1	HCGP-ET-CO_00179
CL1164Contig1	HCGP-ET-CO_00180
CL1165Contig1	HCGP-ET-CO_00181
CL1169Contig1	HCGP-ET-CO_00182
CL116Contig1	HCGP-ET-CO_00183
CL1170Contig1	HCGP-ET-CO_00184
CL1171Contig1	HCGP-ET-CO_00185
CL1172Contig1	HCGP-ET-CO_00186
CL1173Contig1	HCGP-ET-CO_00187
CL1175Contig1	HCGP-ET-CO_00188
CL1176Contig1	HCGP-ET-CO_00189
CL1178Contig1	HCGP-ET-CO_00190
CL1179Contig1	HCGP-ET-CO_00191
CL117Contig1	HCGP-ET-CO_00192
CL1180Contig1	HCGP-ET-CO_00193
CL1181Contig1	HCGP-ET-CO_00194
CL1182Contig1	HCGP-ET-CO_00195
CL1183Contig1	HCGP-ET-CO_00196
