#TGICL_NAME	CONTIG_NAME
CL111Contig1	HCGP-TN-CO_00128
CL1120Contig1	HCGP-TN-CO_00129
CL1122Contig1	HCGP-TN-CO_00130
CL1124Contig1	HCGP-TN-CO_00131
CL1125Contig1	HCGP-TN-CO_00132
CL1126Contig1	HCGP-TN-CO_00133
CL1127Contig1	HCGP-TN-CO_00134
CL1128Contig1	HCGP-TN-CO_00135
CL1129Contig1	HCGP-TN-CO_00136
CL112Contig1	HCGP-TN-CO_00137
CL1130Contig1	HCGP-TN-CO_00138
CL1131Contig1	HCGP-TN-CO_00139
CL1132Contig1	HCGP-TN-CO_00140
CL1133Contig1	HCGP-TN-CO_00141
CL1134Contig1	HCGP-TN-CO_00142
CL1135Contig1	HCGP-TN-CO_00143
CL1136Contig1	HCGP-TN-CO_00144
CL1137Contig1	HCGP-TN-CO_00145
CL1139Contig1	HCGP-TN-CO_00146
CL113Contig1	HCGP-TN-CO_00147
CL1140Contig1	HCGP-TN-CO_00148
CL1141Contig1	HCGP-TN-CO_00149
CL1142Contig1	HCGP-TN-CO_00150
CL1143Contig1	HCGP-TN-CO_00151
CL1145Contig1	HCGP-TN-CO_00152
CL1146Contig1	HCGP-TN-CO_00153
CL1147Contig1	HCGP-TN-CO_00154
CL1148Contig1	HCGP-TN-CO_00155
CL1149Contig1	HCGP-TN-CO_00156
CL114Contig1	HCGP-TN-CO_00157
CL114Contig2	HCGP-TN-CO_00158
CL1150Contig1	HCGP-TN-CO_00159
CL1151Contig1	HCGP-TN-CO_00160
CL1152Contig1	HCGP-TN-CO_00161
CL1153Contig1	HCGP-TN-CO_00162
CL1154Contig1	HCGP-TN-CO_00163
CL1155Contig1	HCGP-TN-CO_00164
CL1156Contig1	HCGP-TN-CO_00165
CL1157Contig1	HCGP-TN-CO_00166
CL1158Contig1	HCGP-TN-CO_00167
CL1159Contig1	HCGP-TN-CO_00168
CL115Contig1	HCGP-TN-CO_00169
CL1160Contig1	HCGP-TN-CO_00170
CL1161Contig1	HCGP-TN-CO_00171
CL1162Contig1	HCGP-TN-CO_00172
CL1163Contig1	HCGP-TN-CO_00173
CL1165Contig1	HCGP-TN-CO_00174
CL1167Contig1	HCGP-TN-CO_00175
CL1168Contig1	HCGP-TN-CO_00176
CL116Contig1	HCGP-TN-CO_00177
CL1171Contig1	HCGP-TN-CO_00178
CL1172Contig1	HCGP-TN-CO_00179
CL1173Contig1	HCGP-TN-CO_00180
CL1174Contig1	HCGP-TN-CO_00181
CL1175Contig1	HCGP-TN-CO_00182
CL1176Contig1	HCGP-TN-CO_00183
CL1178Contig1	HCGP-TN-CO_00184
CL1179Contig1	HCGP-TN-CO_00185
CL117Contig1	HCGP-TN-CO_00186
CL1180Contig1	HCGP-TN-CO_00187
CL1181Contig1	HCGP-TN-CO_00188
CL1182Contig1	HCGP-TN-CO_00189
CL1183Contig1	HCGP-TN-CO_00190
CL1184Contig1	HCGP-TN-CO_00191
CL1185Contig1	HCGP-TN-CO_00192
CL1186Contig1	HCGP-TN-CO_00193
CL1187Contig1	HCGP-TN-CO_00194
CL1188Contig1	HCGP-TN-CO_00195
CL1189Contig1	HCGP-TN-CO_00196
CL118Contig1	HCGP-TN-CO_00197
CL1190Contig1	HCGP-TN-CO_00198
CL1191Contig1	HCGP-TN-CO_00199
CL1193Contig1	HCGP-TN-CO_00200
CL1195Contig1	HCGP-TN-CO_00201
CL1196Contig1	HCGP-TN-CO_00202
CL1197Contig1	HCGP-TN-CO_00203
CL1198Contig1	HCGP-TN-CO_00204
CL1199Contig1	HCGP-TN-CO_00205
CL119Contig1	HCGP-TN-CO_00206
CL11Contig1	HCGP-TN-CO_00207
CL1201Contig1	HCGP-TN-CO_00208
CL1203Contig1	HCGP-TN-CO_00209
CL1204Contig1	HCGP-TN-CO_00210
CL1205Contig1	HCGP-TN-CO_00211
CL1206Contig1	HCGP-TN-CO_00212
CL1207Contig1	HCGP-TN-CO_00213
CL1208Contig1	HCGP-TN-CO_00214
CL1209Contig1	HCGP-TN-CO_00215
CL120Contig1	HCGP-TN-CO_00216
CL1210Contig1	HCGP-TN-CO_00217
CL1211Contig1	HCGP-TN-CO_00218
CL1213Contig1	HCGP-TN-CO_00219
CL1214Contig1	HCGP-TN-CO_00220
CL1215Contig1	HCGP-TN-CO_00221
CL1216Contig1	HCGP-TN-CO_00222
CL1217Contig1	HCGP-TN-CO_00223
CL1219Contig1	HCGP-TN-CO_00224
CL121Contig1	HCGP-TN-CO_00225
CL121Contig2	HCGP-TN-CO_00226
CL1220Contig1	HCGP-TN-CO_00227
CL1221Contig1	HCGP-TN-CO_00228
CL1222Contig1	HCGP-TN-CO_00229
CL1223Contig1	HCGP-TN-CO_00230
CL1224Contig1	HCGP-TN-CO_00231
CL1225Contig1	HCGP-TN-CO_00232
CL1226Contig1	HCGP-TN-CO_00233
CL1227Contig1	HCGP-TN-CO_00234
CL1228Contig1	HCGP-TN-CO_00235
CL1229Contig1	HCGP-TN-CO_00236
CL122Contig1	HCGP-TN-CO_00237
CL122Contig2	HCGP-TN-CO_00238
CL122Contig3	HCGP-TN-CO_00239
CL1230Contig1	HCGP-TN-CO_00240
CL1231Contig1	HCGP-TN-CO_00241
CL1232Contig1	HCGP-TN-CO_00242
CL1233Contig1	HCGP-TN-CO_00243
CL1234Contig1	HCGP-TN-CO_00244
CL1236Contig1	HCGP-TN-CO_00245
CL1237Contig1	HCGP-TN-CO_00246
CL1238Contig1	HCGP-TN-CO_00247
CL1239Contig1	HCGP-TN-CO_00248
CL123Contig1	HCGP-TN-CO_00249
CL1240Contig1	HCGP-TN-CO_00250
CL1241Contig1	HCGP-TN-CO_00251
CL1242Contig1	HCGP-TN-CO_00252
CL1243Contig1	HCGP-TN-CO_00253
CL1244Contig1	HCGP-TN-CO_00254
CL1245Contig1	HCGP-TN-CO_00255
CL1246Contig1	HCGP-TN-CO_00256
CL1247Contig1	HCGP-TN-CO_00257
CL1248Contig1	HCGP-TN-CO_00258
CL124Contig1	HCGP-TN-CO_00259
CL1250Contig1	HCGP-TN-CO_00260
CL1251Contig1	HCGP-TN-CO_00261
CL1252Contig1	HCGP-TN-CO_00262
CL1253Contig1	HCGP-TN-CO_00263
CL1255Contig1	HCGP-TN-CO_00264
CL1256Contig1	HCGP-TN-CO_00265
CL1258Contig1	HCGP-TN-CO_00266
CL1259Contig1	HCGP-TN-CO_00267
CL125Contig1	HCGP-TN-CO_00268
CL1260Contig1	HCGP-TN-CO_00269
CL1261Contig1	HCGP-TN-CO_00270
CL1262Contig1	HCGP-TN-CO_00271
CL1263Contig1	HCGP-TN-CO_00272
CL1264Contig1	HCGP-TN-CO_00273
CL1265Contig1	HCGP-TN-CO_00274
CL1266Contig1	HCGP-TN-CO_00275
CL1267Contig1	HCGP-TN-CO_00276
CL1268Contig1	HCGP-TN-CO_00277
CL1269Contig1	HCGP-TN-CO_00278
CL126Contig1	HCGP-TN-CO_00279
CL1270Contig1	HCGP-TN-CO_00280
CL1271Contig1	HCGP-TN-CO_00281
CL1272Contig1	HCGP-TN-CO_00282
CL1273Contig1	HCGP-TN-CO_00283
CL1274Contig1	HCGP-TN-CO_00284
CL1275Contig1	HCGP-TN-CO_00285
CL1276Contig1	HCGP-TN-CO_00286
CL1277Contig1	HCGP-TN-CO_00287
CL1278Contig1	HCGP-TN-CO_00288
CL127Contig1	HCGP-TN-CO_00289
CL1282Contig1	HCGP-TN-CO_00290
CL1283Contig1	HCGP-TN-CO_00291
CL1284Contig1	HCGP-TN-CO_00292
CL1285Contig1	HCGP-TN-CO_00293
CL1286Contig1	HCGP-TN-CO_00294
CL1289Contig1	HCGP-TN-CO_00295
CL128Contig1	HCGP-TN-CO_00296
CL1290Contig1	HCGP-TN-CO_00297
CL1291Contig1	HCGP-TN-CO_00298
CL1292Contig1	HCGP-TN-CO_00299
CL1294Contig1	HCGP-TN-CO_00300
CL1295Contig1	HCGP-TN-CO_00301
CL1296Contig1	HCGP-TN-CO_00302
CL1297Contig1	HCGP-TN-CO_00303
CL1298Contig1	HCGP-TN-CO_00304
CL1299Contig1	HCGP-TN-CO_00305
CL129Contig1	HCGP-TN-CO_00306
CL129Contig2	HCGP-TN-CO_00307
CL12Contig1	HCGP-TN-CO_00308
CL12Contig2	HCGP-TN-CO_00309
CL12Contig3	HCGP-TN-CO_00310
CL1300Contig1	HCGP-TN-CO_00311
CL1301Contig1	HCGP-TN-CO_00312
CL1303Contig1	HCGP-TN-CO_00313
CL1305Contig1	HCGP-TN-CO_00314
CL1306Contig1	HCGP-TN-CO_00315
CL1307Contig1	HCGP-TN-CO_00316
CL1308Contig1	HCGP-TN-CO_00317
CL1309Contig1	HCGP-TN-CO_00318
CL130Contig1	HCGP-TN-CO_00319
CL1310Contig1	HCGP-TN-CO_00320
CL1312Contig1	HCGP-TN-CO_00321
CL1315Contig1	HCGP-TN-CO_00322
CL1316Contig1	HCGP-TN-CO_00323
CL131Contig1	HCGP-TN-CO_00324
CL1320Contig1	HCGP-TN-CO_00325
CL1321Contig1	HCGP-TN-CO_00326
CL1323Contig1	HCGP-TN-CO_00327
CL1324Contig1	HCGP-TN-CO_00328
CL1325Contig1	HCGP-TN-CO_00329
CL1326Contig1	HCGP-TN-CO_00330
CL1328Contig1	HCGP-TN-CO_00331
CL1329Contig1	HCGP-TN-CO_00332
CL132Contig1	HCGP-TN-CO_00333
CL132Contig2	HCGP-TN-CO_00334
CL1330Contig1	HCGP-TN-CO_00335
CL1332Contig1	HCGP-TN-CO_00336
CL1333Contig1	HCGP-TN-CO_00337
CL1334Contig1	HCGP-TN-CO_00338
CL1335Contig1	HCGP-TN-CO_00339
CL1336Contig1	HCGP-TN-CO_00340
CL1337Contig1	HCGP-TN-CO_00341
CL1338Contig1	HCGP-TN-CO_00342
CL1339Contig1	HCGP-TN-CO_00343
CL133Contig1	HCGP-TN-CO_00344
CL1341Contig1	HCGP-TN-CO_00345
CL1342Contig1	HCGP-TN-CO_00346
CL1343Contig1	HCGP-TN-CO_00347
CL1344Contig1	HCGP-TN-CO_00348
CL1345Contig1	HCGP-TN-CO_00349
CL1346Contig1	HCGP-TN-CO_00350
CL1347Contig1	HCGP-TN-CO_00351
CL1348Contig1	HCGP-TN-CO_00352
CL134Contig1	HCGP-TN-CO_00353
CL1350Contig1	HCGP-TN-CO_00354
CL1351Contig1	HCGP-TN-CO_00355
CL1352Contig1	HCGP-TN-CO_00356
CL1354Contig1	HCGP-TN-CO_00357
CL1356Contig1	HCGP-TN-CO_00358
CL1357Contig1	HCGP-TN-CO_00359
CL1358Contig1	HCGP-TN-CO_00360
CL1359Contig1	HCGP-TN-CO_00361
CL135Contig1	HCGP-TN-CO_00362
CL1360Contig1	HCGP-TN-CO_00363
CL1361Contig1	HCGP-TN-CO_00364
CL1362Contig1	HCGP-TN-CO_00365
CL1365Contig1	HCGP-TN-CO_00366
CL1367Contig1	HCGP-TN-CO_00367
CL1368Contig1	HCGP-TN-CO_00368
CL1369Contig1	HCGP-TN-CO_00369
CL136Contig1	HCGP-TN-CO_00370
CL136Contig2	HCGP-TN-CO_00371
CL1370Contig1	HCGP-TN-CO_00372
CL1371Contig1	HCGP-TN-CO_00373
CL1372Contig1	HCGP-TN-CO_00374
CL1373Contig1	HCGP-TN-CO_00375
CL1374Contig1	HCGP-TN-CO_00376
CL1375Contig1	HCGP-TN-CO_00377
CL1376Contig1	HCGP-TN-CO_00378
CL1377Contig1	HCGP-TN-CO_00379
CL1378Contig1	HCGP-TN-CO_00380
CL137Contig1	HCGP-TN-CO_00381
CL1381Contig1	HCGP-TN-CO_00382
CL1384Contig1	HCGP-TN-CO_00383
CL1388Contig1	HCGP-TN-CO_00384
CL138Contig1	HCGP-TN-CO_00385
CL1391Contig1	HCGP-TN-CO_00386
CL1395Contig1	HCGP-TN-CO_00387
CL1396Contig1	HCGP-TN-CO_00388
CL1397Contig1	HCGP-TN-CO_00389
CL139Contig1	HCGP-TN-CO_00390
CL13Contig1	HCGP-TN-CO_00391
CL13Contig2	HCGP-TN-CO_00392
CL13Contig3	HCGP-TN-CO_00393
CL1400Contig1	HCGP-TN-CO_00394
CL1403Contig1	HCGP-TN-CO_00395
CL1408Contig1	HCGP-TN-CO_00396
CL140Contig1	HCGP-TN-CO_00397
CL1410Contig1	HCGP-TN-CO_00398
CL1417Contig1	HCGP-TN-CO_00399
CL141Contig1	HCGP-TN-CO_00400
CL1421Contig1	HCGP-TN-CO_00401
CL1422Contig1	HCGP-TN-CO_00402
CL1423Contig1	HCGP-TN-CO_00403
CL1428Contig1	HCGP-TN-CO_00404
CL1429Contig1	HCGP-TN-CO_00405
CL142Contig1	HCGP-TN-CO_00406
CL1430Contig1	HCGP-TN-CO_00407
CL1434Contig1	HCGP-TN-CO_00408
CL1436Contig1	HCGP-TN-CO_00409
CL1437Contig1	HCGP-TN-CO_00410
CL1438Contig1	HCGP-TN-CO_00411
CL143Contig1	HCGP-TN-CO_00412
CL1440Contig1	HCGP-TN-CO_00413
CL1443Contig1	HCGP-TN-CO_00414
CL1444Contig1	HCGP-TN-CO_00415
CL1445Contig1	HCGP-TN-CO_00416
CL1448Contig1	HCGP-TN-CO_00417
CL1449Contig1	HCGP-TN-CO_00418
CL144Contig1	HCGP-TN-CO_00419
CL1450Contig1	HCGP-TN-CO_00420
CL1452Contig1	HCGP-TN-CO_00421
CL1453Contig1	HCGP-TN-CO_00422
CL1454Contig1	HCGP-TN-CO_00423
CL1455Contig1	HCGP-TN-CO_00424
CL1456Contig1	HCGP-TN-CO_00425
CL1457Contig1	HCGP-TN-CO_00426
CL1458Contig1	HCGP-TN-CO_00427
CL1459Contig1	HCGP-TN-CO_00428
CL145Contig1	HCGP-TN-CO_00429
CL145Contig2	HCGP-TN-CO_00430
CL1460Contig1	HCGP-TN-CO_00431
CL1461Contig1	HCGP-TN-CO_00432
CL1462Contig1	HCGP-TN-CO_00433
CL1463Contig1	HCGP-TN-CO_00434
CL1464Contig1	HCGP-TN-CO_00435
CL1466Contig1	HCGP-TN-CO_00436
CL1467Contig1	HCGP-TN-CO_00437
CL1468Contig1	HCGP-TN-CO_00438
CL146Contig1	HCGP-TN-CO_00439
CL1470Contig1	HCGP-TN-CO_00440
CL1471Contig1	HCGP-TN-CO_00441
CL1474Contig1	HCGP-TN-CO_00442
CL1475Contig1	HCGP-TN-CO_00443
CL1476Contig1	HCGP-TN-CO_00444
CL1479Contig1	HCGP-TN-CO_00445
CL147Contig1	HCGP-TN-CO_00446
CL1480Contig1	HCGP-TN-CO_00447
CL1481Contig1	HCGP-TN-CO_00448
CL1482Contig1	HCGP-TN-CO_00449
CL1484Contig1	HCGP-TN-CO_00450
CL1485Contig1	HCGP-TN-CO_00451
CL1486Contig1	HCGP-TN-CO_00452
CL1488Contig1	HCGP-TN-CO_00453
CL1489Contig1	HCGP-TN-CO_00454
CL148Contig1	HCGP-TN-CO_00455
CL1490Contig1	HCGP-TN-CO_00456
CL1491Contig1	HCGP-TN-CO_00457
CL1493Contig1	HCGP-TN-CO_00458
CL1494Contig1	HCGP-TN-CO_00459
CL1498Contig1	HCGP-TN-CO_00460
CL1499Contig1	HCGP-TN-CO_00461
CL14Contig1	HCGP-TN-CO_00462
CL1500Contig1	HCGP-TN-CO_00463
CL1502Contig1	HCGP-TN-CO_00464
CL1503Contig1	HCGP-TN-CO_00465
CL1505Contig1	HCGP-TN-CO_00466
CL1506Contig1	HCGP-TN-CO_00467
CL1507Contig1	HCGP-TN-CO_00468
CL1508Contig1	HCGP-TN-CO_00469
CL1509Contig1	HCGP-TN-CO_00470
CL150Contig1	HCGP-TN-CO_00471
CL1510Contig1	HCGP-TN-CO_00472
CL1512Contig1	HCGP-TN-CO_00473
CL1513Contig1	HCGP-TN-CO_00474
CL1515Contig1	HCGP-TN-CO_00475
CL1516Contig1	HCGP-TN-CO_00476
CL1518Contig1	HCGP-TN-CO_00477
CL1519Contig1	HCGP-TN-CO_00478
CL151Contig1	HCGP-TN-CO_00479
CL1522Contig1	HCGP-TN-CO_00480
CL1523Contig1	HCGP-TN-CO_00481
CL1525Contig1	HCGP-TN-CO_00482
CL1526Contig1	HCGP-TN-CO_00483
CL1527Contig1	HCGP-TN-CO_00484
CL1529Contig1	HCGP-TN-CO_00485
CL152Contig1	HCGP-TN-CO_00486
CL152Contig2	HCGP-TN-CO_00487
CL1530Contig1	HCGP-TN-CO_00488
CL1531Contig1	HCGP-TN-CO_00489
CL1532Contig1	HCGP-TN-CO_00490
CL1533Contig1	HCGP-TN-CO_00491
CL1534Contig1	HCGP-TN-CO_00492
CL1536Contig1	HCGP-TN-CO_00493
CL1537Contig1	HCGP-TN-CO_00494
CL1538Contig1	HCGP-TN-CO_00495
CL1539Contig1	HCGP-TN-CO_00496
CL153Contig1	HCGP-TN-CO_00497
CL1540Contig1	HCGP-TN-CO_00498
CL1541Contig1	HCGP-TN-CO_00499
CL1542Contig1	HCGP-TN-CO_00500
CL1543Contig1	HCGP-TN-CO_00501
CL1544Contig1	HCGP-TN-CO_00502
CL1545Contig1	HCGP-TN-CO_00503
CL1546Contig1	HCGP-TN-CO_00504
CL1547Contig1	HCGP-TN-CO_00505
CL1548Contig1	HCGP-TN-CO_00506
CL1549Contig1	HCGP-TN-CO_00507
CL154Contig1	HCGP-TN-CO_00508
CL1550Contig1	HCGP-TN-CO_00509
CL1552Contig1	HCGP-TN-CO_00510
CL1553Contig1	HCGP-TN-CO_00511
CL1554Contig1	HCGP-TN-CO_00512
CL1555Contig1	HCGP-TN-CO_00513
CL1556Contig1	HCGP-TN-CO_00514
CL1557Contig1	HCGP-TN-CO_00515
CL1558Contig1	HCGP-TN-CO_00516
CL155Contig1	HCGP-TN-CO_00517
CL1560Contig1	HCGP-TN-CO_00518
CL1561Contig1	HCGP-TN-CO_00519
CL1562Contig1	HCGP-TN-CO_00520
CL1563Contig1	HCGP-TN-CO_00521
CL1564Contig1	HCGP-TN-CO_00522
CL1566Contig1	HCGP-TN-CO_00523
CL1567Contig1	HCGP-TN-CO_00524
CL1568Contig1	HCGP-TN-CO_00525
CL1569Contig1	HCGP-TN-CO_00526
CL156Contig1	HCGP-TN-CO_00527
CL1571Contig1	HCGP-TN-CO_00528
CL1572Contig1	HCGP-TN-CO_00529
CL1573Contig1	HCGP-TN-CO_00530
CL1576Contig1	HCGP-TN-CO_00531
CL1577Contig1	HCGP-TN-CO_00532
CL1578Contig1	HCGP-TN-CO_00533
CL1579Contig1	HCGP-TN-CO_00534
CL157Contig1	HCGP-TN-CO_00535
CL157Contig2	HCGP-TN-CO_00536
CL1580Contig1	HCGP-TN-CO_00537
CL1581Contig1	HCGP-TN-CO_00538
CL1582Contig1	HCGP-TN-CO_00539
CL1583Contig1	HCGP-TN-CO_00540
CL1585Contig1	HCGP-TN-CO_00541
CL1588Contig1	HCGP-TN-CO_00542
CL158Contig1	HCGP-TN-CO_00543
CL1590Contig1	HCGP-TN-CO_00544
CL1591Contig1	HCGP-TN-CO_00545
CL1592Contig1	HCGP-TN-CO_00546
CL1594Contig1	HCGP-TN-CO_00547
CL1595Contig1	HCGP-TN-CO_00548
CL1596Contig1	HCGP-TN-CO_00549
CL1597Contig1	HCGP-TN-CO_00550
CL1598Contig1	HCGP-TN-CO_00551
CL1599Contig1	HCGP-TN-CO_00552
CL159Contig1	HCGP-TN-CO_00553
CL15Contig1	HCGP-TN-CO_00554
CL1601Contig1	HCGP-TN-CO_00555
CL1603Contig1	HCGP-TN-CO_00556
CL1605Contig1	HCGP-TN-CO_00557
CL1606Contig1	HCGP-TN-CO_00558
CL1608Contig1	HCGP-TN-CO_00559
CL1609Contig1	HCGP-TN-CO_00560
CL160Contig1	HCGP-TN-CO_00561
CL1610Contig1	HCGP-TN-CO_00562
CL1611Contig1	HCGP-TN-CO_00563
CL1612Contig1	HCGP-TN-CO_00564
CL1613Contig1	HCGP-TN-CO_00565
CL1614Contig1	HCGP-TN-CO_00566
CL1615Contig1	HCGP-TN-CO_00567
CL1616Contig1	HCGP-TN-CO_00568
CL1617Contig1	HCGP-TN-CO_00569
CL1619Contig1	HCGP-TN-CO_00570
CL1620Contig1	HCGP-TN-CO_00571
CL1621Contig1	HCGP-TN-CO_00572
CL1622Contig1	HCGP-TN-CO_00573
CL1623Contig1	HCGP-TN-CO_00574
CL1624Contig1	HCGP-TN-CO_00575
CL1625Contig1	HCGP-TN-CO_00576
CL1626Contig1	HCGP-TN-CO_00577
CL1627Contig1	HCGP-TN-CO_00578
CL1628Contig1	HCGP-TN-CO_00579
CL1629Contig1	HCGP-TN-CO_00580
CL162Contig1	HCGP-TN-CO_00581
CL1630Contig1	HCGP-TN-CO_00582
CL1631Contig1	HCGP-TN-CO_00583
CL1633Contig1	HCGP-TN-CO_00584
CL1636Contig1	HCGP-TN-CO_00585
CL1638Contig1	HCGP-TN-CO_00586
CL1639Contig1	HCGP-TN-CO_00587
CL163Contig1	HCGP-TN-CO_00588
CL163Contig2	HCGP-TN-CO_00589
CL1640Contig1	HCGP-TN-CO_00590
CL1641Contig1	HCGP-TN-CO_00591
CL1642Contig1	HCGP-TN-CO_00592
CL1643Contig1	HCGP-TN-CO_00593
CL1644Contig1	HCGP-TN-CO_00594
CL1646Contig1	HCGP-TN-CO_00595
CL1647Contig1	HCGP-TN-CO_00596
CL1648Contig1	HCGP-TN-CO_00597
CL1649Contig1	HCGP-TN-CO_00598
CL164Contig1	HCGP-TN-CO_00599
CL1650Contig1	HCGP-TN-CO_00600
CL1651Contig1	HCGP-TN-CO_00601
CL1653Contig1	HCGP-TN-CO_00602
CL1654Contig1	HCGP-TN-CO_00603
CL1655Contig1	HCGP-TN-CO_00604
CL1656Contig1	HCGP-TN-CO_00605
CL1657Contig1	HCGP-TN-CO_00606
CL1658Contig1	HCGP-TN-CO_00607
CL1659Contig1	HCGP-TN-CO_00608
CL165Contig1	HCGP-TN-CO_00609
CL1662Contig1	HCGP-TN-CO_00610
