#TGICL_NAME	CONTIG_NAME
CL1169Contig1	HCGP-FT-CO_00140
CL116Contig1	HCGP-FT-CO_00141
CL1170Contig1	HCGP-FT-CO_00142
CL1172Contig1	HCGP-FT-CO_00143
CL1173Contig1	HCGP-FT-CO_00144
CL1175Contig1	HCGP-FT-CO_00145
CL1176Contig1	HCGP-FT-CO_00146
CL1177Contig1	HCGP-FT-CO_00147
CL1178Contig1	HCGP-FT-CO_00148
CL1179Contig1	HCGP-FT-CO_00149
CL117Contig1	HCGP-FT-CO_00150
CL1180Contig1	HCGP-FT-CO_00151
CL1183Contig1	HCGP-FT-CO_00152
CL1185Contig1	HCGP-FT-CO_00153
CL1186Contig1	HCGP-FT-CO_00154
CL1187Contig1	HCGP-FT-CO_00155
CL1188Contig1	HCGP-FT-CO_00156
CL1189Contig1	HCGP-FT-CO_00157
CL118Contig1	HCGP-FT-CO_00158
CL1190Contig1	HCGP-FT-CO_00159
CL1191Contig1	HCGP-FT-CO_00160
CL1192Contig1	HCGP-FT-CO_00161
CL1194Contig1	HCGP-FT-CO_00162
CL1195Contig1	HCGP-FT-CO_00163
CL1196Contig1	HCGP-FT-CO_00164
CL1198Contig1	HCGP-FT-CO_00165
CL1199Contig1	HCGP-FT-CO_00166
CL119Contig1	HCGP-FT-CO_00167
CL11Contig1	HCGP-FT-CO_00168
CL1200Contig1	HCGP-FT-CO_00169
CL1201Contig1	HCGP-FT-CO_00170
CL1203Contig1	HCGP-FT-CO_00171
CL1204Contig1	HCGP-FT-CO_00172
CL1205Contig1	HCGP-FT-CO_00173
CL1206Contig1	HCGP-FT-CO_00174
CL1208Contig1	HCGP-FT-CO_00175
CL1209Contig1	HCGP-FT-CO_00176
CL120Contig1	HCGP-FT-CO_00177
CL1210Contig1	HCGP-FT-CO_00178
CL1211Contig1	HCGP-FT-CO_00179
CL1212Contig1	HCGP-FT-CO_00180
CL1213Contig1	HCGP-FT-CO_00181
CL1214Contig1	HCGP-FT-CO_00182
CL1215Contig1	HCGP-FT-CO_00183
CL1216Contig1	HCGP-FT-CO_00184
CL1217Contig1	HCGP-FT-CO_00185
CL1218Contig1	HCGP-FT-CO_00186
CL1219Contig1	HCGP-FT-CO_00187
CL121Contig1	HCGP-FT-CO_00188
CL1221Contig1	HCGP-FT-CO_00189
CL1222Contig1	HCGP-FT-CO_00190
CL1224Contig1	HCGP-FT-CO_00191
CL1225Contig1	HCGP-FT-CO_00192
CL1226Contig1	HCGP-FT-CO_00193
CL1227Contig1	HCGP-FT-CO_00194
CL1229Contig1	HCGP-FT-CO_00195
CL122Contig1	HCGP-FT-CO_00196
CL122Contig2	HCGP-FT-CO_00197
CL1230Contig1	HCGP-FT-CO_00198
CL1231Contig1	HCGP-FT-CO_00199
CL1233Contig1	HCGP-FT-CO_00200
CL1234Contig1	HCGP-FT-CO_00201
CL1236Contig1	HCGP-FT-CO_00202
CL1237Contig1	HCGP-FT-CO_00203
CL1239Contig1	HCGP-FT-CO_00204
CL123Contig1	HCGP-FT-CO_00205
CL1240Contig1	HCGP-FT-CO_00206
CL1241Contig1	HCGP-FT-CO_00207
CL1243Contig1	HCGP-FT-CO_00208
CL1244Contig1	HCGP-FT-CO_00209
CL1245Contig1	HCGP-FT-CO_00210
CL1246Contig1	HCGP-FT-CO_00211
CL1247Contig1	HCGP-FT-CO_00212
CL124Contig1	HCGP-FT-CO_00213
CL1250Contig1	HCGP-FT-CO_00214
CL1251Contig1	HCGP-FT-CO_00215
CL1253Contig1	HCGP-FT-CO_00216
CL1254Contig1	HCGP-FT-CO_00217
CL1255Contig1	HCGP-FT-CO_00218
CL1257Contig1	HCGP-FT-CO_00219
CL1259Contig1	HCGP-FT-CO_00220
CL125Contig1	HCGP-FT-CO_00221
CL1260Contig1	HCGP-FT-CO_00222
CL1261Contig1	HCGP-FT-CO_00223
CL1263Contig1	HCGP-FT-CO_00224
CL1264Contig1	HCGP-FT-CO_00225
CL1265Contig1	HCGP-FT-CO_00226
CL1266Contig1	HCGP-FT-CO_00227
CL1267Contig1	HCGP-FT-CO_00228
CL1268Contig1	HCGP-FT-CO_00229
CL1269Contig1	HCGP-FT-CO_00230
CL126Contig1	HCGP-FT-CO_00231
CL1270Contig1	HCGP-FT-CO_00232
CL1271Contig1	HCGP-FT-CO_00233
CL1272Contig1	HCGP-FT-CO_00234
CL1273Contig1	HCGP-FT-CO_00235
CL1274Contig1	HCGP-FT-CO_00236
CL1275Contig1	HCGP-FT-CO_00237
CL1276Contig1	HCGP-FT-CO_00238
CL1279Contig1	HCGP-FT-CO_00239
CL127Contig1	HCGP-FT-CO_00240
CL1280Contig1	HCGP-FT-CO_00241
CL1281Contig1	HCGP-FT-CO_00242
CL1283Contig1	HCGP-FT-CO_00243
CL1284Contig1	HCGP-FT-CO_00244
CL1285Contig1	HCGP-FT-CO_00245
