#TGICL_NAME	CONTIG_NAME
CL1639Contig1	HCGP-FT-CO_00609
CL163Contig1	HCGP-FT-CO_00610
CL1640Contig1	HCGP-FT-CO_00611
CL1641Contig1	HCGP-FT-CO_00612
CL1642Contig1	HCGP-FT-CO_00613
CL1643Contig1	HCGP-FT-CO_00614
CL1644Contig1	HCGP-FT-CO_00615
CL1646Contig1	HCGP-FT-CO_00616
CL1647Contig1	HCGP-FT-CO_00617
CL1648Contig1	HCGP-FT-CO_00618
CL1649Contig1	HCGP-FT-CO_00619
CL164Contig1	HCGP-FT-CO_00620
CL1650Contig1	HCGP-FT-CO_00621
CL1651Contig1	HCGP-FT-CO_00622
CL1652Contig1	HCGP-FT-CO_00623
CL1653Contig1	HCGP-FT-CO_00624
CL1654Contig1	HCGP-FT-CO_00625
CL1655Contig1	HCGP-FT-CO_00626
CL1656Contig1	HCGP-FT-CO_00627
CL1657Contig1	HCGP-FT-CO_00628
CL1659Contig1	HCGP-FT-CO_00629
CL165Contig1	HCGP-FT-CO_00630
CL1660Contig1	HCGP-FT-CO_00631
CL1661Contig1	HCGP-FT-CO_00632
CL1662Contig1	HCGP-FT-CO_00633
CL1663Contig1	HCGP-FT-CO_00634
CL1664Contig1	HCGP-FT-CO_00635
CL1665Contig1	HCGP-FT-CO_00636
CL1666Contig1	HCGP-FT-CO_00637
CL1667Contig1	HCGP-FT-CO_00638
CL1668Contig1	HCGP-FT-CO_00639
CL1669Contig1	HCGP-FT-CO_00640
CL166Contig1	HCGP-FT-CO_00641
CL1670Contig1	HCGP-FT-CO_00642
CL1671Contig1	HCGP-FT-CO_00643
CL1672Contig1	HCGP-FT-CO_00644
CL1673Contig1	HCGP-FT-CO_00645
CL1674Contig1	HCGP-FT-CO_00646
CL1676Contig1	HCGP-FT-CO_00647
CL1677Contig1	HCGP-FT-CO_00648
CL1678Contig1	HCGP-FT-CO_00649
CL1679Contig1	HCGP-FT-CO_00650
CL167Contig1	HCGP-FT-CO_00651
CL1680Contig1	HCGP-FT-CO_00652
CL1681Contig1	HCGP-FT-CO_00653
CL1683Contig1	HCGP-FT-CO_00654
CL1684Contig1	HCGP-FT-CO_00655
CL1685Contig1	HCGP-FT-CO_00656
CL1686Contig1	HCGP-FT-CO_00657
CL1687Contig1	HCGP-FT-CO_00658
CL1689Contig1	HCGP-FT-CO_00659
CL168Contig1	HCGP-FT-CO_00660
CL1690Contig1	HCGP-FT-CO_00661
CL1691Contig1	HCGP-FT-CO_00662
CL1693Contig1	HCGP-FT-CO_00663
CL1694Contig1	HCGP-FT-CO_00664
CL1695Contig1	HCGP-FT-CO_00665
CL1696Contig1	HCGP-FT-CO_00666
CL1697Contig1	HCGP-FT-CO_00667
CL1698Contig1	HCGP-FT-CO_00668
CL1699Contig1	HCGP-FT-CO_00669
CL169Contig1	HCGP-FT-CO_00670
CL169Contig2	HCGP-FT-CO_00671
CL16Contig1	HCGP-FT-CO_00672
CL1700Contig1	HCGP-FT-CO_00673
CL1701Contig1	HCGP-FT-CO_00674
CL1703Contig1	HCGP-FT-CO_00675
CL1704Contig1	HCGP-FT-CO_00676
CL1706Contig1	HCGP-FT-CO_00677
CL1707Contig1	HCGP-FT-CO_00678
CL1709Contig1	HCGP-FT-CO_00679
CL170Contig1	HCGP-FT-CO_00680
CL1710Contig1	HCGP-FT-CO_00681
CL1711Contig1	HCGP-FT-CO_00682
CL1712Contig1	HCGP-FT-CO_00683
CL1713Contig1	HCGP-FT-CO_00684
CL1714Contig1	HCGP-FT-CO_00685
CL1715Contig1	HCGP-FT-CO_00686
CL1716Contig1	HCGP-FT-CO_00687
CL1717Contig1	HCGP-FT-CO_00688
CL1718Contig1	HCGP-FT-CO_00689
CL1719Contig1	HCGP-FT-CO_00690
CL171Contig1	HCGP-FT-CO_00691
CL1720Contig1	HCGP-FT-CO_00692
CL1721Contig1	HCGP-FT-CO_00693
CL1723Contig1	HCGP-FT-CO_00694
CL1724Contig1	HCGP-FT-CO_00695
CL1725Contig1	HCGP-FT-CO_00696
CL1726Contig1	HCGP-FT-CO_00697
CL1727Contig1	HCGP-FT-CO_00698
CL1729Contig1	HCGP-FT-CO_00699
CL172Contig1	HCGP-FT-CO_00700
CL1730Contig1	HCGP-FT-CO_00701
CL1731Contig1	HCGP-FT-CO_00702
CL1733Contig1	HCGP-FT-CO_00703
CL1734Contig1	HCGP-FT-CO_00704
CL1735Contig1	HCGP-FT-CO_00705
CL1736Contig1	HCGP-FT-CO_00706
CL1737Contig1	HCGP-FT-CO_00707
CL1738Contig1	HCGP-FT-CO_00708
CL1739Contig1	HCGP-FT-CO_00709
CL173Contig1	HCGP-FT-CO_00710
CL1740Contig1	HCGP-FT-CO_00711
CL1741Contig1	HCGP-FT-CO_00712
CL1742Contig1	HCGP-FT-CO_00713
CL1744Contig1	HCGP-FT-CO_00714
CL1745Contig1	HCGP-FT-CO_00715
CL1746Contig1	HCGP-FT-CO_00716
CL1747Contig1	HCGP-FT-CO_00717
CL1749Contig1	HCGP-FT-CO_00718
CL174Contig1	HCGP-FT-CO_00719
CL1751Contig1	HCGP-FT-CO_00720
CL1753Contig1	HCGP-FT-CO_00721
CL1754Contig1	HCGP-FT-CO_00722
CL1755Contig1	HCGP-FT-CO_00723
CL1756Contig1	HCGP-FT-CO_00724
CL1757Contig1	HCGP-FT-CO_00725
CL1758Contig1	HCGP-FT-CO_00726
CL1759Contig1	HCGP-FT-CO_00727
CL175Contig1	HCGP-FT-CO_00728
CL1760Contig1	HCGP-FT-CO_00729
CL1761Contig1	HCGP-FT-CO_00730
CL1762Contig1	HCGP-FT-CO_00731
CL1763Contig1	HCGP-FT-CO_00732
CL1764Contig1	HCGP-FT-CO_00733
CL1765Contig1	HCGP-FT-CO_00734
CL1766Contig1	HCGP-FT-CO_00735
CL1767Contig1	HCGP-FT-CO_00736
CL1768Contig1	HCGP-FT-CO_00737
CL1769Contig1	HCGP-FT-CO_00738
CL176Contig1	HCGP-FT-CO_00739
CL176Contig2	HCGP-FT-CO_00740
CL1770Contig1	HCGP-FT-CO_00741
CL1771Contig1	HCGP-FT-CO_00742
CL1772Contig1	HCGP-FT-CO_00743
CL1773Contig1	HCGP-FT-CO_00744
CL1774Contig1	HCGP-FT-CO_00745
CL1775Contig1	HCGP-FT-CO_00746
CL1776Contig1	HCGP-FT-CO_00747
CL1777Contig1	HCGP-FT-CO_00748
CL1778Contig1	HCGP-FT-CO_00749
CL1779Contig1	HCGP-FT-CO_00750
CL177Contig1	HCGP-FT-CO_00751
CL1780Contig1	HCGP-FT-CO_00752
CL1781Contig1	HCGP-FT-CO_00753
CL1782Contig1	HCGP-FT-CO_00754
CL1783Contig1	HCGP-FT-CO_00755
CL1785Contig1	HCGP-FT-CO_00756
CL1786Contig1	HCGP-FT-CO_00757
CL1787Contig1	HCGP-FT-CO_00758
CL1788Contig1	HCGP-FT-CO_00759
CL1789Contig1	HCGP-FT-CO_00760
CL178Contig1	HCGP-FT-CO_00761
CL1790Contig1	HCGP-FT-CO_00762
CL1791Contig1	HCGP-FT-CO_00763
CL1792Contig1	HCGP-FT-CO_00764
CL1793Contig1	HCGP-FT-CO_00765
CL1794Contig1	HCGP-FT-CO_00766
CL1795Contig1	HCGP-FT-CO_00767
CL1796Contig1	HCGP-FT-CO_00768
CL1797Contig1	HCGP-FT-CO_00769
CL1798Contig1	HCGP-FT-CO_00770
CL1799Contig1	HCGP-FT-CO_00771
CL179Contig1	HCGP-FT-CO_00772
CL17Contig1	HCGP-FT-CO_00773
CL17Contig2	HCGP-FT-CO_00774
CL1800Contig1	HCGP-FT-CO_00775
CL1801Contig1	HCGP-FT-CO_00776
CL1802Contig1	HCGP-FT-CO_00777
CL1804Contig1	HCGP-FT-CO_00778
CL1807Contig1	HCGP-FT-CO_00779
CL1808Contig1	HCGP-FT-CO_00780
CL1809Contig1	HCGP-FT-CO_00781
CL180Contig1	HCGP-FT-CO_00782
CL1810Contig1	HCGP-FT-CO_00783
CL1811Contig1	HCGP-FT-CO_00784
CL1812Contig1	HCGP-FT-CO_00785
CL1813Contig1	HCGP-FT-CO_00786
CL1814Contig1	HCGP-FT-CO_00787
CL1815Contig1	HCGP-FT-CO_00788
CL1816Contig1	HCGP-FT-CO_00789
CL1817Contig1	HCGP-FT-CO_00790
CL1818Contig1	HCGP-FT-CO_00791
CL1819Contig1	HCGP-FT-CO_00792
CL181Contig1	HCGP-FT-CO_00793
CL181Contig2	HCGP-FT-CO_00794
CL1820Contig1	HCGP-FT-CO_00795
CL1821Contig1	HCGP-FT-CO_00796
CL1822Contig1	HCGP-FT-CO_00797
CL1823Contig1	HCGP-FT-CO_00798
CL1824Contig1	HCGP-FT-CO_00799
CL1825Contig1	HCGP-FT-CO_00800
CL1827Contig1	HCGP-FT-CO_00801
CL1828Contig1	HCGP-FT-CO_00802
CL182Contig1	HCGP-FT-CO_00803
CL1830Contig1	HCGP-FT-CO_00804
CL1831Contig1	HCGP-FT-CO_00805
CL1832Contig1	HCGP-FT-CO_00806
CL1833Contig1	HCGP-FT-CO_00807
CL1834Contig1	HCGP-FT-CO_00808
CL1835Contig1	HCGP-FT-CO_00809
CL1837Contig1	HCGP-FT-CO_00810
CL1838Contig1	HCGP-FT-CO_00811
CL1839Contig1	HCGP-FT-CO_00812
CL183Contig1	HCGP-FT-CO_00813
CL1840Contig1	HCGP-FT-CO_00814
CL1841Contig1	HCGP-FT-CO_00815
CL1842Contig1	HCGP-FT-CO_00816
CL1843Contig1	HCGP-FT-CO_00817
CL1845Contig1	HCGP-FT-CO_00818
CL1846Contig1	HCGP-FT-CO_00819
CL1847Contig1	HCGP-FT-CO_00820
CL1848Contig1	HCGP-FT-CO_00821
CL1849Contig1	HCGP-FT-CO_00822
CL184Contig1	HCGP-FT-CO_00823
CL1850Contig1	HCGP-FT-CO_00824
CL1851Contig1	HCGP-FT-CO_00825
CL1853Contig1	HCGP-FT-CO_00826
CL1854Contig1	HCGP-FT-CO_00827
CL1855Contig1	HCGP-FT-CO_00828
CL1856Contig1	HCGP-FT-CO_00829
CL1857Contig1	HCGP-FT-CO_00830
CL1858Contig1	HCGP-FT-CO_00831
CL1859Contig1	HCGP-FT-CO_00832
CL185Contig1	HCGP-FT-CO_00833
CL1860Contig1	HCGP-FT-CO_00834
CL1861Contig1	HCGP-FT-CO_00835
CL1862Contig1	HCGP-FT-CO_00836
CL1863Contig1	HCGP-FT-CO_00837
CL1864Contig1	HCGP-FT-CO_00838
CL1865Contig1	HCGP-FT-CO_00839
CL1866Contig1	HCGP-FT-CO_00840
CL1867Contig1	HCGP-FT-CO_00841
CL1868Contig1	HCGP-FT-CO_00842
CL1869Contig1	HCGP-FT-CO_00843
CL186Contig1	HCGP-FT-CO_00844
CL1870Contig1	HCGP-FT-CO_00845
CL1871Contig1	HCGP-FT-CO_00846
CL1872Contig1	HCGP-FT-CO_00847
CL1873Contig1	HCGP-FT-CO_00848
CL1874Contig1	HCGP-FT-CO_00849
CL1875Contig1	HCGP-FT-CO_00850
CL1876Contig1	HCGP-FT-CO_00851
CL1877Contig1	HCGP-FT-CO_00852
CL1878Contig1	HCGP-FT-CO_00853
CL187Contig1	HCGP-FT-CO_00854
CL1880Contig1	HCGP-FT-CO_00855
CL1882Contig1	HCGP-FT-CO_00856
CL1885Contig1	HCGP-FT-CO_00857
CL1886Contig1	HCGP-FT-CO_00858
CL1887Contig1	HCGP-FT-CO_00859
CL1888Contig1	HCGP-FT-CO_00860
CL1889Contig1	HCGP-FT-CO_00861
CL188Contig1	HCGP-FT-CO_00862
CL188Contig2	HCGP-FT-CO_00863
CL1890Contig1	HCGP-FT-CO_00864
CL1892Contig1	HCGP-FT-CO_00865
CL1893Contig1	HCGP-FT-CO_00866
CL1894Contig1	HCGP-FT-CO_00867
CL1895Contig1	HCGP-FT-CO_00868
CL1896Contig1	HCGP-FT-CO_00869
CL1897Contig1	HCGP-FT-CO_00870
CL1898Contig1	HCGP-FT-CO_00871
CL1899Contig1	HCGP-FT-CO_00872
CL189Contig1	HCGP-FT-CO_00873
CL18Contig1	HCGP-FT-CO_00874
CL18Contig2	HCGP-FT-CO_00875
CL1900Contig1	HCGP-FT-CO_00876
CL1901Contig1	HCGP-FT-CO_00877
CL1902Contig1	HCGP-FT-CO_00878
CL1903Contig1	HCGP-FT-CO_00879
CL1904Contig1	HCGP-FT-CO_00880
CL1905Contig1	HCGP-FT-CO_00881
CL1906Contig1	HCGP-FT-CO_00882
CL1907Contig1	HCGP-FT-CO_00883
CL1909Contig1	HCGP-FT-CO_00884
CL190Contig1	HCGP-FT-CO_00885
CL190Contig2	HCGP-FT-CO_00886
CL1910Contig1	HCGP-FT-CO_00887
CL1911Contig1	HCGP-FT-CO_00888
CL1912Contig1	HCGP-FT-CO_00889
CL1913Contig1	HCGP-FT-CO_00890
CL1914Contig1	HCGP-FT-CO_00891
CL1915Contig1	HCGP-FT-CO_00892
CL1916Contig1	HCGP-FT-CO_00893
CL1917Contig1	HCGP-FT-CO_00894
CL1919Contig1	HCGP-FT-CO_00895
CL191Contig1	HCGP-FT-CO_00896
CL1920Contig1	HCGP-FT-CO_00897
CL1921Contig1	HCGP-FT-CO_00898
CL1922Contig1	HCGP-FT-CO_00899
CL1923Contig1	HCGP-FT-CO_00900
CL1924Contig1	HCGP-FT-CO_00901
CL1925Contig1	HCGP-FT-CO_00902
CL1926Contig1	HCGP-FT-CO_00903
CL1927Contig1	HCGP-FT-CO_00904
CL1928Contig1	HCGP-FT-CO_00905
CL1929Contig1	HCGP-FT-CO_00906
CL192Contig1	HCGP-FT-CO_00907
CL1930Contig1	HCGP-FT-CO_00908
CL1931Contig1	HCGP-FT-CO_00909
CL1932Contig1	HCGP-FT-CO_00910
CL1933Contig1	HCGP-FT-CO_00911
CL1934Contig1	HCGP-FT-CO_00912
CL1935Contig1	HCGP-FT-CO_00913
CL1936Contig1	HCGP-FT-CO_00914
CL1937Contig1	HCGP-FT-CO_00915
CL1938Contig1	HCGP-FT-CO_00916
CL1939Contig1	HCGP-FT-CO_00917
CL193Contig1	HCGP-FT-CO_00918
CL1940Contig1	HCGP-FT-CO_00919
CL1941Contig1	HCGP-FT-CO_00920
CL1942Contig1	HCGP-FT-CO_00921
CL1943Contig1	HCGP-FT-CO_00922
CL1944Contig1	HCGP-FT-CO_00923
CL1945Contig1	HCGP-FT-CO_00924
CL1946Contig1	HCGP-FT-CO_00925
CL1947Contig1	HCGP-FT-CO_00926
CL1948Contig1	HCGP-FT-CO_00927
CL1949Contig1	HCGP-FT-CO_00928
CL194Contig1	HCGP-FT-CO_00929
CL1950Contig1	HCGP-FT-CO_00930
CL1953Contig1	HCGP-FT-CO_00931
CL1954Contig1	HCGP-FT-CO_00932
CL1955Contig1	HCGP-FT-CO_00933
CL1956Contig1	HCGP-FT-CO_00934
CL1957Contig1	HCGP-FT-CO_00935
CL1958Contig1	HCGP-FT-CO_00936
CL1959Contig1	HCGP-FT-CO_00937
CL195Contig1	HCGP-FT-CO_00938
CL1960Contig1	HCGP-FT-CO_00939
CL1961Contig1	HCGP-FT-CO_00940
CL1962Contig1	HCGP-FT-CO_00941
CL1964Contig1	HCGP-FT-CO_00942
CL1965Contig1	HCGP-FT-CO_00943
CL1966Contig1	HCGP-FT-CO_00944
CL1967Contig1	HCGP-FT-CO_00945
CL1968Contig1	HCGP-FT-CO_00946
CL1970Contig1	HCGP-FT-CO_00947
CL1971Contig1	HCGP-FT-CO_00948
CL1972Contig1	HCGP-FT-CO_00949
CL1973Contig1	HCGP-FT-CO_00950
CL1974Contig1	HCGP-FT-CO_00951
CL1975Contig1	HCGP-FT-CO_00952
CL1976Contig1	HCGP-FT-CO_00953
CL1977Contig1	HCGP-FT-CO_00954
CL1978Contig1	HCGP-FT-CO_00955
CL1979Contig1	HCGP-FT-CO_00956
CL197Contig1	HCGP-FT-CO_00957
CL1980Contig1	HCGP-FT-CO_00958
CL1981Contig1	HCGP-FT-CO_00959
CL1982Contig1	HCGP-FT-CO_00960
CL1983Contig1	HCGP-FT-CO_00961
CL1984Contig1	HCGP-FT-CO_00962
CL1985Contig1	HCGP-FT-CO_00963
CL1987Contig1	HCGP-FT-CO_00964
CL1988Contig1	HCGP-FT-CO_00965
CL198Contig1	HCGP-FT-CO_00966
CL1990Contig1	HCGP-FT-CO_00967
CL1991Contig1	HCGP-FT-CO_00968
CL1992Contig1	HCGP-FT-CO_00969
CL1993Contig1	HCGP-FT-CO_00970
CL1994Contig1	HCGP-FT-CO_00971
CL1995Contig1	HCGP-FT-CO_00972
CL1996Contig1	HCGP-FT-CO_00973
CL1997Contig1	HCGP-FT-CO_00974
CL1998Contig1	HCGP-FT-CO_00975
CL1999Contig1	HCGP-FT-CO_00976
CL199Contig1	HCGP-FT-CO_00977
CL199Contig2	HCGP-FT-CO_00978
CL19Contig1	HCGP-FT-CO_00979
CL1Contig1	HCGP-FT-CO_00980
CL1Contig11	HCGP-FT-CO_00981
CL1Contig12	HCGP-FT-CO_00982
CL1Contig17	HCGP-FT-CO_00983
CL1Contig18	HCGP-FT-CO_00984
CL1Contig23	HCGP-FT-CO_00985
CL1Contig26	HCGP-FT-CO_00986
CL1Contig28	HCGP-FT-CO_00987
CL1Contig29	HCGP-FT-CO_00988
CL1Contig33	HCGP-FT-CO_00989
CL1Contig34	HCGP-FT-CO_00990
CL1Contig4	HCGP-FT-CO_00991
CL1Contig42	HCGP-FT-CO_00992
CL1Contig5	HCGP-FT-CO_00993
CL1Contig6	HCGP-FT-CO_00994
CL2000Contig1	HCGP-FT-CO_00995
CL2002Contig1	HCGP-FT-CO_00996
CL2003Contig1	HCGP-FT-CO_00997
CL2004Contig1	HCGP-FT-CO_00998
CL2005Contig1	HCGP-FT-CO_00999
CL2006Contig1	HCGP-FT-CO_01000
CL2007Contig1	HCGP-FT-CO_01001
CL2009Contig1	HCGP-FT-CO_01002
CL200Contig1	HCGP-FT-CO_01003
CL200Contig2	HCGP-FT-CO_01004
CL2011Contig1	HCGP-FT-CO_01005
CL2012Contig1	HCGP-FT-CO_01006
CL201Contig1	HCGP-FT-CO_01007
CL201Contig2	HCGP-FT-CO_01008
CL202Contig1	HCGP-FT-CO_01009
CL203Contig1	HCGP-FT-CO_01010
CL204Contig1	HCGP-FT-CO_01011
CL205Contig1	HCGP-FT-CO_01012
CL206Contig1	HCGP-FT-CO_01013
CL207Contig1	HCGP-FT-CO_01014
CL208Contig1	HCGP-FT-CO_01015
CL209Contig1	HCGP-FT-CO_01016
CL20Contig1	HCGP-FT-CO_01017
CL210Contig1	HCGP-FT-CO_01018
CL211Contig1	HCGP-FT-CO_01019
CL211Contig2	HCGP-FT-CO_01020
CL212Contig1	HCGP-FT-CO_01021
CL213Contig1	HCGP-FT-CO_01022
CL214Contig1	HCGP-FT-CO_01023
CL214Contig2	HCGP-FT-CO_01024
CL215Contig1	HCGP-FT-CO_01025
CL217Contig1	HCGP-FT-CO_01026
CL217Contig2	HCGP-FT-CO_01027
CL218Contig1	HCGP-FT-CO_01028
CL219Contig1	HCGP-FT-CO_01029
CL21Contig1	HCGP-FT-CO_01030
CL21Contig2	HCGP-FT-CO_01031
CL220Contig1	HCGP-FT-CO_01032
CL221Contig1	HCGP-FT-CO_01033
CL222Contig1	HCGP-FT-CO_01034
CL223Contig1	HCGP-FT-CO_01035
CL224Contig1	HCGP-FT-CO_01036
CL225Contig1	HCGP-FT-CO_01037
CL226Contig1	HCGP-FT-CO_01038
CL227Contig1	HCGP-FT-CO_01039
CL227Contig2	HCGP-FT-CO_01040
CL229Contig1	HCGP-FT-CO_01041
CL22Contig1	HCGP-FT-CO_01042
CL22Contig2	HCGP-FT-CO_01043
CL230Contig1	HCGP-FT-CO_01044
CL231Contig1	HCGP-FT-CO_01045
CL232Contig1	HCGP-FT-CO_01046
CL233Contig1	HCGP-FT-CO_01047
CL234Contig1	HCGP-FT-CO_01048
CL237Contig1	HCGP-FT-CO_01049
CL238Contig1	HCGP-FT-CO_01050
CL239Contig1	HCGP-FT-CO_01051
CL239Contig2	HCGP-FT-CO_01052
CL23Contig1	HCGP-FT-CO_01053
CL23Contig2	HCGP-FT-CO_01054
CL240Contig1	HCGP-FT-CO_01055
CL241Contig1	HCGP-FT-CO_01056
CL242Contig1	HCGP-FT-CO_01057
CL243Contig1	HCGP-FT-CO_01058
CL244Contig1	HCGP-FT-CO_01059
CL245Contig1	HCGP-FT-CO_01060
CL246Contig1	HCGP-FT-CO_01061
CL247Contig1	HCGP-FT-CO_01062
CL248Contig1	HCGP-FT-CO_01063
CL249Contig2	HCGP-FT-CO_01064
CL24Contig1	HCGP-FT-CO_01065
CL24Contig2	HCGP-FT-CO_01066
CL250Contig1	HCGP-FT-CO_01067
CL250Contig2	HCGP-FT-CO_01068
CL251Contig1	HCGP-FT-CO_01069
CL252Contig1	HCGP-FT-CO_01070
CL253Contig1	HCGP-FT-CO_01071
CL254Contig1	HCGP-FT-CO_01072
CL255Contig1	HCGP-FT-CO_01073
CL256Contig1	HCGP-FT-CO_01074
CL257Contig1	HCGP-FT-CO_01075
CL257Contig2	HCGP-FT-CO_01076
CL258Contig1	HCGP-FT-CO_01077
CL259Contig1	HCGP-FT-CO_01078
CL25Contig1	HCGP-FT-CO_01079
CL25Contig2	HCGP-FT-CO_01080
CL25Contig3	HCGP-FT-CO_01081
CL260Contig1	HCGP-FT-CO_01082
CL261Contig1	HCGP-FT-CO_01083
CL262Contig1	HCGP-FT-CO_01084
CL263Contig1	HCGP-FT-CO_01085
CL264Contig1	HCGP-FT-CO_01086
CL265Contig1	HCGP-FT-CO_01087
CL266Contig1	HCGP-FT-CO_01088
CL268Contig1	HCGP-FT-CO_01089
CL268Contig2	HCGP-FT-CO_01090
CL269Contig1	HCGP-FT-CO_01091
CL26Contig1	HCGP-FT-CO_01092
CL26Contig2	HCGP-FT-CO_01093
CL270Contig1	HCGP-FT-CO_01094
CL271Contig1	HCGP-FT-CO_01095
CL272Contig1	HCGP-FT-CO_01096
CL273Contig1	HCGP-FT-CO_01097
CL274Contig1	HCGP-FT-CO_01098
CL274Contig2	HCGP-FT-CO_01099
CL275Contig1	HCGP-FT-CO_01100
CL276Contig1	HCGP-FT-CO_01101
CL277Contig1	HCGP-FT-CO_01102
CL277Contig2	HCGP-FT-CO_01103
CL278Contig1	HCGP-FT-CO_01104
CL279Contig1	HCGP-FT-CO_01105
CL27Contig1	HCGP-FT-CO_01106
CL27Contig2	HCGP-FT-CO_01107
CL280Contig1	HCGP-FT-CO_01108
CL281Contig1	HCGP-FT-CO_01109
CL282Contig1	HCGP-FT-CO_01110
CL283Contig1	HCGP-FT-CO_01111
CL284Contig1	HCGP-FT-CO_01112
CL284Contig2	HCGP-FT-CO_01113
CL285Contig1	HCGP-FT-CO_01114
CL286Contig1	HCGP-FT-CO_01115
CL287Contig1	HCGP-FT-CO_01116
CL288Contig1	HCGP-FT-CO_01117
CL289Contig1	HCGP-FT-CO_01118
CL28Contig1	HCGP-FT-CO_01119
CL28Contig2	HCGP-FT-CO_01120
CL28Contig3	HCGP-FT-CO_01121
CL290Contig1	HCGP-FT-CO_01122
CL292Contig1	HCGP-FT-CO_01123
CL293Contig1	HCGP-FT-CO_01124
CL294Contig1	HCGP-FT-CO_01125
CL295Contig1	HCGP-FT-CO_01126
CL296Contig1	HCGP-FT-CO_01127
CL297Contig1	HCGP-FT-CO_01128
CL298Contig1	HCGP-FT-CO_01129
CL299Contig1	HCGP-FT-CO_01130
CL29Contig1	HCGP-FT-CO_01131
CL2Contig1	HCGP-FT-CO_01132
CL300Contig1	HCGP-FT-CO_01133
CL301Contig1	HCGP-FT-CO_01134
CL302Contig1	HCGP-FT-CO_01135
CL303Contig1	HCGP-FT-CO_01136
CL304Contig1	HCGP-FT-CO_01137
CL305Contig1	HCGP-FT-CO_01138
CL306Contig1	HCGP-FT-CO_01139
CL307Contig1	HCGP-FT-CO_01140
CL308Contig1	HCGP-FT-CO_01141
CL309Contig1	HCGP-FT-CO_01142
CL30Contig1	HCGP-FT-CO_01143
CL310Contig1	HCGP-FT-CO_01144
CL311Contig1	HCGP-FT-CO_01145
CL311Contig2	HCGP-FT-CO_01146
CL312Contig1	HCGP-FT-CO_01147
CL313Contig1	HCGP-FT-CO_01148
CL314Contig1	HCGP-FT-CO_01149
CL315Contig1	HCGP-FT-CO_01150
CL316Contig1	HCGP-FT-CO_01151
CL317Contig1	HCGP-FT-CO_01152
CL318Contig1	HCGP-FT-CO_01153
CL319Contig1	HCGP-FT-CO_01154
CL31Contig1	HCGP-FT-CO_01155
CL31Contig2	HCGP-FT-CO_01156
CL320Contig1	HCGP-FT-CO_01157
CL321Contig1	HCGP-FT-CO_01158
CL322Contig1	HCGP-FT-CO_01159
CL323Contig1	HCGP-FT-CO_01160
CL324Contig1	HCGP-FT-CO_01161
CL325Contig1	HCGP-FT-CO_01162
CL326Contig1	HCGP-FT-CO_01163
CL327Contig1	HCGP-FT-CO_01164
CL328Contig1	HCGP-FT-CO_01165
CL329Contig1	HCGP-FT-CO_01166
CL32Contig1	HCGP-FT-CO_01167
CL330Contig1	HCGP-FT-CO_01168
CL331Contig1	HCGP-FT-CO_01169
CL332Contig1	HCGP-FT-CO_01170
CL333Contig1	HCGP-FT-CO_01171
CL334Contig1	HCGP-FT-CO_01172
CL335Contig1	HCGP-FT-CO_01173
CL336Contig1	HCGP-FT-CO_01174
CL337Contig1	HCGP-FT-CO_01175
CL338Contig1	HCGP-FT-CO_01176
CL339Contig1	HCGP-FT-CO_01177
CL33Contig1	HCGP-FT-CO_01178
CL340Contig1	HCGP-FT-CO_01179
CL341Contig1	HCGP-FT-CO_01180
CL342Contig1	HCGP-FT-CO_01181
CL343Contig1	HCGP-FT-CO_01182
CL344Contig1	HCGP-FT-CO_01183
CL345Contig1	HCGP-FT-CO_01184
CL346Contig1	HCGP-FT-CO_01185
CL347Contig1	HCGP-FT-CO_01186
CL348Contig1	HCGP-FT-CO_01187
CL349Contig1	HCGP-FT-CO_01188
CL34Contig6	HCGP-FT-CO_01189
CL350Contig1	HCGP-FT-CO_01190
CL351Contig1	HCGP-FT-CO_01191
CL352Contig1	HCGP-FT-CO_01192
CL353Contig1	HCGP-FT-CO_01193
CL354Contig1	HCGP-FT-CO_01194
CL355Contig1	HCGP-FT-CO_01195
CL355Contig2	HCGP-FT-CO_01196
CL356Contig1	HCGP-FT-CO_01197
CL357Contig1	HCGP-FT-CO_01198
CL358Contig1	HCGP-FT-CO_01199
CL359Contig1	HCGP-FT-CO_01200
CL35Contig1	HCGP-FT-CO_01201
CL360Contig1	HCGP-FT-CO_01202
CL361Contig1	HCGP-FT-CO_01203
CL362Contig1	HCGP-FT-CO_01204
CL363Contig1	HCGP-FT-CO_01205
CL364Contig1	HCGP-FT-CO_01206
CL365Contig1	HCGP-FT-CO_01207
CL366Contig1	HCGP-FT-CO_01208
CL366Contig2	HCGP-FT-CO_01209
CL367Contig1	HCGP-FT-CO_01210
CL368Contig1	HCGP-FT-CO_01211
CL369Contig1	HCGP-FT-CO_01212
CL36Contig1	HCGP-FT-CO_01213
CL370Contig1	HCGP-FT-CO_01214
CL371Contig1	HCGP-FT-CO_01215
CL372Contig1	HCGP-FT-CO_01216
CL373Contig1	HCGP-FT-CO_01217
CL374Contig1	HCGP-FT-CO_01218
CL375Contig1	HCGP-FT-CO_01219
CL376Contig1	HCGP-FT-CO_01220
CL377Contig1	HCGP-FT-CO_01221
CL378Contig1	HCGP-FT-CO_01222
CL379Contig1	HCGP-FT-CO_01223
CL379Contig2	HCGP-FT-CO_01224
CL37Contig1	HCGP-FT-CO_01225
CL37Contig2	HCGP-FT-CO_01226
CL380Contig1	HCGP-FT-CO_01227
CL381Contig1	HCGP-FT-CO_01228
